[00:00:03.899 --> 00:00:04.059]  I'm good.
[00:00:36.644 --> 00:00:39.165]  It's Thursday, the 26th day of July, 2012.
[00:00:39.205 --> 00:00:47.106]  I'm Alex Jones, and this is a key edition of InfoWars Nightly News.
[00:00:47.546 --> 00:00:48.327]  Straight ahead!
[00:00:51.927 --> 00:00:54.188]  Tonight, breaking news from the InfoWars.
[00:00:54.428 --> 00:00:55.028]  Leaked U.N.
[00:00:55.048 --> 00:00:56.468]  treaty does ban guns.
[00:00:56.728 --> 00:00:59.989]  Treacherous wording upholds states' gun rights, but not individuals.
[00:01:00.469 --> 00:01:04.410]  Plus... AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:01:05.512 --> 00:01:11.029]  Right on cue, Barack Obama exploits last week's Batman massacre to begin the push for gun control.
[00:01:11.290 --> 00:01:13.055]  Will the Joker have the last laugh?
[00:01:14.554 --> 00:01:19.876]  Then, an estimated 500 military men and dogs will be used as law enforcement battalions.
[00:01:20.357 --> 00:01:28.360]  These soldiers, having served on tours in Afghanistan, will now be activated and based out of military bases across America to help local police forces.
[00:01:28.760 --> 00:01:35.163]  And Alex Jones talks with Larry Pratt of Gun Owners of America about the obvious link between the upcoming vote on the U.N.
[00:01:35.183 --> 00:01:38.985]  Small Arms Treaty and the unfolding PSYOP in Aurora, Colorado.
[00:01:39.425 --> 00:01:42.687]  All that and more, up next on the InfoWars Nightly News.
[00:01:54.170 --> 00:01:56.491]  And we are back, ladies and gentlemen.
[00:01:56.591 --> 00:01:57.991]  Thank you for joining us this evening.
[00:01:58.391 --> 00:02:02.773]  Let's start first with a InfoWars.com, Aaron Dyke's report.
[00:02:03.313 --> 00:02:04.954]  Bombshell leaked U.N.
[00:02:05.054 --> 00:02:07.295]  treaty does ban guns.
[00:02:08.035 --> 00:02:15.677]  Treacherous wording upholds states' rights, that is nations' rights, to have a military but not individual rights.
[00:02:16.138 --> 00:02:22.320]  President Obama today joining the chorus for gun control inside the United States in the wake of the Batman massacre.
[00:02:23.413 --> 00:02:28.255]  has previously indicated that he would sign the treaty, which would then have to be ratified by the Senate.
[00:02:28.535 --> 00:02:32.777]  It could happen tomorrow, it could happen next week, but this is a very serious situation.
[00:02:34.238 --> 00:02:43.882]  Each state party shall adopt national legislation and or appropriate national measures, regulations and policies as may be necessary to implement the obligations of this treaty.
[00:02:44.543 --> 00:02:51.706]  And it gets into not letting citizens own guns, unless it's for some special cultural event where you can have a gun maybe at a military parade.
[00:02:52.446 --> 00:02:59.248]  Repeatedly the treaty obligates states to establish national control systems and it just goes on from there.
[00:02:59.428 --> 00:03:04.450]  Very scary, big news, huge news at InfoWars.com.
[00:03:04.470 --> 00:03:05.130]  Please get it out.
[00:03:05.810 --> 00:03:12.733]  It specifically recognizes only the lawful private ownership and use of conventional arms exclusively
[00:03:13.913 --> 00:03:17.216]  For recreational, cultural, historical, and sporting activities.
[00:03:17.596 --> 00:03:20.458]  As the ATF has said, ban shotguns that are not for sporting.
[00:03:20.478 --> 00:03:22.440]  Well, it's not for sporting, it's a practice from you.
[00:03:23.221 --> 00:03:27.284]  For states where such ownership and use are permitted or protected by law.
[00:03:27.584 --> 00:03:32.188]  So it says ban them everywhere else, but where it may be in law, only for hunting.
[00:03:33.294 --> 00:03:34.574]  Folks, it's a Trojan horse.
[00:03:34.594 --> 00:03:35.254]  They've been caught.
[00:03:35.334 --> 00:03:36.315]  The new treaty is out.
[00:03:36.395 --> 00:03:37.035]  It's been leaked.
[00:03:37.395 --> 00:03:38.555]  They've confirmed it's theirs.
[00:03:38.895 --> 00:03:39.755]  This is big news.
[00:03:41.076 --> 00:03:43.296]  Continuing, we have a video clip of this, don't we?
[00:03:43.416 --> 00:03:50.438]  Obama has come out and said the second time it's about hunting in gun control stunt.
[00:03:50.618 --> 00:03:57.039]  Effort to exploit Aurora massacre for political grist accelerates and Watson says, hey,
[00:03:58.052 --> 00:03:59.092]  He was pressured to do this.
[00:03:59.172 --> 00:04:06.636]  Now, he had all his surrogates, because he's a puppet too, all his little puppets under him come out and call for it while he stayed off the fence.
[00:04:07.176 --> 00:04:09.337]  Now he's saying, hey, you don't need semi-automatic.
[00:04:09.937 --> 00:04:10.437]  Come on!
[00:04:10.457 --> 00:04:12.178]  You don't need that for duck hunting.
[00:04:12.198 --> 00:04:13.939]  Well, it's not for duck hunting.
[00:04:14.239 --> 00:04:17.860]  It's when foreign bankers take over and want to rape us collectively.
[00:04:18.121 --> 00:04:18.901]  Let's go to that clip.
[00:04:20.401 --> 00:04:30.851]  And we also pray for those who succumb to the less publicized acts of violence that plague our communities in so many cities across the country every single day.
[00:04:36.328 --> 00:04:39.469]  You know now the mother's come out and said she never said her son did it.
[00:04:39.509 --> 00:04:40.209]  That was made up.
[00:04:40.289 --> 00:04:44.771]  You know, even local Fox News, we covered last night, has said this stuff doesn't add up.
[00:04:44.811 --> 00:04:47.132]  The police scanners and all the witnesses say two shooters.
[00:04:47.792 --> 00:04:50.893]  You got a guy clearly drugged up out of his mind who's the patsy.
[00:04:51.133 --> 00:04:59.856]  Hey, if they come in a mass shooting in Austin, Texas, where this show comes to you from, and roll me out and I can't talk and I got bozo hair, I've been set up, okay?
[00:05:00.237 --> 00:05:03.758]  I mean, this guy is so drugged up it makes your head spin.
[00:05:05.302 --> 00:05:10.328]  Pro-gun rights group, not preposterous to ask whether government was behind Aurora shootings.
[00:05:11.129 --> 00:05:13.211]  And that's made it from slate.com, you name it.
[00:05:13.251 --> 00:05:16.996]  Larry Pratt, who's joining us after the break, is going to be breaking that down.
[00:05:17.016 --> 00:05:17.556]  Yeah, yeah.
[00:05:17.937 --> 00:05:21.120]  I mean, a government that's been caught staging all this stuff from Gulf of Tonkin to...
[00:05:21.741 --> 00:05:25.423]  To Fast and Furious, of course we gotta look at them as one of the prime suspects.
[00:05:25.823 --> 00:05:26.983]  We'd be insane if we didn't.
[00:05:27.423 --> 00:05:29.924]  All right, let's go along now here to the next piece of news.
[00:05:30.305 --> 00:05:34.106]  Former Shitty Group CEO says, break up the megabanks.
[00:05:34.466 --> 00:05:35.247]  Uh, yeah.
[00:05:35.667 --> 00:05:36.727]  There's six of them.
[00:05:37.227 --> 00:05:38.348]  They're all foreign.
[00:05:39.068 --> 00:05:42.990]  They've signed us on to 1.5 quadrillion globally.
[00:05:43.010 --> 00:05:44.970]  644 trillion domestically.
[00:05:45.291 --> 00:05:46.511]  That is not our debt.
[00:05:46.851 --> 00:05:47.572]  We owe 15 trillion.
[00:05:49.152 --> 00:05:50.334]  That can be paid off quickly.
[00:05:50.394 --> 00:05:51.255]  We're not in debt.
[00:05:51.655 --> 00:05:56.000]  I'm not even for welfare because it makes you dependent, but welfare isn't what did all this.
[00:05:57.041 --> 00:05:59.604]  That's just the chicken feed to get everybody addicted to government.
[00:06:01.468 --> 00:06:03.929]  The bankers are the Ponzi scheme operators.
[00:06:04.289 --> 00:06:18.716]  Sandy Wheelie, former CEO and banking giant Citigroup, and widely regarded as the creator of the financial supermarket model that dominates global capitalism, made waves today by saying he believes the largest U.S.
[00:06:18.776 --> 00:06:22.398]  bank conglomerates are unnecessary, harmful, and should be broken up.
[00:06:23.118 --> 00:06:26.379]  Not just broken up so we can't target who did this.
[00:06:27.079 --> 00:06:30.620]  The debt they created that we've been signed on to, too big to fail.
[00:06:31.180 --> 00:06:31.880]  Write it off!
[00:06:32.460 --> 00:06:34.521]  It is a black hole.
[00:06:35.061 --> 00:06:36.361]  Impossible to pay off.
[00:06:36.721 --> 00:06:37.722]  It is in our debt.
[00:06:38.282 --> 00:06:39.542]  Who makes them the boss now?
[00:06:39.562 --> 00:06:41.082]  In fact, we have audio of that.
[00:06:41.163 --> 00:06:42.183]  Should we play that clip?
[00:06:42.383 --> 00:06:42.783]  Here it is.
[00:06:44.019 --> 00:06:45.200]  That's a pretty radical idea, though.
[00:06:45.240 --> 00:06:47.542]  The idea of breaking up the investment banks and the banks.
[00:06:47.582 --> 00:06:51.086]  Are you suggesting going back and really breaking these companies up?
[00:06:51.486 --> 00:06:53.508]  That's exactly what I'm suggesting.
[00:06:54.028 --> 00:06:56.110]  I want to see the United States be the leader.
[00:06:56.591 --> 00:07:03.237]  I mean, I really believe in our country, and we're not going to be a leader if we keep on trashing our institutions.
[00:07:03.457 --> 00:07:09.503]  Yeah, I mean, that's a big insider saying, this crime is so out of control, there's going to be nothing left!
[00:07:10.123 --> 00:07:14.948]  Paul Craig Roberts, Dr. Paul Craig Roberts said that yesterday on my show, former head of the Treasury.
[00:07:15.608 --> 00:07:18.691]  I mean, folks, this is biblical level criminality.
[00:07:19.632 --> 00:07:23.435]  They're taking houses nationwide that are paid off right now, the big six banks are.
[00:07:24.056 --> 00:07:26.358]  And the courts just say, you're God, take the house.
[00:07:27.059 --> 00:07:28.540]  It's paid for, but we're stealing it.
[00:07:29.641 --> 00:07:30.382]  This is dangerous.
[00:07:32.304 --> 00:07:34.806]  I mean, this is Soviet Russia, Nazi Germany type stuff.
[00:07:37.122 --> 00:07:40.146]  A few months, maybe a year or so to turn the clock here.
[00:07:40.867 --> 00:07:43.591]  This is way beyond Puppet Obama or Romney.
[00:07:44.432 --> 00:07:49.499]  Folks, if you studied history, you would be literally in chills right now.
