[00:00:21.570 --> 00:00:22.710]  Welcome, ladies and gentlemen.
[00:00:22.750 --> 00:00:24.871]  It's Wednesday, February 15th, year 2012.
[00:00:24.911 --> 00:00:30.192]  Now joining us on the program is Adam Kokesh of Adam vs. the Man.
[00:00:30.532 --> 00:00:40.835]  He's going to discuss the Veterans March on Washington to bring attention to the fact that the veterans have financially contributed to Ron Paul's campaign and the media has ignored it.
[00:00:40.855 --> 00:00:43.596]  And they're going to try to force that issue into the mainstream.
[00:00:43.636 --> 00:00:44.236]  Great idea.
[00:00:44.256 --> 00:00:45.436]  That's all coming up.
[00:00:45.717 --> 00:00:47.357]  We have all kinds of war news and more.
[00:00:47.657 --> 00:00:55.744]  But as you know, this is not a scripted teleprompter show, and sometimes it's actually bad, because I was just right before the show adding stories, digging details.
[00:00:56.144 --> 00:01:04.431]  When you read up on these people, it's disgusting when you see all the nexus points and all the hidden agendas, and the more you dig, the more nasty stuff there is.
[00:01:04.451 --> 00:01:09.155]  You're going to see it coming up with the World Bank news and with the Bill Gates news, so stick with us.
[00:01:10.356 --> 00:01:11.897]  Let them eat yellow cake.
[00:01:11.917 --> 00:01:14.639]  Iran gives enemies another excuse to bomb them.
[00:01:15.140 --> 00:01:29.050]  And of course in the primary sense it's more saber-rattling as the war is made to look imminent as we're told in the media from all sides that the war is going to happen as ships and troops are all moved in to surround the area.
[00:01:29.410 --> 00:01:30.872]  Now Kurt Nemo's got the report.
[00:01:30.892 --> 00:01:32.393]  Iran has provided the U.S.
[00:01:32.453 --> 00:01:35.035]  and Israel with another excuse to attack
[00:01:35.495 --> 00:01:38.856]  The country has announced it will now produce Yellow Cake.
[00:01:39.216 --> 00:01:53.180]  The head of the Atomic Energy Organization of Iran, Faridoun Abbasam, you can tell my Arabic and Persian is not too good, said on Wednesday Iran has installed a new generation of centrifuges at the Nantaz facility.
[00:01:54.147 --> 00:01:58.708]  Now, of course, yellow cake was used in the propaganda in the build-up to the Iraq War.
[00:01:59.028 --> 00:02:03.889]  It'll probably be used now for the Iran War, even though the countries are only one letter apart.
