[00:00:15.299 --> 00:00:18.540]  You want to stand up in the info war?
[00:00:18.780 --> 00:00:21.260]  You want to fight?
[00:00:21.360 --> 00:00:23.621]  You better believe you've got one!
[00:00:41.232 --> 00:00:42.733]  Welcome to the Infowars Nightly News.
[00:00:43.193 --> 00:00:46.834]  I'm David Knight, and here's what we have in store for you Monday, October 22nd, 2012.
[00:00:47.455 --> 00:00:54.738]  Tonight, score one for the Fourth Amendment.
[00:00:55.158 --> 00:00:59.220]  A truck driver stands up to an unconstitutional checkpoint.
[00:01:04.264 --> 00:01:06.564]  We can stay all day here playing your little game.
[00:01:06.925 --> 00:01:07.245]  Okay?
[00:01:07.725 --> 00:01:24.228]  Then, nationally syndicated columnist Christopher Elliott publicly backs the Infowars national opt-out and film campaign, set to take place next month as he leads a charge to abolish dangerous TSA body scanners.
[00:01:24.788 --> 00:01:30.129]  And that's going to send a very powerful message to TSA, that they can't keep pushing us around.
[00:01:30.589 --> 00:01:38.453]  Plus, sad news from the Info War, as we mourn the loss of American icon and patriot, Russell Means.
[00:01:39.074 --> 00:01:50.340]  That's coming up next on the Info War's Nightly News.
[00:01:52.701 --> 00:01:55.983]  We're sad to report today that Russell Means has died at the age of 72.
[00:01:57.478 --> 00:01:58.339]  Described by the L.A.
[00:01:58.399 --> 00:02:05.103]  Times as the most famous American Indian setting bull and crazy horse, Russell Means died after a long struggle with cancer.
[00:02:06.184 --> 00:02:11.827]  He led the 71-day takeover of Wounded Knee, the site of a massive civilian massacre by U.S.
[00:02:11.867 --> 00:02:12.187]  government.
[00:02:12.768 --> 00:02:18.351]  Six times the number of civilians, men, women and children, were killed there as at Waco 20 years ago.
[00:02:20.054 --> 00:02:28.976]  He was also a lifelong activist for liberty and a screen actor who later in life most notably starred in films like Last of the Mohican and Natural Born Killers.
[00:02:30.016 --> 00:02:36.137]  In 1988, he nearly became a Libertarian Party nominee for president, nearly being beaten by Ron Paul.
[00:02:37.458 --> 00:02:42.179]  And he said in that campaign, if I want my people to be free, Americans have to be free.
[00:02:42.239 --> 00:02:43.099]  But unfortunately,
[00:02:43.948 --> 00:02:54.332]  He later said, and this is also very true, Indian policy has now been brought down upon American people, and the American people are the new Indians of the 21st century.
[00:02:55.472 --> 00:03:03.415]  Following the news, we'll replay Alex Jones's last interview with Russell Means, as well as a special report we did entitled, Welcome to the Reservation.
[00:03:04.315 --> 00:03:16.981]  In that report, one of the things Russell Means said was that the American government's campaign against the Indians, one of the things that was very effective was that they destroyed their food supply and their right of passage.
[00:03:17.862 --> 00:03:18.942]  Does that sound familiar?
[00:03:19.622 --> 00:03:22.144]  Isn't that what we see happening to Americans today?
[00:03:23.064 --> 00:03:29.407]  Our food supply is being destroyed by GMO and we are losing our right to passage.
[00:03:29.707 --> 00:03:33.389]  We see Americans being put secretly on no-fly lists and not allowed to fly.
[00:03:34.272 --> 00:03:44.875]  We just reported last week about Wade Hicks, who found himself stranded in mid-journey in Hawaii after he was put secretly on a no-fly list.
[00:03:45.775 --> 00:03:53.197]  We're proud to report that with news coverage and help from other people, he was able to get home this last Thursday.
[00:03:53.817 --> 00:04:02.479]  And the mainstream media even picked up the story on Thursday after he was cleared and vetted by the government after they realized there was no reason for him to be on the no-fly list.
[00:04:03.311 --> 00:04:08.113]  The resulting AP headline read, No Fly List Strands Man in Hawaii.
[00:04:08.773 --> 00:04:11.074]  But Wade Hicks was not stranded by a list.
[00:04:11.795 --> 00:04:14.316]  Wade Hicks was stranded by the person who put him on the list.
[00:04:14.936 --> 00:04:18.157]  Wade Hicks was stranded by a secret government process.
[00:04:19.218 --> 00:04:32.203]  The real question is, how can Americans be secretly placed on a list that punishes them with travel restrictions, when they've never been convicted of a crime, charged with a crime, or even notified that they've committed some suspicious crime?
[00:04:32.901 --> 00:04:39.123]  This goes back in history to the Star Chamber, which has become synonymous with the misuse and abuse of power.
[00:04:39.823 --> 00:04:56.428]  This is something that was ended in 1640 by the Habeas Corpus Act, and now we see, hundreds of years later, we see our government, the American government, overturning fundamental protections for our civil liberties like the Habeas Corpus Act and the Posse Comitatus Act.
[00:04:58.049 --> 00:05:02.030]  The question also comes up is why do we even need a no-fly list
[00:05:02.734 --> 00:05:13.982]  We've got a TSA that is spending eight billion dollars a year sexually molesting people and conducting other nonsense at airports and yet it seems to be this is a tacit admission that that doesn't work.
[00:05:14.802 --> 00:05:18.405]  Well the good news is that resistance is building to the outrages of the TSA.
[00:05:19.145 --> 00:05:24.469]  Infowars has been joined in a call for opt-out and film by noted journalist Christopher Elliott.
[00:05:25.910 --> 00:05:27.571]  He's a consumer advocate.
[00:05:28.351 --> 00:05:34.438]  And he has publicly backed Infowars national opt-out and film campaign set to take place next month.
[00:05:35.399 --> 00:05:41.245]  Elliot is a nationally syndicated columnist featured in the Washington Post, New York Times, USA Today and Wall Street Journal.
[00:05:41.885 --> 00:05:44.268]  Also co-founder of Consumer Travel Alliance.
[00:05:45.048 --> 00:05:46.270]  And this is what he had to say.
[00:05:47.173 --> 00:05:54.736]  Momentum is building for a second, more sustained opt-out protest which would take place during an entire week from November 19th to 26th.
[00:05:55.157 --> 00:06:02.920]  The idea, first suggested by activist site InfoWars, is now being seriously discussed among activists and is gaining traction among passengers.
[00:06:03.840 --> 00:06:14.225]  If you recall, two years ago there was a single day of protests that was scheduled and the TSA's response was just to simply shut down the machines on the busiest travel day of the year.
[00:06:15.089 --> 00:06:17.930]  Which might indicate that they know the machines were not necessary.
[00:06:18.890 --> 00:06:22.031]  And we have even more resistance to illegal government activities.
[00:06:22.091 --> 00:06:27.193]  We have a video of a truck driver who is standing up to unconstitutional checkpoints.
[00:06:29.034 --> 00:06:40.318]  30 miles from the Texas border with Mexico, a truck driver was stopped, similar to what we saw a couple months ago in California, Steven Anderson, who refused to show his papers
[00:06:41.053 --> 00:06:51.261]  At this site, filmed by the truck driver, he continually was badgered by agents, and the truck driver continually responds with, am I free to go?
[00:06:52.642 --> 00:06:55.444]  They badger him and say, do you have anything to hide?
[00:06:55.484 --> 00:06:56.845]  Are you breaking the law right now?
[00:06:57.506 --> 00:07:00.188]  But he just continued to repeat, am I free to go?
[00:07:00.208 --> 00:07:02.630]  That's an important thing to remember.
[00:07:02.710 --> 00:07:06.473]  If we don't stand for our Fourth Amendment rights, we will lose them.
[00:07:07.409 --> 00:07:09.790]  And they had no right to ask him this.
[00:07:09.830 --> 00:07:10.890]  He had done nothing.
[00:07:11.551 --> 00:07:14.432]  And there really wasn't anything that they were doing at the site.
[00:07:14.492 --> 00:07:19.754]  They started to suggest that maybe he was hiding somebody or some contraband, but they never searched the truck.
[00:07:20.334 --> 00:07:24.136]  They eventually let him go when all he did was say, am I free to go?
[00:07:24.696 --> 00:07:27.157]  Yes, in America, you are free to go.
[00:07:28.458 --> 00:07:31.179]  And perhaps even Congress is standing up to criminal bureaucracies.
[00:07:31.959 --> 00:07:36.361]  We have an update on the EPA human testing story out of North Carolina.
[00:07:37.563 --> 00:07:38.403]  The Chairman of the U.S.
[00:07:38.423 --> 00:07:47.086]  House Committee's Science, Space, and Technology sent a five-page letter to the Office of Inspector General demanding that it probe whether the human testing was appropriate.
[00:07:47.787 --> 00:07:58.510]  Representative Carl Brown from Georgia asked the Inspector General to question the human testing with high concentration of pollutants that EPA considers dangerous at any level.
[00:07:59.250 --> 00:08:06.393]  The Congressional Committee also wants to know if the EPA obtained sufficient approval of its test subjects, obtained adequate informed consent from those being tested,
[00:08:07.123 --> 00:08:12.645]  And adequately addressed any adverse events that occurred in test subjects during or after the study.
[00:08:13.985 --> 00:08:19.107]  The American Tradition Institute Environmental Law Center has also filed a lawsuit against the EPA.
