[00:00:03.442 --> 00:00:03.482]  Oh,
[00:00:36.291 --> 00:00:37.152]  Good evening, everyone.
[00:00:37.212 --> 00:00:39.435]  Welcome to the InfoWars Nightly News.
[00:00:39.596 --> 00:00:40.537]  I'm Darren McBreen.
[00:00:40.697 --> 00:00:42.159]  It is Wednesday, June 6, 2012.
[00:00:42.900 --> 00:00:46.525]  Here's a quick look at what we have lined up for you this evening.
[00:00:49.932 --> 00:00:56.757]  Tonight, on the InfoWars Nightly News, musician Jordan Page spreads the message of liberty.
[00:00:56.917 --> 00:01:04.103]  Plus, Patrick Henningsen reports on Sheriff Joe Arpaio's latest evidence regarding Obama's birth certificate.
[00:01:04.503 --> 00:01:10.788]  Then, hundreds of leaked Bilderberg documents declaring that nationalism is dangerous.
[00:01:11.288 --> 00:01:14.310]  All that and more on the InfoWars Nightly News.
[00:01:24.102 --> 00:01:30.666]  All that and more coming up during the next 30 minutes or so, but first let's jump right into our top headlines.
[00:01:31.046 --> 00:01:37.750]  As we begin this evening with an update on last week's Bilderberg Conference from Chantilly, Virginia.
[00:01:38.390 --> 00:01:51.097]  As we have just learned that four separate eyewitnesses inside the Westfields Hotel have told the London Guardian that Mitt Romney was indeed in attendance at Bilderberg.
[00:01:52.329 --> 00:02:00.155]  As most of you are aware, an invite to Bilderberg has routinely proven to be beneficial to future presidents and prime ministers.
[00:02:00.696 --> 00:02:07.681]  Four years ago, for example, Barack Obama and Hillary Clinton gave reporters the slip to attend Bilderberg 2008.
[00:02:09.881 --> 00:02:15.905]  And Bill Clinton and Tony Blair, where they were also groomed at Bilderberg during the 1990s.
[00:02:16.606 --> 00:02:23.390]  So perhaps Romney in attendance suggests that he might be the elite's next choice in the upcoming presidential election.
[00:02:23.810 --> 00:02:24.951]  Only time will tell.
[00:02:25.291 --> 00:02:27.833]  But at this point, I mean, what difference does it really make, folks?
[00:02:27.873 --> 00:02:35.218]  I mean, Obama or Romney, they're basically both controlled by the offshore banking cartel that run them both.
[00:02:35.818 --> 00:02:39.221]  And you know, but some of you out there are still going to insist on
[00:02:39.981 --> 00:02:44.345]  Electing or choosing between the lesser of two evils.
[00:02:44.365 --> 00:02:46.246]  You're going to vote for the lesser of two evils.
[00:02:46.606 --> 00:02:47.787]  Obama or Romney.
[00:02:48.208 --> 00:02:50.309]  You know, it's kind of like, who should I vote for?
[00:02:50.389 --> 00:02:51.951]  Caligula or Nero.
[00:02:52.351 --> 00:02:53.932]  Caligula or Nero.
[00:02:54.533 --> 00:02:58.256]  I mean, I'm going to go with Nero because he wasn't quite as evil as Caligula.
[00:02:58.616 --> 00:02:59.677]  That's pretty silly, isn't it?
[00:03:00.257 --> 00:03:07.264]  Alright, speaking of Bilderberg, we have breaking news tonight, as we have just obtained leaked Bilderberg documents.
[00:03:07.644 --> 00:03:09.086]  Hundreds of documents.
[00:03:09.566 --> 00:03:12.509]  And this from the 1966 meeting.
[00:03:12.950 --> 00:03:16.093]  This is a WikiLeaks-sized data dump.
[00:03:16.573 --> 00:03:19.134]  Or a Buildileaks-sized data dump, if you will.
[00:03:19.654 --> 00:03:30.639]  And we will be actually going over this in more detail during the next weeks and days ahead as we continue to discover and uncover what all the documents contain and what they mean.
[00:03:31.199 --> 00:03:38.722]  So far, we've learned that during the 1966 Bilderberg meeting in Germany, they determined that nationalism is dangerous.
[00:03:39.142 --> 00:03:41.563]  Here's Aaron Dykes with that report.
[00:03:41.923 --> 00:03:44.826]  Documents from inside the Bilderberg Group meetings.
[00:03:45.226 --> 00:03:47.868]  This goes back to the 1966 conference.
[00:03:48.269 --> 00:03:51.912]  It took place in Wiesbaden, Germany, right outside of Frankfurt.
