[00:00:00.287 --> 00:00:00.867]  We've got it.
[00:00:00.867 --> 00:00:07.392]  This transmission is coming to you.
[00:00:07.392 --> 00:00:11.775]  Waging war on corruption.
[00:00:11.775 --> 00:00:17.379]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:20.035 --> 00:00:26.261]  Well, every radio broadcast we engage in is extremely important.
[00:00:35.984 --> 00:00:39.186]  But this one obviously more than many of the others.
[00:00:39.186 --> 00:00:43.488]  It is Sunday, the 12th day of August 2012.
[00:00:43.488 --> 00:00:52.492]  I am your host Alex Jones and we're going to be here for the next two hours as we are every Sunday.
[00:00:53.968 --> 00:00:55.229]  From 4 to 6 p.m.
[00:00:55.229 --> 00:00:57.551]  weekdays, 11 a.m.
[00:00:57.551 --> 00:00:58.071]  to 2 p.m.
[00:00:58.071 --> 00:00:59.713]  Central, 12 noon to 3 p.m.
[00:00:59.713 --> 00:01:00.213]  Eastern.
[00:01:00.213 --> 00:01:11.802]  Okay, coming up in about 35 minutes from now, we're gonna have Max Keiser on with us, former stockbroker, inventor of the virtual trading systems.
[00:01:11.802 --> 00:01:22.971]  He is going to be joining us to break down the controlled implosion of Europe that is being segued into the controlled implosion of our economy by design.
[00:01:26.229 --> 00:01:32.234]  And we're gonna break down the Reuters article carried by Chicago Tribune and others.
[00:01:32.234 --> 00:01:33.114]  Exclusive!
[00:01:33.114 --> 00:01:33.515]  U.S.
[00:01:33.515 --> 00:01:36.017]  banks told to make plans for preventing collapse.
[00:01:37.005 --> 00:01:39.567]  But then they go on to say it was largely held secret.
[00:01:39.567 --> 00:01:58.446]  There's nothing really new in this article, but it did get some attention in the last few days, what, Saturday and today, saying that, yes, in 2010, plans were drawn up to deal with a second banking crisis or collapse and for there to be no, quote, government bailouts, taxpayer bailouts.
[00:02:00.174 --> 00:02:01.615]  Same thing was done in 2008.
[00:02:01.615 --> 00:02:09.019]  They make you beg to basically have a tax to the banksters to prop up their derivatives that are impossible to prop up.
[00:02:09.019 --> 00:02:13.181]  But now they're admitting that the recession never ended almost four years ago.
[00:02:13.181 --> 00:02:16.103]  Now they're admitting the globe is in a depression.
[00:02:16.103 --> 00:02:26.349]  More and more experts are breaking this down, and our police and military sources are saying, and you've heard them on air, but you've also seen it in the news, they're preparing for civil unrest.
[00:02:26.349 --> 00:02:27.690]  They're delivering giant black
[00:02:28.610 --> 00:02:30.691]  Armored war wagons to every major city.
[00:02:30.691 --> 00:02:35.114]  The Secretary of the Army is saying only the army can keep order.
[00:02:35.114 --> 00:02:46.260]  But the economy is so great, but we're gonna have local governments collapse and go bankrupt and then have the military roll in.
[00:02:46.260 --> 00:02:53.764]  And Ron Paul, back in May, warned of this.
[00:02:55.885 --> 00:03:18.533]  And he also warned before that, back in February of this year, that he's been warning, going back to my film Matrix of Evil, that I shot here in Austin in 2003, about once the globalists implode the world economy by design with derivatives, the great danger comes when they pose as the saviors.
[00:03:20.157 --> 00:03:25.300]  So Max Keiser is going to be joining us coming up a little bit after the bottom of the hour.
[00:03:25.300 --> 00:03:27.061]  He'll be with us for the balance of the broadcast.
[00:03:27.061 --> 00:03:32.584]  And we're going to take your calls in the second hour for Max here today.
[00:03:32.584 --> 00:03:36.666]  Your questions, your comments, your statements about the true nature of the economy.
[00:03:36.666 --> 00:03:38.907]  Now, some people say, hey, let's put a good face on this.
[00:03:38.907 --> 00:03:42.509]  This is all confidence based.
[00:03:42.509 --> 00:03:47.572]  And if we were in an economy that wasn't fully manipulated, yeah, confidence is important.
[00:03:48.683 --> 00:03:52.127]  But the only confidence out there is in the globalists.
[00:03:52.127 --> 00:03:54.910]  They want to destroy confidence in the real economy.
[00:03:54.910 --> 00:03:57.793]  They can very hard to operate if you're not an insider.
[00:03:57.793 --> 00:04:02.739]  The globalists exempt themselves to crony monopoly world.
[00:04:02.739 --> 00:04:09.005]  So the only system that they allow there to be confidence in is their fraud that is based in our enslavement.
[00:04:09.005 --> 00:04:10.147]  And so we have to create
[00:04:12.751 --> 00:04:20.398]  Zero confidence by pointing out this criminal operation or they're going to be able to complete their takeover and their implosion.
[00:04:20.398 --> 00:04:27.744]  The only way out of this is waking up to the fact that it's been engineered and these people are bragging about it.
[00:04:27.744 --> 00:04:31.127]  So that is the big issue we're going to be breaking down.
[00:04:31.127 --> 00:04:34.350]  When we come back we'll play part of Ron Paul's warning.
[00:04:34.350 --> 00:04:35.691]  We'll get into all this news.
[00:04:35.691 --> 00:04:37.833]  There's a lot of other news.
[00:04:37.833 --> 00:04:38.934]  The reporter that broke it
[00:04:39.995 --> 00:04:45.278]  A year ago, says that it was really a pedophile ring there in Pervert Valley.
[00:04:45.278 --> 00:04:46.899]  Well, of course it is.
[00:04:46.899 --> 00:04:51.502]  But now it's in the news that Sandusky was pimping little kids.
[00:04:51.502 --> 00:04:53.423]  Of course he was.
[00:04:53.423 --> 00:04:57.345]  Now the president, who helped cover it up there at the university, has been sent to Homeland Security.
[00:04:59.909 --> 00:05:15.379]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:05:15.379 --> 00:05:19.062]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:05:20.069 --> 00:05:32.841]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:05:32.841 --> 00:05:40.127]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:05:40.788 --> 00:05:51.172]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:05:51.172 --> 00:05:55.093]  As well, we are always ready to answer any questions you may have.
[00:05:55.093 --> 00:06:03.116]  That's www.SilverLungs.com.
[00:06:03.116 --> 00:06:07.058]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.674 --> 00:06:21.202]  If you are receiving this transmission, you are the resistance.
[00:06:21.202 --> 00:06:29.428]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:32.028 --> 00:06:34.189]  Welcome, my friends, and thank you for joining us.
[00:06:34.189 --> 00:06:36.890]  We are live on this 12th day of August, 2012.
[00:06:36.890 --> 00:06:42.573]  Thank you so much for joining us.
[00:06:42.573 --> 00:06:53.378]  Former top stockbroker, even worked with George Soros and his son, and, of course, invented what is now used as the virtual trading software by Goldman Sachs and others.
[00:06:53.378 --> 00:06:59.201]  Max Keiser, worldwide TV host and radio host, will be joining us coming up at the bottom of the hour.
[00:07:00.041 --> 00:07:00.982]  He's over in Europe.
[00:07:00.982 --> 00:07:12.372]  It's late at night there, but I'm going to twist his arm and join us for about an hour and 20 minutes or so, so that in the second hour today, we can open the phones up for your economic questions or statements.
[00:07:12.372 --> 00:07:16.056]  And he's got some big inside dirt on JP Morgan.
[00:07:17.017 --> 00:07:20.938]  Chase, over and over again, he's broken big stories here on the air.
[00:07:20.938 --> 00:07:22.158]  He rarely contacts us.
[00:07:22.158 --> 00:07:23.699]  We usually end up contacting him to come on.
[00:07:23.699 --> 00:07:27.020]  He contacted us Friday after the show and said, I got something big.
[00:07:27.020 --> 00:07:28.960]  How soon can I get on?
[00:07:28.960 --> 00:07:30.961]  And I said, Sunday show.
[00:07:30.961 --> 00:07:32.321]  Well, the producer did.
[00:07:32.321 --> 00:07:34.842]  So he'll be joining us.
[00:07:34.842 --> 00:07:35.362]  Here's the deal.
[00:07:36.206 --> 00:07:39.889]  We got Paul Ryan being picked as the VP for Mitt Romney.
[00:07:39.889 --> 00:07:41.591]  Gonna get into that.
[00:07:41.591 --> 00:07:50.078]  We've got Daily Mail and others reporting Jerry Sandusky shared boys he molested with other high-profile pedophiles linked to Penn State as part of a sex ring.
[00:07:50.078 --> 00:07:52.139]  Gee, do you think fish swim in the sea?
[00:07:52.139 --> 00:07:55.843]  He was raping kids in the middle of the workday in the showers.
[00:07:57.725 --> 00:08:16.735]  The former head of the school that helped cover it up, the Washington Post, is reporting Graham Spanner has been sent to a national security job so secret we can't be told what it is at the Department of Homeland Enslavement.
[00:08:16.735 --> 00:08:23.059]  Gee, I got a lot of heat saying that Paterno knew what was going on when this first broke last year.
[00:08:25.540 --> 00:08:28.301]  Of course, you know, they've pulled down his statue now.
[00:08:28.301 --> 00:08:36.204]  Again, ladies and gentlemen, the only thing that never ceases to amaze me is the depth of the naivete.
[00:08:36.204 --> 00:08:37.084]  18 plus children.
[00:08:37.084 --> 00:08:42.346]  I found press reports before this even reportedly broke.
[00:08:42.346 --> 00:08:45.947]  I went back and found articles from 1992.
[00:08:45.947 --> 00:08:48.849]  Supposedly all started in the late 90s.
[00:08:48.849 --> 00:08:52.090]  I remember having Senator John DeCamp
[00:08:52.910 --> 00:08:53.792]  We're good to go.
[00:09:07.957 --> 00:09:11.938]  All the way to places like the Penn State football program.
[00:09:11.938 --> 00:09:16.300]  And of course, in that interview from more than 10 years ago, I think it was 12 years ago, people found it online.
[00:09:16.300 --> 00:09:17.740]  You hear me saying, let's not go there.
[00:09:17.740 --> 00:09:18.221]  No, no, no.
[00:09:18.221 --> 00:09:19.961]  That hasn't been adjudicated in court.
[00:09:19.961 --> 00:09:21.122]  And shutting him down.
[00:09:21.122 --> 00:09:23.282]  He said Boys Town in Pennsylvania was doing it.
[00:09:23.282 --> 00:09:24.803]  That came out years later.
[00:09:24.803 --> 00:09:30.185]  I mean, the stuff that he discovered is unbelievable.
[00:09:30.185 --> 00:09:31.505]  But confirmed.
[00:09:31.505 --> 00:09:33.826]  It is just the depths of evil.
[00:09:34.943 --> 00:09:36.064]  That have taken over.
[00:09:36.064 --> 00:09:42.447]  I mean, look at the reports out where the head of Homeland Security in New York is suing Janet Napolitano.
[00:09:42.447 --> 00:09:44.789]  He's got a bunch of men lined up as witnesses.
[00:09:44.789 --> 00:09:48.591]  They would do things reportedly to the men in Homeland Security.
[00:09:48.591 --> 00:09:59.017]  I mean, senior deputy directors and people in the Justice Department that I can't even say on air, even though it's in the New York Daily News and other places, from the suit.
[00:09:59.017 --> 00:10:00.418]  These people are crazy.
[00:10:01.283 --> 00:10:04.466]  Okay, and this is only the tip of the iceberg.
[00:10:04.466 --> 00:10:16.417]  So again, I told you, ladies and gentlemen, if they're raping kids in broad daylight on weekdays in the showers at the field house, that means the entire system's involved.
[00:10:16.417 --> 00:10:17.878]  I don't know how many of you played football.
[00:10:17.878 --> 00:10:19.640]  I played football, wasn't very good at it.
[00:10:19.640 --> 00:10:22.803]  But let me tell you, middle of the week in a field house, it's full of people.
[00:10:24.781 --> 00:10:27.662]  At night, it's full of coaches watching film tapes.
[00:10:27.662 --> 00:10:32.624]  Field houses at a high school are full of people, much less a major college.
[00:10:32.624 --> 00:10:34.925]  They're like an anthill.
[00:10:34.925 --> 00:10:36.925]  Okay, okay.
[00:10:36.925 --> 00:10:40.307]  That's the kind of news we'll get to later.
[00:10:40.307 --> 00:10:46.889]  Let me just get into Paul Ryan now, but here's what the big broadcast is about today.
[00:10:46.889 --> 00:10:49.950]  This is what the meat of the broadcast is about today.
[00:10:52.827 --> 00:10:58.049]  The military admits now that they're preparing for civil emergency.
[00:10:58.049 --> 00:11:00.751]  Martial law, by another name, is still martial law.
[00:11:00.751 --> 00:11:07.314]  To quote Shakespeare, a rose still a rose by any other name.
