[00:00:03.715 --> 00:00:04.036]  We're good.
[00:00:35.583 --> 00:00:36.984]  It's Friday, November 2nd.
[00:00:37.204 --> 00:00:38.285]  I'm Paul Joseph Watson.
[00:00:38.405 --> 00:00:40.326]  This is InfoWars Nightly News.
[00:00:43.648 --> 00:00:51.793]  Tonight on the InfoWars Nightly News, the Obama administration shoots itself in the foot as the potential for re-election drives gun sales.
[00:00:52.113 --> 00:00:57.497]  Then, 72 hours after the hurricane, survivors go to desperate measures to feed themselves.
[00:00:57.777 --> 00:01:00.498]  And British hospitals make money euthanizing patients.
[00:01:00.919 --> 00:01:04.361]  All that and more, coming up on the InfoWars Nightly News.
[00:01:15.967 --> 00:01:23.699]  Now before we get to the news, we're going to throw to this clip with Alex Jones because there's been a deluge of Big Brother and Police State news over the past couple of days.
[00:01:23.999 --> 00:01:25.482]  So here's Alex to cover it.
[00:01:28.220 --> 00:01:33.021]  Thomas Jefferson was once asked, how much tyranny will humanity put up with?
[00:01:33.501 --> 00:01:36.522]  And he said, the answer is the exact level you will put up with.
[00:01:37.302 --> 00:01:41.183]  Ladies and gentlemen, it is not a virtue to lay down to corruption.
[00:01:41.523 --> 00:01:45.723]  It is not a virtue to worship at the feet of authoritarian government.
[00:01:46.344 --> 00:01:48.344]  It is a death sentence.
[00:01:48.904 --> 00:01:53.725]  Alex Jones here reporting for InfoWars.com on some shocking new developments.
[00:01:55.040 --> 00:01:57.682]  It's moving so fast I can't even believe it.
[00:01:58.063 --> 00:02:07.071]  Sure, over in England now, most families when they have a newborn child, the government goes and installs a camera in their house for six months to make sure they're not abusing them.
[00:02:07.772 --> 00:02:09.874]  Guilty until proven slave.
[00:02:10.234 --> 00:02:12.116]  Not even guilty until proven innocent.
[00:02:12.396 --> 00:02:12.936]  Beyond 1984.
[00:02:14.578 --> 00:02:16.840]  Sure, I see Pennsylvania and California and other
[00:02:17.556 --> 00:02:37.739]  uh... states getting caught watching kids at home on government-issued laptops it's unbelievable i get blown away uh... by the fact is that all over the country the federal government is telling school districts to tell parents they can't be trusted to pack school lunches for their kids and the school lunches are incredibly unhealthy garbage
[00:02:38.420 --> 00:02:39.381]  The list goes on and on.
[00:02:39.421 --> 00:02:46.766]  The NSA warrantless wiretapping against the American people, which they admit is going on, and they admit is illegal, but they're going to keep doing it.
[00:02:47.146 --> 00:02:49.168]  The NDAA, the list goes on and on.
[00:02:49.588 --> 00:02:57.994]  But just today, three separate articles up at InfoWars.com, PrisonPlanet.com, also saw some of these at DrugsReport.com.
[00:02:58.554 --> 00:03:03.998]  CNET News, court okays warrantless use of hidden surveillance cameras
[00:03:04.498 --> 00:03:07.501]  On your property without a warrant.
[00:03:07.721 --> 00:03:11.884]  That is, CNET News, a division of CBS.
[00:03:12.665 --> 00:03:14.146]  In your face.
[00:03:14.466 --> 00:03:24.354]  Saying, well, they can come on your property, your backyard, whatever, and as long as it's not in the house, they can set up cameras on your property without a warrant.
[00:03:25.194 --> 00:03:26.175]  Oh, but it gets worse.
[00:03:27.196 --> 00:03:29.618]  They now have another case going to the Supreme Court.
[00:03:30.759 --> 00:03:48.243]  Where Florida versus Jardines, the state is arguing that they want to be able to have the police randomly go to your door and knock on it, just down the street with police dogs, just like Nazi Germany, classic archetypal sign of all that.
[00:03:48.643 --> 00:03:54.365]  They want to be able to just come up with their police dog, and if it smells something, they're going to come in your house without a warrant.
[00:03:54.785 --> 00:03:59.926]  When the dog is, you know, obviously the Beagle or whatever, or German Shepherd, is getting the biscuits when it does this.
[00:04:00.498 --> 00:04:11.710]  When the government's on record shipping in most of the narcotics, and big banks have been caught laundering hundreds of billions a year, just type in Wachovia, Wells Fargo, $378 billion in laundered drug money over a two-year period.
[00:04:11.951 --> 00:04:15.534]  I mean, just Google what I just said, or startpage.com.
[00:04:15.795 --> 00:04:17.737]  The point is, it's over the top.
[00:04:17.977 --> 00:04:21.141]  They ship the drugs in and then use the war on it
[00:04:21.741 --> 00:04:32.689]  As a pretext to come into all our lives, and then use the crime that drug prohibition causes, because the drug addicts are running around trying to get the money for the overpriced garbage, they use the crime to take our liberties.
[00:04:33.029 --> 00:04:37.512]  So there's that report from the New American Magazine, newamerican.com, also prisonplanet.com.
[00:04:37.752 --> 00:04:40.694]  Has the Fourth Amendment gone to the dogs?
[00:04:41.455 --> 00:04:48.360]  And they've already got knock and talk, where they come and ask if they can come in and see your legal guns going on nationwide under federal grants.
