[00:00:21.676 --> 00:00:24.639]  Good evening and welcome to InfoWars Nightly News.
[00:00:24.659 --> 00:00:29.083]  With me, your host, Paul Joseph Watson, on this Friday, February 17th edition.
[00:00:29.623 --> 00:00:38.471]  Coming up, Rob Dew interviews James Wesley Rawls about his new book, which deals with the coming financial collapse and survival techniques.
[00:00:38.531 --> 00:00:44.035]  It's a book of fiction, but also contains some very real solutions for everybody to be involved with.
[00:00:44.736 --> 00:00:47.137]  Now the news, our top headline tonight.
[00:00:47.297 --> 00:00:53.581]  FEMA follows DHS in monitoring news coverage of its activities 24-7.
[00:00:54.121 --> 00:01:04.166]  The Federal Emergency Management Agency, FEMA, has followed in the footsteps of the DHS in looking to hire a private contractor that will monitor news coverage of the agency's activities on a 24-7 basis.
[00:01:06.587 --> 00:01:27.732]  Quote, FEMA is planning to award a 100% small business set-aside contract to a media monitoring firm that can monitor, archive, and measure all local news in major Nielsen markets, all nationally broadcast news, and all cable outlets for their news coverage of FEMA activities in the field across the US, reports Government Security News.
[00:01:28.452 --> 00:01:46.713]  And the program is similar in nature to a DHS monitoring effort that stoked controversy and a congressional hearing after it emerged that the DHS had hired an outside contractor, General Dynamics Advanced Information Systems, to monitor social media outlets along with a list of websites, including the Drudge Report.
[00:01:47.473 --> 00:01:57.422]  On a 24-7, 365 basis in order to uncover quote, any media reports that reflect adversely on the US government or the department.
[00:01:58.023 --> 00:02:02.387]  And so we have this raft of federal agencies, we'll talk about the FBI in a minute.
[00:02:03.367 --> 00:02:10.770]  Suddenly in a scramble to keep a constant watch on what people are reporting on or saying about the government online.
[00:02:11.190 --> 00:02:20.814]  And as we heard during the DHS subcommittee hearing yesterday, this is not aimed at newspaper people, you know, people who produce news content.
[00:02:20.854 --> 00:02:22.474]  It's not aimed at bloggers.
[00:02:22.654 --> 00:02:25.095]  I mean, it's only going to make us talk about it even more.
[00:02:25.135 --> 00:02:29.237]  It's going to make us talk about the federal government in a negative context even more.
[00:02:30.017 --> 00:02:41.700]  I mean this is aimed at creating a chilling effect wherein the average American will be more reluctant to criticize their government because of the fear that they could face some kind of reprisal.
[00:02:42.381 --> 00:02:50.283]  And in the particular case of FEMA, this agency was of course caught completely botching the response to Hurricane Katrina.
[00:02:51.003 --> 00:02:56.529]  Of course, we know they got massive new funding and powers as a result of that, but their image did take a pounding.
[00:02:56.569 --> 00:02:59.652]  So now they're trying to massage their image back into a good state.
[00:03:00.593 --> 00:03:09.122]  But what is FEMA preparing for that requires them to monitor the internet 24-7 to gauge the reaction to their activities?
[00:03:09.983 --> 00:03:15.026]  Could it be the rollout of clergy response teams during a national emergency?
[00:03:15.086 --> 00:03:30.236]  These are pastors and religious representatives trained by the federal government, as we reported in 2006, to, quote, quell dissent and pacify citizens to obey the government in the event of a declaration of martial law.
[00:03:30.617 --> 00:03:35.160]  And that, of course, is something that can't be dismissed as a conspiracy theory because it's an admitted program.
[00:03:35.600 --> 00:03:40.988]  So we got FEMA very interested in keeping tabs on what people are thinking of its activities.
[00:03:41.709 --> 00:03:48.799]  And this relates very much to our next story, which is FBI to spy on gold bugs via suspicious comments app.
[00:03:50.014 --> 00:04:08.460]  Given the fact that the FBI has characterized the view that the US should return to the gold standard as an extremist belief held by potential domestic terrorists, should gold bugs be concerned about the agency's efforts to create a new app that tracks suspicious comments made on social media websites?
[00:04:09.020 --> 00:04:26.589]  A document posted online recently by the Federal Bureau of Investigation seeks developers to create an app that will have the capability to quote, rapidly assemble critical open source information and intelligence to quickly vet, identify and geolocate breaking news events, incidents and emerging threats.
[00:04:27.569 --> 00:04:43.104]  And again, just like the DHS, just like FEMA, the FBI is joining the stampede to have the news, blogs, and social media websites constantly monitored on a full-time basis for keywords of their choosing.
[00:04:44.622 --> 00:04:55.833]  And just like the DHS Stonewall decongressional hearing yesterday by trying to restrict the debate to disaster relief, the FBI is doing the same with this program.
[00:04:56.774 --> 00:05:07.564]  But we know from last week's announcement about the FBI's counter-terror division, in addition to the FBI's Communities Against Terrorism program, that people who think
[00:05:09.326 --> 00:05:27.236]  People who they think should be monitored as potential domestic terrorists are the same people who post tweets and Facebooks about believing in the gold standard and of course we had the story about buying a cup of coffee with cash at an internet cafe and also buying food in bulk.
[00:05:27.656 --> 00:05:34.300]  All of these activities are deemed suspicious and potentially indications of terrorism by the FBI.
[00:05:36.121 --> 00:05:41.063]  So, that's what they're going to be interested in when it comes to monitoring social media.
[00:05:41.904 --> 00:05:59.972]  Former FBI agent Mike German said comments made on a Twitter account deemed suspect by the FBI could create, quote, a cloud of suspicion over people merely using social media to express their First Amendment rights, warning that the Feds could use the data to, quote, increase video surveillance in a neighborhood.
[00:06:01.192 --> 00:06:14.759]  And this is what he said, quote, part of what we want to protect is the freedom to speak your mind to criticize government policies without the fear that the government will take it the wrong way and start treating you as if you're a threat, German told Fox News.
[00:06:15.760 --> 00:06:16.780]  But of course, as we know, the DHS
[00:06:18.061 --> 00:06:27.406]  See something, say something videos, the FBI flyers going out to businesses like internet cafes, tattoo parlors, military surplus stores, etc.
[00:06:27.806 --> 00:06:34.730]  The MIAC report and a host of other examples spanning back years prove that informed Americans who are
[00:06:35.390 --> 00:06:44.618]  Angry or dissatisfied at the federal government have already been identified and targeted as the primary terror threat.
[00:06:44.978 --> 00:06:53.445]  So that's what the FBI, the DHS and FEMA are going to be interested in with this monitoring program of social media, Facebook, Twitter comments, etc.
[00:06:55.046 --> 00:07:01.572]  Moving on to our next story, Virginia House passes NDAA nullification 96-4.
[00:07:02.092 --> 00:07:15.643]  In a move completely ignored by the establishment media, the Virginia House of Delegates has voted in favor of House Bill 1160, legislation that codifies in Virginia law non-compliance with the kidnapping provisions of sections 102 and 102-2.
[00:07:17.865 --> 00:07:24.269]  Sorry, 1021 and 1022 of the National Defense Authorization Act of 2012, NDAA.
[00:07:24.850 --> 00:07:28.632]  The final vote held on February 14th was 96-4.
[00:07:28.973 --> 00:07:33.796]  The bill was sponsored by delegate Bob Marshall and was introduced on January 16th of this year.
[00:07:34.536 --> 00:07:46.804]  Virginia Governor Bob McConnell is on record as opposing the legislation and as we know he was of course on Obama's infamous Council of Governors for this Marshall Law Plan that they've got.
[00:07:48.045 --> 00:08:10.271]  And HB 1160 reads as follows, a bill to prevent any agency, political subdivision, employee or member of the military of Virginia from assisting an agency of the armed forces of the United States in the conduct of the investigation, prosecution or detention of a citizen in violation of the United States Constitution, the Constitution of Virginia or any Virginia law or regulation.
[00:08:12.506 --> 00:08:22.591]  We've got other states with legislation pending for NDAA nullification, which of course is in specific terms the indefinite detention provision of the NDAA.
[00:08:25.228 --> 00:08:40.112]  It's been passed in Virginia and this is the perfect opportunity for info warriors to lobby their state lawmakers to get these bills passed in other states and kill the indefinite detention provision of the NDAA.
