[00:00:22.435 --> 00:00:25.559]  Hello everyone, welcome to the InfoWars Nightly News.
[00:00:25.759 --> 00:00:29.164]  I'm Darren McBreen, sitting in tonight for Alex Jones.
[00:00:29.384 --> 00:00:36.534]  It is Thursday, February 16th, 2012, and here's a quick look at what we have lined up for you this evening.
[00:00:37.415 --> 00:00:37.915]  Will the U.S.
[00:00:38.056 --> 00:00:43.139]  and Israel be planning to launch a false flag terror attack to be blamed on Iran?
[00:00:43.480 --> 00:00:50.866]  Tonight, we'll look at the history of government-sponsored terrorism and the likelihood of a conflict igniting in the Persian Gulf.
[00:00:51.266 --> 00:01:01.054]  InfoWars producer John Bowne also reports on the psychological warfare and operations behind false flag terrorism known as the Hegelian dialectic.
[00:01:01.354 --> 00:01:02.655]  Then, the unthinkable.
[00:01:02.995 --> 00:01:04.917]  Surviving a Nuclear Disaster.
[00:01:05.138 --> 00:01:14.769]  Author Matthew Stein joins us via video Skype to discuss the apocalyptic scenario of a worldwide nuclear meltdown during a massive solar storm.
[00:01:20.106 --> 00:01:23.549]  All that and more during the next 30 minutes or so.
[00:01:23.689 --> 00:01:30.856]  But first, we have breaking news from Detroit, where the underwear bomber Patsy faces life sentencing today.
[00:01:30.876 --> 00:01:46.210]  Umar Farooq Abdul-Mutallab, the Nigerian man accused of trying to detonate an explosive device in his underwear aboard a Christmas 2009 flight to Detroit, will be pleaded guilty to all counts in court on Wednesday.
[00:01:46.630 --> 00:01:51.754]  He had previously pleaded not guilty to the charges and he actually vowed to plead innocent.
[00:01:52.115 --> 00:01:56.959]  He was going to call Detroit area attorney and eyewitness Kurt Haskell as a defense witness.
[00:01:57.219 --> 00:02:02.884]  Haskell, of course, witnessed a sharp-dressed man helping Abdulmutallab get on board the plane.
[00:02:03.364 --> 00:02:09.950]  And this mysterious well-dressed man helped the underwear bomber clear security despite the fact he had no passport.
[00:02:10.330 --> 00:02:18.995]  Haskell maintains that Abdul-Mutallab was carrying a fake bomb and was the unwitting dupe in a case of government entrapment.
[00:02:19.515 --> 00:02:27.139]  And Kurt Haskell joins us now live via video Skype from Detroit to bring us the latest developments on this case.
[00:02:27.959 --> 00:02:29.580]  Now Kurt, thank you for joining us.
[00:02:29.740 --> 00:02:34.263]  I know you've been a prominent skeptic of the government's official version of events that day.
[00:02:34.523 --> 00:02:36.304]  What went on during the sentencing?
[00:02:38.160 --> 00:02:48.826]  Well, you know, today was the day for sentencing, and it was a mandatory life sentence, so Judge Edmunds sends you, Mark, to four life sentences without chance of parole.
