[00:00:04.324 --> 00:00:05.005]  Welcome back.
[00:00:05.105 --> 00:00:07.346]  I'm here joined by George Bliss.
[00:00:07.526 --> 00:00:15.091]  He was the drone hacker who came out to our Drone Mob and was able to take over one of our drones using free software within minutes.
[00:00:15.772 --> 00:00:17.273]  So, hi George.
[00:00:17.313 --> 00:00:18.134]  Welcome to the show.
[00:00:18.154 --> 00:00:18.374]  How are you?
[00:00:18.394 --> 00:00:19.174]  It's good to see you again.
[00:00:19.855 --> 00:00:23.457]  So first, just tell us what you did.
[00:00:23.838 --> 00:00:25.038]  What you did when you came down.
[00:00:25.078 --> 00:00:26.059]  You brought your laptop.
[00:00:26.339 --> 00:00:27.080]  People are showing up.
[00:00:27.100 --> 00:00:27.860]  They're bringing drones.
[00:00:27.880 --> 00:00:28.641]  They're bringing stuff.
[00:00:28.701 --> 00:00:30.502]  You came with a table and a laptop.
[00:00:30.682 --> 00:00:31.223]  Tell us about it.
[00:00:32.257 --> 00:00:42.683]  Um, well, I came down to demonstrate that, um, in the end, that, uh, all the technology that's being used against us can, uh, easily be disabled.
[00:00:43.724 --> 00:00:54.730]  Um, there aren't a whole lot of systems that the government can use that, uh, you know, aren't originating from civilian technology or understanding or academics.
[00:00:54.790 --> 00:01:00.514]  So, when I heard about your event down at Zilker Park, I thought it'd be fun to go out there and, uh,
[00:01:01.886 --> 00:01:08.917]  Bring my laptop down there basically to demonstrate that I could do something a little bit different.
[00:01:08.997 --> 00:01:11.161]  I was hoping I'd be the only one there with that idea.
[00:01:11.181 --> 00:01:13.604]  You were the only one there with that idea, that's for sure.
[00:01:14.818 --> 00:01:22.365]  So, I like to look at the negative space of things, you know, kind of like the equal opposite and I thought that might be interesting to come down there.
[00:01:22.425 --> 00:01:38.861]  I know you guys were making a great statement about how these drones are going to be real prevalent and that they're cheap and easy to find and so every police department across the country has been signing on to buy these of all different shapes and sizes.
[00:01:39.702 --> 00:01:54.586]  And I just wanted my message to be that they're not going to take these technologies and use them really back against us, because they all originate in completely peaceful and civilian technologies in the end.
[00:01:54.686 --> 00:01:56.126]  Well, that's how they always sell it to us.
[00:01:56.166 --> 00:02:01.988]  They sell it to us as helpful and good at first, and then it's twisted and perverted and turned against us.
[00:02:02.028 --> 00:02:04.949]  But tell us about what you actually did while you were there.
[00:02:05.706 --> 00:02:18.120]  Well, using some software, a lot of people are familiar now with Linux, and using that software, which Linux is an open source operating system, it's kind of like getting Windows but not having to pay for it.
[00:02:19.102 --> 00:02:24.588]  It's software by the people, for the people, if you will, the democracy of computing, and
[00:02:25.769 --> 00:02:33.336]  This software allowed me to view more information about the Wi-Fi environment around the laptop.
[00:02:33.576 --> 00:02:37.339]  And so, using those tools basically, and anybody can do this.
[00:02:37.359 --> 00:02:37.880]  This is free.
[00:02:37.940 --> 00:02:39.021]  This is a free software.
[00:02:39.061 --> 00:02:41.423]  You went and got easily off the internet.
[00:02:41.963 --> 00:02:43.324]  Didn't have to pay for it, nothing.
[00:02:43.344 --> 00:02:44.044]  You just went and got it.
[00:02:44.425 --> 00:02:45.325]  Right, exactly.
[00:02:45.345 --> 00:02:46.986]  I even borrowed the laptop.
[00:02:47.026 --> 00:02:48.867]  So it was completely free!
[00:02:49.087 --> 00:02:50.068]  Didn't cost you anything.
[00:02:50.088 --> 00:02:53.010]  Didn't cost me a dime to come down there and do that, so it was fun.
[00:02:53.510 --> 00:02:57.272]  But basically, using some tools, just software.
[00:02:57.372 --> 00:02:58.693]  Anybody can learn how to use them.
[00:02:58.713 --> 00:02:59.974]  They're pretty well developed.
[00:03:01.174 --> 00:03:03.296]  I was hoping somebody had a Wi-Fi drone out there.
[00:03:03.376 --> 00:03:07.658]  They're not all, of course, flown with the Wi-Fi, but you guys happened to bring yours down there.
[00:03:07.698 --> 00:03:09.920]  I saw that iPad and I knew I was in business.
[00:03:11.120 --> 00:03:12.101]  Yeah, we did.
[00:03:12.601 --> 00:03:25.391]  And so I pulled it up on there and I essentially told the drone that it no longer wished to receive communication from the controller or be a part of its network.
[00:03:25.691 --> 00:03:34.138]  And so what we saw was your drone, it's one of those four rotor drones and it has the autonomous hover mode on it.
[00:03:34.978 --> 00:03:42.240]  And so when we severed the connection, it just went to being a real drone, which is just kind of like flying into the wind.
[00:03:42.720 --> 00:03:44.620]  It tried to, you know, keep itself in the same spot.
[00:03:44.640 --> 00:03:46.161]  Yeah, they couldn't control it.
[00:03:46.321 --> 00:03:47.021]  They couldn't land it.
[00:03:47.261 --> 00:04:01.985]  Yeah, I was hoping it'd be something dramatic, you know, like ten drones falling out of the sky, but the way you guys set up the demonstration, and especially the way the video was presented on InfoWars and PrisonPlanet.TV, I really like the message.
[00:04:02.045 --> 00:04:03.265]  That's what I was trying to say.
[00:04:03.365 --> 00:04:09.349]  Well, I mean, a lot of people have come out and said, this is just a toy and we shouldn't really be concerned that you were able to do this.
[00:04:09.409 --> 00:04:18.496]  However, these same toys are the same toys that law enforcement all over the place are getting and then they're upgrading it using our taxpayer dollars and turning that against us.
[00:04:18.556 --> 00:04:20.718]  It's the same kind of level of stuff.
[00:04:20.738 --> 00:04:22.539]  So I mean, I think it's pretty concerning.
[00:04:22.579 --> 00:04:25.181]  Not only that, but that drone has a high definition camera on it.
[00:04:25.601 --> 00:04:25.901]  Absolutely.
[00:04:25.921 --> 00:04:26.682]  And that's happening now.
[00:04:26.802 --> 00:04:27.242]  I've seen it.
[00:04:27.682 --> 00:04:28.503]  You know, I think that
[00:04:51.116 --> 00:05:18.788]  The biggest issue here that the easiest way to define where the line is being crossed here for people if they don't already realize it is what they used to call expectation of privacy and with drones in the sky at high altitude and cameras and all of the number of agencies that want to get involved with this you know there used to be expectation of privacy in your backyard even if your fence was six or eight feet you know and there were some vantage points
[00:05:20.189 --> 00:05:44.047]  That was anything that occurred there was considered private and I think that what you're describing I'm sure all of the laws have already changed to support their actions Although I'm sure abstractly, but I don't think that there's really any expectation of privacy left I would like to hear what the government's Description or definition of expectation of privacy is at this point
[00:05:44.147 --> 00:05:50.273]  Well, we're actually going to get into that, because the FAA has actually come out and said that there is no expectation of privacy.
[00:05:50.334 --> 00:05:50.794]  We have that.
[00:05:50.874 --> 00:05:53.837]  Actually, I want to show you several articles here.
[00:05:53.857 --> 00:05:58.963]  Let's just kind of go over briefly, because I think they all speak to the point here of what we're dealing with.
[00:05:59.363 --> 00:06:03.708]  Okay, the first one is, Bill clears path for 30,000 surveillance drones over the U.S.
[00:06:03.748 --> 00:06:06.731]  in the next 10 years, and this is the FAA announcing they feel that
[00:06:07.071 --> 00:06:11.333]  There's going to be at least 30,000 drones in our skies over the next decade.
[00:06:11.793 --> 00:06:18.257]  And then, this also came out, and we just spoke about this, but FAA drone operators have zero privacy obligations.
[00:06:18.297 --> 00:06:22.239]  And it actually says that, they came out and said, our primary mission is safety.
[00:06:22.939 --> 00:06:33.244]  And so, therefore, they're acknowledging that there's privacy concerns, but they're not saying they would mandate anything that would force drone operators to follow any kind of privacy rules.
[00:06:33.304 --> 00:06:34.865]  So basically, there aren't any.
[00:06:35.505 --> 00:06:40.309]  Then, next I have Texas College hacks drone in front of Department of Homeland Security.
[00:06:40.729 --> 00:06:41.670]  This was here in Austin.
[00:06:41.690 --> 00:06:46.414]  These students were able to, using $1,000 in parts, they built what's called a spoofer.
[00:06:47.034 --> 00:06:51.998]  And they were able to take control of multiple drones in front of the Department of Homeland Security and fly them wherever they wanted to.
[00:06:52.779 --> 00:06:53.939]  So, that's lovely.
[00:06:54.079 --> 00:06:59.701]  And then, all of these things came out just last week, right after our drone mob, so we couldn't even talk about them at the time, but we can now.
