[00:00:01.615 --> 00:00:02.358]  We've got it brother!
[00:00:08.676 --> 00:00:10.717]  Waging war on corruption.
[00:00:10.737 --> 00:00:12.819]  Alright, here I go.
[00:00:13.019 --> 00:00:18.482]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:18.562 --> 00:00:22.624]  Are we seeing the earth?
[00:00:22.684 --> 00:00:24.485]  You've got it.
[00:00:24.605 --> 00:00:29.648]  Are we seeing the earth now?
[00:00:29.708 --> 00:00:32.389]  You've got it.
[00:00:32.569 --> 00:00:33.710]  Are we seeing the earth?
[00:00:33.870 --> 00:00:35.671]  You've got it.
[00:00:37.981 --> 00:00:52.349]  I was sitting there this morning and this afternoon with a little notebook and I'd written about 10 pages of text of issues that I wanted to cover here today.
[00:00:53.550 --> 00:00:56.852]  Not so much from a futurist perspective.
[00:00:58.353 --> 00:01:02.035]  That's kind of what the popular lexicon would label it.
[00:01:03.659 --> 00:01:09.321]  As an attempt to simplify things, you know, the future is here.
[00:01:10.602 --> 00:01:12.022]  It's been here for a long time.
[00:01:12.722 --> 00:01:26.928]  There are technological government and corporate reservations that are highly advanced above the quasi-dormant post-industrial civilization that we live in.
[00:01:27.908 --> 00:01:32.190]  There is a completely engineered revolution
[00:01:33.547 --> 00:01:42.551]  Against the natural world and natural processes being carried out by the scientific elite.
[00:01:45.112 --> 00:01:51.455]  And the world they are building is not a pretty one for the average person.
[00:01:51.475 --> 00:02:02.960]  And the world they're building is very, very cold-blooded and anti-family, anti-human, and does not look to lift up humanity, but instead to end humanity as we know it.
[00:02:04.574 --> 00:02:30.858]  What's frustrating about this is not the lack of proof, but the ocean-size amounts of information with the different technocrats in public communiques telegraphing their unbelievable disgust and disdain for public.
[00:02:33.533 --> 00:02:41.637]  They don't really publicize their disdain, but they communicate it in establishment journals, so it is public.
[00:02:42.317 --> 00:02:44.838]  It's open source, and it's really horrible.
[00:02:44.858 --> 00:03:03.147]  And then they've got all of their propaganda minions, their fake futurists and the rest of them that go out and proselytize to the low-level and mid-level manager class in academia, in the medical system, in the financial system, in the culture system.
[00:03:06.024 --> 00:03:33.008]  In fact, for the incredible amounts of propaganda that we see being ladled out in the so-called news, broadcast TV, cable news channels, newspapers, radio, political books, that propaganda is at least a little more sophisticated because it's targeting someone who's, quote, politically aware.
[00:03:35.228 --> 00:03:42.613]  Or at one level higher in complexity and understanding and one degree closer to reality.
[00:03:43.713 --> 00:04:04.006]  But for the unwashed masses that just think the men with suits are running things and choose a politician even if they vote off of how they look, it's like trying to teach quantum mechanics to a boll weevil.
[00:04:08.707 --> 00:04:18.669]  And it's hard enough to get the general public to look around them and realize that they're in the middle of deep space on a planetoid with incredible
[00:04:20.822 --> 00:04:23.903]  opportunities and wonderment all around them.
[00:04:24.464 --> 00:04:39.151]  It's hard to get them to look up from the dirt long enough to do that, but when the system sets everything up to keep them looking down on the dirt, that's a crime against humanity, creates blowback cycles into the elite themselves, and is super bad news.
[00:04:40.331 --> 00:04:49.876]  So the world is being engineered into an authoritarian system, not to even shield the elite in the future, but to just totally have a revolution against
[00:04:51.673 --> 00:04:55.014]  Our modern world itself and humanity.
[00:04:55.374 --> 00:04:59.075]  The news is coming up and I'm gonna break down the future of humanity straight ahead.
[00:05:00.595 --> 00:05:04.416]  Did you ever think you'd be where you are a decade into the 21st century?
[00:05:04.736 --> 00:05:06.617]  Record foreclosure rates for homes.
[00:05:07.017 --> 00:05:08.517]  If not yours, your neighbors.
[00:05:08.877 --> 00:05:11.398]  Thankful for the unemployment checks since you were laid off.
[00:05:11.858 --> 00:05:18.340]  And placing your child's name on the angel tree in hopes of a Christmas gift along with thousands of other Americans.
[00:05:18.840 --> 00:05:22.062]  Did you ever think your future would feel this out of control?
[00:05:22.082 --> 00:05:27.004]  The fact is, in all this craziness, there's only one thing you can control.
[00:05:27.285 --> 00:05:28.545]  Your greatest dependency.
[00:05:28.825 --> 00:05:29.866]  Your food supply.
[00:05:30.226 --> 00:05:34.088]  Make 2012 the year you take control by getting prepared.
[00:05:34.428 --> 00:05:38.711]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[00:05:39.651 --> 00:05:41.652]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.127 --> 00:06:15.411]  If you are receiving this transmission, you are the resistance.
[00:06:22.657 --> 00:06:31.264]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:35.188 --> 00:06:38.250]  For more than 16 years on radio,
[00:06:39.599 --> 00:06:46.706]  I have pointed out that I come to you live from deep behind enemy lines, FEMA Region 6.
[00:06:48.567 --> 00:07:00.158]  And I remember a long time ago, different radio consultants that contacted me over the years, and vice presidents and presidents at major radio networks who contacted me.
[00:07:01.694 --> 00:07:03.976]  Uh, it was always the same line.
[00:07:04.376 --> 00:07:18.424]  Okay, Alex, there is globalism, there is a move to get rid of national sovereignty, but that's a natural progression, and you need to decide whether you're going to be on a crusade that goes nowhere, or whether you want to be a star.
[00:07:22.727 --> 00:07:30.732]  And even 14, 15, 16 years ago, when I had almost no money, it was not tempting
[00:07:31.949 --> 00:07:47.041]  Over the years to be offered millions and millions of dollars to go join the establishment and be in the company of people that don't care about you and who have sold themselves to the highest bidder over and over again.
[00:07:48.742 --> 00:07:59.911]  I do not wish to sit at table or to associate with Judas Iscariot, fellow travelers of that spirit.
[00:08:02.762 --> 00:08:04.042]  And let's get one thing straight.
[00:08:04.082 --> 00:08:06.623]  It's not because I'm some goody two-shoes.
[00:08:07.583 --> 00:08:10.464]  It's not because I'm high and mighty.
[00:08:10.524 --> 00:08:12.464]  It's because I've seen reality.
[00:08:13.424 --> 00:08:14.985]  I've discovered reality.
[00:08:15.605 --> 00:08:17.805]  I've discovered the real world.
[00:08:20.546 --> 00:08:31.108]  And no amount of money is worth it to lie to the public and to try to deceive people with simplistic colloquialisms and pap.
[00:08:33.740 --> 00:08:38.402]  Because doing that is basically cutting off my own nose to spite my face.
[00:08:38.482 --> 00:08:41.423]  It's gouging out my eyes and that of my children.
[00:08:46.444 --> 00:08:49.245]  I cannot and I will not join with evil.
[00:08:52.446 --> 00:08:59.889]  But over the years I've had so many people contact me, station owners, sponsors,
[00:09:01.963 --> 00:09:05.326]  Radio executives and they say stuff like FEMA Region 6.
[00:09:05.586 --> 00:09:10.010]  I mean, the general public doesn't even know what that is.
[00:09:10.090 --> 00:09:11.971]  Well, why do you have a liner saying that?
[00:09:12.011 --> 00:09:16.014]  Because I want people to think about what FEMA Region 6 means.
[00:09:17.756 --> 00:09:22.520]  I want people to tune in at first and think, oh, it's hokey.
[00:09:22.560 --> 00:09:26.423]  He's talking about broadcasting from deep behind enemy lines.
