[00:00:13.131 --> 00:00:13.331]  I think.
[00:00:45.902 --> 00:00:47.183]  It's Friday, June 8, 2012.
[00:00:47.724 --> 00:00:49.806]  I'm Alex Jones.
[00:00:50.267 --> 00:00:54.631]  Get ready for a special edition of InfoWars Nightly News.
[00:00:58.413 --> 00:01:10.677]  Tonight, a firestorm of outrage amongst Ron Paul supporters as Rand Paul announces his endorsement for establishment candidate Mitt Romney, Alex Jones reports.
[00:01:11.157 --> 00:01:19.159]  Then, a recap of last week's highlights from Bilderberg 2012 as the Patriot movement exposes the global mafia.
[00:01:19.499 --> 00:01:25.821]  And Gerald Salente joins Alex Jones to break down the latest meltdown of the Ron Paul campaign.
[00:01:26.061 --> 00:01:30.907]  There are many, many, many, many, many more of us than them.
[00:01:31.428 --> 00:01:35.113]  And if we stand united, we will defeat them.
[00:01:35.593 --> 00:01:44.185]  They are only a small minority of sociopaths and psychopaths, just like that little freak Hitler.
[00:01:44.565 --> 00:01:52.677]  Just like that little freak Mussolini, and just like all these freaks on the Presidential Reality Show.
[00:01:53.037 --> 00:01:55.501]  Don't let a freak rule you.
[00:01:56.081 --> 00:01:57.243]  Find your courage.
[00:01:57.283 --> 00:02:00.207]  That's up next on the InfoWars Nightly News.
[00:02:10.319 --> 00:02:12.880]  First off tonight, the controversy.
[00:02:13.780 --> 00:02:30.207]  Senator Rand Paul came out last night, we're close to 24 hours into this now, on Sean Hannity's neocon program and endorsed Mitt Romney for president, piquing rumors after secret meetings he had, or private meetings, that he's being looked at for VP.
[00:02:31.371 --> 00:02:34.096]  Now, they need to clarify what's going on here.
[00:02:34.536 --> 00:02:39.965]  Because simultaneously, Ron Paul put out a message saying, be respectful at Tampa.
[00:02:39.985 --> 00:02:41.327]  We're not going to try to take it over now.
[00:02:43.459 --> 00:02:49.205]  That is really being taken bad by supporters of Congressman Ron Paul.
[00:02:49.325 --> 00:02:54.229]  I can tell you right now that this is going over like a lead balloon.
[00:02:55.070 --> 00:03:01.376]  And I certainly hope that everyone out there who supported Ron Paul understands it's bigger than just one man.
[00:03:01.597 --> 00:03:02.678]  He has a great voting record.
[00:03:02.738 --> 00:03:04.479]  Rand Paul's a great guy, has a good voting record.
[00:03:04.800 --> 00:03:07.242]  I'm not saying there are enemies, but
[00:03:08.618 --> 00:03:14.041]  To string everybody along and, oh, we're going to secretly win with the delegates just to keep momentum to make a deal with Romney.
[00:03:14.902 --> 00:03:16.543]  And then to have backroom deals.
[00:03:16.563 --> 00:03:23.468]  If they were going to do this, they should have come out and said to the supporters of the press conference, we think it's good to try to make a deal with Romney.
[00:03:23.508 --> 00:03:25.249]  We think it's good to try to take over the Republicans.
[00:03:25.949 --> 00:03:28.831]  The problem is Romney is bought and paid for by the New World Order.
[00:03:29.651 --> 00:03:31.873]  And Ron Paul is known for never compromising.
[00:03:33.416 --> 00:03:36.878]  Iran has been known for that as well, and this is not going well.
[00:03:37.238 --> 00:03:38.579]  This is not going well.
[00:03:39.939 --> 00:03:44.242]  People are not liking this, and Ron Paul is the figurehead of the Liberty Movement.
[00:03:44.382 --> 00:03:48.664]  The Liberty Movement is going to be stronger than ever, but the system is trying to use this to drive wedges.
[00:03:49.164 --> 00:03:52.046]  And I have to say, I cannot support Romney as much as I hate Obama.
[00:03:53.030 --> 00:03:55.532]  They're both bought and paid for by the very same interest.
[00:03:56.172 --> 00:04:02.156]  And I even got calls on the air today, on radio, saying, where's the proof that he endorsed Romney?
[00:04:02.196 --> 00:04:05.017]  This would be like if I came out and endorsed the UN or world government.
[00:04:06.198 --> 00:04:07.799]  That's really kind of how I see it.
[00:04:08.079 --> 00:04:13.262]  And that's how my listeners see it, who were original Ron Paul supporters, who were Ron Paul supporters before it was cool.
[00:04:14.143 --> 00:04:14.483]  17 years.
[00:04:14.943 --> 00:04:18.185]  People think they've been used, they feel betrayed, the office feels betrayed.
[00:04:20.066 --> 00:04:21.287]  That's just how this came off.
[00:04:22.403 --> 00:04:23.603]  That's just how this came off.
[00:04:24.684 --> 00:04:27.345]  But in case you're living in denial, here is a video clip of it.
[00:04:29.085 --> 00:04:34.887]  But you know, now that the nominating process is over, tonight I'm happy to announce that I'm going to be supporting Governor Romney.
[00:04:36.808 --> 00:04:37.708]  And of course, I get it.
[00:04:37.748 --> 00:04:39.268]  The idea is they're Republicans.
[00:04:39.348 --> 00:04:40.669]  Romney's better than Obama.
[00:04:41.513 --> 00:04:42.294]  But is he?
[00:04:42.994 --> 00:04:51.440]  Supported abortion, carbon taxes, wrote the Obamacare plan, supported anti-gun stuff, amnesty.
[00:04:51.500 --> 00:05:00.046]  I mean, Romney talks a different game today, and some say, well, let Rand be his VP, or let Paul be on the cabinet, and then we'll get to steer things.
[00:05:01.167 --> 00:05:02.848]  I see that more as us being co-opted.
[00:05:03.663 --> 00:05:04.323]  Maybe I'm wrong.
[00:05:04.383 --> 00:05:14.668]  Maybe if they get this deal and a couple months into Romney's campaign, you know, he starts saying, you know, more libertarian things, starts doing things, starts putting more people on his cabinet.
[00:05:15.368 --> 00:05:16.268]  Maybe that's the case.
[00:05:16.288 --> 00:05:20.250]  But in my gut, I think that people are stringing themselves along.
[00:05:20.610 --> 00:05:21.710]  Maybe the Pauls as well.
[00:05:22.531 --> 00:05:24.752]  But this whole thing is super creepy.
[00:05:24.772 --> 00:05:27.453]  My gut says danger Will Robinson.
[00:05:29.229 --> 00:05:44.261]  Now that leads us to this video that I shot right before we went on air tonight, because I wanted to really be able to be focused and address Senator Paul and Congressman Paul, and to really point out my concerns and my listeners' concerns.
[00:05:45.182 --> 00:05:53.208]  So here is my message, directly, my open video letter to Ron Paul and co.
[00:05:53.428 --> 00:05:53.809]  Here it is.
[00:05:59.594 --> 00:06:03.216]  Well, you know, my first choice had always been my father.
[00:06:03.376 --> 00:06:05.798]  I campaigned for him when I was 11 years old.
[00:06:05.858 --> 00:06:07.198]  He's still my first pick.
[00:06:07.619 --> 00:06:13.422]  But, you know, now that the nominating process is over, tonight I'm happy to announce that I'm going to be supporting Governor Romney.
[00:06:13.982 --> 00:06:18.905]  Alex Jones here with a message to Ron Paul, as well as his son, Senator Rand Paul.
[00:06:19.885 --> 00:06:22.947]  I have supported you, Congressman, for 17 years on the air.
[00:06:22.967 --> 00:06:25.188]  I've interviewed you more than 200 times.
[00:06:27.031 --> 00:06:30.716]  And you have a voting record that is 100% constitutional.
[00:06:30.956 --> 00:06:33.920]  And I have supported you because you've been a man of no compromise.
[00:06:34.681 --> 00:06:40.628]  There can be no compromise with tyranny and oppression and unconstitutional usurpation of our liberties.
[00:06:41.229 --> 00:06:41.750]  You know that.
[00:06:43.041 --> 00:06:57.509]  And I watched the last few months in horror, knowing how the delegate process works, as your campaign encouraged your supporters to build up the biggest delegate count they could to supposedly take over the nomination.
[00:06:58.769 --> 00:07:05.373]  And to now see you come out and say, we're still going, but be respectful, and yes, I can see we won't get enough delegates.
[00:07:05.913 --> 00:07:08.775]  Taking wind out of your own sails, and out of our sails.
[00:07:09.758 --> 00:07:17.407]  And at the same time, have your son, Senator Rand Paul, come out and with pleasure endorse Mitt Romney.
[00:07:17.607 --> 00:07:18.508]  It's painful to watch.
[00:07:18.868 --> 00:07:20.971]  What did you expect to happen from this?
[00:07:21.091 --> 00:07:22.553]  Well, you're very politically smart.
[00:07:23.193 --> 00:07:24.535]  You knew it would blow up in your face.
[00:07:25.756 --> 00:07:29.601]  And I have to tell you, I am not going to go down on the Ron Paul ship.
[00:07:30.908 --> 00:07:38.435]  If you don't come out and explain yourself to your constituents and supporters, this is going to spread like a cancer through Campaign for Liberty.
[00:07:38.795 --> 00:07:43.779]  It's going to be a wedge that the globalist, corporatist media can use to drive into the Liberty Movement.
[00:07:44.460 --> 00:07:47.263]  I know you have a lot of mainline advisors you guys have gotten.
[00:07:47.423 --> 00:07:51.226]  I know Jesse Benton has brought some of those folks in, but it's time to get back to your roots.
[00:07:52.467 --> 00:07:56.411]  Victor Hugo said no army can stop an idea whose time has come.
[00:07:57.332 --> 00:07:59.594]  The idea of restoring the Republic has come.
[00:07:59.734 --> 00:08:01.516]  You've admitted you're just a focal point of that.
[00:08:01.896 --> 00:08:06.781]  Four years ago on my show, you said that half the support you got in your first campaign was from my listeners.
[00:08:07.682 --> 00:08:14.128]  Well, my listeners are almost tearing my doors down in anger right now, and they're very, very sad because they believed in you.
[00:08:15.020 --> 00:08:21.024]  And it is a compromise to go with Politics 101, as I saw one commenter on Infowars.com.
[00:08:21.124 --> 00:08:23.666]  That, oh, you expand your base, you make alliances.
[00:08:24.127 --> 00:08:31.312]  You can't do it with Mitt Romney, because he's been for carbon taxes, abortion, open borders, and helped write Obamacare.
[00:08:32.267 --> 00:08:34.708]  You ran campaign ads against him!
[00:08:34.788 --> 00:08:38.569]  Serial hypocrites and flip-floppers can't clean up a mess.
[00:08:38.889 --> 00:08:40.870]  I'm Ron Paul and I approve this message.
[00:08:41.170 --> 00:08:42.851]  But only after supporters demanded it.
[00:08:43.211 --> 00:08:49.853]  It was clear you were playing nice with him and targeting Santorum during the campaign, at the debates.
[00:08:49.973 --> 00:08:54.495]  But still, I ignored what my intuition and my political savvy told me.
[00:08:54.936 --> 00:09:03.018]  I understand the political idea of expediency and that you've got all this capital politically and that if you don't go try to influence Romney it's all lost.
[00:09:03.922 --> 00:09:04.622]  That's the thing.
[00:09:04.682 --> 00:09:06.903]  You're not going to be able to influence Romney.
[00:09:07.223 --> 00:09:14.867]  And six months down the road, if he unseats the tyrant Obama, he will continue doing what the very same globalist special interests want.
[00:09:15.187 --> 00:09:19.229]  And now, your wagon and Rand's wagon is hooked to him.
[00:09:19.249 --> 00:09:20.389]  I met with him recently.
[00:09:20.469 --> 00:09:22.370]  I had about a 30-minute meeting with him.
[00:09:22.450 --> 00:09:24.731]  One of the big issues is auditing the Fed.
[00:09:24.751 --> 00:09:27.152]  We think there needs to be more transparency to the Fed.
[00:09:27.393 --> 00:09:30.514]  And this is something that Governor Romney was supportive of.
[00:09:30.674 --> 00:09:32.815]  I'm not going to spend my time going after Ben Bernanke.
[00:09:33.236 --> 00:09:36.438]  I'm not going to take my effort and focus on the Federal Reserve.
[00:09:36.458 --> 00:09:38.599]  It's important to have the Fed as an independent agency.
[00:09:38.639 --> 00:09:44.042]  I do not think you want to have the Congress of the United States trying to pull strings.
[00:09:44.262 --> 00:09:46.404]  Your supporters are intelligent.
[00:09:46.684 --> 00:09:49.566]  They're sophisticated compared to mainline Republicans and Democrats.
[00:09:50.106 --> 00:09:54.489]  And they understand that, so they're decoupling from you right now.
[00:09:56.124 --> 00:10:04.569]  Ron Paul, all the capital you created that you tried to gamble on getting your son on the VP ticket or yourself into the cabinet is blowing up in your face.
[00:10:05.660 --> 00:10:08.021]  You need to get ahead of this now.
[00:10:08.181 --> 00:10:09.141]  You don't have long.
[00:10:09.581 --> 00:10:16.143]  And come out and speak directly to your constituents, not in an email, but in a press conference for the world to see.
[00:10:16.903 --> 00:10:21.164]  Or your 30-plus years of fighting tyranny is going to be seriously damaged.
[00:10:21.604 --> 00:10:27.386]  We appreciate the work you've done, your great voting record being anti-war, being anti-Fellow Reserve, anti-globalist.
[00:10:28.206 --> 00:10:31.609]  Standing up for national sovereignty, standing up against corporate welfare.
[00:10:31.929 --> 00:10:32.930]  We know you're a good man.
[00:10:33.190 --> 00:10:34.411]  We know Rand's a good man.
[00:10:34.831 --> 00:10:42.337]  But you guys have gotten so close to the beltway, and you've had such success, you've been catapulted from being a man in the wilderness, Dr. No.
[00:10:43.678 --> 00:10:48.680]  To the forefront, you really won Iowa and Maine.
[00:10:49.441 --> 00:11:02.187]  You were winning and the system cheated you so they could put Mitt Romney in and now you're telling the delegates go to Tampa and be respectful and concede to Romney.
[00:11:03.027 --> 00:11:04.989]  There's a major contradiction there.
[00:11:05.650 --> 00:11:24.447]  I had listeners hammering me to get behind this delegate operation, and I said, look, maybe Ron Paul knows something I don't, but he's not going to be able to use these delegates, because even if he got close to a majority, they're going to point out that Romney won the majority of the states, and it's going to be spun as stealing an election.
[00:11:25.248 --> 00:11:32.613]  Ron Paul needs to come out against the NDAA, against Obama launching wars without congressional approval and serious treason.
[00:11:32.853 --> 00:11:37.737]  He needs to get behind Walter Jones' bill that we had to push Paul to do to impeach Obama.
[00:11:38.715 --> 00:11:42.136]  For going under UN control and handing over our military to foreign powers.
[00:11:42.696 --> 00:11:44.017]  I've seen a lot of signs.
[00:11:44.537 --> 00:11:46.977]  A lot of people campaign for liberties bringing in right now.
[00:11:47.518 --> 00:11:49.738]  Our Council on Foreign Relations and Globalist.
[00:11:50.198 --> 00:11:52.899]  Best case scenario, the Ron Paul system.
[00:11:53.399 --> 00:11:54.240]  Ron Paul Inc.
[00:11:54.680 --> 00:11:57.801]  tried to take over the Republican Party and the opposite is happening.
[00:11:58.481 --> 00:12:02.262]  Worst case scenario, they've been listening to some Benedict Arnolds inside.
[00:12:03.656 --> 00:12:05.858]  And have absolutely fallen into a trap.
