[00:00:27.498 --> 00:00:28.699]  Welcome, ladies and gentlemen.
[00:00:28.859 --> 00:00:29.660]  I'm Aaron Dykes.
[00:00:29.760 --> 00:00:32.281]  This is the InfoWars Nightly News.
[00:00:32.622 --> 00:00:35.344]  It is Thursday, April 5th, 2012.
[00:00:36.444 --> 00:00:46.471]  Coming up tonight, we have Sheriff Richard Mack to discuss the ongoing attacks against the Second Amendment, his new book, The Magic of Gun Control, and a whole lot more.
[00:00:46.511 --> 00:00:54.337]  He'll join us later, and we'll take a glimpse into just a few of the entries for our Become an InfoWars Reporter Contest
[00:00:54.697 --> 00:00:57.598]  That's all coming up, stay tuned, but first the news.
[00:00:58.419 --> 00:01:05.182]  The moves for authoritarian control by the global warming globalists are becoming more transparent by the day.
[00:01:05.522 --> 00:01:17.148]  We have ongoing fallout over Professor Norgaard, who recently released her paper and attended this conference, saying that global warming deniers, climate change deniers, should be, quote, treated.
[00:01:17.788 --> 00:01:21.049]  That presumably refers to some kind of drug treatment.
[00:01:22.350 --> 00:01:42.140]  So we've had everything in the fallout of that from banning our videos on YouTube, you heard Alex ranting about that yesterday on this show, today on the radio show, to attacking people like Rush Limbaugh and anyone else who isn't willing to toe this climate change line, which they admit is just for larger global control.
[00:01:42.600 --> 00:01:50.804]  Now, they're scrubbing much of Professor Norgaard's work, deleting her papers, they're revising it, taking out that keyword, treat.
[00:01:51.444 --> 00:01:52.125]  We're good to go.
[00:02:12.265 --> 00:02:37.578]  The climate change professor at the center of the latest scandal over her assertion that global warming skeptics were akin to racists and should be, quote, treated for having psychiatric disorder, wrote in a letter in which she praised Obama for hiring eugenicist John P. Holdren as his chief science advisor while urging Obama to ignore public opinion and disregard democracy and in favor of endorsing draconian climate change mandates.
[00:02:37.859 --> 00:02:39.319]  And we have her actual paper there.
[00:02:39.359 --> 00:02:40.340]  You could see the quotes.
[00:02:40.980 --> 00:02:49.004]  She does say that while democracy is a nice concept, things are too dire with climate change and we just have to do what must be done.
[00:02:49.324 --> 00:03:05.071]  And it's no wonder she praises John P. Holdren, because in Ecoscience and in all his other writings for 30 plus years, he says the very same thing, that to enforce the global society they want to set up, to enforce the population reduction, the
[00:03:06.091 --> 00:03:06.492]  I think so.
[00:03:21.169 --> 00:03:24.492]  And of course, they all admit it's to build a global government.
[00:03:24.512 --> 00:03:31.959]  You've seen the new video as well, calling this the Anthropocene Age, the age of man changing Earth.
[00:03:32.000 --> 00:03:37.445]  Of course, the Greenies made this video where they kind of spoof the idea of blowing up
[00:03:37.905 --> 00:03:38.265]  I think
[00:03:55.580 --> 00:03:57.681]  Authoritarianism coming into view.
[00:03:57.701 --> 00:03:59.022]  Oh the IRS!
[00:03:59.422 --> 00:04:03.064]  New bill would suspend passport rights for delinquent taxpayers.
[00:04:03.485 --> 00:04:05.946]  Another method of cracking down on travel.
[00:04:06.566 --> 00:04:08.828]  Trying to restrict that as a known right.
[00:04:08.868 --> 00:04:10.769]  Trying to sell travel as a privilege.
[00:04:11.089 --> 00:04:16.032]  Trying to sell the idea that you have to get groped or radiated at the airport just to go somewhere.
[00:04:16.652 --> 00:04:23.217]  So this new bill is from Senator Barbara Boxer, someone familiar to the avenues and halls of tyranny.
[00:04:23.617 --> 00:04:31.722]  She's introduced Senate Bill 1813 to reauthorize federal-aid highway and highway safety construction programs and for other purposes.
[00:04:32.162 --> 00:04:55.378]  And of course, buried in there is Moving Ahead for Progress in the 21st Century Act, or MAP-21, which would allow the revocation or denial of a passport for anyone with unpaid taxes or tax delinquencies, but not if you're a member of the Obama administration, whether you're Geithner or whether you're the dozen or so others who are known tax cheats.
[00:04:55.758 --> 00:05:01.942]  Anyway, the BBC News reports that Chinese websites were defaced by anonymous in an attack
[00:05:02.522 --> 00:05:09.863]  That was clearly a retaliation to the shutdown of a number of websites over the supposed internet coup that happened in China.
[00:05:10.304 --> 00:05:15.765]  Almost 500 websites defaced by the anonymous sock puppet group.
[00:05:16.605 --> 00:05:18.505]  No way to really know who's behind that.
[00:05:18.585 --> 00:05:28.107]  Could be white hats, could be people in other government factions, could be ways to kind of corner China in the larger geopolitical struggle, but it's interesting nonetheless
[00:05:29.128 --> 00:05:38.801]  Anonymous urged people to stage their own protest against the Chinese regime and put a message on the site that read in part, Dear Chinese government, you're not infallible.
[00:05:38.861 --> 00:05:40.143]  Today websites are hacked.
[00:05:40.463 --> 00:05:43.447]  Tomorrow it will be your vile regime that will fall.
[00:05:44.696 --> 00:05:48.417]  Now, we know about the infiltration of spies in the U.S.
[00:05:48.457 --> 00:05:50.998]  government, of course in many other governments as well.
[00:05:51.458 --> 00:05:59.481]  Over the years, it's classically part of the Cold War, the Soviet infiltration, and of course the globalists in our own government who traded secrets.
[00:05:59.861 --> 00:06:08.804]  One of the big cases there came out of the secret society at Cambridge, the Cambridge Apostles, the same secret society Aldous Huxley and Lord Bertrand Russell were members of.
[00:06:09.144 --> 00:06:18.295]  You had Kim Philby there, the MI6 intelligence extraordinaire, and five other people accused of handing spy secrets to Russia.
[00:06:18.675 --> 00:06:19.736]  That was back then.
[00:06:20.117 --> 00:06:26.665]  You've also got the Chinese, who admittedly traded for top secret information on nuclear and other
[00:06:27.085 --> 00:06:28.025]  We're good to go.
[00:06:49.834 --> 00:06:50.355]  Yes, we are.
[00:07:20.614 --> 00:07:26.197]  A spy ring has once again infiltrated the highest and most secure levels of our government.
[00:07:26.637 --> 00:07:31.139]  Anna Chapman was revealed in 2010 to be a Russian spy.
[00:07:31.379 --> 00:07:41.943]  But only now do we know that the FBI agents exposed her because they feared she was getting dangerously close and under the covers with a high-ranking Obama official.
[00:07:42.203 --> 00:07:44.784]  But they would not reveal who the official was.
[00:07:45.104 --> 00:07:49.046]  However, it later emerged that not the bombshell Anna Chapman,
[00:07:49.246 --> 00:07:56.562]  But another member of the Russian spy ring had reached the inner circle of Secretary of State Hillary Clinton's entourage.
[00:08:02.202 --> 00:08:08.749]  Foreign spies were admittedly involved deep inside the inner workings of US foreign policy.
[00:08:09.190 --> 00:08:12.193]  Putin played it down and said they were doing no harm.
[00:08:12.373 --> 00:08:15.557]  But is it a sign that a new Cold War is emerging?
[00:08:15.937 --> 00:08:18.941]  Or are we trapped in some kind of James Bond film?
[00:08:22.369 --> 00:08:26.772]  Tabloids even speculated why Hillary started dressing like a Bond villain.
[00:08:27.132 --> 00:08:38.659]  And now KGB boss Vladimir Putin, back in power, recently unveiled a new psychotronic weapon that attacks the central nervous system and turns humans into zombies.
[00:08:43.544 --> 00:08:53.857]  Putin said that such high-tech weapons systems will be comparable in effect to nuclear weapons, but will be more acceptable in terms of political and military ideology.
[00:08:54.218 --> 00:09:01.267]  And Russian Defense Minister Anatoly Sertyukov added, the development of weaponary systems based on new physics principles
[00:09:01.587 --> 00:09:13.355]  Direct energy weapons, geophysical weapons, wave energy weapons, genetic weapons, psychotronic weapons, and so on, is part of the State Arms Procurement Program for 2011 to 2020.
[00:09:15.216 --> 00:09:18.878]  We know that similar technology has already been tapped by DARPA.
[00:09:19.839 --> 00:09:29.265]  It was revealed in the wake of the Arab Spring and the contested Russian election, that the US had indeed intervened to tie Putin's hands on the Grand Chessboard.
[00:09:31.877 --> 00:09:45.500]  The conflict in South Ossetia, pitting Western Bank Georgia against Russia, later proved to be an attempt by Vice President Dick Cheney to menace Russia into World War III, putting us once again on the brink.
[00:09:46.220 --> 00:09:58.682]  Zygmunt Brzezinski, key advisor under President Carter and shadow advisor under alleged President Obama, has long envisioned the plan to encircle Russia and compete for territory in the Great Game.
[00:10:02.048 --> 00:10:07.991]  And so, what a fascinating package, all the crazy stuff going on between the Russian and U.S.
[00:10:08.031 --> 00:10:14.254]  governments, all the clear behind-the-scenes collaboration, and what really are they building up to?
[00:10:14.274 --> 00:10:19.617]  And of course, did the sexy spy, Anna Chapman, get inside the Obama administration?
[00:10:19.697 --> 00:10:20.618]  Did she know too much?
[00:10:20.678 --> 00:10:22.519]  Did she get too close to the official?
[00:10:22.859 --> 00:10:26.501]  Or was it Cynthia Murphy, so close to Hillary Clinton?
[00:10:27.181 --> 00:10:30.363]  Did Hillary know who she was already and cooperate with her anyway?
[00:10:30.863 --> 00:10:36.009]  Or was this an exposure of even more vital national intelligence?
[00:10:36.049 --> 00:10:45.821]  Of course, it's the globalists at the CFR, at the Trilateral Commission, the Bilderberg level that includes Hillary and many others who are already so much of a threat to this country.
[00:10:46.161 --> 00:10:48.384]  But getting Russia involved is even crazier.
[00:10:48.804 --> 00:11:03.158]  But getting back into the globalist authoritarian regime, under the guise of saving the environment, under the guise of leading society in this rational way, we have 83-year-old woman denied healthcare over her carbon footprint.
[00:11:03.558 --> 00:11:12.567]  And here we have the perfect mix of that case for killing granny with the death panels meeting the global warming alarmism in the Paul Joseph Watson article.
[00:11:12.947 --> 00:11:24.676]  As 83-year-old Avril Mohani complained about a doctor and was then told that the practice had a problem with her green traveling issues and ordered her to re-register with another practice.
[00:11:24.997 --> 00:11:28.239]  The only problem was her travel route was only two miles.
[00:11:28.780 --> 00:11:29.740]  So how is that?
[00:11:34.062 --> 00:11:52.268]  Well, it's really just if you complain about your doctor or the service in any way or the socialist Medicare system you're under, then you're going to be punished while the system targets people for their age, for their disabilities, for the projected cost of caring for them and decides your life just isn't worth it.
[00:11:52.348 --> 00:11:54.769]  And besides, with this larger carbon problem,
[00:11:55.209 --> 00:11:56.950]  Really, no one's life is worth it.
[00:11:57.050 --> 00:11:58.530]  So, everyone look out.
[00:11:58.950 --> 00:12:00.591]  It's just more of a sign of the times.
[00:12:00.631 --> 00:12:05.312]  Boy, those people really got it right who did the spoof of Planned Grandparenthood.
[00:12:05.572 --> 00:12:07.073]  You really see where this thing is going.
[00:12:07.133 --> 00:12:09.193]  First, they sold us on Planned Parenthood.
[00:12:09.593 --> 00:12:10.914]  Now, they sell us on
[00:12:11.314 --> 00:12:20.897]  Killing babies up to age three and then now it's death panels and how we have to get rid of grannies and how it's not worth it to care for them because they have to travel two miles to the doctor's office.
[00:12:20.957 --> 00:12:27.619]  That's in the UK and unfortunately it appears to be headed for the US if they don't overturn Obamacare.
[00:12:27.959 --> 00:12:28.499]  Meanwhile...
[00:12:29.219 --> 00:12:32.924]  Genetically modified stuff is just running rampant, going crazy.
[00:12:33.204 --> 00:12:36.368]  We've got the Natural News Report from writer Jonathan Benson.
[00:12:36.469 --> 00:12:37.390]  Medical madness!
[00:12:37.490 --> 00:12:41.415]  Researchers develop genetically engineered farm goats.
[00:12:41.775 --> 00:12:46.702]  That's farm with a PH as in pharmaceuticals that produce vaccines and milk.
[00:12:47.062 --> 00:12:49.004]  Of course, this isn't the first time you've heard of this.
[00:12:49.064 --> 00:12:55.609]  If you've been following InfoWars, they also have pharmaceutical GMO crops they're developing, and a whole lot more.
[00:12:56.029 --> 00:13:11.442]  And so, instead of backing off of vaccines when they're proved dangerous, or backing off of GMO organisms when they're proved dangerous, and that they're causing long-term sterility, third-generation sterility, organ failure, deformed babies, and more, let's combine the two.
[00:13:11.502 --> 00:13:12.483]  Let's amplify it.
[00:13:12.503 --> 00:13:13.424]  Let's magnitude.
[00:13:13.764 --> 00:13:14.625]  Let's magnify it.
[00:13:14.665 --> 00:13:29.496]  Let's fortify research and funding for GMOs for these vaccine crops, all while ignoring the fact that natural raw milk for mammals, including goats, cows, and more, have very good immunity properties already built into them.
[00:13:29.536 --> 00:13:31.338]  They don't even need to mess with goats.
[00:13:31.398 --> 00:13:37.442]  They already produce a great product that humans can benefit from directly, as well as the other mammals involved.
[00:13:37.462 --> 00:13:37.843]  But no,
