[00:00:02.961 --> 00:00:03.001]  Oh,
[00:00:35.791 --> 00:00:38.518]  Welcome, everyone, to the InfoWars Nightly News.
[00:00:38.719 --> 00:00:40.002]  I'm your host, Aaron Dykes.
[00:00:40.063 --> 00:00:42.228]  Today is Thursday, September 6, 2012.
[00:00:46.769 --> 00:00:55.514]  Tonight, hundreds of letters of complaints about the TSA's invasive broke downs released this week under the Freedom of Information Act.
[00:00:55.814 --> 00:01:00.357]  Meanwhile, Infowars reporters confront the TSA in Austin.
[00:01:00.597 --> 00:01:01.658]  What are you going to do to me?
[00:01:01.878 --> 00:01:02.999]  I'm not being confrontational.
[00:01:03.359 --> 00:01:07.722]  I'm just standing up here as an American that wants to defend my civil liberties and my rights.
[00:01:08.122 --> 00:01:10.143]  The bottom line is the First Amendment, Jeff.
[00:01:10.183 --> 00:01:11.244]  Yeah, the First Amendment, sir.
[00:01:11.604 --> 00:01:16.165]  Then, a look at the global economy and the impending financial collapse.
[00:01:16.605 --> 00:01:23.327]  Plus, see DARPA run for the purpose of emergency response and humanitarian missions.
[00:01:23.967 --> 00:01:31.509]  All that, plus students and parents revolt against RFID tracking of kids at San Antonio schools.
[00:01:31.929 --> 00:01:34.770]  That's up next in the InfoWars Nightly News.
[00:01:43.427 --> 00:01:49.232]  Tonight in the news, another airport hoax as they're saying a liquid explosive scare.
[00:01:49.692 --> 00:01:58.500]  Oh, just by coincidence, days after our InfoWars.com story went viral on the net, showing TSA now inspecting drinks
[00:01:58.960 --> 00:02:13.948]  After the checkpoint, after you've been through the body scanners, the grope downs, what have you, they have roaming TSA agents in what they call secondary, and they're literally putting little devices in your coffee drinks, in waters you buy from the airport-approved stores.
[00:02:14.288 --> 00:02:15.409]  This is all on Fox.
[00:02:16.169 --> 00:02:43.816]  Fox News, AP, you name it, Kurt Nimmo has the story at Infowars.com about how the man accused by a phone call of having liquid explosives was not even accused of a crime, was not even considered a suspect, yet they dragged him off the plane in handcuffs apparently just for a PR stunt to reinforce to the public that there is this danger, it somehow has to do with liquids and maybe it's reasonable if they just keep checking more and more things at the airport
[00:02:44.296 --> 00:02:53.740]  If they just roll out to every transportation hub, to every sector of public life, just get used to the TSA because there's always some threat ready to be manufactured.
[00:02:53.780 --> 00:03:00.843]  Never mind that it's always an FBI sting operation, admittedly, in the news just days after these big events happen.
[00:03:00.883 --> 00:03:06.826]  Never mind that they helped get the underwear bomber on the planes with State Department clearance and apparent handlers.
[00:03:07.366 --> 00:03:13.389]  All these patsies accused of terrorism, not what they're supposed to be, but that's only admitted in the
[00:03:13.729 --> 00:03:22.835]  You know, page 20 of the newspaper under a little asterisk after the public themselves, not really paying attention to the details, are convinced that there's still this ongoing threat.
[00:03:22.895 --> 00:03:24.676]  It's just ridiculous what's going on.
[00:03:25.056 --> 00:03:38.984]  Meanwhile, our new InfoWars reporters went to the airport yesterday to get some questions, try to talk to public information officers and other supervisors about the TSA procedures that have been ramped up here in Austin and across the country.
[00:03:39.324 --> 00:03:41.706]  They were, of course, intimidated and they didn't get their
[00:03:41.946 --> 00:03:45.548]  Questions answered, they just got threatened with arrest and temporarily detained.
[00:03:45.848 --> 00:03:55.272]  That footage is all coming up, including an exclusive interview with those crew members, Dan Badondi, Linda West, John Bowne, and that will be in the next segment.
[00:03:55.612 --> 00:03:59.374]  Meanwhile, the FOIA letters have finally been released.
[00:03:59.734 --> 00:04:00.895]  We're good to go.
[00:04:21.733 --> 00:04:31.444]  Practically anonymous blogger Bob, it always says how millions of Americans pass through the airports all without complaint and most people are happy and there's very few complaints.
[00:04:31.464 --> 00:04:37.351]  Well it turns out they've been fighting legal battles to try to suppress the release of all those complaints.
[00:04:37.711 --> 00:04:42.253]  And of course, very few people actually take the time and trouble to file those complaints.
[00:04:42.434 --> 00:04:53.940]  Only the most outraged people, people who've had rape in their past, people who've been sexually abused, people who are sexually abused, they say, in the reports by the government officials.
[00:04:54.560 --> 00:05:05.966]  And of course, their favorite harassment point, people with urostomy bags, colostomy bags, other medical devices, because they love when people come with their medical cards and warn the TSA screeners
[00:05:06.286 --> 00:05:08.307]  That they have specific medical conditions.
[00:05:09.067 --> 00:05:11.668]  Well, that's a de facto cue for extra harassment.
[00:05:11.968 --> 00:05:14.929]  Let's see if we can get those medical bags to spill over.
[00:05:14.969 --> 00:05:18.830]  Let's see if we can have urine out in the aisles at the checkpoints and you name it.
[00:05:19.230 --> 00:05:35.575]  We know this abuse is going on, but it's just even more incriminating that they fought so hard that places like ProPublica had to fight four years to get public information about these complaint letters from TSA, the other organization in this story, Government
[00:05:36.255 --> 00:05:44.379]  Governmentaddict.org spent more than two years just trying to get the complaints and they won't change the procedures because of that, but it really should tell you something.
[00:05:44.839 --> 00:05:54.283]  All the exact stuff we've been covering at Infowars.com, that Drudge Report has been reporting for years now that they denied, that people wrote reports trying to downplay it.
[00:05:54.383 --> 00:05:55.624]  No, it's all been going on.
[00:05:55.684 --> 00:05:56.284]  Now it's proven.
[00:05:56.804 --> 00:06:09.894]  Anyway, moving on, Apple has a new patent, patent number 8,245,902, to allow disabling of iPhone cameras on a location-specific basis.
[00:06:10.114 --> 00:06:18.500]  And the fear, of course, because of all the intimidation we've seen of cameramen around the country, particularly at political events, is that this will eventually be deployed
[00:06:18.840 --> 00:06:32.935]  During protests, political events, other special events, anything considered national security, to make sure no unauthorized footage can come out, to make sure that citizen journalists will be harassed, but also suppressed, and that they won't even be able to record their footage.
[00:06:33.255 --> 00:06:37.280]  They're also saying the legitimate uses would be in places like movie theaters and
[00:06:38.961 --> 00:06:46.788]  Well, the point is, you paid for these iPhones.
[00:06:47.088 --> 00:06:50.971]  Part of the feature that drew you to the iPhones was the awesome cameras they have.
[00:06:51.031 --> 00:06:55.795]  It's great how you can film stuff on the scene and spontaneously get footage up to the web.
[00:06:56.135 --> 00:07:12.769]  In fact, we were told that was the big democratic push in the Arab Spring, how these repressive Middle Eastern regimes would never let out information about what's going on in their countries, but these spontaneous rebels on the ground there were able to break that wall and get things up to the Internet, thanks to these new tech firms.
[00:07:13.129 --> 00:07:16.372]  But now, all that despotic regime stuff is, of course,
[00:07:16.852 --> 00:07:18.913]  Really solidifying, cementing at home.
[00:07:18.954 --> 00:07:21.715]  Not just coming here, but becoming hardened, embattled.
[00:07:22.156 --> 00:07:30.181]  And they've got a new toy to play with that would erect a geofence and prevent people from filming in unauthorized locations.
[00:07:30.281 --> 00:07:36.065]  Just despicable, as there's this continued harassment of photographers, you name it.
[00:07:36.365 --> 00:07:42.470]  In fact, Linda West has the story that came out last night about how the LAPD is now arresting photographers.
[00:07:42.830 --> 00:07:45.752]  They've had a new policy on the books for a little over a year now.
[00:07:46.512 --> 00:07:59.923]  And really the real policy was already in place as far back as 2008 that they consider anyone taking pictures of infrastructure or government buildings or anything else they decide is suspicious is terroristically suspicious.
[00:08:00.303 --> 00:08:01.784]  And you've seen the training videos.
[00:08:01.824 --> 00:08:09.069]  We have them in films like Fall of the Republic and Obama Deception of the FBI's counterterrorism training manuals where they
[00:08:09.890 --> 00:08:16.438]  Look in the back seats of cars and see sleeping bags and binoculars and say, that could be a terrorist camping out in a car.
[00:08:17.179 --> 00:08:25.909]  And also, anyone with a camera has to be run through the terror database and checked against the watch list because photography is really a dangerous thing.
[00:08:26.414 --> 00:08:30.177]  It's all because these despots don't want their activities recorded on tape.
[00:08:30.217 --> 00:08:31.819]  They don't want to be held accountable.
[00:08:32.119 --> 00:08:33.420]  That's the whole point of tyranny.
[00:08:33.680 --> 00:08:35.302]  You don't want to counter opposition.
[00:08:35.682 --> 00:08:43.769]  So they've got a new basis in LA to harass photographers, and if this is allowed to take root, it's going to spread across the whole country.
[00:08:43.809 --> 00:08:45.891]  They've got cases, for instance, of...
[00:08:46.912 --> 00:08:55.036]  Gregory Moore, who was threatened with arrest and put in handcuffs because he was taking pictures on his front lawn, and there was a courthouse in the background.
[00:08:55.097 --> 00:08:56.477]  Stuff like that is going on.
[00:08:56.918 --> 00:09:10.605]  Of course, it's double for anyone covering political events, trying to cause a stir, trying to hold places accountable, as our reporters did at the airports, which is specifically the place that the LAPD is saying is illegal to film at.
[00:09:10.725 --> 00:09:18.936]  There is no law against filming at airports of TSA checkpoints, but they don't want that stuff in the news because they know they're doing very controversial things.
[00:09:18.996 --> 00:09:20.578]  They just want the public to accept it.
[00:09:20.918 --> 00:09:22.100]  But here it is in the codes.
[00:09:22.140 --> 00:09:25.384]  It's all just a policy, and we're told it's against the law.
[00:09:25.404 --> 00:09:26.566]  Of course it isn't.
[00:09:27.219 --> 00:09:32.021]  And of course the potential for technological harassment has hit home once again.
[00:09:32.061 --> 00:09:41.124]  We've got the story up on InfoWars about how Russell Bowden, our new editor of the InfoWars magazine, the print version, got a call from the NSA.
[00:09:41.524 --> 00:09:44.545]  And this is just the system letting you know that's the house we built.
[00:09:44.825 --> 00:09:48.386]  We're going to spy on you because spy tech companies built up that thing.
[00:09:48.486 --> 00:09:50.167]  Sure, technology is double-edged.
[00:09:50.527 --> 00:09:56.569]  Yeah, it could be used for good to hold government tyrants accountable, to document other kinds of abuse in non-government sectors.
[00:09:56.889 --> 00:09:59.531]  But when you get right down to it, we control the back doors.
