[00:00:03.917 --> 00:00:04.517]  Hi, welcome.
[00:00:04.577 --> 00:00:07.598]  I'm Christy Hightower from the Planet InfoWars Ask Alex group.
[00:00:07.718 --> 00:00:08.818]  I'm here with Alex Jones.
[00:00:08.838 --> 00:00:15.420]  We're finishing the last part of the marathon set of questions, so we're going to start off where we left off, which is question 24.
[00:00:15.540 --> 00:00:18.380]  Okay, so I got through about half of them last time.
[00:00:18.400 --> 00:00:18.601]  Right.
[00:00:18.961 --> 00:00:21.981]  We've got to hurry today, so 26 questions in 20 minutes.
[00:00:22.041 --> 00:00:22.481]  You got it.
[00:00:22.701 --> 00:00:23.322]  Tick, tick, tock.
[00:00:23.442 --> 00:00:23.702]  Okay.
[00:00:24.322 --> 00:00:27.143]  Alex, what are your thoughts on the NSTIC program?
[00:00:27.243 --> 00:00:27.883]  Is it dangerous?
[00:00:27.983 --> 00:00:29.403]  Is it as dangerous as I think?
[00:00:29.703 --> 00:00:33.024]  And biometric access for the internet, is that required?
[00:00:34.332 --> 00:00:42.278]  That's what governments all over are pushing for to tax you, not just track you, and not just frame you, but also tax you.
[00:00:42.779 --> 00:00:49.164]  And then they're saying if you're not a good little globalist, they're going to ban your internet ID and kick you off the web or blacklist you.
[00:00:49.604 --> 00:00:56.810]  And the architecture under SOPA and ACTA and others has been where there's no judge or jury, they just decide your
[00:00:57.350 --> 00:01:06.074]  You're engaging in hate speech, or you're engaging in copyright infringement, or you're engaging in whatever the case is, and then you're just banned and blacklisted from the web.
[00:01:06.094 --> 00:01:09.416]  This is a very, very dangerous authoritarian move.
[00:01:09.756 --> 00:01:14.498]  Especially in the 21st century, this is the future, is the internet.
[00:01:14.538 --> 00:01:20.741]  So it's basically a human right to have access to this worldwide web, which the system is trying to curtail and take over.
[00:01:21.681 --> 00:01:23.282]  Especially with all the activist movements.
[00:01:23.382 --> 00:01:25.183]  I mean, you need to be able to talk to people.
[00:01:25.759 --> 00:01:33.082]  Well that's right, the system wants to use the internet to try to create its own revolutions and steer things, but they're not winning, they're losing.
[00:01:33.622 --> 00:01:38.645]  They helped build what is the web today, but the people are what brought all this ingenuity to it and built it up.
[00:01:38.665 --> 00:01:39.265]  Absolutely.
[00:01:39.525 --> 00:01:46.528]  And so the establishment, the man, is really rethinking the fact that they thought they could dominate the internet.
[00:01:46.928 --> 00:01:48.289]  Too late, genie out of the bottle.
[00:01:50.517 --> 00:01:55.019]  This comes to you from Max, and he says, hey Alex, please cover the Samson option on the show.
[00:01:55.600 --> 00:01:57.661]  I don't know if you know anything about the Samson option.
[00:01:58.141 --> 00:02:02.503]  Well, I know that, again, I am not given these questions beforehand.
[00:02:02.603 --> 00:02:07.706]  Last week she had 50 questions, only got to 24 of them or so, and I have not looked at these.
[00:02:07.966 --> 00:02:16.050]  I believe the Samson option, from memory, is Israel nuking all of its neighbors if it's attacked.
[00:02:17.050 --> 00:02:27.134]  Uh, and then they've also called some of the others the Samson, uh, you know, option of, you know, to go ahead and just nuke the whole world and the elite goes underground.
[00:02:27.154 --> 00:02:38.638]  Uh, but, but when I'm, can't remember something exactly, put a star because we should on all the stuff we've starred, just do a piece on that where you go and say, is this what you remember?
[00:02:40.419 --> 00:02:40.759]  I can do that.
[00:02:40.839 --> 00:02:43.160]  Somebody called in the day about a CFR document and said the name.
[00:02:43.200 --> 00:02:44.701]  I said, that's a CFR document, isn't it?
[00:02:44.981 --> 00:02:45.601]  They said, yeah.
[00:02:45.621 --> 00:02:51.444]  Then once they said yes, then I could remember that I was accurately thinking of the right federal takeover of society.
[00:02:52.144 --> 00:02:54.045]  But, I mean, what do they say the Samson option is?
[00:02:54.185 --> 00:02:54.806]  They didn't really.
[00:02:55.226 --> 00:02:56.486]  I think they just wanted you to elaborate.
[00:02:56.546 --> 00:02:56.806]  Okay.
[00:02:57.047 --> 00:02:57.287]  Yeah.
[00:02:57.747 --> 00:03:01.449]  We're going to have to have a special edition where we go back to these questions.
[00:03:01.469 --> 00:03:02.549]  I mean, I could Google it.
[00:03:02.569 --> 00:03:02.869]  You know what?
[00:03:02.949 --> 00:03:04.230]  I've just got to see right now.
[00:03:04.330 --> 00:03:05.911]  I mean, I know I said this is a hurry.
[00:03:10.706 --> 00:03:12.887]  I mean, it's Israel nuking everybody.
[00:03:17.490 --> 00:03:18.310]  Very exciting.
[00:03:18.950 --> 00:03:20.271]  Kind of has the Jeopardy sound.
[00:03:23.553 --> 00:03:26.215]  Yeah, there it is.
[00:03:26.735 --> 00:03:36.140]  The Samson option is a term used by various commentators to describe Israel's alleged deterrent strategy of massive retaliation with nuclear weapons as a last resort.
[00:03:36.380 --> 00:03:39.101]  Oh, Israel doesn't admit they have nukes, so I guess they don't.
[00:03:39.342 --> 00:03:39.562]  Right.
