[00:00:25.549 --> 00:00:26.810]  Welcome, ladies and gentlemen.
[00:00:26.970 --> 00:00:28.292]  I'm your host, Aaron Dykes.
[00:00:28.412 --> 00:00:30.814]  This is the InfoWars Nightly News.
[00:00:31.354 --> 00:00:40.863]  Tonight, reporter Patrick Henningsen unleashes bombshell quote from SPLC head Mark Potok, where he claims there is no hate speech.
[00:00:41.143 --> 00:00:46.989]  This from an organization that claims that those who don't bow down to the government are inciting hate.
[00:00:47.429 --> 00:00:56.556]  Plus, Mike Adams joins us in studio to talk about the gross injustice of Agenda 21 and its emerging effects on small-town America.
[00:00:56.896 --> 00:01:02.620]  Then, TSA whistleblower claims that agents fear radiation from naked body scanners.
[00:01:02.881 --> 00:01:08.405]  We'll also cover today's top headlines and more tonight on the InfoWars Nightly News.
[00:01:12.887 --> 00:01:28.271]  At the top of our news stack tonight, our reporter Patrick Henningsen has developed sources inside the Sanford Police Department, as well as other sources he has compiled to show Zimmerman will most likely not be arrested for first degree murder.
[00:01:28.331 --> 00:01:32.712]  They are not planning to get together a grand jury, and he's also uncovered
[00:01:33.112 --> 00:01:43.594]  Disinformation about supposed neo-nazi groups patrolling around the Orlando, Sanford, Florida area, proving that that is all but a hoax, and yet the media ran with it.
[00:01:43.934 --> 00:01:55.837]  But breaking news he's brought to us earlier today on the show he's going to elaborate on is the conversation he had with Mark Potok of the SPLC saying there is no hate speech, at least not when it comes to the new Black Panther group.
[00:01:56.177 --> 00:01:57.377]  Patrick, thanks for joining us.
[00:01:58.318 --> 00:01:59.338]  Hi, good to be with you, Aaron.
[00:02:00.387 --> 00:02:05.252]  And of course we see this Trayvon Martin case continuing to spiral into a national debate.
[00:02:05.892 --> 00:02:08.395]  Some have pointed out that they're trying to stir up a race war.
[00:02:08.775 --> 00:02:18.224]  At the very least, they're trying to punch our buttons and distract us in time for the elections, keep our mind off of the larger looting going on throughout this ongoing economic crisis.
[00:02:19.365 --> 00:02:21.187]  Absolutely, that's exactly what's going on.
[00:02:21.447 --> 00:02:22.548]  But worse than that, Aaron,
[00:02:22.964 --> 00:02:38.605]  They're going to take us into a whirlpool of social division and something that appeals to the lowest common denominators on both the far right wing and also on the far left wing.
[00:02:40.206 --> 00:02:45.609]  It's bad enough that this is providing a distraction that's run for over a month.
[00:03:08.865 --> 00:03:09.586]  We're good to go.
[00:03:25.758 --> 00:03:30.700]  And also, I will put the new Black Panther Party on the far right, actually.
