[00:00:42.059 --> 00:00:43.420]  Good evening, InfoWarriors.
[00:00:43.580 --> 00:00:52.125]  I'm John Bowne, and this is what's on tonight, this Friday, March 30th, 2012 edition of the InfoWars Nightly News.
[00:00:52.645 --> 00:00:55.687]  Tonight on InfoWars Nightly News, the U.S.
[00:00:55.847 --> 00:00:58.749]  Army reprimands soldier for supporting Ron Paul.
[00:00:59.289 --> 00:01:04.972]  Reserve Corporal Jesse Thorson says their punishment was, quote, absolutely worth it.
[00:01:05.372 --> 00:01:11.655]  Are thousands of other active duty military people going to be punished for simply voicing their First Amendment rights?
[00:01:12.335 --> 00:01:19.438]  Then we focus on global governance and how the United Nations is involved in public subversion of the U.S.
[00:01:19.478 --> 00:01:20.279]  Constitution.
[00:01:20.619 --> 00:01:23.941]  John Bowne will detail the criminality of the U.N.
[00:01:24.321 --> 00:01:26.762]  and the Agenda 21 takeover of our lives.
[00:01:27.502 --> 00:01:32.345]  Up next, we'll look at the secrets behind Ridley Scott's new film, Prometheus.
[00:01:32.885 --> 00:01:39.569]  Then we'll look at the birth of modern social engineering in the 20th century and the manufacturing of consent.
[00:01:39.809 --> 00:01:42.731]  Darren McBreen reports on the father of propaganda.
[00:01:43.291 --> 00:01:44.192]  Edward Bernays.
[00:01:44.592 --> 00:01:56.382]  And finally, John Bowne interviews Rosa Corey, author of Behind the Green Mask, as InfoWars moves to expose one of the greatest threats to our sovereignty, Agenda 21.
[00:01:56.782 --> 00:01:58.023]  Strap yourselves in.
[00:01:58.263 --> 00:02:01.166]  You've found it, the front lines of the InfoWars.
[00:02:01.586 --> 00:02:06.090]  Get ready for this Friday, March 30, 2012 transmission.
[00:02:06.470 --> 00:02:10.593]  We take you now to the InfoWars.com studios in Austin, Texas.
[00:02:14.815 --> 00:02:19.217]  All that and more, but first, tonight, yes, that majestic heroine is at it again.
[00:02:19.297 --> 00:02:24.620]  The UK Queen has been accused of drug trafficking, according to Press TV.
[00:02:25.600 --> 00:02:38.087]  Britain's financial regulator has fined the British Queen's Bank for money laundering failures, as a French presidential candidate has said part of the Queen's fortune comes from drug trafficking.
[00:02:39.139 --> 00:02:52.186]  On the 21st of March, Jacques Cheminade, an independent presidential candidate running in the French election, said, a part of the fortune of the Queen of England comes from drug trafficking.
[00:02:52.786 --> 00:02:58.529]  And many of you may know that the Queen is the largest landowner on the face of the earth.
[00:02:58.589 --> 00:03:01.571]  She actually owns 6,600 million acres of land.
[00:03:05.749 --> 00:03:08.931]  This makes her the richest individual on earth.
[00:03:10.012 --> 00:03:14.215]  However, there's no way to easily value her real estate.
[00:03:15.276 --> 00:03:18.898]  There's no current market in the land of entire countries.
[00:03:20.079 --> 00:03:25.703]  So, Queen Scarface is at it again, and of course,
[00:03:26.937 --> 00:03:41.743]  Well, it was at the end of last year we had the report of a dead body on our land, and we've been speaking to folks in Canada about the missing children that disappeared with the Queen and the Prince one nice summer day.
[00:03:43.143 --> 00:03:49.566]  Moving on, the United States is now number one in highest corporate taxes.
[00:03:50.406 --> 00:03:52.767]  No, it's not an April Fool's joke.
[00:03:53.783 --> 00:04:01.408]  When Japan officially slashes its rate to 36.8% Sunday, America will be tops at 39.2%.
[00:04:02.709 --> 00:04:13.956]  President Obama has proposed a rate of 28%, but Republicans charge that it comes from $350 billion in new offsetting taxes.
[00:04:15.017 --> 00:04:19.260]  And of course, the failure of the Obama administration knows no bounds.
[00:04:20.281 --> 00:04:21.722]  It's just a pleasure to watch.
[00:04:23.123 --> 00:04:23.583]  Just kidding.
[00:04:25.424 --> 00:04:35.866]  Now moving back to the mysterious booms in Clintonville, a sound was recorded by audio engineer Brian Sullivan.
[00:04:36.326 --> 00:04:44.608]  The first night, no luck, he said, but then Sullivan had some success on Saturday, one minute before 4 a.m.
[00:04:45.348 --> 00:04:47.009]  It's short, but it sounds like a boom.
[00:04:47.069 --> 00:04:47.509]  Here it is.
[00:04:47.529 --> 00:04:50.169]  This is Clintonville recording, 359, March 24.
[00:05:09.298 --> 00:05:09.838]  There it was.
[00:05:09.859 --> 00:05:12.120]  This is Clintonville recording.
[00:05:12.140 --> 00:05:13.982]  This is Clintonville recording.
[00:05:14.462 --> 00:05:16.604]  Yeah, I bet you could hear a pin drop in that town.
[00:05:17.165 --> 00:05:19.406]  Don't worry, it's just earthquakes.
[00:05:19.447 --> 00:05:22.289]  They're not building a giant facility underground.
[00:05:23.370 --> 00:05:30.336]  But when they don't get that facility built underground, you'll hear the beautiful sound of high-speed rail.
[00:05:31.343 --> 00:05:38.107]  Moving on, Army official reprimands soldier who spoke at the Ron Paul rally.
[00:05:38.688 --> 00:05:43.691]  Reserve Corporal Jesse Thorson says punishment absolutely worth it.
[00:05:44.011 --> 00:05:51.396]  The uniformed soldier who endorsed Ron Paul during a rally in Iowa in January has been officially reprimanded by the U.S.
[00:05:51.476 --> 00:05:51.696]  Army.
[00:05:52.850 --> 00:06:07.654]  After being cut short during a CNN interview on January 3rd, Reserve Corporal Jesse Thorsen, who has served two tours in Afghanistan and was due to head back for a third, was invited onto the stage by Paul himself to address Paul's cheering supporters.
[00:06:08.455 --> 00:06:18.338]  And it's such a good thing that they keep the mouths of those folks that are out there supporting the Founding Fathers' ideas and the freedom of our country.
