[00:00:41.629 --> 00:00:42.891]  It's Friday, October 12th.
[00:00:42.971 --> 00:00:44.113]  I'm Paul Joseph Watson.
[00:00:44.333 --> 00:00:46.376]  This is InfoWars Nightly News.
[00:00:49.753 --> 00:00:56.256]  Tonight on the InfoWars Nightly News, Turkey scrambles jets to Syria in response to an alleged bombing.
[00:00:56.736 --> 00:01:00.598]  Then, shocking news as a man is tasered for having a seizure.
[00:01:01.058 --> 00:01:05.800]  And Washington may be the first state to give the green thumb to the cell of Mary Jane.
[00:01:06.260 --> 00:01:09.862]  All that and more, coming up on the InfoWars Nightly News.
[00:01:20.322 --> 00:01:22.603]  Top story tonight out of Infowars.com.
[00:01:22.783 --> 00:01:27.524]  Disabled vet labeled terrorist for investigating cost of surveillance cameras.
[00:01:27.924 --> 00:01:40.827]  A 55-year-old disabled veteran was labeled a terrorist by three county commissioners after he photographed security cameras at the Elbert County Administration Building in Colorado as part of an investigation.
[00:01:40.887 --> 00:01:47.048]  A designation the man claimed was retribution for him filing multiple open records requests.
[00:01:47.648 --> 00:01:59.291]  So this story surrounds this gadfly type character called Don Pippin, who is a local guy there in that county that files a lot of requests for information from his government.
[00:01:59.311 --> 00:02:04.393]  You know, God forbid he should dare ask questions of the people who are supposed to serve him.
[00:02:05.173 --> 00:02:12.995]  And basically he was filming some surveillance cameras in the area as part of an investigation into one of these open record requests.
[00:02:14.079 --> 00:02:21.801]  And basically a good little snitch saw what he was doing, saw it as suspicious activity, and then told the county commissioners.
[00:02:22.799 --> 00:02:30.661]  So obviously under the DHS paradigm now, watching the watchers, filming surveillance cameras is deemed as terrorist activity.
[00:02:31.321 --> 00:02:39.482]  So the commissioners labelled him a terrorist and got a temporary order banning him from coming anywhere near the building.
[00:02:40.102 --> 00:02:48.484]  They then tried to get a judge to permanently ban him from the building, claiming he was quote, casing it for a possible terrorist attack.
[00:02:49.184 --> 00:02:51.806]  This is a 55-year-old disabled veteran.
[00:02:52.547 --> 00:02:59.412]  And so the judge responded by throwing it out, calling it complete nonsense, saying the guy was not a threat to anyone.
[00:02:59.832 --> 00:03:05.737]  And now Pippin is actually suing the commissioners for $2.4 million in damages.
[00:03:06.598 --> 00:03:10.281]  So again, it's another act of petty tyrants.
[00:03:10.321 --> 00:03:17.626]  They tried to get the guy labelled as a terrorist because he challenged his local government to explain their policies on a regular basis.
[00:03:18.547 --> 00:03:33.198]  But I guess, you know, under the new definitions being given to law enforcement agencies as part of their training programs, people who, you know, ask questions of government, people who hold popular views, that was one of the designations, they're the new terrorists.
[00:03:33.458 --> 00:03:35.840]  Because we had the US Army Manual a couple of weeks ago.
[00:03:36.961 --> 00:03:44.126]  People frustrated with mainstream ideologies, that was one of the quotes, they're now also potential terrorists.
[00:03:44.932 --> 00:03:49.093]  So, we cover this angle basically every week now.
[00:03:49.133 --> 00:03:51.274]  The war on terror has come full circle.
[00:03:51.694 --> 00:04:00.556]  It's pointing directly at the American people and it's designating people who simply ask questions of their government as potential terrorists.
[00:04:00.856 --> 00:04:05.897]  And they did it just to get him out of the way because he kept filing these records asking them to explain their policies.
[00:04:05.937 --> 00:04:11.298]  So they thought, let's just define him as a terrorist getting banned from coming in the building and he won't be a nuisance anymore.
[00:04:11.858 --> 00:04:14.119]  So again, an act of petty tyrants.
[00:04:14.699 --> 00:04:21.374]  This guy stood up for himself, the judge threw it out and now he's suing them for every penny he can get, so good luck to him.
[00:04:22.768 --> 00:04:26.769]  Rand Paul backs away from Romney's neocon foreign policy.
[00:04:26.809 --> 00:04:28.709]  This is Kurt Nimmo, InfoWars.com.
