[00:00:22.051 --> 00:00:23.332]  It's Tuesday, February 28, 2012.
[00:00:23.732 --> 00:00:28.336]  I'm Aaron Dyke, sitting in on this InfoWars Nightly News.
[00:00:28.777 --> 00:00:35.442]  Coming up later in the broadcast, we're going to be joined by Gary Franchi, who's now leading one of the Super PACs for Ron Paul.
[00:00:35.802 --> 00:00:41.887]  He's also done his work with the Reality Report, and he's going to comment on tonight's primaries in Michigan and Arizona.
[00:00:42.168 --> 00:00:50.735]  But there is no doubt, Ron Paul and all the people supporting him virally on the web have broken the false illusion of the media-controlled paradigm.
[00:00:51.355 --> 00:00:53.317]  The internet revolution has begun.
[00:00:53.377 --> 00:00:55.158]  The firewall is down on that.
[00:00:55.559 --> 00:00:57.540]  But first we'll turn to news.
[00:00:58.321 --> 00:01:05.907]  The NDA nullification passes in Virginia Senate by a veto proof, not a 39 to 1 vote.
[00:01:06.227 --> 00:01:08.169]  They already passed a version in the House.
[00:01:08.549 --> 00:01:11.472]  It will have to go back through the House after they added an amendment.
[00:01:11.852 --> 00:01:15.953]  But it passed there already, 96 to 4, so it is expected to pass again.
[00:01:15.973 --> 00:01:26.056]  Nonetheless, they're urging people there to thank the Senate, urge the House to pass it again, and urge the Governor not to try to kill the bill.
[00:01:26.417 --> 00:01:30.818]  He's kind of voiced opposition to this legislation already, Governor Bob McDonald.
[00:01:31.418 --> 00:01:36.581]  Anyway, there's a quote from Delegate Bob Marshall, who is named as the bill's primary sponsor.
[00:01:37.021 --> 00:01:43.885]  During World War II, the federal government incarcerated tens of thousands of loyal Japanese Americans in the name of national security.
[00:01:44.285 --> 00:01:49.128]  By this bill, Virginia declares it will not participate in similar modern day efforts.
[00:01:49.428 --> 00:01:50.209]  I'll declare it too.
[00:01:50.329 --> 00:01:52.691]  I won't participate in these modern day efforts.
[00:01:53.032 --> 00:01:55.134]  So are other states and other local communities.
[00:01:55.474 --> 00:01:58.918]  Everyone should get behind nullifying the NDA Act and let them know.
[00:01:59.299 --> 00:02:01.581]  Remember when people protested against the Patriot Act?
[00:02:01.621 --> 00:02:02.682]  Where is that movement again?
[00:02:02.722 --> 00:02:03.623]  This is ridiculous.
[00:02:03.903 --> 00:02:07.087]  We're on a slippery slope to pure tyranny, pure hell, people.
[00:02:07.107 --> 00:02:11.351]  It has nothing to do with Obama or any other monkey in office in some suit.
[00:02:12.697 --> 00:02:19.404]  Meanwhile, rights groups are also protesting and petitioning the FAA on the use of drones inside the U.S.
[00:02:20.284 --> 00:02:21.586]  in those airspaces.
[00:02:21.686 --> 00:02:27.171]  Watchdogs warn that UAVs increase First Amendment risk for would-be political dissidents.
[00:02:27.572 --> 00:02:33.958]  I mean, naturally, somehow we sat by while they used drones to kill innocent civilians in Pakistan and Iraq and Afghanistan.
[00:02:34.438 --> 00:02:35.518]  All these other places.
[00:02:35.578 --> 00:02:38.579]  And now look, in just a couple years it's come home to roost.
[00:02:38.879 --> 00:02:46.021]  Now they're using them to surveil farmers in the Western world, in the United States, in Europe to enforce codes in the UK.
[00:02:46.422 --> 00:02:51.323]  And if you don't think they're going to be shooting people down in the future, I don't think you see where this is going.
[00:02:51.803 --> 00:03:00.926]  Anyway, Steve Watson writes, the consequences of increased government surveillance through the use of drones are even more troubling, according to the petition's quoted notes.
[00:03:01.346 --> 00:03:18.031]  The ability to link facial recognition capabilities on drone cameras to the FBI's Next Generation Identification Database of DHS IDENT database, two of the largest collections of biometric data in the world, increases the First Amendment risk for would-be political dissidents.
[00:03:18.931 --> 00:03:29.959]  No, I think it's perfectly reasonable for them just to fly drones wherever they want and move towards that they-live tasering drone that admittedly is part of their unveiling designs already.
[00:03:30.680 --> 00:03:36.644]  Meanwhile, Robert Fisk at the London Independent has written that the new Cold War has already started in Syria.
[00:03:37.125 --> 00:03:46.091]  Yeah, I mean, of course, they've already started covert wars in Syria, Iran, and a lot of other places, but it's even more out in the open now.
[00:03:47.032 --> 00:03:56.234]  He writes, in part, if Iran obtains nuclear weapons capability, I think across the Middle East, I think others across the Middle East will want to develop nuclear weapons.
[00:03:56.934 --> 00:04:03.036]  And, but, he goes on to point out they already have them in Israel by the hundreds, but nobody wants to talk about that.
[00:04:03.396 --> 00:04:07.197]  They just want to fearmonger about Arab states getting nuclear weapons.
[00:04:07.717 --> 00:04:10.819]  It may be dangerous, but that is the game already underway.
[00:04:10.899 --> 00:04:19.065]  How can you blame these nations for trying to update their status on the geopolitical chessboard from a mere pawn to some other face piece?
[00:04:19.585 --> 00:04:20.886]  Well, everything's dangerous.
[00:04:20.946 --> 00:04:23.528]  I just hope that war doesn't further escalate here.
[00:04:23.928 --> 00:04:28.951]  Congress has a new job approval low of only 10% in Gallup's latest poll.
[00:04:28.971 --> 00:04:30.732]  In late 2011, it was already at a low of 11%.
