[00:00:03.800 --> 00:00:03.840]  Oh,
[00:00:36.656 --> 00:00:38.798]  It's Tuesday, the 31st of July, 2012.
[00:00:38.838 --> 00:00:41.581]  I'm Alex Jones.
[00:00:41.962 --> 00:00:49.570]  Strap yourselves in, because this is a marathon, hard-hitting transmission of InfoWars Nightly News.
[00:00:49.950 --> 00:00:50.731]  Straight ahead!
[00:00:53.786 --> 00:00:59.891]  Tonight, the NYPD is set to launch the All Seen Domain Awareness System.
[00:01:00.292 --> 00:01:07.578]  It's a program that combines citywide video surveillance with law enforcement databases to track citizens.
[00:01:08.059 --> 00:01:14.905]  Plus, bankers are literally throwing themselves off buildings in the wake of the recent financial crisis.
[00:01:15.605 --> 00:01:15.846]  Then...
[00:01:16.266 --> 00:01:32.141]  They won't hesitate to throw a bomb into your establishment or to take one of your family members and slice and dice them and send them back to you day by day in terms of different body parts.
[00:01:32.461 --> 00:01:38.787]  George Grayson talks with Alex Jones about the escalating Las Zetas criminal takeover in Mexico.
[00:01:39.168 --> 00:01:43.812]  And the author of Bloodlines of the Illuminati, Fritz Springmeier, in studio.
[00:01:44.072 --> 00:01:47.256]  That's up next on the InfoWars Nightly News.
[00:01:59.076 --> 00:02:03.717]  And as I said, we have a huge transmission lined up for you tonight.
[00:02:04.238 --> 00:02:12.220]  In studio, Fritz Springmeier coming up, and then we're going to have a professor who's traveled scores of times to Mexico to study exactly what's happening down there.
[00:02:12.660 --> 00:02:14.201]  Is Mexico a failed state?
[00:02:14.261 --> 00:02:17.142]  Will its collapse bleed over into the United States?
[00:02:17.702 --> 00:02:18.602]  Well, we know it already is.
[00:02:18.622 --> 00:02:19.983]  The question is, how bad will it be?
[00:02:20.043 --> 00:02:20.903]  That is all coming up.
[00:02:21.343 --> 00:02:24.464]  Now, we've got a bunch of news we're going to cover here, but first off,
[00:02:25.743 --> 00:02:26.704]  See, we told you so.
[00:02:26.764 --> 00:02:35.209]  We told you this a couple years ago when they started the NATO bombardment of Libya to put Al-Qaeda in, that that was going to be an Al-Qaeda takeover.
[00:02:35.229 --> 00:02:38.692]  And then we told you Al-Qaeda would be exported by NATO into Syria.
[00:02:38.712 --> 00:02:39.893]  It wasn't hard to know.
[00:02:39.933 --> 00:02:44.156]  They had big signs on the news saying, you know, Syria, here we come.
[00:02:45.296 --> 00:02:47.658]  So they exported Al-Qaeda, the NATO secret army.
[00:02:48.800 --> 00:02:50.341]  They used it against the Serbs and the Russians.
[00:02:50.921 --> 00:02:55.624]  In there, and they're blowing up police stations, schools, government facilities.
[00:02:56.345 --> 00:02:59.827]  And the media, for a while, admitted it, but said, well, there's just a few Al-Qaeda.
[00:03:00.227 --> 00:03:05.210]  Now the London Guardian reports, Al-Qaeda turns tide for rebels in battle for eastern Syria.
[00:03:05.811 --> 00:03:15.077]  And it goes on to talk about how incredible they are, and how they've got nice uniforms, and they've got discipline, and they wear little Al-Qaeda black uniforms, and they're not that bad.
[00:03:15.117 --> 00:03:15.997]  I mean, they're kind of cool.
[00:03:16.037 --> 00:03:16.798]  They're fighting Assad.
[00:03:17.458 --> 00:03:20.079]  Of course, they're the ones committing the atrocities and blaming it on Assad.
[00:03:20.099 --> 00:03:23.681]  I'm not saying he's perfect, but probably the most stabilizing force in the Middle East.
[00:03:23.701 --> 00:03:24.522]  That's why he's gone.
[00:03:25.362 --> 00:03:27.103]  And here's one out of Asia Times.
[00:03:27.664 --> 00:03:28.104]  Oh, look.
[00:03:28.424 --> 00:03:30.745]  I actually have the Asia Times here, a print-off of it.
[00:03:31.166 --> 00:03:36.929]  Work of the Nation, the Center of Intelligence, Career Opportunities, CIA.gov.
