[00:00:06.147 --> 00:00:07.548]  Worldwide transmission.
[00:00:08.168 --> 00:00:08.929]  Gotta love it.
[00:00:09.849 --> 00:00:11.630]  Mainstream media.
[00:00:12.591 --> 00:00:14.252]  Government cover us.
[00:00:15.233 --> 00:00:16.954]  You want answers?
[00:00:17.394 --> 00:00:19.115]  Well, so does he.
[00:00:19.575 --> 00:00:21.516]  Live from Austin, Texas.
[00:00:21.877 --> 00:00:23.498]  Broadcasting worldwide.
[00:00:23.558 --> 00:00:26.459]  It's the Potbelly Telescopy Alex Jones!
[00:00:41.864 --> 00:00:44.607]  Yeah, we're live, ladies and gentlemen.
[00:00:44.647 --> 00:00:46.450]  Live on Friday evening, taping this.
[00:00:48.536 --> 00:00:50.678]  Yeah, it's a retransmission coming up.
[00:00:50.718 --> 00:00:52.559]  This is fresh, never-before-heard info.
[00:00:53.079 --> 00:00:54.280]  Very important rebroadcast.
[00:00:54.300 --> 00:01:00.725]  Sometimes when I have a week that's so powerful, I've got to do a rebroadcast on Sunday or a clip show because it's so important.
[00:01:00.745 --> 00:01:06.228]  But I will be listening with you today through the entire two hours of Hillbilly Magic.
[00:01:06.849 --> 00:01:08.570]  Again, thank you for tuning in.
[00:01:08.710 --> 00:01:11.452]  It is June 17th, 2012, Year of Our Lord.
[00:01:14.554 --> 00:01:18.237]  That makes Madeleine Marie O'Hare very angry from her Hades pit.
[00:01:19.138 --> 00:01:21.980]  And we are going to be here for the next two hours.
[00:01:22.060 --> 00:01:31.227]  Listen, I get really creeped out by stories like what's coming up after a couple segments of Lou Rockwell on Rand Paul, the New World Order, and more.
[00:01:31.868 --> 00:01:35.991]  We're going to premiere here on the radio that only played part of this Friday, ran out of time.
[00:01:37.446 --> 00:01:44.533]  Aaron Dykes and others on the street in Austin talking about the secret nuclear reactor under UT.
[00:01:44.633 --> 00:01:52.701]  Yes, I know that you can find a few news articles from the 80s and that UT quietly admits it's going on, but it might as well be a secret.
[00:01:54.103 --> 00:02:00.149]  Because everyone I talked to when I first covered this on Thursday and then Friday, I was getting emails, calls saying it doesn't exist.
[00:02:01.516 --> 00:02:04.848]  And then once I posted links to it existing, they're like, okay, well, and so what?
[00:02:04.969 --> 00:02:07.458]  That's not the whole point of this story.
[00:02:09.090 --> 00:02:10.071]  That's a small part.
[00:02:10.852 --> 00:02:25.888]  This all started last Wednesday when a railgun, a Department of Defense run cyclotron, superconducting supercollider weapon system blew up in Leander outside Austin, Texas in a car a half mile away, got hit by shrapnel and blew it up.
[00:02:26.508 --> 00:02:31.153]  But the Defense Department says everything's fine, the Army's running around out there with trucks and things, so...
[00:02:32.170 --> 00:02:32.890]  Everything's fine.
[00:02:32.990 --> 00:02:34.391]  After all, these are nice people.
[00:02:34.431 --> 00:02:38.433]  I mean, they just nerve-gassed their own troops to death and test chemical and biologicals on them.
[00:02:39.134 --> 00:02:40.034]  So I say, you know what?
[00:02:40.054 --> 00:02:40.774]  I'm sick of this.
[00:02:40.814 --> 00:02:43.396]  Go show the secret projects they've got.
[00:02:44.276 --> 00:02:50.900]  The bioweapons labs, I told them where that was at, my crew, out in Bastrop with the monkey lab and the ape lab.
[00:02:51.280 --> 00:02:53.541]  I said, go out to that cyclotron rail gun.
[00:02:53.901 --> 00:02:59.244]  And I said, go show where the old reactor is still running, because it takes 40 years to even begin to turn it off.
[00:03:00.442 --> 00:03:04.290]  Go out and show that, and then go out and show the new one out at JJ Pickle Center.
[00:03:05.793 --> 00:03:08.859]  They got a little reactor and a big one, big experimental facility.
[00:03:10.323 --> 00:03:23.493]  And one of our crew members, CJ, he says, uh, well, Alex, my grandfather was the head of all of the maintenance, you know, all of the facilities at University of Texas at Austin.
[00:03:24.134 --> 00:03:26.075]  And there's this thing out on Redbud Trail.
[00:03:26.115 --> 00:03:28.637]  I never went there, but he says, you go over this hill, here's the spot.
[00:03:29.138 --> 00:03:31.099]  And they walled it up with these underground caves.
[00:03:31.139 --> 00:03:33.461]  And I was like, wait, that's where they've walled it up all over the country.
[00:03:33.841 --> 00:03:35.583]  Universities got caught doing this in the 50s, 60s, 70s, 80s, 90s.
[00:03:37.364 --> 00:03:41.707]  You gotta be kidding me, because back in the old days, they didn't get some place out in New Mexico in the desert.
[00:03:41.727 --> 00:03:44.749]  They would do it locally, out in the field or in a warehouse.
[00:03:44.789 --> 00:03:46.850]  They'd dig into the floor and cover it up.
[00:03:47.390 --> 00:03:49.472]  You know, these secret dump sites, I said, get out there.
[00:03:49.492 --> 00:03:52.093]  And sure enough, it's all walled off, the caves, the rest of it.
[00:03:52.133 --> 00:03:54.395]  It's a state preserve, right by the dam.
[00:03:54.415 --> 00:03:56.336]  It's got LBJ written all over it.
[00:03:57.517 --> 00:03:58.577]  Very credible info.
[00:03:58.677 --> 00:03:59.558]  That's the point.
[00:03:59.598 --> 00:04:02.080]  We're saying there could be a dump.
[00:04:02.880 --> 00:04:04.181]  Our sources say there is.
[00:04:05.222 --> 00:04:05.542]  There.
[00:04:07.509 --> 00:04:10.899]  Hidden in these big limestone cave formations that they admit are there.
[00:04:12.003 --> 00:04:13.744]  And so that's the big story.
[00:04:14.124 --> 00:04:16.806]  That's the big report that's up at Infowars.com.
[00:04:16.826 --> 00:04:18.887]  You want to share the audio, you'll see the video.
[00:04:19.207 --> 00:04:20.688]  It's also on our big YouTube channel.
[00:04:21.148 --> 00:04:25.131]  Breaking massive nuclear secrets uncovered in Austin, Texas.
[00:04:25.431 --> 00:04:27.212]  That's what we're covering.
[00:04:27.352 --> 00:04:31.975]  And people have exposed stuff like this before and been murdered, been killed.
[00:04:31.995 --> 00:04:38.939]  I mean, I was looking into this after we broke the story of all the cases of people in Colorado and New York and New Jersey.
[00:04:39.739 --> 00:04:42.980]  Texas, and you name it, that report on secret dumps and get killed.
[00:04:43.801 --> 00:04:51.004]  And we can't even get the public to realize, first they say there's not reactors, then they say, okay, they're there, what's the big secret?
[00:04:51.324 --> 00:04:52.344]  That's not the point.
[00:04:52.685 --> 00:04:56.746]  There's railguns, bioweapons, reactors, and reported secret dumps.
[00:04:57.166 --> 00:04:57.967]  That's coming up.
[00:05:04.292 --> 00:05:11.959]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:12.399 --> 00:05:16.023]  Alex and his staff have used these pure soap products for years.
[00:05:16.463 --> 00:05:23.309]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:23.789 --> 00:05:26.592]  See them on the web at 5starsoap.com.
[00:05:26.792 --> 00:05:31.296]  Or call 800-340-7091 for a free catalog.
[00:05:31.636 --> 00:05:37.301]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:37.562 --> 00:05:42.686]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:42.986 --> 00:05:44.608]  This is an amazing deal.
[00:05:44.968 --> 00:05:49.572]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:50.213 --> 00:05:52.375]  See them on the web at 5starsoap.com.
[00:05:53.235 --> 00:05:57.838]  Or call 800-340-7091 for a free catalog.
[00:06:03.441 --> 00:06:09.464]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:10.084 --> 00:06:13.066]  It's Alex Jones and the GCN Radio Network.
[00:06:26.892 --> 00:06:29.495]  We have a lot of massive news coming up today.
[00:06:29.916 --> 00:06:32.939]  You know, a drone crashed a few days ago in Maryland.
[00:06:33.680 --> 00:06:44.232]  Now they're reporting that all over the country, but also the big report is again out of Fox News on the East Coast, people think it's UFOs now as Pentagon drones fly over the highways.
[00:06:44.492 --> 00:06:45.394]  They think it's aliens.
[00:06:45.894 --> 00:06:54.462]  Unlike the big surveillance blimps I've seen ABC News say, it must be an alien and it's a big blimp with no markings on it with propellers and cameras hanging off the bottom.
[00:06:54.782 --> 00:06:57.484]  Because government wouldn't be spying on you with big blimps.
[00:06:57.544 --> 00:07:03.390]  No, it must actually be ET, you know, visiting for Reese's Pieces or something.
[00:07:03.810 --> 00:07:06.893]  I mean, it's truly over-the-top ridiculous.
[00:07:07.133 --> 00:07:09.334]  That stuff like this is going on.
[00:07:09.354 --> 00:07:11.255]  We're going to be breaking that down.
[00:07:11.775 --> 00:07:14.596]  We're also researching right now the nuclear reactors.
[00:07:14.616 --> 00:07:15.836]  There's three of them in Austin.
[00:07:16.597 --> 00:07:21.579]  There's almost no news coverage of this and a big story we're working on of where they've been dumping the waste.
[00:07:22.239 --> 00:07:29.022]  We're also going to be getting into the bizarre White House reaction to John Bryson's three hit and runs.
[00:07:29.122 --> 00:07:32.023]  Well, two hit and runs on one group and then another hit and run.
[00:07:32.623 --> 00:07:35.524]  A lot of bizarre behavior on that front.
[00:07:35.884 --> 00:07:44.267]  We're going to look at the ongoing meltdown in Europe and the incredible announcements that they're going to restrict ATM withdrawals and impose border checks.
[00:07:44.287 --> 00:07:49.269]  So people can come into the Euro, but when you try to leave, they're going to impose capital controls.
[00:07:49.569 --> 00:07:50.930]  TSA is already doing this.
[00:07:51.610 --> 00:07:53.151]  Trying to take people's silver and gold.
[00:07:53.311 --> 00:07:54.492]  Asking about wedding rings.
[00:07:54.873 --> 00:07:55.613]  This is in the news.
[00:07:55.713 --> 00:07:57.795]  Downloading what's on your laptop computers.
[00:07:58.155 --> 00:08:01.057]  Everything we've seen in third world dictatorships or Nazi Germany.
[00:08:01.117 --> 00:08:01.618]  It's amazing.
[00:08:01.958 --> 00:08:04.340]  Now in a moment we're going to a man who needs no introduction.
[00:08:04.420 --> 00:08:06.141]  Lew Rockwell of LewRockwell.com.
[00:08:06.481 --> 00:08:09.263]  Head of the Austrian School of Economics group.
[00:08:09.344 --> 00:08:10.865]  The Von Mies Institute.
[00:08:11.505 --> 00:08:14.247]  Just an amazing intellectual mind when it comes to research.
[00:08:14.287 --> 00:08:15.748]  Former Chief of Staff of Ron Paul.
[00:08:15.808 --> 00:08:16.549]  A great patriot.
[00:08:16.569 --> 00:08:17.690]  I want to get him on to look at
[00:08:18.070 --> 00:08:32.201]  Everything happening in the world, the big news issues, the wars, the Euro, the banker bailouts, and obviously out of the gates, get his take on Rand Paul's endorsement of Mitt Romney and why that's created such a firestorm and get his view on it.
[00:08:32.281 --> 00:08:36.765]  But before we do that, I wanted to play just about a minute clip of Ron Paul.
[00:08:36.985 --> 00:08:44.511]  And I think Ron Paul, when thinking if he should endorse Romney or not, and Tom Woods has talked about how dangerous that would be.
[00:08:45.611 --> 00:08:55.897]  I had the guy that Ron Paul endorsed four years ago, they had the Constitution Party at the time, that candidate, I had him on last night, Chuck Baldwin to discuss it and he said, really bad move.
[00:08:56.857 --> 00:09:08.263]  Again, Rand can do what he wants, still a great guy, he's fighting drones and the police state and all this other stuff, but if Ron Paul does that, wow, it would be like a nuclear bomb going off in the words of Chuck Baldwin, I agree.
[00:09:09.364 --> 00:09:10.004]  I don't know.
[00:09:32.077 --> 00:09:36.380]  He didn't take even their respectful call.
[00:09:36.700 --> 00:09:42.184]  He didn't take their pleas to endorse McCain as a lesser of two evils and he explains why.
[00:09:42.504 --> 00:09:44.626]  The full clip is up at InfoWars.com.
[00:09:45.566 --> 00:09:51.110]  The headline of the video is Ron Paul of 2012 should listen to Ron Paul of 2008.
[00:09:51.190 --> 00:09:52.571]  Here is a clip of that CNN press conference.
[00:09:59.400 --> 00:10:07.066]  The majority of the American people, even the recent polling shows that 60% of the American people are unhappy with their choices.
[00:10:08.227 --> 00:10:20.737]  If you take the total number of Americans and the percentage that register, and then the percentage that vote, and then the percentage that vote for a candidate, you end up electing a president with 30-32% of the American people.
[00:10:22.878 --> 00:10:36.207]  And because they have been more or less conditioned to believe, well, the two candidates are different and we have to vote for the lesser of two evils, they end up voting, half the people who vote for the president are voting for the lesser of two evils!
[00:10:37.382 --> 00:10:46.588]  And so therefore, 16% of the American people essentially are saying, hey, I like this candidate, and they vote for the president.
[00:10:46.628 --> 00:10:59.156]  Yesterday, I had a phone call, the first phone call that I personally received or had received from anybody in the McCain candidacy, in his campaign.
[00:10:59.837 --> 00:11:06.381]  They called and it was a bit of a surprise to me because their request was that I endorse John McCain today.
[00:11:09.389 --> 00:11:15.275]  And, uh, I said, well, I don't like the idea of getting about 2 or 3 million people angry at me.
[00:11:15.295 --> 00:11:28.989]  So, uh, but they were serious, and it was a respectful call, and the argument was he would do a little less harm than the other candidate.
[00:11:30.394 --> 00:11:35.517]  And, you know, we just don't need to do that anymore.
[00:11:35.537 --> 00:11:39.839]  You know, in 19... I believe it was 1988... Okay, that's enough.
[00:11:41.019 --> 00:11:46.462]  He goes on for seven more minutes explaining why in a down-to-earth, common-sense fashion.
[00:11:46.802 --> 00:11:49.063]  So this is why there was horror at RAND.
[00:11:49.343 --> 00:11:50.524]  We're not saying RAND's bad.
[00:11:51.064 --> 00:11:58.646]  But then some of the campaign-type operatives, people that admit they don't want Campaign for Liberty being involved in foreign affairs or being against foreign intervention.
[00:11:58.867 --> 00:12:07.189]  Well, that's the heart of what makes Ron Paul so good, is that when everybody's laughing at him and they have an audience set to attack him, and they say, aren't you for the wars?
[00:12:07.249 --> 00:12:08.490]  And Giuliani goes after him.
[00:12:08.810 --> 00:12:09.950]  He says, no, I'm not.
[00:12:10.330 --> 00:12:11.951]  That's what's so great about Ron Paul.
[00:12:12.671 --> 00:12:16.192]  So Rand starts going for sanctions, something his dad says is an act of war.
[00:12:16.292 --> 00:12:19.573]  We turn and look the other way because Rand overall is good.
[00:12:20.074 --> 00:12:21.294]  Then he does this endorsement.
[00:12:21.434 --> 00:12:29.097]  I understand that Rand is not Ron, but the machinery of Campaign for Liberty is behind Rand and going with the Rand brand.
[00:12:29.537 --> 00:12:37.640]  So we are saying, as the people that brought them to the party, because Ron Paul is such an amazing person and people like Lou Rockwell as well, they're helping him for decades, 30, 40 years.
[00:12:38.760 --> 00:12:43.384]  That we're allowed to say, hey, we don't like the direction things are starting to go in.
[00:12:43.684 --> 00:12:49.570]  I saw an editorial put up by one of their folks saying, you know, that we're dumb and that we need to learn two things to grow up.
[00:12:49.850 --> 00:12:51.471]  No, I have grown up politically.
[00:12:51.731 --> 00:12:55.995]  OK, now joining us is somebody who grew up a long time ago, and that's Lou Rockwell, lourockwell.com.
[00:12:56.316 --> 00:12:58.277]  Thank you for sitting while I went over that video.
[00:12:59.999 --> 00:13:04.763]  Lou, what is your take on all of this and the firestorm that has been created?
[00:13:04.803 --> 00:13:13.992]  I think overall it's good because it lets some of the forces, kind of the mainline Republicans, trying to take over Campaign for Liberty know that we the people aren't going to let that happen.
[00:13:14.032 --> 00:13:14.533]  What's your take?
[00:13:14.813 --> 00:13:22.716]  Well, first of all, the Ron Paul that we see in that clip from the last election is the same Ron Paul that I met in 1975.
[00:13:23.056 --> 00:13:24.457]  He's the same Ron Paul today.
[00:13:24.817 --> 00:13:25.597]  He's not changed.
[00:13:25.617 --> 00:13:30.659]  This is, of course, one of the things we love about him, because he is so consistent and his principles are unchanging.
[00:13:30.919 --> 00:13:37.721]  He's not going to endorse Mitt Romney any more than he endorsed George W. Bush, any more than he endorsed John McCain.
[00:13:38.242 --> 00:13:39.502]  These guys are all fascists.
[00:13:39.962 --> 00:13:44.684]  They're all in favor of all the wars and the police state.
[00:13:44.784 --> 00:13:44.964]  It's
[00:14:03.820 --> 00:14:05.082]  We're good to go.
[00:14:15.683 --> 00:14:22.565]  You know, he doesn't do that, you scratch my back, I'll scratch yours, sort of thing of regular politics.
[00:14:22.885 --> 00:14:24.586]  He's not a regular politician.
[00:14:24.926 --> 00:14:25.566]  He's unique.
[00:14:26.226 --> 00:14:35.469]  And for those of people who want to be involved in politics, I make an exception for Ron, but otherwise I think politics is a snare and a delusion and corrupt and corrupting and horrible.
[00:14:35.609 --> 00:14:38.030]  It's part of the government after all, so therefore you know it's evil.
[00:14:39.190 --> 00:14:40.651]  But Ron Paul's never been part of that.
[00:14:40.691 --> 00:14:45.452]  He never has played those games, I'll vote for your pork barrel project, you vote
[00:14:51.869 --> 00:14:52.069]  Me too!
[00:15:16.513 --> 00:15:18.334]  But that's about all you can say for Romney.
[00:15:18.595 --> 00:15:19.736]  Romney is a monster.
[00:15:20.056 --> 00:15:21.757]  Mitt Romney is a very bad man.
[00:15:22.218 --> 00:15:24.279]  Ron Paul is not going to endorse a monster.
[00:15:24.299 --> 00:15:25.240]  It's just not going to happen.
[00:15:26.101 --> 00:15:27.021]  Nobody should think that.
[00:15:27.101 --> 00:15:28.222]  Nobody should worry about it.
[00:15:28.443 --> 00:15:33.186]  I know you're a classy guy and don't want to throw stones, but I really want to see Rand
[00:15:34.167 --> 00:15:53.712]  Rethink this idea that we're gonna change the mainline Republicans by compromising with them I mean I understand what he's saying intellectually politically, but also I understand that that way leads to Ruin that's that's how you join the dark side and what you said about Mitt Romney I mean he makes Bill Clinton look truthful.
[00:15:53.732 --> 00:15:59.134]  I mean he is such an incredible not even a flip-flopper He is a total deceiver
[00:16:02.128 --> 00:16:06.250]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:16:06.550 --> 00:16:10.292]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:16:10.692 --> 00:16:14.374]  Every day, we document the attempts to take control of our lives.
[00:16:14.714 --> 00:16:16.715]  But there's one thing we can all control.
[00:16:16.915 --> 00:16:18.176]  Your greatest dependency.
[00:16:18.516 --> 00:16:18.876]  Food.
[00:16:19.276 --> 00:16:26.600]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:16:26.860 --> 00:16:29.141]  This food is nutrient-dense and tastes great.
[00:16:29.401 --> 00:16:30.702]  It's simple to make, portable,
[00:16:30.942 --> 00:16:33.063]  And has a shelf life of up to 25 years.
[00:16:33.423 --> 00:16:37.065]  Now with eFoods Direct, you'll get the most affordable, best tasting food you can buy.
[00:16:37.305 --> 00:16:41.868]  To celebrate the beginning of summer, you can save 20% off their already affordable prices.
[00:16:42.128 --> 00:16:43.649]  This offer ends on June 20th.
[00:16:43.849 --> 00:16:45.630]  So take advantage of the summer savings now.
[00:16:46.030 --> 00:16:51.577]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:16:51.858 --> 00:16:53.199]  Don't let this offer pass you by.
[00:16:53.440 --> 00:16:55.462]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:16:55.502 --> 00:16:56.844]  More the best, for less guaranteed.
[00:17:01.770 --> 00:17:07.031]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:17:07.271 --> 00:17:09.472]  Start purifying your water with ProPure.
[00:17:09.672 --> 00:17:18.613]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:17:18.773 --> 00:17:21.954]  Its filters are silver impregnated to prevent bacterial growth.
[00:17:22.214 --> 00:17:23.654]  There's no priming required.
[00:17:23.914 --> 00:17:25.955]  It's NSF 42 certified.
[00:17:26.175 --> 00:17:27.875]  Optional fluoride filters can reduce
[00:17:27.975 --> 00:17:30.017]  ProPure is the best gravity-fed filter out there.
[00:17:30.037 --> 00:17:31.078]  It's what my family uses.
[00:17:31.098 --> 00:17:32.899]  Infowars.com already has the lowest price on ProPure.
[00:17:32.919 --> 00:17:36.742]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:17:57.038 --> 00:18:01.041]  You can also call to order 888-253-3139.
[00:18:03.683 --> 00:18:11.348]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:18:11.788 --> 00:18:15.411]  Alex and his staff have used these pure soap products for years.
[00:18:15.871 --> 00:18:22.676]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:18:23.176 --> 00:18:25.978]  See them on the web at 5starsoap.com.
[00:18:26.198 --> 00:18:30.681]  Or call 800-340-7091 for a free catalog.
[00:18:31.021 --> 00:18:36.685]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:18:36.965 --> 00:18:42.068]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:18:42.368 --> 00:18:43.989]  This is an amazing deal.
[00:18:44.350 --> 00:18:48.973]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:18:49.593 --> 00:18:52.735]  See them on the web at 5starsoap.com or call
[00:18:52.875 --> 00:18:57.217]  800-340-7091 for a free catalog.
[00:19:01.379 --> 00:19:02.639]  Hi, this is Alex Jones.
[00:19:02.679 --> 00:19:08.021]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:19:08.262 --> 00:19:12.904]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:19:13.284 --> 00:19:18.306]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:19:18.846 --> 00:19:23.551]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:19:24.072 --> 00:19:25.994]  They call it a survival seed bank.
[00:19:26.394 --> 00:19:30.999]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:19:31.200 --> 00:19:32.101]  And here's the best part.
[00:19:32.321 --> 00:19:35.084]  These seeds have not been genetically modified in any way.
[00:19:35.384 --> 00:19:38.668]  And you actually get enough seeds to plant a full acre crisis garden.
[00:19:38.988 --> 00:19:41.830]  So visit them today at survivalseedbank.com.
[00:19:42.170 --> 00:19:44.071]  That's survivalseedbank.com.
[00:19:44.391 --> 00:19:45.312]  Or give them a call at 877-327-0365.
[00:19:45.332 --> 00:19:45.512]  That's 877-327-0365.
[00:19:45.532 --> 00:19:48.473]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:19:48.974 --> 00:19:50.735]  This is Alex Jones for survivalseedbank.com.
[00:20:02.918 --> 00:20:04.078]  Coast to coast.
[00:20:04.458 --> 00:20:05.799]  Direct from Austin.
[00:20:06.519 --> 00:20:09.840]  You're listening to the Alex Jones Broadcasting Network.
[00:20:09.860 --> 00:20:24.424]  Defending the republic from enemies foreign and domestic.
[00:20:25.144 --> 00:20:26.625]  It's Alex Jones.
[00:20:30.836 --> 00:20:33.757]  In a moment, we're going to play another clip from that video.
[00:20:34.597 --> 00:20:38.638]  Ron Paul of 2012 needs to listen to Ron Paul of 2008.
[00:20:38.998 --> 00:20:46.521]  And I rarely have a Ron Paul clip, or I don't think ever, and then piggyback on it selling something.
[00:20:46.561 --> 00:20:48.581]  But knowledge is power.
[00:20:48.621 --> 00:20:49.222]  It's win-win.
[00:20:49.282 --> 00:20:50.722]  We promote what we believe in.
[00:20:51.102 --> 00:20:56.524]  You fund us with your PrisonPlanet.tv memberships to see the nightly news and video of the daytime show.
[00:20:57.544 --> 00:20:58.044]  I don't
[00:21:20.956 --> 00:21:24.257]  I'm like, well, I didn't get a bank or bailout like NBC got.
[00:21:24.577 --> 00:21:28.139]  Five hundred million dollars, it was reported, over two years of bailout money.
[00:21:28.479 --> 00:21:30.700]  I'm just here selling high quality products I use.
[00:21:30.980 --> 00:21:32.320]  Again, that's how they operate.
[00:21:32.501 --> 00:21:33.441]  But that's a side issue.
[00:21:33.461 --> 00:21:43.645]  The point is, is that go to Infowars.com because Ron Paul talked about why you don't vote for the lesser of two evils and how Bill Clinton's mentor, Errol Quigley at Georgetown,
[00:21:44.005 --> 00:21:46.208]  wrote a book about the elite that he endorsed.
