[00:00:00.049 --> 00:00:02.090]  Broadcasting Network.
[00:00:07.252 --> 00:00:07.912]  Big Brother.
[00:00:08.553 --> 00:00:09.613]  Mainstream media.
[00:00:10.333 --> 00:00:11.454]  Government cover-ups.
[00:00:12.094 --> 00:00:12.915]  You want answers?
[00:00:13.675 --> 00:00:14.535]  Well, so does he.
[00:00:15.216 --> 00:00:18.837]  He's Alex Jones on the GCN Radio Network.
[00:00:19.417 --> 00:00:23.479]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.877 --> 00:00:39.847]  Alright, we do have, obviously, a ton of incredibly important news here on the day before the end of the world, and I'm being sarcastic.
[00:00:40.929 --> 00:00:45.797]  But, there's probably gonna be some hysteria tonight, tomorrow, and the next day, and we've got some very, uh...
[00:00:47.202 --> 00:00:49.483]  Very frightening reports here.
[00:00:49.523 --> 00:00:55.025]  Very concerning reports are going to be going over from around the world, not just here in the United States.
[00:00:55.065 --> 00:00:57.685]  We've also got a bunch of fiscal cliff news.
[00:00:58.066 --> 00:01:00.286]  The globalists are driving us off the fiscal cliff.
[00:01:00.626 --> 00:01:01.547]  France is the model.
[00:01:01.567 --> 00:01:05.168]  They will just keep bankrupting things and bankrupting things until
[00:01:05.908 --> 00:01:08.209]  There is an 80-plus percent federal tax rate.
[00:01:08.649 --> 00:01:10.910]  And the globalists, of course, will be exempt and get all that money.
[00:01:11.190 --> 00:01:18.573]  That's why the ultra-rich sleazebags like Warren Buffett, Bill Gates, all of them are lobbying for more taxes, because they're tax-exempt.
[00:01:18.933 --> 00:01:20.994]  Don't know how else to explain that to everybody.
[00:01:21.574 --> 00:01:24.576]  They're all in tax-free foundations, and they...
[00:01:26.109 --> 00:01:28.149]  The general public has no idea how things really work.
[00:01:28.189 --> 00:01:30.570]  It's so frustrating to watch these crooks.
[00:01:31.210 --> 00:01:31.890]  And that's what they are.
[00:01:31.970 --> 00:01:34.311]  Warren Buffett's been engaged in all sorts of criminal bailouts.
[00:01:34.331 --> 00:01:35.071]  It's come out in the news.
[00:01:35.091 --> 00:01:35.891]  He never gets in trouble.
[00:01:36.411 --> 00:01:38.552]  This makes the Keating Five look like good guys.
[00:01:38.572 --> 00:01:40.952]  So we're going to be breaking all that down today.
[00:01:40.972 --> 00:01:50.174]  And more on the state police in Texas defending, pulling people over,
[00:01:51.690 --> 00:01:56.112]  And doing cavity searches now and they say they're just going to set up checkpoints basically start doing this.
[00:01:58.412 --> 00:02:04.134]  This country is just living in the twilight zone and it's only going to get more insane from here on out.
[00:02:04.634 --> 00:02:05.955]  So we're going to be breaking that down.
[00:02:06.115 --> 00:02:14.718]  Obviously the open assault on the Second Amendment with a new task force that will call for, well, banning of all semi-autos, banning of sale, banning of
[00:02:16.946 --> 00:02:19.907]  Private sales, selling a gun to your neighbor or trading a gun.
[00:02:20.767 --> 00:02:23.528]  Just an absolute way to assault gun owners in this country.
[00:02:23.548 --> 00:02:26.389]  I want to put people on a no-gun-buy list.
[00:02:27.310 --> 00:02:30.571]  We're going to be breaking all of that down as well.
[00:02:30.611 --> 00:02:34.212]  Just extrajudicial activities where they just throw you on a list.
[00:02:35.112 --> 00:02:39.554]  We're going to be going over all of these different facets from different angles today.
[00:02:40.794 --> 00:02:44.457]  And when we come back in the next segment, I'm going to give the phones out, the phone number out.
[00:02:44.997 --> 00:02:52.202]  It's important to take calls, and I don't take as many as I'd like, and I always kind of repeat myself that I have a wish to take more calls.
[00:02:53.294 --> 00:03:08.005]  And a cocktail of things always happens where you get people calling with such interesting topics that we digress for 20 minutes, or I don't get to your calls for an hour, or when I do get to your calls, it's just all over the map, which is sometimes interesting, sometimes not.
[00:03:08.506 --> 00:03:13.089]  I mean, obviously, I'd like to talk about the state of our world and what you see coming up in 2013.
[00:03:13.490 --> 00:03:17.133]  Do you see it as a critical year, the most critical in our
[00:03:17.893 --> 00:03:18.474]  Our history?
[00:03:19.476 --> 00:03:23.604]  Or do you just think that everything's going to be fine or somewhere in between?
[00:03:24.045 --> 00:03:28.954]  I'll give the number out coming up in the next segment and we'll discuss some of that.
[00:03:30.609 --> 00:03:41.453]  Obviously, we also are going to have a very informative guest on today to give us kind of a foreshadowing and an idea of what the NRA is going to do tomorrow in a press conference they're going to have.
[00:03:42.213 --> 00:03:49.595]  And that's Bob Barr, the former congressman and also activist with Liberty Guard, resisting the tyranny of the TSA.
[00:03:49.975 --> 00:03:57.378]  He is an NRA board member and he will be joining us coming up for about 30 minutes in the third hour today to talk about Sandy Hook.
[00:03:58.729 --> 00:04:03.491]  And to talk about the Newtown Massacre and all the rest of it.
[00:04:03.891 --> 00:04:07.592]  There is also a video that's not even on Infowars.com yet.
[00:04:07.612 --> 00:04:08.732]  I'm going to get it posted up there.
[00:04:09.413 --> 00:04:11.613]  Obama runs gun hoax.
[00:04:15.515 --> 00:04:18.936]  Actually, I think we should change that headline to Obama caught in gun hoax.
[00:04:19.696 --> 00:04:25.118]  In fact, guys, you give that to the webmasters in there and have them post Obama caught in gun hoax.
[00:04:27.773 --> 00:04:35.155]  When I shot this special report last night before I left, I think I wanted to go with the headline, Obama Caught in Gun Hoax.
[00:04:37.136 --> 00:04:39.277]  Or Obama Caught in Massive Gun Fraud.
[00:04:39.297 --> 00:04:43.858]  Obama Caught in Massive Second Amendment Fraud.
[00:04:43.918 --> 00:04:44.198]  I don't know.
[00:04:44.218 --> 00:04:45.079]  We'll figure out a headline.
[00:04:45.099 --> 00:04:45.639]  It's very important.
[00:04:45.659 --> 00:04:50.520]  I want to play that here as well because we actually go over all the statistics and your phone calls.
[00:04:50.560 --> 00:04:55.022]  So, it's all coming up today and it is a Thursday.
[00:04:56.331 --> 00:04:58.834]  Here, my friends, the 20th day of December 2012.
[00:05:04.600 --> 00:05:12.287]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:12.707 --> 00:05:16.330]  Alex and his staff have used these pure soap products for years.
[00:05:16.790 --> 00:05:23.616]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:24.097 --> 00:05:26.899]  See them on the web at 5starsoap.com.
[00:05:27.119 --> 00:05:31.622]  Or call 800-340-7091 for a free catalog.
[00:05:31.942 --> 00:05:37.606]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:37.886 --> 00:05:42.990]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:43.290 --> 00:05:44.911]  This is an amazing deal.
[00:05:45.271 --> 00:05:49.894]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:50.515 --> 00:05:53.657]  See them on the web at 5starsoap.com or call
[00:05:53.897 --> 00:05:55.000]  Call 800-340-7091 for a free catalog.
[00:06:02.645 --> 00:06:08.889]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:06:09.269 --> 00:06:11.671]  Renowned author and expert, Joel Skousen.
[00:06:11.751 --> 00:06:12.051]  The U.S.
[00:06:12.111 --> 00:06:16.214]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:06:16.354 --> 00:06:18.936]  They know that a massive nuclear attack is coming.
[00:06:19.316 --> 00:06:20.557]  They want that attack to come.
[00:06:20.797 --> 00:06:26.981]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:06:27.369 --> 00:06:29.831]  What I tell people is that you do have time.
[00:06:30.031 --> 00:06:34.814]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:06:35.014 --> 00:06:42.439]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town, because there'll be absolute panic.
[00:06:42.759 --> 00:06:45.300]  There is no preparedness without strategy.
[00:06:45.520 --> 00:06:48.140]  This Christmas, give the gift of preparedness.
[00:06:48.600 --> 00:06:52.841]  Strategic Relocation Film with Joel Skousen and Alex Jones.
[00:06:53.181 --> 00:06:59.583]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:07:02.784 --> 00:07:08.625]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:07:09.545 --> 00:07:15.429]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:07:16.289 --> 00:07:26.376]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[00:07:27.256 --> 00:07:30.538]  Just released is our 100% natural silver gel.
[00:07:31.379 --> 00:07:37.583]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:07:38.303 --> 00:07:48.734]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:07:49.555 --> 00:07:57.283]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:07:58.324 --> 00:08:01.267]  That's www.silverlungs.com
[00:08:14.818 --> 00:08:20.902]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:08:22.964 --> 00:08:36.993]  Ladies and gentlemen, if you go up to InfoWars.com,
[00:08:39.619 --> 00:08:45.027]  You will see the headline there, special report, Obama caught in gun hoax.
[00:08:47.550 --> 00:08:49.373]  Obama caught in gun hoax.
[00:08:49.953 --> 00:08:55.121]  Senator proposes military occupation of schools in wake of Sandy Hook shooting.
[00:08:57.501 --> 00:09:00.462]  Mass shooting victim stands up to anti-gunners.
[00:09:00.542 --> 00:09:01.802]  Powerful video right there.
[00:09:02.222 --> 00:09:06.443]  Piers Morgan's sarcasm about school massacre stokes anger.
[00:09:07.023 --> 00:09:10.844]  He actually said on his Twitter that he's glad about the shooting.
[00:09:12.144 --> 00:09:13.424]  Because now we can get our guns.
[00:09:13.484 --> 00:09:15.364]  A very, very sick, filthy person.
[00:09:15.645 --> 00:09:17.165]  The lowest of the low scum.
[00:09:17.965 --> 00:09:20.646]  Caught lying basically with tabloids about people.
[00:09:21.206 --> 00:09:22.406]  And running all sorts of just
[00:09:23.530 --> 00:09:26.012]  Absolutely wicked operations reportedly with hacking.
[00:09:26.232 --> 00:09:29.695]  That's why he really won't go back to England because the word is they're going to slap handcuffs on him.
[00:09:30.396 --> 00:09:30.956]  And that's what they do.
[00:09:30.997 --> 00:09:36.261]  They import lowest of the low to this country to come here and tell us to turn our guns in.
[00:09:36.341 --> 00:09:37.282]  It's amazing.
[00:09:38.843 --> 00:09:42.346]  Continuing, Obama orders children murdered.
[00:09:43.127 --> 00:09:48.592]  That's a special report we did on the drones where he signs death orders knowing it will kill children.
[00:09:49.375 --> 00:09:53.837]  A very powerful video that I would imagine they're going to try to censor, so see it while you can.
[00:09:54.958 --> 00:09:58.400]  Media calls for Obama to act like a dictator and ban guns.
[00:09:58.780 --> 00:10:02.562]  That's another video report on our text report from yesterday.
[00:10:02.582 --> 00:10:04.223]  And of course, Reuters calling for that.
[00:10:05.904 --> 00:10:10.306]  And that is just some of what we're going to be breaking down on the Second Amendment front today.
