[00:00:03.336 --> 00:00:03.576]  I'm good.
[00:00:35.168 --> 00:00:37.989]  Good evening and welcome to InfoWars Nightly News.
[00:00:38.009 --> 00:00:42.212]  Me, your host, Paul Joseph Watson, on this May 2nd, 2012 edition.
[00:00:42.872 --> 00:00:52.337]  Tonight, on the InfoWars Nightly News, Paul Joseph Watson covers the no-fly zone that will be over Chicago during the NATO summit with shoot-to-kill orders.
[00:00:53.157 --> 00:01:01.642]  Then, a renowned treasure hunter who doesn't buy the bin Laden fable, plans on diving to the site where the body was reportedly dumped to do DNA testing.
[00:01:02.362 --> 00:01:06.063]  And, a Tennessee man arrested for using cash.
[00:01:06.683 --> 00:01:13.365]  Then, Darren McBreen interviews Luke Radowski on his recent confrontation with Obama lackey, Cass Sunstein.
[00:01:13.845 --> 00:01:18.607]  Darren will also give us an update on the case involving chicken man, Andrew Wertes.
[00:01:19.047 --> 00:01:21.708]  It's all this and more on InfoWars Nightly News.
[00:01:22.188 --> 00:01:25.789]  I take you now to London, England with Paul Joseph Watson.
[00:01:30.580 --> 00:01:32.982]  First story tonight on InfoWars Nightly News.
[00:01:33.282 --> 00:01:39.908]  Out of CBS Chicago, no-fly zone to be enforced by shoot-to-kill order during NATO Summit.
[00:01:40.329 --> 00:01:50.357]  A new report reveals plans to keep residents and dignitaries safe during the NATO Summit, including no-fly zone with a shoot-to-kill mandate for those who break the ban.
[00:01:51.058 --> 00:02:01.371]  Quote, the United States government may use deadly force against the airborne aircraft if it is determined that the aircraft poses an imminent security threat, the advisory says.
[00:02:02.212 --> 00:02:08.239]  Be advised that non-compliance with the published notice to airmen may result in the use of force.
[00:02:08.780 --> 00:02:18.026]  So we already have the evacuation order that was handed to the Red Cross by city officials and the Secret Service, of course, who later denied all knowledge.
[00:02:18.766 --> 00:02:22.969]  We've got tenants being warned to leave the city by their management companies.
[00:02:24.350 --> 00:02:26.691]  And now we've got a shoot to kill no-fly zone.
[00:02:26.731 --> 00:02:33.756]  So it's basically all part of the police state showcase that accompanies every one of these national security events.
[00:02:34.356 --> 00:02:36.658]  And the message being sent is that
[00:02:37.608 --> 00:02:41.073]  You know, when the NATO gods meet, you will not interfere.
[00:02:41.914 --> 00:02:47.481]  They're setting up the free speech zones, they're trying to move them as far away from the actual summit as possible.
[00:02:48.102 --> 00:02:54.530]  They've got heavily armed Feds roaming around the city, and they're shutting down the highways and putting up checkpoints.
[00:02:55.411 --> 00:03:03.521]  So it represents again a massive photo opportunity for the government to showcase how America is now officially a militarized police state.
[00:03:04.142 --> 00:03:11.370]  And it sends the message that, you know, protesting against the New World Order will be met by an army of gun-wielding goons.
[00:03:12.191 --> 00:03:26.108]  Uh, surveillance technologies and torture tools, and it's the whole process of, uh, making the idea itself of merely protesting this gaggle of crooks as somehow dirty, criminal, and akin to terrorism.
[00:03:26.128 --> 00:03:27.630]  So welcome to the New World Order.
[00:03:27.690 --> 00:03:29.912]  The First Amendment has been abolished.
[00:03:31.129 --> 00:03:35.833]  Treasure hunter fears assassination over search for Bin Laden's body.
[00:03:35.853 --> 00:03:53.108]  A California treasure hunter who believes he has located the spot where the US Navy allegedly dumped the body of Osama Bin Laden says he wants to try and discover the corpse and subject it to DNA testing because he doesn't believe the Obama administration's official story about the death of the Al-Qaeda leader.
[00:03:53.789 --> 00:03:54.690]  Fearing the U.S.
[00:03:54.750 --> 00:04:09.425]  government could target him for assassination if he tries to recover the cadaver, shipwreck expert Bill Warren told Spanish newspaper El Mundo that he has pinpointed the site where Bin Laden's body was ejected by using recently released U.S.
[00:04:09.505 --> 00:04:10.487]  Navy photos.
[00:04:11.707 --> 00:04:15.588]  So basically we've got this famous treasure hunter and he's quite well known.
[00:04:15.608 --> 00:04:16.569]  You can go and look him up.
[00:04:17.149 --> 00:04:18.809]  He's known for doing this kind of thing.
[00:04:18.829 --> 00:04:27.312]  He's trying to collect $200,000 to pay for this mission which he plans to get underway in early June.
[00:04:28.112 --> 00:04:38.876]  And he says it could take up to three months but as little as one week to find the supposed corpse of Osama Bin Laden or whatever it is that they dumped in the ocean.
[00:04:39.376 --> 00:04:44.198]  But of course what all the media coverage of this has sidelined is the fact that
[00:04:44.978 --> 00:04:53.784]  The primary reason of why he's going to the trouble of doing all this is because he doesn't believe the government's official narrative on the dubious Bin Laden raid.
[00:04:54.164 --> 00:04:58.748]  So that's why he's so fearful of being assassinated before he's even able to recover the body.
[00:04:59.648 --> 00:05:05.973]  Because he doesn't believe they actually killed him at the time when they announced it happened, of course, one year ago.
[00:05:06.753 --> 00:05:23.590]  So, given the fact that we've exhaustively documented the phony narrative surrounding the Bin Laden execution, you know, the innumerable experts saying that he died as much as 10 years beforehand, the staged Situation Room photos with
[00:05:24.110 --> 00:05:29.354]  You know, Obama and Hillary Clinton looking really grim and serious because they watched it happening live.
[00:05:29.694 --> 00:05:31.716]  Turns out that was complete BS.
[00:05:31.756 --> 00:05:32.997]  They never watched it at all.
[00:05:33.377 --> 00:05:36.079]  Stage-managed for propaganda purposes.
[00:05:37.220 --> 00:05:41.684]  And of course we had all the villagers in the neighbourhood saying they knew the people who lived in that house.
[00:05:42.044 --> 00:05:48.749]  It wasn't Bin Laden, it was just their regular neighbours amidst a deluge of other evidence that we've catalogued.
[00:05:49.209 --> 00:05:50.891]  And it sounds like this treasure hunter
[00:05:51.331 --> 00:05:54.237]  Bill Warren is aware of all this.
[00:05:54.277 --> 00:05:56.141]  He's been reading InfoWars, presumably.
[00:05:57.836 --> 00:06:18.765]  So let's hope that this dangerous mission that he's about to embark on with the knowledge that it could make him a target for assassination is indeed successful because, you know, the US government has refused to release DNA evidence, they've refused to release photographs of Bin Laden's corpse, so this private individual is going to go out and try and find the evidence for himself.
[00:06:18.825 --> 00:06:21.966]  So we will await the results with bated breath.
[00:06:23.123 --> 00:06:23.984]  Next story.
[00:06:24.224 --> 00:06:28.268]  Tech giant warns CISPA is alarming threat to privacy.
[00:06:28.748 --> 00:06:38.978]  Tech giant Mozilla has publicly slammed the Cyber Intelligence Sharing and Protection Act, CISPA, which passed the House last week, labelling the legislation an alarming threat to privacy.
[00:06:39.478 --> 00:06:42.421]  And you can read the full statement on InfoWars.com.
[00:06:43.562 --> 00:06:51.886]  So basically every other Silicon Valley giant is backing this bill because they know that the backlash that we saw with SOPA hasn't arrived.
[00:06:51.926 --> 00:06:54.328]  It hasn't been allowed to build that kind of momentum.
[00:06:55.368 --> 00:07:00.351]  But kudos to Mozilla for condemning this because they're the only ones to do so.
[00:07:01.131 --> 00:07:05.934]  Apple, Google, AOL, Symantec, all of them are backing this.
[00:07:07.113 --> 00:07:15.281]  And of course, CISPR has passed the House, but it's heading to the Senate where it's going to be amalgamated with two other bills.
[00:07:15.761 --> 00:07:16.762]  One of two other bills.
[00:07:17.623 --> 00:07:19.385]  One of which is sponsored by Joe.
[00:07:19.985 --> 00:07:23.168]  We need an internet kill switch like Communist China Lieberman.
[00:07:23.849 --> 00:07:25.670]  Again, that's of no concern whatsoever.
[00:07:26.531 --> 00:07:35.435]  And then obviously it heads to Obama's desk, but don't worry, because he's promised to veto it, just like he promised to veto the NDAA, and we all know how that ended up.
[00:07:36.376 --> 00:07:40.818]  So what precisely will CISPA enact if it is allowed to pass?
[00:07:41.318 --> 00:07:45.441]  Well, according to TechNerd's Lee Beden, who's analysed the bill,
