[00:00:04.625 --> 00:00:05.385]  Hi and welcome.
[00:00:05.485 --> 00:00:07.866]  I'm Christy Hightower here from Planet InfoWars.
[00:00:08.126 --> 00:00:15.228]  I'm here with our guest, Alex Jones, who's actually answering your questions from the Ask Alex group on PlanetInfoWars.com.
[00:00:15.788 --> 00:00:19.969]  This is a special edition marathon version.
[00:00:20.009 --> 00:00:21.610]  So we're doing 50 questions.
[00:00:21.970 --> 00:00:25.771]  We'll probably cut it up into little parts so that you can stay tuned.
[00:00:25.931 --> 00:00:27.632]  So let's get started, Alex.
[00:00:27.672 --> 00:00:28.772]  Now, keep that in mind.
[00:00:28.812 --> 00:00:29.332]  Keep them short.
[00:00:30.272 --> 00:00:30.813]  Yes, ma'am.
[00:00:30.933 --> 00:00:31.273]  All right.
[00:00:32.333 --> 00:00:40.964]  This first one comes to you from Chuck and he says, you recently had Webster Tarpley on your radio show and asked some great questions such as, are you a communist?
[00:00:41.605 --> 00:00:47.693]  To which Webster replied and elaborated on what he believes and explained as a true American political economic system.
[00:00:48.514 --> 00:00:58.621]  Um, and a lot has been going on and I know that you have numerous issues to cover and very little time, but I'd be interested in hearing what you think of Tarpley's comments about this political system.
[00:00:59.102 --> 00:01:03.064]  He speaks of and he takes, he takes a part on libertarians.
[00:01:03.165 --> 00:01:06.067]  He had a wealth of information to support his ideas.
[00:01:06.847 --> 00:01:08.008]  So, no, that's enough.
[00:01:08.088 --> 00:01:12.991]  Yeah, no, I mean, I, cause I, I did the interview, so I hadn't read the question, but I, I remember it.
[00:01:13.832 --> 00:01:20.917]  Look, it's a difference of views, and he claims the American system is this state-directed system, and it really isn't.
[00:01:21.877 --> 00:01:36.247]  Some of what he said is true, and it's all a philosophy, but if you don't have an engaged, informed population that demands liberty and freedom, you're going to have corruption take over, whether it's a libertarian, laissez-faire system, whether it's a state-directed system.
[00:01:36.747 --> 00:01:41.310]  When the public becomes a bunch of TV head jellyfish, everything is going to go to hell in a handbasket.
[00:01:41.946 --> 00:01:49.710]  And so I, you know, have open debates about a fiat currency run by government or a gold or silver backed or Ron Paul, Von Mies view.
[00:01:50.591 --> 00:01:58.996]  But overall, government centralized systems get taken over by special interest and become extremely corrupt and generally are the worst system.
[00:01:59.356 --> 00:02:01.677]  So, I mean, I've thought long and hard about this.
[00:02:01.877 --> 00:02:09.542]  I've read the literature and history across the spectrum and Tarpley's great on history and great on power structures and the eugenicist.
[00:02:10.282 --> 00:02:10.943]  God love him.
[00:02:11.743 --> 00:02:14.065]  I saw one commenter one time when somebody called in and asked about him.
[00:02:14.085 --> 00:02:17.127]  He said, don't be two-faced behind his back telling this to his face.
[00:02:17.147 --> 00:02:19.268]  This is on the radio and TV.
[00:02:19.308 --> 00:02:20.629]  This is not behind Tarpley's back.
[00:02:20.989 --> 00:02:25.052]  But I promise, next time he's on, I'm going to say, Tarpley, you've got some blind spots.
[00:02:25.112 --> 00:02:29.375]  You think we should all take all the vaccines because it's some weird communal proletariat thing.
[00:02:29.655 --> 00:02:30.636]  You like McDonald's.
[00:02:30.696 --> 00:02:32.397]  You like aspartame, Diet Coke.
[00:02:33.037 --> 00:02:34.078]  I mean, he's very proud of this.
[00:02:34.118 --> 00:02:36.240]  He goes, what are you going to do, Robinson Crusoe?
[00:02:36.260 --> 00:02:36.660]  And I go, no.
[00:02:37.040 --> 00:02:45.245]  Robinson Caruso isn't not taking shots and drinking aspartame and eating Chicken McNuggets with silicone in them.
[00:02:45.346 --> 00:02:50.049]  So Tarpley's a really smart guy, almost savantish in many ways, because I've been around him personally.
[00:02:50.069 --> 00:02:51.510]  He speaks like five languages fluently.
[00:02:52.090 --> 00:02:54.512]  But look, I'm savantish in a way.
[00:02:54.532 --> 00:02:55.392]  I'm sure everybody is.
[00:02:55.972 --> 00:02:58.694]  I've got some spots that are lacking.
[00:02:58.754 --> 00:02:59.415]  I like Tarpley.
[00:03:00.051 --> 00:03:03.295]  He's kind of like a, you know, entertaining mascot around here.
[00:03:03.375 --> 00:03:05.518]  I mean, we all like Tarpley as a person.
[00:03:06.719 --> 00:03:14.249]  It's just his belief in the state and that the state is the arbiter and is the birth from which all goodness flows.
[00:03:14.269 --> 00:03:16.352]  I think he's assed backwards in history.
[00:03:17.171 --> 00:03:21.414]  Uh, so I disagree with him and that's what I have to say about Mr. Tarpley.
[00:03:21.474 --> 00:03:22.135]  Good question.
[00:03:22.395 --> 00:03:23.436]  Had to have a longer answer.
[00:03:23.456 --> 00:03:27.859]  We've got one, we're one question down here at PlanetInfoWars.com.
[00:03:27.899 --> 00:03:31.141]  Folks, this is where you meet, this is where you get involved, this is where you take action.
[00:03:31.382 --> 00:03:33.003]  We're going to have a letter to the editor's section.
[00:03:33.023 --> 00:03:34.124]  I want to get that set up at the time.
[00:03:34.924 --> 00:03:42.512]  So folks can send, not things that I'm going to comment on, but we're going to have Christy sit here and read.
[00:03:42.552 --> 00:03:44.554]  And then if you have a comment, that's great.
[00:03:44.974 --> 00:03:47.076]  I think once a week you should read maybe 20 letters.
[00:03:47.737 --> 00:03:48.818]  That'd be awesome.
[00:03:48.898 --> 00:03:50.159]  Or four paragraphs or less.
[00:03:50.179 --> 00:03:50.900]  Could I have a rule on that?
[00:03:51.140 --> 00:03:51.841]  And then just read them.
[00:03:52.362 --> 00:03:54.484]  That way your view unfettered goes out.
[00:03:55.405 --> 00:03:56.045]  Or I could read them.
[00:03:56.185 --> 00:03:56.666]  I mean, whatever.
[00:03:56.686 --> 00:03:57.587]  That would be interesting.
[00:03:57.607 --> 00:03:58.528]  Erin could read them.
[00:03:59.301 --> 00:04:02.704]  Aaron over there running the camera right now, because he does such a darn good job.
[00:04:02.764 --> 00:04:04.745]  He has a Facebook following, actually, Aaron.
[00:04:05.085 --> 00:04:05.586]  Oh, Aaron.
[00:04:05.606 --> 00:04:07.387]  Aaron's a rock star over there of Liberty.
[00:04:07.407 --> 00:04:08.327]  All right, go ahead.
[00:04:08.348 --> 00:04:13.491]  All right, well, this next one comes to you from Keisha, and she says, Alex, if you could go back in time, it's kind of a fun question, actually.
[00:04:13.771 --> 00:04:20.356]  If you could go back in time, and when you were younger, but still keep all of the knowledge that you have right now, what would that look like?
[00:04:20.476 --> 00:04:23.118]  Imagine coming home to the first day of kindergarten being a genius.
[00:04:23.939 --> 00:04:24.359]  Oh, yeah.
[00:04:25.500 --> 00:04:26.360]  Don't we all wish for that?
[00:04:26.380 --> 00:04:27.981]  I don't want to say I'm a genius now.
[00:04:30.379 --> 00:04:35.963]  I've often thought, I think everybody's thought of, I think all the mistakes I made, what if I knew all that, you know, back then.
[00:04:36.143 --> 00:04:38.104]  And I think that's where listening to your parents comes from.
[00:04:38.485 --> 00:04:46.751]  But we almost genetically are designed to want to get out of the nest, start our own hut, get out of the system, and our parents are telling us things and we're like not listening to them.
[00:04:47.171 --> 00:04:48.812]  So there's three ways to learn, I guess.
[00:04:48.832 --> 00:04:50.933]  There's by revelation, we're just beaming to your head.
[00:04:51.374 --> 00:04:53.996]  There's by experience and there's by being taught.
[00:04:54.936 --> 00:05:06.265]  And experience is a great teacher because you really remember it, but it would be better for young folks out there, even if your old man or mom aren't perfect, they're gonna, they care about you, they're gonna give you some overall advice that's good.
[00:05:07.006 --> 00:05:12.810]  So it's best to not, you know, detest them, because in a way you're detesting yourself.
[00:05:13.551 --> 00:05:17.074]  And so boy, I wish I knew back then what I know now.
[00:05:17.114 --> 00:05:17.294]  What?
[00:05:17.314 --> 00:05:19.456]  Is there a particular day you would want to go back to?
[00:05:19.476 --> 00:05:21.157]  Like, that you think about?
[00:05:22.561 --> 00:05:29.886]  I wish that when some bully started a fight with me that I just learned to back down when I could because it was just pointless.
[00:05:29.946 --> 00:05:35.610]  I don't like all those brain cells I'm missing from my head slamming the concrete and going to jail and stuff like that.
[00:05:35.670 --> 00:05:37.572]  I mean, I would have been less confrontational.
[00:05:38.522 --> 00:05:44.968]  But in a way, again, that's Catch-22, because I wouldn't be who I am today if I hadn't grown up where I did in Dallas and seen the things I saw.
[00:05:45.069 --> 00:05:46.250]  So, whatever.
[00:05:46.270 --> 00:05:47.251]  I mean, there's no going back.
