[00:00:00.169 --> 00:00:00.691]  You've got it.
[00:00:07.279 --> 00:00:11.661]  Waging war on corruption.
[00:00:11.661 --> 00:00:19.964]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:19.964 --> 00:00:21.285]  Are we seeing the earth?
[00:00:21.285 --> 00:00:25.527]  You got it.
[00:00:25.527 --> 00:00:27.588]  Are we seeing the earth now?
[00:00:27.588 --> 00:00:30.529]  You got it.
[00:00:33.863 --> 00:00:35.685]  You got it.
[00:00:35.685 --> 00:00:36.906]  We are live.
[00:00:36.906 --> 00:00:42.592]  It is the 28th day of October 2012.
[00:00:42.592 --> 00:00:48.859]  On this Sunday edition we are barreling towards the 2012 election here in the United States.
[00:00:48.859 --> 00:00:55.126]  We are accelerating towards more and more open conflict with Syria and Iran and economic
[00:00:56.371 --> 00:01:10.540]  Implosion and we are well facing a hurricane that is barreling down on the east coast of the United States and I've got the National Hurricane Center's breakdown of that and it's already they're saying evacuate millions of people.
[00:01:10.540 --> 00:01:16.643]  They're saying 50 million to be affected and now they're talking yeah this could mess up the election.
[00:01:16.643 --> 00:01:18.805]  A hundred-year superstorm.
[00:01:19.705 --> 00:01:25.129]  I'm no meteorologist, but I've interviewed a lot, and I've watched the media over the years.
[00:01:25.129 --> 00:01:32.214]  They tend to hype things up sometimes, kind of like Carmageddon and things, you know, that was going to shut down L.A.
[00:01:32.214 --> 00:01:36.217]  forever, basically, but didn't do anything when they fixed a bridge.
[00:01:36.217 --> 00:01:40.160]  I talk about that because I happened to be out there when that happened.
[00:01:40.160 --> 00:01:48.225]  It could be hype, but most meteorologists say that if the storms from the north and the west don't blow this thing out to sea,
[00:01:50.327 --> 00:01:53.174]  Some of the tracks now do have it going out to sea.
[00:01:53.174 --> 00:01:57.885]  Just a few days ago, there were not any tracks showing it going out to sea.
[00:01:57.885 --> 00:01:59.189]  Before it first...
[00:02:00.327 --> 00:02:01.227]  goes inland.
[00:02:01.227 --> 00:02:05.289]  Some showed it going out into the Sargasso Sea, out into the Atlantic.
[00:02:05.289 --> 00:02:09.451]  So we're going to be looking at all of that.
[00:02:09.451 --> 00:02:21.176]  Hurricane Sandy intermediate advisory and the trajectory and how that could affect the election that is going to be coming up here today.
[00:02:22.697 --> 00:02:27.940]  Stuart Rhodes is going to be on because I've talked to a lot of military on the record and off the record.
[00:02:27.940 --> 00:02:31.582]  We have a lot of government documents admitting the preparations for civil unrest.
[00:02:31.582 --> 00:02:33.683]  Doesn't mean that's going to happen.
[00:02:33.683 --> 00:02:39.086]  But we know about the demonization of the founding fathers, gun owners, returning veterans, libertarians.
[00:02:39.086 --> 00:02:43.729]  And we, of course, last week covered a story that I first saw break out of the Northeast Intelligence Network.
[00:02:44.469 --> 00:02:56.299]  And Doug Hagman, and a few days after we covered it, it was in the Associated Press confirming that a gentleman with no criminal record was put on a, well, a no-fly list for what, four days?
[00:02:56.299 --> 00:03:03.646]  Couldn't get out of Hawaii to see his wife, or he was traveling to see her in Okinawa, Japan, because they said, you're a prepper.
[00:03:03.646 --> 00:03:04.927]  And we see that online.
[00:03:04.927 --> 00:03:09.451]  So I'm going to get Stuart Rhodes, the founder and head of Oath Keepers, also a constitutional lawyer.
[00:03:10.589 --> 00:03:20.016]  On with us in about 30 minutes to cover that and a bunch of other really important issues and the intel he's getting from all of his current and active duty serving military and police.
[00:03:20.016 --> 00:03:22.919]  So we're going to have Stuart Rhodes with us.
[00:03:22.919 --> 00:03:32.806]  And then because we're going to get into the hurricane, the last 30 minutes of the show in more detail, Scott Stevens, a meteorologist, weatherman, worked with some of the TV stations around the country.
[00:03:32.806 --> 00:03:34.447]  He's the Weather Wars author as well.
[00:03:35.468 --> 00:03:44.633]  He's going to be getting into chemtrailing and a lot more, and we know they can control hurricanes, they can kill hurricanes, they can speed them up, slow them, strengthen them, weaken them, steer them.
