[00:00:19.707 --> 00:00:20.908]  Welcome, ladies and gentlemen.
[00:00:20.968 --> 00:00:22.969]  This is the InfoWars Nightly News.
[00:00:23.089 --> 00:00:25.050]  It's Tuesday, March 13, 2012.
[00:00:25.770 --> 00:00:27.431]  I'm Aaron Dyches.
[00:00:27.771 --> 00:00:29.692]  Now, it is a different broadcast tonight.
[00:00:29.812 --> 00:00:34.554]  As you probably already know, we're on a, quote, pit stop in the InfoWars Nightly News.
[00:00:34.914 --> 00:00:42.658]  There comes a time when every great crew has to reformulate, has to take a time out just for a minute to sort of coordinate the new dance moves.
[00:00:42.738 --> 00:00:47.360]  In this case, we're going to be updating a lot of graphics as we reach out for new talent.
[00:00:47.860 --> 00:00:51.881]  And we just try to pare down and coordinate the talent we already have.
[00:00:51.921 --> 00:00:54.102]  We hired a lot of great new reporters.
[00:00:54.142 --> 00:00:57.903]  You've seen them on the InfoWars Nightly News since its inception.
[00:00:58.503 --> 00:01:09.606]  We've been working well with that team, but we're just going to update a few things and help to bring you a more consolidated InfoWars Nightly News so it's a better tool to share with friends, family, strangers, whatever.
[00:01:10.126 --> 00:01:19.074]  Now, with that said, we're going to bring you a lot of the oldies but goodies, just some of the best episodes we selected from the InfoWars Nightly News.
[00:01:19.134 --> 00:01:29.644]  Tonight comes from October 11, 2011, and it's an episode dealing with finance, the Occupy Wall Street movement, the Internet Kill Switch, and a lot more.
[00:01:29.784 --> 00:01:34.769]  Alex has two key interviews, one with Alessio Rastani,
[00:01:35.389 --> 00:01:44.294]  Who famously said that Goldman Sachs rules the world and certainly the facts and the corrupt influence are not far from that statement.
[00:01:44.634 --> 00:01:50.197]  Alex also talks with Max Keiser who probably more or less reiterates that same point of view.
[00:01:50.277 --> 00:01:56.381]  Max Keiser of course has been, was a former Wall Street insider and has been a critic of them for many many years.
[00:01:56.721 --> 00:01:57.782]  Saw all this coming.
[00:01:58.622 --> 00:02:06.551]  And along with Alex outlined a lot of the ways that be looting, stealing and more through this larger financial crisis.
[00:02:06.931 --> 00:02:08.513]  So those are important to watch.
[00:02:08.573 --> 00:02:15.360]  We've also got a special report from Darren McBreen, one of the great new reporters we brought on when we started this broadcast.
[00:02:15.740 --> 00:02:18.282]  And this one is on the Denver International Airport.
[00:02:18.582 --> 00:02:25.425]  We were there together and talked with folks about the strange murals located by the baggage area and some other elements.
[00:02:25.626 --> 00:02:33.510]  The report went so viral, even the Colbert report on the Comedy Central channel had to cover it, of course, only to mock it and try to downplay it.
[00:02:33.790 --> 00:02:34.610]  But nevertheless,
[00:02:35.711 --> 00:02:40.197]  Kind of shining a light on the impact those kind of reports have and the great intrigue there.
[00:02:40.277 --> 00:02:41.678]  Everyone knew something about it.
[00:02:41.698 --> 00:02:44.742]  Everyone was interested in it and now you have a chance to see that again.
[00:02:45.022 --> 00:02:54.194]  There's also footage, you'll recall Alex gave three rallies at Federal Reserve locations in Texas as people across the country held rallies everywhere.
[00:02:54.674 --> 00:03:02.001]  And so Alex will bring you some footage from the biggest of those rallies in Dallas, Texas, the main branch there in that region.
[00:03:02.702 --> 00:03:09.829]  And Alex also talks with the father of an autistic child and the child himself about the vaccine dangers and the
[00:03:10.349 --> 00:03:14.833]  Great harm and terrible trials that came to their family as one personal testament.
[00:03:15.153 --> 00:03:31.086]  So it's not an episode you want to miss, but I want to point out that we are also bringing you exclusive content while we're on a break, while we're reformulating, consolidating, condensing our InfoWars Nightly News program, and that is the powerful exclusive Dave Mustaine interview.
[00:03:31.106 --> 00:03:35.369]  It's going to air two days from now, Thursday, March 15th, and you don't want to miss it.
[00:03:35.409 --> 00:03:38.992]  It's almost an hour of things you've never heard Dave Mustaine talk about.
[00:03:39.512 --> 00:03:48.196]  For years, he's been in contact with Alex, has showed his support, but they finally got the chance to sit down in person and do a kind of long, thought-out interview.
[00:03:48.676 --> 00:03:49.856]  And he talks about everything.
[00:03:50.256 --> 00:03:52.937]  His old days in Metallica, where he was one of the founding members.
[00:03:53.518 --> 00:03:59.780]  Things that happened to him on the road with friends and crew members and fellow bandmates and other bands they were friends with.
[00:04:00.080 --> 00:04:01.621]  Political stuff and a whole lot more.
[00:04:01.641 --> 00:04:02.601]  You'll want to check that out.
[00:04:02.641 --> 00:04:06.703]  It's two days from now, March 15th, this Thursday, on the Nightly News.
[00:04:07.463 --> 00:04:09.248]  But meanwhile, enjoy this oldie but goodie.
[00:04:09.268 --> 00:04:13.277]  Thanks for watching and we'll be back stronger than ever in just a few days from now.
[00:04:35.165 --> 00:04:36.366]  We're making history.
[00:04:36.986 --> 00:04:41.850]  For more than 50 years in this country, there has been no teleprompter-free news.
[00:04:42.910 --> 00:04:43.771]  Why is that important?
[00:04:44.151 --> 00:04:47.514]  I've got stacks of news articles here, research that I've done, my crew's done.
