[00:00:03.029 --> 00:00:03.069]  Oh,
[00:00:35.908 --> 00:00:39.129]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:00:39.389 --> 00:00:40.690]  I'm your host, Aaron Dykes.
[00:00:40.770 --> 00:00:43.351]  Today is Monday, September 17th, 2012.
[00:00:43.931 --> 00:00:49.633]  Tonight, a former U.S.
[00:00:49.713 --> 00:00:52.254]  ambassador to Israel predicts the U.S.
[00:00:52.274 --> 00:01:03.479]  will go to war with Iran in 2013, as a new round of violent protests break out across the Middle East, sparking fears of an October surprise.
[00:01:04.019 --> 00:01:08.424]  Then, Al Qaeda-aligned Syrian rebels bite the hand that feeds.
[00:01:08.925 --> 00:01:17.314]  Shocking video shows the same forces our government has given millions to for our regime change agenda are burning the American flag.
[00:01:17.634 --> 00:01:20.557]  That's coming up next on the InfoWars Nightly News.
[00:01:28.311 --> 00:01:36.994]  Tonight we focus on the rising Middle East tensions amid the larger unfolding economic crisis and how grave those implications will be for our world.
[00:01:37.334 --> 00:01:46.397]  You've got the death of Ambassador Stevens, you've got this phony trailer meant clearly to incite the Muslim world, all amid growing anti-U.S.
[00:01:46.457 --> 00:01:54.079]  protests in that Middle East region against the foreign policy there, all clearly staged and timed for this period.
[00:01:54.419 --> 00:01:57.200]  But will it create a larger World War III scenario?
[00:01:57.580 --> 00:02:05.323]  Will it be the continuation of softer Arab Spring-style regime changes, or is it all just rhetoric for this election cycle?
[00:02:05.663 --> 00:02:13.767]  That remains to be seen, but Webster Tarpley, among many other experts, are warning of a coming October surprise, and it's in the cards.
[00:02:14.107 --> 00:02:24.711]  Kurt Nemo has the article, Neocon's Engineering October Surprise, where he discusses how researchers are now claiming the highly provocative anti-Muslim video trailer
[00:02:25.091 --> 00:02:36.955]  Was the handiwork of the Islamophobic provocateurs Pamela Geller and Robert Spencer, as well as the larger resurgent neocon network responsible for the new round of violent protests.
[00:02:37.335 --> 00:02:44.337]  And so Tarpley is essentially arguing that not only is the system provoking a synthetic clash of civilizations,
[00:02:44.677 --> 00:02:52.582]  But that the establishment has now chosen Romney to take power, and that all indicators are pointing that way, saying they want to carterize Obama.
[00:02:52.602 --> 00:02:59.587]  That is, take him out of office and put in someone else, a la the 1979 Iranian hostage situation.
[00:03:00.027 --> 00:03:05.350]  That remains to be seen, but of course all of Tarpoli's comments are preserved in context on our archives.
[00:03:05.691 --> 00:03:07.752]  You can get them from yesterday's Sunday show.
[00:03:08.192 --> 00:03:17.860]  As well as today's appearance on the Alex Jones Show at Prison Planet TV, but it's part of the larger Hegelian dialectic, and the October surprise is a well-understood option.
[00:03:18.200 --> 00:03:20.162]  The question is only how big will it be?
[00:03:20.222 --> 00:03:29.069]  Will it cost real human lives and provoke a real war, or will it just be a smaller stage phony thing to create enough public outcry for the election?
[00:03:29.450 --> 00:03:35.695]  The other big question is will it favor the left or the right puppet, because they're poised to play it either way.
[00:03:36.095 --> 00:03:39.977]  And there's some reason to think Obama will be re-elected and solidified in power.
[00:03:40.717 --> 00:03:42.798]  Other reasons to think Romney is on the rise.
[00:03:43.138 --> 00:03:46.519]  This on the back of ex-envoy to Israel saying U.S.
[00:03:46.679 --> 00:03:48.580]  will go to war with Iran in 2013.
[00:03:48.720 --> 00:03:52.322]  It's in Ynet News where they discuss how former U.S.
[00:03:52.402 --> 00:03:58.044]  Ambassador to Israel Martin Indyk on CBS' Face the Nation said, quote,
[00:03:58.644 --> 00:04:04.608]  I'm afraid that 2013 is going to be a year in which we're going to have a military confrontation with Iran.
[00:04:04.929 --> 00:04:08.091]  He added, Iran doesn't have a nuclear weapon, yet.
[00:04:08.691 --> 00:04:11.033]  While there's still time, there's not a lot of time.
[00:04:11.113 --> 00:04:22.301]  And this is playing into that phony deadline for a phony preemptive war that somehow it's justified if they get a nuke, even though almost every other player in the region is already armed to the teeth with nuclear weapons.
[00:04:22.721 --> 00:04:25.123]  Israel obviously has an arsenal that's known.
[00:04:25.583 --> 00:04:39.435]  So this is about the public dispute between Obama and Netanyahu, and Indyk argues that the difference between them is not that great, particularly in terms of the President's commitment to not allow Iran to obtain a nuclear weapon.
[00:04:39.776 --> 00:04:45.481]  In other words, the agreement is already tacitly there that there will be a war if a certain line is reached.
