[00:00:00.029 --> 00:00:01.695]  Waging War on Corruption.
[00:00:02.177 --> 00:00:04.947]  Alex Jones on the GCN Radio Network.
[00:00:11.636 --> 00:00:15.797]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.457 --> 00:00:17.257]  You want answers?
[00:00:18.038 --> 00:00:18.958]  Well, so does he.
[00:00:19.578 --> 00:00:23.179]  He's Alex Jones on the GCN Radio Network.
[00:00:23.779 --> 00:00:27.880]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.401 --> 00:00:33.781]  Alright, Ted Anderson's with us another five minutes.
[00:00:34.901 --> 00:00:36.762]  Ted, let me just have you back on.
[00:00:40.029 --> 00:00:48.958]  Let me just have you back on for the whole third hour, if you can do it, to actually get into monetary issues and not just sit here and pitch gold and silver.
[00:00:49.498 --> 00:00:53.042]  And again, we pitch things we believe in, which then funds our operation.
[00:00:53.442 --> 00:00:56.685]  But that's why I get so excited about all this, because I believe in it.
[00:00:57.266 --> 00:00:58.627]  I just called Ted last week and...
[00:00:59.878 --> 00:01:09.683]  Ted, you've been so busy, I asked what you thought the best of the radio specials were, and you were gonna call me back, I was gonna get a few gold coins and some silver, and Ted, you didn't call me back, so I need to call one of your brokers, don't I?
[00:01:10.322 --> 00:01:11.582]  Yeah, well, no, we'll get it done.
[00:01:11.622 --> 00:01:22.044]  But I can tell you right now, watching the charts yesterday, silver and gold both, it just, it was just coming along and going and then all of a sudden a spike upward.
[00:01:22.164 --> 00:01:30.426]  I mean, to have a $46 increase in gold in one day and about $4.60 in silver in one day, are you kidding me?
[00:01:30.746 --> 00:01:33.467]  And that's just quantitative easing, that's just the news breaking.
[00:01:34.087 --> 00:01:38.428]  The FOMC Open Market Committee comes out and they decide that they're going to
[00:01:39.008 --> 00:01:40.309]  Get into this quantitative easing.
[00:01:40.569 --> 00:01:42.151]  But like you say, it's not called QE3.
[00:01:42.211 --> 00:01:47.075]  The reason why that is is because QE2 had an end date to it and a goal.
[00:01:47.115 --> 00:01:48.416]  And this is how much we're going to do.
[00:01:48.777 --> 00:01:50.618]  This is open-ended quantitative easing.
[00:01:50.898 --> 00:01:58.325]  They said that we're going to continue to print more money and to get the printing presses rolling until they see the economic results that they're looking for.
[00:01:58.765 --> 00:02:00.807]  And basically it's just an open-ended thing.
[00:02:01.427 --> 00:02:03.509]  Well, we're heading off of a cliff, Alex.
[00:02:03.909 --> 00:02:07.632]  And if people aren't smart enough to get out of paper, I mean, I don't care.
[00:02:07.692 --> 00:02:10.995]  Find, you know, buy storable foods.
[00:02:11.115 --> 00:02:15.278]  I don't care what you buy, but get yourself out of the paper crows.
[00:02:15.298 --> 00:02:16.359]  Ted, you predicted this.
[00:02:16.399 --> 00:02:17.961]  Porter Stansbury predicted it.
[00:02:18.681 --> 00:02:20.362]  Gerald Solente predicted it.
[00:02:20.983 --> 00:02:22.284]  They all predicted it.
[00:02:22.344 --> 00:02:23.504]  We all predicted it.
[00:02:23.965 --> 00:02:24.885]  And it means curtains.
[00:02:24.925 --> 00:02:26.767]  In fact, I have a clip of Ron Paul here.
[00:02:27.647 --> 00:02:32.511]  This is Ron Paul last night saying we should be panicking over this.
[00:02:32.611 --> 00:02:34.232]  And Ron Paul's never talked like that.
[00:02:34.772 --> 00:02:36.954]  This means inflation.
[00:02:37.992 --> 00:02:45.765]  And because it's not targeted as a real turning up the printing presses that at least helps the people on one level.
[00:02:46.386 --> 00:02:48.570]  This is all pointed at the ultra-rich.
[00:02:49.030 --> 00:02:50.312]  It's going to be a double whammy.
[00:02:50.332 --> 00:02:50.974]  Here's Ron Paul.
[00:02:51.502 --> 00:02:57.488]  The one thing that Bernanke has not achieved that frustrates him, I can tell, is he gets no economic growth.
[00:02:57.528 --> 00:02:59.770]  He doesn't do anything with the unemployment numbers.
[00:03:00.531 --> 00:03:07.417]  And from my viewpoint, I think the country should have panicked over the fact of what the Fed is saying, that we've lost control.
[00:03:07.518 --> 00:03:14.805]  The only thing we have left is massively creating new money out of thin air, which hasn't worked before and it's not going to work this time.
[00:03:15.385 --> 00:03:16.547]  You know, Ted, I'm gonna be honest.
[00:03:16.587 --> 00:03:17.408]  You know me privately.
[00:03:17.428 --> 00:03:20.813]  I'm very calm, very intellectual, very focused until I get on air.
[00:03:20.913 --> 00:03:24.618]  And then I turn into the wild man because I get so angry about this stuff.
[00:03:25.159 --> 00:03:26.541]  And I don't do it on purpose, but...
