[00:00:00.577 --> 00:00:00.983]  Network.
[00:00:06.584 --> 00:00:10.768]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:11.428 --> 00:00:12.229]  You want answers?
[00:00:13.010 --> 00:00:13.951]  Well, so does he.
[00:00:14.551 --> 00:00:18.135]  He's Alex Jones on the GCN Radio Network.
[00:00:18.735 --> 00:00:22.839]  And now, live from Austin, Texas, Alex Jones.
[00:00:41.563 --> 00:00:44.325]  Ladies and gentlemen, it is Friday.
[00:00:44.425 --> 00:00:48.168]  Thank you so much for joining us the 14th day of December 2012.
[00:00:50.610 --> 00:00:57.996]  And there is a reported school shooting in Connecticut, one of the states that has draconian restrictions on gun ownership.
[00:00:58.696 --> 00:01:17.222]  Reportedly, right now, it looks like only the gunman is dead, but the media will hype the living daylights out of this, so anytime somebody goes crazy, the first thing pops in their head is go to a victim disarmament zone, a free-fire zone where it's guaranteed no one is armed to protect themselves.
[00:01:18.089 --> 00:01:21.351]  You went and randomly went in people's houses in Texas.
[00:01:21.411 --> 00:01:24.334]  More than 70% of people statistically own guns in this state.
[00:01:25.034 --> 00:01:26.495]  About 60% nationwide.
[00:01:27.436 --> 00:01:32.580]  And if you just randomly went and kicked in doors and tried to shoot people, you'd get shot in most homes.
[00:01:33.380 --> 00:01:41.006]  But government training camps, you can bet nobody is going to be armed there unless there happens to be a police officer out in the parking lot.
[00:01:41.486 --> 00:01:42.427]  So we'll be looking at that.
[00:01:42.907 --> 00:01:45.069]  Also, obviously, the big news.
[00:01:45.849 --> 00:01:53.336]  And Kurt Nemo has a story from our source, Jim Tucker, up at Infowars.com.
[00:01:53.396 --> 00:01:59.322]  Trilateralists discuss big war in the Middle East as Obama sends soldiers to Turkey.
[00:02:00.695 --> 00:02:02.677]  And here is the CNN report.
[00:02:31.519 --> 00:02:34.120]  The missiles to Turkey.
[00:02:34.561 --> 00:02:40.485]  And then he magically got killed when the local security chief, which is Al-Qaeda, came by and killed him.
[00:02:41.485 --> 00:02:43.527]  And for eight hours Obama ordered the stand down.
[00:02:43.547 --> 00:02:44.888]  Gee, what do you think's going on there?
[00:02:44.908 --> 00:02:54.414]  They're getting rid of the evidence of what they've done because when they roll into phase two, after they bring down Syria, they're going to launch terror attacks in Europe and the United States.
[00:02:55.195 --> 00:02:56.456]  And then you know what's going to happen.
[00:02:57.406 --> 00:03:00.928]  You're going to learn to have the TSA search your vehicle on the highway.
[00:03:00.988 --> 00:03:03.109]  They've got them in place in all 50 states ready for this.
[00:03:03.569 --> 00:03:05.430]  And they're going to be going down those pants.
[00:03:05.870 --> 00:03:10.872]  It's all an act of demoralizing and totally dominating you, getting you ready for full martial law.
[00:03:11.672 --> 00:03:13.053]  So trilateralist discussion.
[00:03:13.113 --> 00:03:16.735]  Big war in the Middle East as Obama sends soldiers to Turkey.
[00:03:18.218 --> 00:03:21.661]  And we've got the quote here from Tucker, from his trilateral source.
[00:03:21.741 --> 00:03:23.803]  It could be the biggest war we've ever had over there.
