[00:00:00.365 --> 00:00:03.508]  I don't know about you folks, but I want my freedom and dignity back.
[00:00:04.229 --> 00:00:10.255]  The federal government is making it a prerequisite to travel that you have to be subjected to humiliation and sexual assault at the airports.
[00:00:10.275 --> 00:00:18.284]  They're taking the right to move about freely, and they're trying to change that into a privilege that's granted only if you submit yourself to unnecessary humiliation.
[00:00:19.537 --> 00:00:23.259]  But fortunately, here in Texas, we have some men with some backbone on this issue.
[00:00:23.959 --> 00:00:27.941]  And the leader on that is Representative David Simpson from Longview, Texas.
[00:00:28.262 --> 00:00:31.143]  Can you tell us a little bit about the bill that you've just put in?
[00:00:31.203 --> 00:00:32.764]  It's House Bill 80, I believe?
[00:00:34.113 --> 00:00:34.973]  That's correct.
[00:00:35.674 --> 00:00:40.196]  Basically, we're calling it the Texas Freedom Travel Act.
[00:00:40.436 --> 00:00:52.582]  It just makes it an offense to touch someone's private part as a condition of getting into an area, accessing public transportation or a venue.
[00:00:52.882 --> 00:00:54.603]  You have to have probable cause.
[00:00:54.683 --> 00:00:59.445]  You have to believe someone's committing a criminal act to treat them as a criminal.
[00:00:59.838 --> 00:01:04.642]  We basically lost our innocent-until-proven-guilty assumption here.
[00:01:04.662 --> 00:01:06.963]  Now we're all guilty until they prove that we're innocent.
[00:01:07.064 --> 00:01:07.524]  Is that correct?
[00:01:08.344 --> 00:01:08.905]  That's right.
[00:01:08.945 --> 00:01:17.731]  We're continuing to receive assault on the first ten amendments, the Bill of Rights, which our founding fathers were very concerned about.
[00:01:17.932 --> 00:01:22.115]  And the fourth amendment is one in particular that's under assault.
[00:01:23.523 --> 00:01:28.286]  Now, this brings up an interesting conflict between the federal government, and we're seeing this on a number of issues.
[00:01:28.306 --> 00:01:33.750]  There were a lot of states that passed initiatives that would limit the Obamacare mandate.
[00:01:34.390 --> 00:01:39.674]  There were states that passed initiatives on medical marijuana, even marijuana legalization.
[00:01:40.134 --> 00:01:45.798]  And we've seen over and over again, the federal government just disregards the wishes of the people and the wishes of the states.
[00:01:46.079 --> 00:01:50.602]  They completely disregard the Tenth Amendment, just like they do much of the rest of the Constitution.
[00:01:51.182 --> 00:01:52.942]  Now, you tried this two years ago.
[00:01:52.962 --> 00:01:54.103]  Tell us what happened at that time.
[00:01:54.363 --> 00:01:57.863]  Well, the bill received bipartisan support in both chambers.
[00:01:57.963 --> 00:02:01.824]  It passed unanimously on both second and third reading.
[00:02:02.044 --> 00:02:09.265]  Then the Department of Justice threatened to make Texas basically a no-fly zone, to shut down a flight or series of flights.
[00:02:09.545 --> 00:02:11.506]  And that's just an outrageous threat.
[00:02:11.526 --> 00:02:15.146]  We have planes coming in and out of Texas all the time.
[00:02:15.246 --> 00:02:17.367]  People are not being searched in this way.
[00:02:17.867 --> 00:02:20.047]  Then the bill was brought to the floor after that.
