[00:00:13.291 --> 00:00:14.553]  Welcome, ladies and gentlemen.
[00:00:14.633 --> 00:00:17.676]  It's the beginning of a new week, Monday, March 19, 2012.
[00:00:19.098 --> 00:00:23.604]  Now as you know, the InfoWars Nightly News is in the middle of a big pit stop.
[00:00:24.164 --> 00:00:29.991]  We're pulled over on the side of the road to change the tires, to refuel the tank, to make this program more hard-hitting.
[00:00:30.512 --> 00:00:46.563]  Twice as concentrated as the competing brands to make it a truth-telling extravaganza in a shorter period of time so you can share it with your friends, your contacts, share it with everybody, spread the word that we have to restore the Republic by reining in the tyrants.
[00:00:46.583 --> 00:00:52.487]  You know who they are, we've been covering them, but we're going to make it even more clear for those of you who haven't quite woken up yet.
[00:00:53.108 --> 00:00:56.370]  We want to thank, as always, our great supporters, our audience,
[00:00:56.890 --> 00:01:00.934]  Especially those PrisonPlanet.TV subscribers who make all of this possible.
[00:01:01.494 --> 00:01:03.316]  We do not have corporate sponsors.
[00:01:03.636 --> 00:01:05.457]  We're not liked by the mainstream.
[00:01:05.737 --> 00:01:10.902]  We're not liked by the big foundations and corporations that we attack nightly on this program.
[00:01:11.202 --> 00:01:16.526]  So we do depend on you, and if you think this is a valuable program, we appreciate even more of your support.
[00:01:16.566 --> 00:01:19.669]  If you don't support us financially, please help us get the word out.
[00:01:20.109 --> 00:01:22.391]  Now we're of course trying to up our game.
[00:01:22.431 --> 00:01:24.012]  We're trying to find new reporters.
[00:01:24.352 --> 00:01:34.979]  We're reworking graphics packages and we're working with the staff we have now so that everyone has a chance to get a break and so that they're fresh and hard-hitting when they do come on the program.
[00:01:35.379 --> 00:01:43.525]  Now with that said, we have one of our most powerful InfoWars Nightly News episodes since its inception and that is from January 24th, 2012.
[00:01:44.866 --> 00:01:49.669]  Probably the highlight of this episode is Alex's long interview with Russell Means
[00:01:50.529 --> 00:01:53.311]  Who is, of course, a prominent Native American activist.
[00:01:53.651 --> 00:01:56.433]  We've interviewed him before in special long form.
[00:01:56.753 --> 00:01:58.514]  That's up on PrisonPlanet.tv.
[00:01:58.554 --> 00:02:03.197]  We went to the Pine Ridge Reservation up there where he lives.
[00:02:04.257 --> 00:02:05.138]  But in this program,
[00:02:05.778 --> 00:02:26.452]  Russell Means really comes on to talk about the overall decline of American culture, how really everyone is on the reservation, how everyone is headed for that concentration camp, whether in metaphor or reality, as global imperialism rises, as tyranny spreads globally, as everyone gets taken over, as the former minority groups who were kind of isolated and vulnerable
[00:02:26.852 --> 00:02:28.753]  Have already been largely hit.
[00:02:29.093 --> 00:02:30.514]  Now everyone's going to take a hit.
[00:02:30.834 --> 00:02:38.418]  And you see that in the news segments from this program as well, as Alex covers a wide array of statements from George Soros.
[00:02:38.738 --> 00:02:41.940]  George Soros who says, get ready for class warfare in America.
[00:02:42.280 --> 00:02:45.302]  George Soros who says, I'm having a good crisis.
[00:02:45.342 --> 00:02:46.262]  How's your crisis?
[00:02:46.302 --> 00:02:48.323]  I've been speculating up and down the bubble.
[00:02:48.683 --> 00:02:51.825]  And now George Soros who's called for censoring the web.
[00:02:52.185 --> 00:02:57.932]  He specifically called the police conspiracy theorists and Alex just goes ape in this episode, of course.
[00:02:58.212 --> 00:03:02.437]  There's a lot of other topics including Ron Paul's money bomb to end the TSA.
[00:03:02.777 --> 00:03:08.464]  Yes, he's still the only candidate who would take on real programs, who would try to shut down real tyranny.
[00:03:08.804 --> 00:03:09.365]  We're good to go.
[00:03:35.225 --> 00:03:44.271]  You've got weird technological police state developments like the red spotlight to mark pre-crime suspects that they unveiled in New Jersey.
[00:03:44.591 --> 00:03:46.132]  We covered that earlier in the year.
[00:03:46.172 --> 00:03:49.594]  You've also got military exercises in Los Angeles.
[00:03:49.894 --> 00:03:57.039]  You've got Monsanto saying there's no need or even value in testing genetically modified foods for humans.
[00:03:57.399 --> 00:03:59.000]  No need to test Soylent Green either.
[00:03:59.060 --> 00:04:00.421]  You already know it's made of humans.
[00:04:00.841 --> 00:04:01.442]  You've got
[00:04:02.262 --> 00:04:08.745]  Monsanto also being connected with infertility through its Roundup herbicide agent.
[00:04:09.085 --> 00:04:10.625]  And you've got all kinds of other stuff.
[00:04:10.665 --> 00:04:18.108]  Reports on old dinosaur nests filled with 190 million-year-old eggs and a whole lot more.
[00:04:18.148 --> 00:04:23.991]  Of course, as part of this episode, you've got the powerful Darren McBreen, man on the street.
[00:04:24.311 --> 00:04:27.072]  He talks to people about mandatory vaccinations.
[00:04:27.532 --> 00:04:29.033]  Should we have ever gotten to this point?
[00:04:29.393 --> 00:04:33.094]  Is it okay for students to be forced to get vaccinated to go to university?
[00:04:33.454 --> 00:04:37.375]  Is it okay for military people, for nurses and medical workers?
