[00:00:21.960 --> 00:00:25.224]  Welcome to tonight's InfoWars Nightly News broadcast.
[00:00:25.324 --> 00:00:26.406]  It is a leap year.
[00:00:26.866 --> 00:00:27.968]  Wednesday, February 29, 2012.
[00:00:28.448 --> 00:00:30.891]  I'm your host, Aaron Dyches.
[00:00:31.232 --> 00:00:36.698]  Let's take a look at the important stuff we have coming up tonight, because there's something very special on this broadcast.
[00:00:37.339 --> 00:00:43.583]  Are Russia and China ready to strike back against the United States if a conflict ignites in Iran?
[00:00:44.184 --> 00:00:50.548]  Tonight, father of Reaganomics Paul Craig Roberts joins us to talk about the risky business of U.S.
[00:00:50.628 --> 00:00:54.131]  foreign policy in Iran and the shadow war in Syria.
[00:00:54.571 --> 00:01:01.096]  Then, our whole world has become a giant experiment by mad scientists.
[00:01:01.696 --> 00:01:14.404]  The exclusive debut of the brand-new, long-awaited documentary by Alex Jones, New World Order Blueprint of Mad Men, premieres tonight in its entirety for PrisonPlanet.TV subscribers.
[00:01:14.744 --> 00:01:21.088]  As Alex Jones turns the tables on fear, government, not terrorism, poses the real threat.
[00:01:29.943 --> 00:01:38.748]  We turn now to the news, a series of stories about plenty of lies, lots of cover-ups, as well as the covert genocide going on in our world today.
[00:01:39.148 --> 00:01:50.775]  First in that stack, Obama issues policy directive exempting American citizens from indefinite detention, but skeptics fear future administration could still incarcerate US citizens
[00:01:51.235 --> 00:02:06.699]  Under the NDAA, that's Paul Joseph Watson's report, referring to the White House and the fact sheet they released on the new presidential policy directive, explaining the administration would not like to use the kidnapping provision against American citizens, even though it asked for it.
[00:02:07.099 --> 00:02:09.540]  Section 1022 does not apply to U.S.
[00:02:09.580 --> 00:02:16.782]  citizens, they say, and the president has decided to waive its application to lawful permanent residents arrested in the United States
[00:02:17.202 --> 00:02:20.743]  States, the White House fact sheet, and a link to the PDF.
[00:02:21.003 --> 00:02:22.363]  But what's really going on here?
[00:02:22.723 --> 00:02:36.986]  You've got a president who tells nothing but lies, and they're trying to cover up for the heat they're going to get for the NDAA, which is totally destructive of the Bill of Rights, of our country itself, and the Constitution, and everything we stand for.
[00:02:37.306 --> 00:02:46.128]  And there's been a whole host of these lies, all to make sure people don't get upset at Obama and this Congress for putting this stuff on paper and writing.
[00:02:46.368 --> 00:02:50.090]  Remember, the Patriot Act was a big controversy, even though it wasn't stopped.
[00:02:50.531 --> 00:02:52.792]  Why isn't the NDAA being talked about more?
[00:02:53.092 --> 00:02:54.233]  Well, it finally is.
[00:02:54.273 --> 00:02:59.156]  You've got states revolting and saying they won't go along with the kidnapping provisions.
[00:02:59.436 --> 00:03:05.040]  You've got Virginia almost signing into law the nullification of the NDAA.
[00:03:05.120 --> 00:03:06.020]  It passed through the House.
[00:03:06.120 --> 00:03:07.021]  It passed through the Senate.
[00:03:07.261 --> 00:03:08.842]  It's going through reconciliation now.
[00:03:09.022 --> 00:03:10.763]  Other states are looking at that measure.
[00:03:11.143 --> 00:03:15.166]  Now, just remember where Obama's been on this NDAA issue all along.
[00:03:15.586 --> 00:03:19.369]  First was the deception that it did not apply to Americans.
[00:03:19.770 --> 00:03:21.251]  That turned out not to be true.
[00:03:21.271 --> 00:03:28.197]  Then the president promised he wouldn't sign the legislation, told people that for weeks, for months.
[00:03:28.538 --> 00:03:33.923]  Then it turned out he was going to do a U-turn and kind of reluctantly agreed he was going to sign it.
[00:03:34.383 --> 00:03:41.389]  And the ACLU and the human rights groups and others blasted him for doing so.
[00:03:42.470 --> 00:03:52.482]  Then there was when Carl Levin came out and said, well, we only added the kidnapping Americans provision to the bill because the Obama White House asked us explicitly to do so.
[00:03:52.883 --> 00:04:01.714]  They already had the language in the bill that would have exempted Americans and sidestepped that, but instead it was added at the request of the White House.
[00:04:02.054 --> 00:04:03.055]  Now, what is the White House?
[00:04:03.115 --> 00:04:04.476]  Who is the President anyway?
[00:04:04.536 --> 00:04:08.019]  Does the buck really stop with any one man voted into White House?
[00:04:08.439 --> 00:04:15.405]  Not since they passed the 1947 National Security Act under Truman, who made that quip about the buck stops here.
[00:04:15.786 --> 00:04:29.317]  In fact, it opened the back door to a lot of the globalist policy makers at the CFR and the other groups, including Trilateral and Bilderberg, who really have been coordinating our world government rise and the destruction of the United States for many years.
[00:04:30.137 --> 00:04:37.281]  That's why it's so dangerous, these executive orders, sometimes known as presidential policy directives, and a host of other names.
[00:04:37.321 --> 00:04:39.382]  You can look up how that name has transformed.
[00:04:39.722 --> 00:04:48.347]  But at any rate, Obama has lied repeatedly about the NDAA, when he signed the bill on New Year's Eve when nobody was looking, when he knew the world was out partying.
[00:04:48.807 --> 00:04:52.029]  And not many people were covering it, although we were here at InfoWars.
[00:04:52.409 --> 00:04:58.752]  He still said, well, in his starting statement, I've reluctantly signed this bill, but I'm not going to use it against Americans.
[00:04:58.792 --> 00:04:59.453]  I don't like it.
[00:04:59.873 --> 00:05:01.934]  I find it repugnant, but I signed it into law.
[00:05:02.274 --> 00:05:06.697]  And now here they are again with this executive order saying it doesn't apply to Americans.
[00:05:06.777 --> 00:05:11.879]  Well, how is that going to stop future presidents, whatever may be the intentions of Obama?
[00:05:11.899 --> 00:05:14.481]  So this stuff continues to be extremely dangerous.
[00:05:15.001 --> 00:05:16.802]  You cannot believe what Obama says.
[00:05:17.182 --> 00:05:26.675]  And it really looks like he's just pandering to civil rights groups and a lot of his leftist base as the election year comes up to make sure it doesn't become a bigger issue.
[00:05:27.075 --> 00:05:31.782]  And as I mentioned already, as many states look to nullify that repugnant law.
[00:05:33.038 --> 00:05:39.902]  Now in other news, professor says prevent interspecies genocide, reduce current human numbers.
[00:05:39.982 --> 00:05:49.408]  And this is a Colorado State University professor, Philip Cafaro, in his Climate Ethics and Population Policy document.
[00:05:49.848 --> 00:05:55.752]  You can see it here on the page, Virtue Ethics and the Environment, and it's all about how to fight global warming.
[00:05:56.392 --> 00:05:59.193]  How it won't be enough to just slow population growth.
[00:05:59.513 --> 00:06:01.494]  We're gonna have to reduce current numbers.
[00:06:01.554 --> 00:06:03.334]  Now it's somehow okay to kill people.
[00:06:04.194 --> 00:06:13.157]  It is past time to acknowledge the immense injustice toward other species represented by climate change, he writes, and other human assaults on the biosphere.
[00:06:13.497 --> 00:06:15.898]  The professor goes on to say, oh, he's a professor.
[00:06:15.938 --> 00:06:16.978]  You've got to listen to him.
[00:06:17.358 --> 00:06:20.479]  And to reform our environmental ethics and behavior accordingly.
[00:06:20.999 --> 00:06:30.304]  Going on in other parts of the document, ending human population growth is almost certainly a necessity, but not sufficient to prevent the catastrophic global warming change.
[00:06:31.225 --> 00:06:36.468]  Indeed, significantly reducing current human numbers may be necessary to do so.
[00:06:36.848 --> 00:06:41.071]  In other parts of the document saying, in fact, reducing human population may be necessary.
[00:06:41.411 --> 00:06:46.754]  In other part of the document saying, the question of coercion may not be avoidable forever.
[00:06:47.134 --> 00:06:49.876]  And we always knew the climate change thing was
[00:06:50.476 --> 00:06:51.257]  Going there.
[00:06:51.658 --> 00:07:00.110]  We always knew that it was just another branch of eugenics as that entire model went underground, absorbed environmental movements to achieve its policies.
[00:07:00.130 --> 00:07:05.617]  Al Gore's entire thing with global warming and climate change and the inconvenient hoax.
[00:07:06.058 --> 00:07:06.618]  That's right.
[00:07:22.708 --> 00:07:25.069]  Ethicists telling us why we have to kill people.
