[00:00:03.592 --> 00:00:03.632]  Oh,
[00:00:36.451 --> 00:00:38.754]  Welcome to the InfoWars Nightly News.
[00:00:38.854 --> 00:00:40.195]  I'm your host, Aaron Dykes.
[00:00:40.256 --> 00:00:42.378]  Today is Monday, July 30th, 2012.
[00:00:42.638 --> 00:00:45.502]  Here's a look at what's lined up for tonight.
[00:00:47.941 --> 00:00:56.625]  Tonight, on the InfoWars Nightly News, DHS prepares for civil unrest as Obama is poised to destroy the Second Amendment and the U.S.
[00:00:56.685 --> 00:01:00.646]  Army is buying riot gear as fears of civil unrest grow.
[00:01:01.147 --> 00:01:07.769]  And we have a special report from John Bowne on the Batman massacre, highlighting evidence of a second shooter.
[00:01:08.109 --> 00:01:16.013]  And finally, Aaron meets with Dan Graber of OilPrice.com to talk about how an uprising in Syria could affect the global oil market.
[00:01:16.773 --> 00:01:23.348]  All this, plus predator drones flying over North Dakota, in tonight's InfoWars Nightly News.
[00:01:35.353 --> 00:01:39.156]  So let's lead off with some warm-hearted individuals that want to take your guns.
[00:01:39.176 --> 00:01:41.297]  Yes, gun control is in the air.
[00:01:42.018 --> 00:01:44.299]  And it's, of course, got the Democrats involved.
[00:01:44.660 --> 00:01:47.182]  We've got a cyber security bill in the Senate.
[00:01:47.462 --> 00:01:50.704]  They're trying to ram that through, saying they're voting on it this week.
[00:01:51.064 --> 00:01:56.748]  Meanwhile, it's been found that there's gun control hidden in one of these amendments, which surely shouldn't be allowed.
[00:01:57.449 --> 00:01:57.709]  We're good.
[00:02:27.809 --> 00:02:39.332]  Democratic Senators Barbara Boxer, Feinstein, the rest of them, who want to make it illegal to transfer, buy, or even possess clips with more than 10 bullets in them.
[00:02:39.952 --> 00:02:43.473]  Or even semi-autos that can take more than 10 bullets.
[00:02:43.513 --> 00:02:45.373]  That's almost every gun, folks.
[00:02:45.753 --> 00:02:46.994]  That's a wide range.
[00:02:47.034 --> 00:02:54.155]  And they want to include, of course, gun magazines, belts, feed stripes, drums, and all these scary sounding words.
[00:02:54.215 --> 00:02:55.996]  Why would anyone need these things?
[00:02:56.636 --> 00:02:58.338]  It's protection from the government.
[00:02:58.738 --> 00:03:01.420]  Everyone knows that, but they want to make it sound reasonable.
[00:03:01.781 --> 00:03:04.403]  Schumer says maybe we could come together on guns.
[00:03:04.463 --> 00:03:06.625]  Talking about Democrats, Republicans.
[00:03:06.685 --> 00:03:07.726]  Come together in the middle.
[00:03:08.166 --> 00:03:09.647]  If each side gave some.
[00:03:09.667 --> 00:03:12.470]  They always want us to give up just a little of our rights.
[00:03:12.870 --> 00:03:14.111]  Do not infringe.
[00:03:14.151 --> 00:03:15.091]  That's the Second Amendment.
[00:03:15.171 --> 00:03:16.012]  Do not infringe.
[00:03:16.092 --> 00:03:17.312]  Shall not infringe.
[00:03:17.712 --> 00:03:18.613]  Do not infringe.
[00:03:18.633 --> 00:03:20.694]  No, we don't move towards the middle on this.
[00:03:21.094 --> 00:03:22.855]  It's a do not cross line.
[00:03:23.215 --> 00:03:25.717]  It's a line held by individual Americans.
[00:03:26.057 --> 00:03:30.839]  That's the whole reason we have a Bill of Rights to offset tyrannical government.
[00:03:30.879 --> 00:03:32.300]  It was a greater protection
[00:03:32.720 --> 00:03:39.542]  Because many of the wise founding fathers in the founding day did not trust the power given to the federal government under the Constitution.
[00:03:39.862 --> 00:03:44.383]  That's why they insisted before ratifying at the state level the Bill of Rights.
[00:03:44.463 --> 00:03:46.364]  That's really what's going on there.
[00:03:46.664 --> 00:03:48.124]  But Schumer doesn't see it that way.
[00:03:48.184 --> 00:03:54.446]  He wants you to think it's reasonable just to have a few, a few, just a few little control things in there.
[00:03:54.706 --> 00:03:58.067]  We're not talking about radical gun control, just rational gun control.
[00:03:59.090 --> 00:04:02.392]  But, why are the Republicans also calling for gun control?
[00:04:02.432 --> 00:04:04.613]  They're supposed to be pro-Second Amendment.
[00:04:04.633 --> 00:04:07.695]  They're supposed to be the group that's really fighting for our rights.
[00:04:07.775 --> 00:04:09.636]  Well, obviously we can't hold our breath.
[00:04:10.076 --> 00:04:14.578]  Judge Scalia, Supreme Court Justice, opened the door for this, saying that D.C.
[00:04:14.618 --> 00:04:22.142]  Heller was just the beginning of new decisions for gun control, while they upheld the right to have a handgun in D.C.
[00:04:22.402 --> 00:04:23.943]  after the long-standing ban.
[00:04:24.403 --> 00:04:26.104]  It actually was just opening the door.
[00:04:26.144 --> 00:04:27.385]  Let's play part of that clip now.
[00:04:29.071 --> 00:04:39.419]  My starting point and probably my ending point will be what limitations are within the understood limitations that the society had at the time.
[00:04:39.859 --> 00:04:43.222]  They had some limitations on the nature of arms that could be born.
[00:04:43.971 --> 00:04:49.178]  So we'll see what those limitations are as applied to modern weapons.
[00:04:49.898 --> 00:05:00.812]  And of course he makes the non sequitur argument that menacing with a weird or particularly disturbing seeming weapon was recognized by the founders that has nothing to do with the actual right to keep and bear arms.
[00:05:01.132 --> 00:05:05.434]  Yeah, if you go and use that weapon to menace someone, obviously that's a crime.
[00:05:05.454 --> 00:05:07.335]  There's already things on the books to deal with that.
[00:05:07.615 --> 00:05:13.538]  We don't need to conflate that with reasons for gun control or saying it's okay because the Founding Fathers had that in mind.
[00:05:13.898 --> 00:05:15.219]  Read the quotes, I dare you.
[00:05:15.399 --> 00:05:18.200]  None of them are for gun control, no matter what side they're on.
[00:05:18.440 --> 00:05:21.222]  But Scalia is just the beginning of so many of them.
[00:05:21.782 --> 00:05:25.644]  You saw Rupert Murdoch, you saw Bill Kristol, all phony.
[00:05:26.584 --> 00:05:34.988]  Conservatives, not real conservatives, but very much leaders of the GOP, all calling for gun control, and now Bill O'Reilly has jumped on that bandwagon as well.
[00:05:35.428 --> 00:05:43.952]  And of course that's true, but it also makes sense for Congress to pass a new law that requires the sale of all heavy weapons to be reported to the FBI.
[00:05:44.392 --> 00:05:46.873]  In this age of terrorism, that law is badly needed.
[00:05:47.753 --> 00:05:51.775]  And there's more of that clip, of course, but Michael Savage has also made comments.
[00:05:51.795 --> 00:05:53.556]  We'll play a few seconds of that as well.
[00:05:55.634 --> 00:06:01.876]  Why was this idiot allowed to go buy a drum magazine for a .223 rifle, an AR-15 convert?
[00:06:01.896 --> 00:06:03.377]  I don't know what the AR-15 was.
[00:06:03.857 --> 00:06:08.418]  I once owned an AR-15, but they became illegal in California with a certain stock.
[00:06:08.458 --> 00:06:09.038]  I got rid of it.
[00:06:10.219 --> 00:06:12.059]  I own a Ruger Mini-14, which shoots a .223.
[00:06:12.459 --> 00:06:15.400]  They're wonderful weapons, but I don't have a drum magazine.
[00:06:15.420 --> 00:06:16.761]  What do I need a drum magazine for?
[00:06:17.721 --> 00:06:23.564]  Where in the world is it written that an average citizen should be able to buy a drum magazine that holds a hundred rounds of ammunition?
[00:06:23.904 --> 00:06:27.185]  That's a military, that is a military drum.
[00:06:27.545 --> 00:06:28.826]  It's for military use only.
[00:06:29.186 --> 00:06:32.067]  I know many of you say, oh, in case the government, we're going to fight the government.
[00:06:32.087 --> 00:06:33.708]  Please, I don't want to hear that anymore.
[00:06:36.078 --> 00:06:48.204]  And that's just a small smattering of all the people on the so-called right who are joining in this chorus for banning, quote, semi-autos, for banning assault weapons, for banning these multiple, multiple round drums.
[00:06:48.564 --> 00:06:50.405]  This is about protection from tyranny.
[00:06:50.846 --> 00:06:51.346]  We know
[00:06:51.806 --> 00:06:57.350]  That Homeland Security has geared up with 450 hollow point rounds with all their riot gear control.
[00:06:57.390 --> 00:06:58.731]  The Army's doing the same thing.
[00:06:59.071 --> 00:07:03.414]  They're prepared for civil unrest and riots that they are going to cause.
[00:07:03.754 --> 00:07:05.515]  That's why Americans are not stupid.
[00:07:05.535 --> 00:07:07.977]  They're buying guns and they're getting ready just in case.
[00:07:08.557 --> 00:07:09.558]  Nobody wants a fight.
[00:07:09.958 --> 00:07:11.079]  None of the people, anyway.
