[00:00:28.664 --> 00:00:29.485]  I'm Aaron Dykes.
[00:00:29.606 --> 00:00:31.708]  This is the InfoWars Nightly News.
[00:00:31.789 --> 00:00:33.551]  Today is Wednesday, April 18, 2012.
[00:00:36.823 --> 00:00:40.507]  Tonight, the Alex Jones exclusive interview with U.S.
[00:00:40.547 --> 00:00:48.756]  Senator Rand Paul as they discuss the expansion of the TSA and the constitutional violations of the Obama administration.
[00:00:49.136 --> 00:00:58.887]  Then, Oklahoma City bombing eyewitness joins Alex via video Skype as she reveals that she witnessed men in General Service Administration uniforms
[00:00:59.147 --> 00:01:03.011]  That were in the Murrah Federal Building before the false flag attack.
[00:01:03.271 --> 00:01:05.894]  A bombshell interview with Jane Graham.
[00:01:06.394 --> 00:01:11.199]  Next, President Obama has an ambitious plan to take command of the oceans.
[00:01:11.440 --> 00:01:14.483]  And with it, control over much of the nation's energy.
[00:01:14.763 --> 00:01:20.289]  In a move that can only be described as the ultimate power grab to zone the high seas.
[00:01:20.649 --> 00:01:22.811]  Plus, Goldman Sachs rules the world.
[00:01:23.091 --> 00:01:24.512]  Is the Bank of England next?
[00:01:24.933 --> 00:01:31.078]  And did you know that the national debt under Obama has increased over $5 trillion and counting?
[00:01:31.559 --> 00:01:38.865]  All that plus more of today's top headlines as we now take you to the Texas Central Command Center deep behind enemy lines.
[00:01:39.105 --> 00:01:43.289]  And Aaron Dykes from the InfoWars studio in Austin, Texas.
[00:01:54.338 --> 00:02:04.320]  And as we turn now to our top story, let's keep in mind we have been sabotaged economically, and the scales of inequality are beginning to reach a tipping point.
[00:02:05.180 --> 00:02:07.780]  Tonight we have the $5 trillion man.
[00:02:08.200 --> 00:02:12.561]  Debt has increased under Obama by more than $5 trillion.
[00:02:12.901 --> 00:02:21.563]  You've got to keep in mind that in the first 219 years of the republic, all the presidents through Bill Clinton, the total American debt
[00:02:22.363 --> 00:02:22.843]  I think?
[00:02:42.657 --> 00:02:54.819]  And you just see, as they inflate the dollar, deflate the value, allow the banks to take over more and more, this is where we go as they build the socialist, communist, Soviet, fascist takeover government.
[00:02:55.199 --> 00:02:56.059]  It's just disgusting.
[00:02:56.419 --> 00:03:00.820]  Meanwhile, the House Investigative Committee is focusing on the GSA.
[00:03:01.220 --> 00:03:11.802]  I think that's a department a lot of people weren't even keeping tabs on or aware of, the General Services Administration, which does general things with spending government money, I would imagine.
[00:03:12.262 --> 00:03:34.048]  Anyway, they are under investigation on the Transportation and Infrastructure Subcommittee and the public figures say they're in hot water and ready to dismantle the organization over the $823,000 spent by 300 GSA officials during their luxury getaway in Las Vegas, where they spent quite a bit on entertainment, I'm sure.
[00:03:34.108 --> 00:03:37.369]  I'm sure it's a big scandal, really bad, but they're covering up.
[00:03:37.769 --> 00:03:38.329]  We're good to go.
[00:03:55.014 --> 00:04:02.218]  The scale of commitments we have under the larger economic bailout, the things happening in Europe, the things happening here with the five big banks.
[00:04:02.598 --> 00:04:08.941]  Which brings us to the fact that the too-big-to-fail banks are now much bigger and more powerful than ever.
[00:04:09.001 --> 00:04:11.022]  That's according to the American Dream blog.
[00:04:11.382 --> 00:04:17.826]  The Democrats, the Republicans, and especially Barack Obama promised something would be done about the too-big-to-fail banks.
[00:04:18.246 --> 00:04:19.207]  Well, what's been done?
[00:04:19.627 --> 00:04:21.149]  Those promises have not been kept.
[00:04:21.569 --> 00:04:24.552]  However, the banks are much more powerful than ever.
[00:04:24.952 --> 00:04:31.738]  Whereas, at the beginning of the bailout, their total assets represented about 43% of total U.S.
[00:04:31.878 --> 00:04:37.944]  gross domestic product, they've now grown to having assets equal to about 56% of total U.S.
[00:04:37.984 --> 00:04:38.164]  GDP.
[00:04:41.997 --> 00:04:53.103]  And furthermore, the five big banks, which include JPMorgan Chase, Bank of America, Citigroup, Wells Fargo, and Goldman Sachs, are nearly twice as large as they were a decade ago.
[00:04:53.504 --> 00:05:03.189]  So you can see who's benefiting from the grand looting while we're distracted by the Obama presidency, by scandals in various government agencies, by celebrity news.
[00:05:03.389 --> 00:05:06.091]  On and on, they're just robbing and robbing and robbing.
[00:05:06.431 --> 00:05:07.652]  So what's happening in Europe?
[00:05:07.952 --> 00:05:11.115]  The takeover by Goldman Sachs is almost complete.
[00:05:11.455 --> 00:05:13.417]  Paul Joseph Watson has the report today.
[00:05:13.477 --> 00:05:15.559]  Goldman Sachs rules the world.
[00:05:15.959 --> 00:05:17.160]  The Bank of England next.
[00:05:17.480 --> 00:05:24.646]  And you've got Canadian central bank head Mark Carney apparently about to head the centuries-old Bank of England.
[00:05:25.206 --> 00:05:30.010]  Like the Federal Reserve, it is a private institution that helps to loot the British government.
[00:05:30.845 --> 00:05:30.985]  That's
[00:05:49.087 --> 00:05:52.770]  That's what Goldman Sachs stands for, even though the monarchy is not appealing either.
[00:05:52.870 --> 00:06:00.095]  The real controversy is that Goldman Sachs now has a number of very key positions inside the EU.
[00:06:00.816 --> 00:06:03.298]  Taking over the Bank of London would just be another step.
[00:06:03.578 --> 00:06:09.823]  You've already got figures like Peter Sutherland, a member of Goldman Sachs, as well as BP from Ireland.
[00:06:09.883 --> 00:06:12.705]  You've got people like Antonio Borges of France.
[00:06:13.005 --> 00:06:17.749]  You've got Mario Monti, the technocrat, the Bilderberger, the Trilateral Commission member.
[00:06:18.189 --> 00:06:20.551]  But unelected to head Italy.
[00:06:21.111 --> 00:06:26.775]  Same thing with Papademos in Greece and a number of other people like Petros Christodoulos.
[00:06:27.416 --> 00:06:30.758]  Mario Draghi is head of the EU Central Bank.
