[00:00:00.049 --> 00:00:00.609]  Network.
[00:00:01.109 --> 00:00:03.650]  We've got it.
[00:00:04.110 --> 00:00:09.872]  This transmission is coming to you.
[00:00:09.952 --> 00:00:14.073]  Waging war on corruption.
[00:00:14.333 --> 00:00:20.015]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:22.595 --> 00:00:39.959]  Ladies and gentlemen, thank you so much for joining us.
[00:00:40.099 --> 00:00:42.240]  It is July 1st, 2012.
[00:00:42.500 --> 00:00:48.801]  We're going to be live here on this Sunday transmission for the next two hours, Lord willing.
[00:00:50.506 --> 00:00:54.840]  Then of course I'll be back tomorrow, 11 to 2 Central during the day, 12 noon to 3 p.m.
[00:00:54.860 --> 00:00:55.001]  Eastern.
[00:00:57.040 --> 00:01:00.761]  Okay, wow, there is a lot of financial news I want to get to.
[00:01:00.821 --> 00:01:12.403]  Also, we have the big heat wave, and Al Gore is out there saying pay him money and it will fix summer temperatures that have been recorded for hundreds of years this time of year.
[00:01:13.303 --> 00:01:20.165]  It is certainly in a cycle, and the earth gets hot, the earth gets cold, but they'd have you believe you can pay carbon indulgences to them.
[00:01:20.185 --> 00:01:22.005]  We're going to be going over that because
[00:01:23.035 --> 00:01:25.317]  They've shut down a lot of power plants nationwide.
[00:01:25.337 --> 00:01:27.760]  They've had different electric commissions come out and point this out.
[00:01:28.420 --> 00:01:29.782]  In the name of carbon taxes.
[00:01:29.862 --> 00:01:32.064]  But really it's just you just shut down their competition.
[00:01:32.444 --> 00:01:33.706]  People that aren't the insiders.
[00:01:34.186 --> 00:01:42.334]  And so there are rolling blackouts in states where they weren't hit by big storms that made trees fall on power lines and things.
[00:01:42.735 --> 00:01:43.636]  That always happens.
[00:01:45.091 --> 00:01:55.313]  A lot of this is happening because there isn't the power production capacity available anymore during peak times in the winter and the summer.
[00:01:55.413 --> 00:01:56.993]  It's just that simple.
[00:01:58.194 --> 00:02:00.154]  Devastating heatwave continues from St.
[00:02:00.174 --> 00:02:01.194]  Louis to D.C.
[00:02:01.374 --> 00:02:03.455]  Power outages drag on in D.C.
[00:02:03.515 --> 00:02:03.835]  region.
[00:02:03.955 --> 00:02:08.596]  Officials fuming at utility companies send in FEMA to save the day.
[00:02:10.101 --> 00:02:19.703]  All FEMA could do was confiscate guns, shut down highways, and not let anybody get aid in, the fire departments all over the country that wanted to come help, and police departments.
[00:02:20.583 --> 00:02:33.565]  That's all FEMA could do, was squat, like an obese tick, on top of New Orleans for a month, while people's families, you know, old folks died in nursing homes and things, and folks in hospitals.
[00:02:33.605 --> 00:02:34.826]  I mean, that's what you do.
[00:02:35.506 --> 00:02:36.466]  So, to have
