[00:00:02.807 --> 00:00:03.448]  We're good to go.
[00:00:34.969 --> 00:00:36.813]  You're watching the InfoWars Nightly News.
[00:00:36.893 --> 00:00:39.279]  Today's date is Thursday, November 1st, 2012.
[00:00:39.679 --> 00:00:42.225]  Or Dia de los Muertos.
[00:00:42.325 --> 00:00:44.791]  I'm your host Rob Dew, and here's a little look at what we have coming up.
[00:00:48.052 --> 00:00:58.960]  Tonight, there is now more reason than ever to avoid aspartame, as one of the most thorough studies yet links the ingredient to leukemia and lymphoma.
[00:00:59.481 --> 00:01:12.450]  Then, state troopers have been deployed to all gas stations along the New Jersey Turnpike, as gasoline supplies dwindle, and Natural News launches an amazing new beverage.
[00:01:13.371 --> 00:01:15.192]  Introducing Fluoride Soda.
[00:01:15.553 --> 00:01:20.036]  Scientifically formulated with 1,000 times the fluoride of your tap water.
[00:01:20.356 --> 00:01:25.659]  It's guaranteed to fry so many brain cells that you'll say, I just don't give a crap anymore.
[00:01:26.120 --> 00:01:28.101]  And that's a state of ultimate bliss.
[00:01:28.561 --> 00:01:32.404]  That's coming up next on the InfoWars Nightly News.
[00:01:44.116 --> 00:01:49.320]  Our top story is truly horrendous, but doesn't surprise me in this wake of, you know, TSA abuses going on.
[00:01:49.340 --> 00:01:49.921]  But here we go.
[00:01:50.401 --> 00:01:53.784]  TSA screener arrested for alleged child rape.
[00:01:53.844 --> 00:01:59.909]  And this is Paul Joseph Watson writes, federal agency's pension for hiring child molesters crops up again.
[00:01:59.929 --> 00:02:03.852]  A TSA agent in Cleveland has been arrested for allegedly raping a young boy.
[00:02:04.172 --> 00:02:04.873]  Just an example
[00:02:05.573 --> 00:02:06.995]  Let's roll that clip now.
[00:02:24.226 --> 00:02:37.676]  This is a state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the-art, state-of-the
[00:02:39.468 --> 00:02:40.989]  So are we surprised this is happening?
[00:02:41.610 --> 00:02:44.372]  Okay, you put people in this position where they get to lord over people.
[00:02:44.412 --> 00:02:46.093]  They're above any sort of law.
[00:02:46.954 --> 00:02:48.775]  I couldn't go grab people like this.
[00:02:49.075 --> 00:02:50.376]  You couldn't go grab people like this.
[00:02:50.416 --> 00:02:57.562]  Yet these TSA agents, these people in these lower-wage jobs that have little or no training are allowed to go out and just grab people, whatever they want.
[00:02:57.882 --> 00:02:59.043]  So of course they think they're gods.
[00:02:59.063 --> 00:03:03.667]  That's why we have reports of them screaming, I am God, I have power, over and over again, everywhere.
[00:03:04.167 --> 00:03:04.968]  So are you surprised?
[00:03:05.108 --> 00:03:05.448]  I'm not.
[00:03:05.568 --> 00:03:06.149]  I'm not at all.
[00:03:06.889 --> 00:03:09.111]  And I'm not surprised at this next story, either.
[00:03:09.611 --> 00:03:13.134]  Battered New Jersey agonizes over whether to rebuild the shore.
[00:03:13.714 --> 00:03:16.296]  I've been to the Jersey Shore several times, but here we go.
[00:03:16.516 --> 00:03:23.181]  Now the environmentalists are going to get involved, and they say New Jersey should reconsider not rebuilding everything lost to Superstorm Sandy.
[00:03:24.461 --> 00:03:24.662]  U.S.
[00:03:24.682 --> 00:03:31.991]  Geological Survey scientist Jeffrey Williams says rising sea levels and changing weather patterns make it likely that the coast will be hit by more frequent and destructive storms.
[00:03:32.371 --> 00:03:39.220]  Oh, especially if you have the DHS going out there and trying to control storms, which we reported on yesterday that they were doing.
[00:03:40.211 --> 00:03:42.773]  So, you know, I've been to the New Jersey Shore.
[00:03:43.254 --> 00:03:44.235]  I think it's a great place.
[00:03:44.275 --> 00:03:47.157]  It's a great place for families to go, for young kids to go hang out.
[00:03:47.518 --> 00:03:50.000]  They have several of these amusement parks.
[00:03:50.520 --> 00:03:53.743]  You know, it's a place to go kill some time when you're trying to unwind.
[00:03:53.803 --> 00:03:55.104]  Plus, you have the beach right there.
[00:03:55.144 --> 00:03:56.405]  And they have a big beach.
[00:03:56.886 --> 00:04:00.049]  You know, I was just in Miami over the last weekend.
[00:04:00.956 --> 00:04:04.518]  Their beaches are actually eroding, and they're very small, and they bring in sand.
[00:04:04.558 --> 00:04:06.799]  The Jersey Shore has got a huge beach.
[00:04:07.219 --> 00:04:08.059]  They can build on it.
[00:04:08.100 --> 00:04:09.260]  They have a lot of room.
[00:04:09.360 --> 00:04:11.341]  And, you know, these coastlines change over time, too.
[00:04:11.661 --> 00:04:12.902]  They come in, they go out.
[00:04:12.942 --> 00:04:13.842]  It's a natural thing.
[00:04:14.182 --> 00:04:15.603]  And that's what's happening all over the world.
[00:04:15.643 --> 00:04:19.625]  But, yeah, you know, if you're going to build on the coast, you should know that there are some risks to that.
[00:04:19.745 --> 00:04:20.766]  And that's just the way it is.
[00:04:20.826 --> 00:04:23.107]  If you want to build on it, though, I say go right ahead.
[00:04:24.690 --> 00:04:25.831]  But this goes to more.
[00:04:26.171 --> 00:04:28.452]  It's not just the Jersey Shore that's under attack.
[00:04:28.972 --> 00:04:33.035]  State troopers deployed as tensions boil at gas stations in Sandy's Wake.
[00:04:33.055 --> 00:04:39.158]  And these are the people who didn't prepare, or maybe they prepared but for not enough time for these temperatures to go down.
[00:04:39.178 --> 00:04:40.119]  This is out of Fox News.
[00:04:40.579 --> 00:04:45.602]  What we have are basically people standing in line trying to get gas in gas cans.
[00:04:47.162 --> 00:04:47.482]  Here we go.
[00:04:47.502 --> 00:04:55.544]  Officials said that more than half the gasoline service stations in the New York City area and New Jersey have been shut down because they're either out of fuel or don't have power to operate the pumps.
[00:04:55.684 --> 00:04:58.685]  In addition, pipelines and refineries have been shut down due to store damage.
[00:04:59.185 --> 00:05:03.466]  More than 80% of the stations in New Jersey were unable to sell gasoline as of Wednesday.
[00:05:03.486 --> 00:05:07.927]  That's according to the New Jersey Gasoline Convenience Automotive Association.
[00:05:09.287 --> 00:05:10.028]  So what have you got?
[00:05:10.448 --> 00:05:11.708]  You have the fact that people
[00:05:12.529 --> 00:05:18.394]  Prepared, but maybe not enough, not for enough time, because a lot of these people are getting gas for generators.
[00:05:18.434 --> 00:05:22.817]  They're trying to keep the lights on in their house, but they didn't have a small stockpile.
[00:05:23.357 --> 00:05:24.979]  And, you know, they had plenty of time.
[00:05:24.999 --> 00:05:28.582]  There was plenty of time to get ready for this storm, for people to go out and get prepared.
[00:05:28.902 --> 00:05:30.143]  Let's continue on with the article.
[00:05:30.683 --> 00:05:35.148]  Rivaling the demand for gas was the scarcity of D-batteries, the kind most flashlights use.
[00:05:35.509 --> 00:05:43.478]  Virtually every store in New Jersey, New York City, and Long Island was cleaned out, and the reports of them were selling for as much as $5 a piece.
[00:05:44.039 --> 00:05:45.821]  And this is something we see in a lot of crises.
[00:05:46.181 --> 00:05:49.946]  You know, bottled water suddenly goes for $10 a gallon instead of a dollar a gallon.
[00:05:50.346 --> 00:05:55.833]  Flashlight batteries, toilet paper, paper towels, stuff people use, you know, to keep clean.
[00:05:55.893 --> 00:06:01.961]  These things suddenly get these amazing markups and you see people taking advantage of people, especially when it's down.
[00:06:02.702 --> 00:06:06.506]  You know, all I can say is it's time to prepare, and we're going to get more of that.
[00:06:06.526 --> 00:06:08.589]  Some products that we sell that allow you to prepare.
[00:06:09.089 --> 00:06:09.710]  One more, though.
[00:06:09.770 --> 00:06:13.174]  Here's another little control mechanism Bloomberg was implementing.
[00:06:13.574 --> 00:06:16.397]  Driving restrictions into Manhattan lead to gridlock.
[00:06:17.178 --> 00:06:19.160]  And you're saying, well, they want people to carpool.
[00:06:19.921 --> 00:06:21.262]  So why are they having driving restrictions?
[00:06:21.322 --> 00:06:30.871]  Well, they actually set up checkpoints, and they actually funneled people down to one lane, and were making sure that there were only, you know, at least three people in every car before they allowed them into the tunnel.
[00:06:31.212 --> 00:06:33.354]  If they didn't have three people, they were turned around.
[00:06:33.714 --> 00:06:37.618]  So by funneling all this traffic into one lane, it made a huge gridlock.
[00:06:37.918 --> 00:06:38.819]  But this is what you get.
[00:06:39.995 --> 00:06:44.176]  In these situations, you get these people, you know, coming in and maintaining control.
[00:06:44.256 --> 00:06:45.696]  So what's the first thing they do?
[00:06:45.736 --> 00:06:47.137]  They control the modes of travel.
[00:06:47.177 --> 00:06:48.117]  They control food.
[00:06:48.177 --> 00:06:50.297]  They control transportation and fuel.
[00:06:50.857 --> 00:06:53.398]  All these things are controlled.
[00:06:54.078 --> 00:07:01.220]  So what you have is things that lead to giant gridlocks, gasoline lines, people paying $5 for D batteries.
[00:07:01.680 --> 00:07:02.900]  So what do we learn from all this?
[00:07:03.260 --> 00:07:04.461]  You need to prepare.
[00:07:04.501 --> 00:07:05.981]  I want to go over a few things we have
[00:07:06.661 --> 00:07:10.462]  That'll allow you to prepare one, I think is, I don't think it's the 9 we've ever shown on this show before.
[00:07:11.003 --> 00:07:14.904]  The first thing here is this Aquapod, which is what we sell at the Info Wars store.
[00:07:14.944 --> 00:07:25.748]  Here's something you can put in your bathtub, you fill it up with water before the storm gets there, and then if the water gets cut out, or if it's contaminated with sewage, well you've got fresh water that then you can pump out.
[00:07:25.788 --> 00:07:29.609]  It comes with a little pump inside, and you can actually pump it out into your water filter.
[00:07:29.989 --> 00:07:31.510]  You and your family have clean drinking water.
[00:07:31.530 --> 00:07:34.331]  If you have two bathtubs, well you get twice the amount of water there.
[00:07:34.871 --> 00:07:40.413]  And it does not have BPA in it, so you're not going to be drinking those BPA chemicals by holding this in.
[00:07:40.433 --> 00:07:43.314]  So this is a great gift for Christmas.
[00:07:43.514 --> 00:07:44.234]  Great gift to get.
[00:07:44.254 --> 00:07:47.235]  Put it in your closet and have it there for those emergencies.
[00:07:47.275 --> 00:07:48.015]  Here's another one.
[00:07:48.596 --> 00:07:49.556]  The pocket socket.
[00:07:50.136 --> 00:07:50.516]  Okay?
[00:07:50.856 --> 00:07:54.518]  Charge up your cell phone, charge up your radio, things that would need batteries.
[00:07:56.536 --> 00:07:57.517]  But you can charge it up here.
[00:07:57.558 --> 00:07:58.078]  You pull it out.
[00:07:58.218 --> 00:07:58.899]  You crank it up.
[00:07:58.939 --> 00:07:59.620]  You have it plugged in.
[00:07:59.640 --> 00:08:01.263]  It's got a little outlet there.
[00:08:01.683 --> 00:08:06.009]  Allows you to run things as long as you got the willpower and the manual dexterity to do it.
[00:08:06.450 --> 00:08:08.292]  And finally, the LifeStraw.
[00:08:08.333 --> 00:08:09.935]  This is something you can put in your bug out bag.
[00:08:10.736 --> 00:08:11.797]  Basically, you pop it open.
[00:08:12.987 --> 00:08:17.589]  And then you use this in, put it in the water, and it actually filters the water as you suck it through.
[00:08:18.170 --> 00:08:20.191]  Better than drinking contaminated water, people.
[00:08:20.271 --> 00:08:21.251]  You know, that's what I say.
[00:08:21.291 --> 00:08:21.852]  Get prepared.
[00:08:22.592 --> 00:08:29.636]  And we had a few reports that we covered of these nuclear reactors going into, you know, these emergency modes.
[00:08:31.081 --> 00:08:33.483]  For that, we have a lot of different things we could offer you.
[00:08:33.623 --> 00:08:34.824]  One, we have these little cards here.
[00:08:34.964 --> 00:08:42.048]  The red triage sensors, which actually, you wear this around your neck, and it shows you if you've received high doses of radiation.
[00:08:42.709 --> 00:08:50.694]  Here's a hazard-packed digital survival library that goes over different things to do surviving in a radioactive environment.
[00:08:50.714 --> 00:08:54.297]  We have the particle mask, which will keep you from breathing in those particles.
[00:08:54.417 --> 00:08:57.559]  The ThyroSafe, which is potassium iodide tablets.
[00:08:57.579 --> 00:09:00.881]  This is exactly what Homeland Security uses when they're trying to keep their people safe.
[00:09:01.621 --> 00:09:08.606]  I also have these little meters that come, these rad stickers that come with a little manual on how to use them and what the numbers mean.
[00:09:08.887 --> 00:09:15.411]  These you can put all over your home so you can see if, you know, you're driving around in your car, if you went through a radiation area, or if you're getting it in your home.
[00:09:15.852 --> 00:09:19.314]  And then finally, here's a book, Nuclear War Survival Skills.
[00:09:19.774 --> 00:09:27.440]  I'm not saying we're going to have a nuclear war, but stuff like this could help you out in case there's some sort of fallout, some sort of nuclear fallout, like Chernobyl, anything like that.
[00:09:28.601 --> 00:09:29.862]  Well, and let's move on.
[00:09:31.215 --> 00:09:32.496]  We just went over a lot of bad news.
[00:09:32.556 --> 00:09:34.137]  I kind of want to go over a funny story here.
[00:09:34.197 --> 00:09:42.142]  Natural News launches a Diet Fluoride Soda, an amazing new beverage made with aspartame and hydrofluorosilicic acid.
[00:09:42.463 --> 00:09:44.744]  Can you say hydrofluorosilicic acid three times?
[00:09:45.224 --> 00:09:49.027]  That's the stuff that they call fluoride that they put in your water that really isn't fluoride.
[00:09:49.047 --> 00:09:50.348]  It's a bunch of other chemicals.
[00:09:51.048 --> 00:09:54.351]  And you know, my description of it isn't going to do it justice.
[00:09:54.391 --> 00:09:55.591]  Let's just go to their commercial now.
[00:09:55.631 --> 00:09:58.313]  I can't believe they're talking about a product like this.
[00:09:58.353 --> 00:09:59.314]  So, let's roll it.
[00:10:00.586 --> 00:10:02.407]  Introducing Fluoride Soda!
[00:10:02.767 --> 00:10:07.249]  Scientifically formulated with 1,000 times the fluoride of your tap water.
[00:10:07.570 --> 00:10:12.872]  It's guaranteed to fry so many brain cells that you'll say, I just don't give a crap anymore.
[00:10:13.333 --> 00:10:15.314]  And that's a state of ultimate bliss.
[00:10:15.954 --> 00:10:17.955]  Plus, it's sexy to be stupid.
[00:10:18.455 --> 00:10:21.577]  Harvard researchers have confirmed that fluoride dumbs you down.
[00:10:22.037 --> 00:10:25.639]  But what they didn't tell you is that it also makes you too cool for school.
[00:10:25.999 --> 00:10:29.342]  I was never popular at school until I began drinking fluoride soda.
[00:10:29.763 --> 00:10:32.545]  Now I'm slugging out and more popular than ever!
[00:10:32.906 --> 00:10:45.118]  And for those who want to slim down while you dumb down, we've got diet fluoride soda with extra aspartame combined with the fluoride to hammer your face harder than an ex-wife with a hard liquor hangover.
[00:10:45.858 --> 00:10:47.199]  But wait, there's more!
[00:10:47.460 --> 00:10:51.323]  Need more energy to power through your awesome day as a blissful fluoride drinker?
[00:10:51.803 --> 00:10:53.985]  You need Monster Diet Fluoride Soda!
[00:10:54.446 --> 00:10:58.249]  Formulated with 10 times the caffeine of any other drink on the market!
[00:10:58.709 --> 00:11:06.175]  Between the caffeine, the aspartame, and the fluoride, you'll be riding a rocket ship of chemically enhanced coolness all day long!
[00:11:06.676 --> 00:11:07.637]  But hold on!
[00:11:07.897 --> 00:11:13.862]  In the next 30 days, we will be introducing the world's first Monster Chemo Diet Fluoride Soda!
[00:11:14.202 --> 00:11:22.548]  With a full therapeutic dose of brain-frying chemotherapy, this soda packs more chemicals into one can than a trailer park meth lab.
[00:11:22.868 --> 00:11:35.216]  And for those of you who do not give a sh** about the three remaining brain cells bouncing around inside your pathetic skulls, we now have the ultimate Monster Chemo Agent Orange Diet Chloride Soda.
[00:11:35.336 --> 00:11:42.001]  With genetically modified aspartame, the American Medical Association calls it the most nutritious beverage ever invented.
[00:11:42.241 --> 00:11:42.641]  Yeah!
[00:11:42.681 --> 00:11:43.722]  Makes your hair fall out.
[00:11:44.302 --> 00:11:45.622]  But you won't even care!
[00:11:45.882 --> 00:11:48.963]  Because all your cognitive functions are instantly burned out.
[00:11:49.443 --> 00:11:52.964]  Rendering you completely unconscious, but still able to vote.
[00:11:53.404 --> 00:11:54.765]  Ask for it by name!
[00:11:55.365 --> 00:12:00.126]  Monster Chemo Agent Orange Diet Fluoride Soda with Genetically Modified Aspartame!
[00:12:00.426 --> 00:12:03.527]  Monster Chemo Agent Orange Diet Fluoride Soda!
[00:12:03.727 --> 00:12:05.407]  Monster Chemo Agent Orange Diet Fluoride Soda!
[00:12:05.447 --> 00:12:07.988]  Take it or leave it, it's the same!
[00:12:08.008 --> 00:12:09.188]  Even widely eats your brain!
[00:12:09.228 --> 00:12:11.749]  Monster Chemo Agent Orange Diet Fluoride Soda!
[00:12:11.789 --> 00:12:13.629]  Sold at pharmacies and Whole Foods.
[00:12:19.079 --> 00:12:19.619]  There you have it.
[00:12:19.660 --> 00:12:23.543]  It eats your brains and has a thousand times more fluoride than you can ever want.
[00:12:24.083 --> 00:12:26.305]  And you know, I like the way Natural News took this.
[00:12:26.345 --> 00:12:29.347]  They kind of took a real serious situation and made it funny.
[00:12:29.688 --> 00:12:31.009]  Hopefully it'll wake up a few people.
[00:12:31.049 --> 00:12:36.914]  It's like what they did with that TSA video that got censored by DHS and YouTube and all those people.
[00:12:36.954 --> 00:12:44.580]  Anyway, the headline is, Natural News launches Diet Fluoride Soda, an amazing new beverage made with aspartame and hydrofluorosilicic acid.
[00:12:45.321 --> 00:12:46.782]  Now onto a more serious story.
[00:12:48.197 --> 00:12:55.962]  Okay, because this one had aspartame in it, and now we have... Oh, aspartame linked to leukemia, lymphoma, and a new landmark study on humans.
[00:12:56.423 --> 00:12:57.723]  And how landmark was it?
[00:12:58.084 --> 00:13:01.706]  Well, over 2 million person-years of study went into this.
[00:13:02.186 --> 00:13:05.489]  For this study, researchers prospectively analyzed data from...
[00:13:06.269 --> 00:13:10.652]  The Nurses Health Study and Health Professionals Follow-Up Study for a 22-year period.
[00:13:11.073 --> 00:13:13.855]  A total of 77,218 women and 47,810 men were included in the analysis for a total of 2,278,396 person-years of data.
[00:13:14.115 --> 00:13:18.418]  Apart from the sheer size, what makes this study superior to other past studies is the thoroughness with which the aspartame intake was assessed.
[00:13:32.368 --> 00:13:38.174]  Every two years, participants were given a detailed dietary questionnaire and their diets were reassessed every four years.
[00:13:38.694 --> 00:13:48.424]  Previous studies, which found no link to cancer, only ever assessed participants' aspartame intake at one point in time, which could be a major weakness affecting their accuracy.
[00:13:48.904 --> 00:13:49.885]  No duh!
[00:13:50.526 --> 00:13:54.770]  And thanks to Natural News for pointing this out because a lot of people aren't going to get this news.
[00:13:55.851 --> 00:13:59.354]  Until people like Natural News, Mike Adams and his crew put it out.
[00:14:00.174 --> 00:14:00.995]  Who's the writer on here?
[00:14:01.095 --> 00:14:03.717]  Ethan Evers wrote this story.
[00:14:04.177 --> 00:14:05.638]  And, you know, we've reposted it.
[00:14:05.739 --> 00:14:06.899]  Other people are going to grab it.
[00:14:07.380 --> 00:14:14.105]  And, you know, putting this out with their other story about their, you know, diet, hydrofluorosilic acid and aspartame soda.
[00:14:15.120 --> 00:14:18.121]  Well, hopefully, maybe we can wake a few people up, because that's the name of the game.
[00:14:18.721 --> 00:14:21.022]  Waking people up, just a little at a time.
[00:14:21.962 --> 00:14:24.903]  Another problem we have here in our country is the growing police state.
[00:14:24.943 --> 00:14:29.324]  In fact, the growth rate of the police state now exceeds population growth.
[00:14:29.384 --> 00:14:30.065]  Isn't that nice?
[00:14:30.105 --> 00:14:35.146]  We now have more jail keepers growing at a rate faster than we have humans here.
[00:14:35.366 --> 00:14:36.567]  The numbers of police grew by 25%.
[00:14:36.607 --> 00:14:39.408]  In 2008, there were 705,000 full-time sworn officers employed in the United States.
[00:14:43.829 --> 00:14:44.869]  That number was 564,000 in 1992.
[00:14:46.990 --> 00:14:56.353]  This represents an annual growth rate of 1.6%, which exceeds the 1.2% population growth rate in the United States, according to that survey.
[00:14:56.373 --> 00:15:03.155]  And let me tell you, we've shown you plenty of videos of police brutality, so they're obviously not getting the brightest of the bunch.
[00:15:03.795 --> 00:15:06.376]  And I just want to go over a few stories here that illustrate that.
[00:15:06.416 --> 00:15:09.817]  The first one, this is from Frontlines of Revolutionary Struggle.
[00:15:09.937 --> 00:15:10.697]  It's not rhetoric.
[00:15:10.797 --> 00:15:12.878]  The local cops are an occupying army.
[00:15:12.898 --> 00:15:22.081]  And they've got a lot of little pictures here of these tanks that are cropping up, these SWAT teams that get these all-terrain vehicles that used to be made for war.
[00:15:22.461 --> 00:15:25.903]  But hey, now they're coming home because we've got to have a place somewhere for these.
[00:15:26.103 --> 00:15:32.025]  And, you know, the populace is getting uppity because the economy is imploding and there's no place for people to work.
[00:15:32.805 --> 00:15:33.566]  Here's the next story.
[00:15:33.626 --> 00:15:35.987]  Mayor Bloomberg, I have my own army.
[00:15:36.567 --> 00:15:48.675]  In a speech at MIT last night to discuss the PAC sweepstakes to build a tech campus in New York, Mayor Bloomberg says, well, you know, I have my own army in the NYPD, which is the seventh biggest army in the world.
[00:15:49.176 --> 00:15:52.258]  I have my own State Department, much to Foggy Bottom's annoyance.
[00:15:53.103 --> 00:15:57.144]  We have the United Nations in New York, so we have an entree of a diplomatic word that Washington does not have.
[00:15:57.625 --> 00:16:02.446]  So there's Mayor Bloomberg basically thrown in your face that he has an army of thugs out there to basically do his bidding.
[00:16:03.027 --> 00:16:05.287]  And this last story from Mail Online is really sad.
[00:16:05.728 --> 00:16:08.629]  They brought in an army to take out a 16-year-old boy.
[00:16:09.109 --> 00:16:13.710]  Anguished appearance whose suicidal son was shot by a SWAT sniper at his home.
[00:16:13.771 --> 00:16:15.551]  And I got some pictures of the boy there.
[00:16:15.571 --> 00:16:17.492]  He's a 16-year-old who had a bad day at school.
[00:16:18.212 --> 00:16:18.933]  He grabbed the parents 357.
[00:16:19.013 --> 00:16:21.917]  He was just thinking about shooting himself.
[00:16:22.038 --> 00:16:24.821]  She called the cops saying, please have someone come talk to my son.
[00:16:25.202 --> 00:16:28.586]  Well, they sent in the SWAT team and a bunch of other people with riot shields.
[00:16:29.107 --> 00:16:30.309]  And let's scroll down a little further.
[00:16:30.329 --> 00:16:32.071]  You can see the guy who shot the boy.
[00:16:32.411 --> 00:16:33.413]  The real tough guy there.
[00:16:33.433 --> 00:16:33.913]  There he is.
[00:16:34.654 --> 00:16:42.264]  On the left hand side of your screen in the glasses, there's the tough guy there who took him out with a giant sniper rifle, shot the kid through the abdomen.
[00:16:42.284 --> 00:16:45.287]  You can read the horrible details in the story.
[00:16:45.808 --> 00:16:52.997]  But it just goes to show you, when you bring in this police state, when you have the highest prison population in the world per capita,
