[00:00:06.138 --> 00:00:06.379]  I'm good.
[00:00:41.976 --> 00:00:46.440]  It's August 14th, it's InfoWars Nightly News, I'm Paul Jersley-Fox and coming up on the show...
[00:00:49.738 --> 00:01:01.103]  Tonight, the ruling class accelerates the planned economic implosion as the Federal Reserve warns big banks to prepare for a worst-case scenario.
[00:01:01.463 --> 00:01:07.146]  Then, a new brand of facial recognition technology developed for Facebook.
[00:01:07.486 --> 00:01:10.948]  Check in with your face and verify your account.
[00:01:11.388 --> 00:01:15.749]  Plus, FAA documents show that unmanned drones over U.S.
[00:01:15.789 --> 00:01:18.730]  skies pose a huge safety risk.
[00:01:19.191 --> 00:01:26.093]  Meanwhile, defense contractors have spent $2.3 million lobbying Congress to open U.S.
[00:01:26.193 --> 00:01:26.853]  airspace.
[00:01:27.453 --> 00:01:32.835]  And finally, Alex Jones talks with Webster Tarpley about the impending economic collapse.
[00:01:33.375 --> 00:01:37.717]  All that and more, up next, InfoWars Nightly News.
[00:01:49.025 --> 00:01:52.067]  Top story tonight, Rome burned, will we?
[00:01:52.347 --> 00:01:54.788]  And this is an article I put together with Alex Jones.
[00:01:55.309 --> 00:02:02.793]  As America's engineered economic implosion accelerates, the parallels with how the Roman Empire fell are staggering.
[00:02:03.333 --> 00:02:13.439]  America is now ruled by a gaggle of completely corrupt financial terrorists who will stop at nothing to hollow out the country in pursuit of their own maniacal and selfish gain.
[00:02:14.059 --> 00:02:29.691]  It's precisely parallels Rome's rapacious ruling emperors and senators of the 5th century who were so obsessed with seizing wealth and control that they ended up destroying their own culture, their own country, and the whole empire in the process.
[00:02:30.885 --> 00:02:38.151]  So basically this is mainly about the planned financial implosion with, of course, the so-called stress tests on the banks coming up.
[00:02:38.171 --> 00:02:43.575]  The banks have been told by the Federal Reserve, prepare for a collapse and the government's not going to help you.
[00:02:44.596 --> 00:02:51.621]  But it's also about the innumerable similarities that 21st century America shares with the Roman Empire.
[00:02:52.022 --> 00:02:55.945]  And it's just amazing how close they parallel, how close they match up.
[00:02:56.806 --> 00:03:06.597]  You know, we've got the United States with troops stationed in some 130 countries now, outstripping anything the Romans ever had in terms of occupation.
[00:03:07.718 --> 00:03:17.449]  But, of course, sharing the same impossible task of maintaining such a sprawling empire, when the US can't afford it, gone bankrupt, 16 trillion in debt.
[00:03:18.556 --> 00:03:33.212]  Meanwhile, we've got the ruling greedy elite centralizing power and wealth, capitalizing, hijacking the very financial crisis they created to do so, just as the Roman emperors and senators did back in the Empire.
[00:03:33.452 --> 00:03:40.780]  And also, of course, record numbers of Americans, about a third of the whole population, on some form of government welfare.
[00:03:41.747 --> 00:03:43.087]  Same situation in Rome.
[00:03:43.147 --> 00:03:58.432]  So again, we've also got the moral decline of America, you know, added to the obsession with sports and entertainment, which is directly contributing to the decay in society, because people are just obsessed with entertainment, bread and circuses.
[00:03:58.492 --> 00:04:00.733]  They've abandoned their civic duties.
[00:04:00.773 --> 00:04:02.033]  They're no longer interested.
[00:04:02.613 --> 00:04:03.894]  Same thing happened in Rome.
