[00:00:21.684 --> 00:00:22.787]  It's Tuesday, September 18, 2012.
[00:00:22.887 --> 00:00:28.160]  I'm your host, Jakari Jackson, and this is the InfoWars Nightly News.
[00:00:30.322 --> 00:00:41.551]  Tonight, on the InfoWars Nightly News, Jakari Jackson speaks with a Noble Live filmmaker, Holland Vanden Heuwenhoff, about the potential for upcoming false flag terror.
[00:00:41.571 --> 00:00:54.061]  Plus, a historic battle between the judicial and executive looms as Obama's White House pushes its unconstitutional dictatorship on unsuspecting Americans.
[00:00:54.841 --> 00:00:55.101]  Then,
[00:00:56.123 --> 00:01:01.075]  The DHS purchases 200 million more rounds of ammo.
[00:01:01.757 --> 00:01:04.945]  All that and more on the InfoWars Nightly News.
[00:01:10.523 --> 00:01:11.063]  Welcome back.
[00:01:11.304 --> 00:01:12.364]  Top story, headline.
[00:01:40.823 --> 00:01:41.403]  We're good.
[00:02:04.481 --> 00:02:12.670]  I seem to be a bit confused of how a homeland battlefield provision keeps you from handling business overseas.
[00:02:13.071 --> 00:02:25.665]  You turn the homeland into a battlefield and that somehow keeps you from getting some terrorist in some far off country who probably doesn't even exist or you've killed three or four times.
[00:02:26.905 --> 00:02:35.551]  It's pretty much a ridiculous scenario, and we had just won a victory by having this removed, and now it's right back there less than a week later.
[00:02:36.011 --> 00:02:38.092]  So stay tuned to the Info Wars Nightly News.
[00:02:38.112 --> 00:02:40.874]  They may change it again by the end of the week and make it even worse.
[00:02:42.335 --> 00:02:44.816]  It's... I don't even really know what to say about this.
[00:02:44.976 --> 00:02:53.221]  It's really ridiculous, and we see people hard at work at keeping the NDAA alive, even though it's the Patriot Act on steroids.
[00:02:53.281 --> 00:02:54.522]  It's a horrible piece of
[00:02:55.648 --> 00:03:15.502]  I don't even know what you'd call it, probably words I shouldn't call it here on the Nightly News, but hopefully keep fighting good judges and get this overturned because we don't need anything like this in this country, nothing remotely like this to where you can be snatched up in the middle of the night and disappeared into a black hole where nobody can find you.
[00:03:15.542 --> 00:03:17.263]  Even the FBI say they don't like this.
[00:03:17.724 --> 00:03:21.846]  So stay tuned to the InfoWars Nightly News as this story develops.
[00:03:22.247 --> 00:03:22.647]  Next story.
[00:03:23.902 --> 00:03:27.332]  Headline Pentagon doesn't trust its own robots.
[00:03:27.392 --> 00:03:27.953]  That's right.
[00:03:28.851 --> 00:03:36.715]  There is a lack of trust among operators that given an unmanned system will operate as intended, found the Defense Science Board.
[00:03:37.255 --> 00:03:52.122]  One major reason, most Defense Department deployments of unmanned systems were motivated by the pressing needs of conflict, so systems were rushed to theater with an adequate support, resources, training, and concepts of operation.
[00:03:52.482 --> 00:03:57.245]  War may spurn innovation, but it's not always the best place to beta test.
[00:03:57.845 --> 00:03:58.766]  That is right.
[00:03:58.806 --> 00:04:00.528]  Do not beta test in war.
[00:04:00.548 --> 00:04:02.790]  That's pretty much a given.
[00:04:02.870 --> 00:04:07.614]  Why would you do something such as that if you could avoid it at all?
[00:04:08.034 --> 00:04:18.124]  I mean, we see these unmanned robots that patrol your own neighborhoods now here in the U.S., and they're saying that they don't trust their own robots, but they're there to keep you safe.
[00:04:19.306 --> 00:04:29.137]  So, yeah, we beta test in war, they don't work right, but we'll roll them out anyway because somebody wants money, you know, so we'll just keep pushing them out.
[00:04:29.398 --> 00:04:34.724]  An article goes on to say about a third of the military's entire air fleet is robotic.
[00:04:35.373 --> 00:04:42.877]  And that makes me feel real good seeing that these robots that they don't even trust themselves constitute a third of the air fleet.
[00:04:43.457 --> 00:04:47.819]  You know, it's Skynet coming soon to a neighborhood near you.
[00:04:47.859 --> 00:04:50.261]  If you haven't seen these drones already, we have them here in Austin.
[00:04:50.701 --> 00:04:51.261]  Alex has seen them.
[00:04:51.281 --> 00:04:55.743]  Now that particular drone that Alex saw was operated by a gentleman.
[00:04:55.783 --> 00:04:58.925]  I think he was doing some kind of construction surveillance or something like that.
[00:04:59.245 --> 00:05:02.487]  But a lot of these drones are unmanned and they want to give them
[00:05:02.827 --> 00:05:03.487]  We're good.
[00:05:18.359 --> 00:05:24.322]  Controversial naked airport body scanners to be scrapped after failing to receive European approval.
[00:05:24.822 --> 00:05:26.022]  Somebody has some sense.
[00:05:26.323 --> 00:05:31.205]  Well look here, the European Commission ruled that the cancer risk was close to zero.
[00:05:31.225 --> 00:05:32.045]  I don't know about that.
[00:05:32.485 --> 00:05:41.509]  But under Brussels legislation, the three-year trial period has elapsed and it was decided not to prioritize them for permanent use across the continent.
[00:05:41.549 --> 00:05:44.811]  Continuing, airport bosses who were waiting for the green light
[00:05:45.251 --> 00:05:49.177]  The machines now say that they have been left with no option but to remove them.
[00:05:49.867 --> 00:06:01.936]  Hey, whatever your statistics tell you, Brussels legislation, I have a friend who's an x-ray tech and he says when he does his x-rays he stands behind a lead wall.
[00:06:01.976 --> 00:06:10.202]  Superman can't see behind a lead wall, but the guys at the TSA just like to stand right there next to the naked body scanners and get fried.
[00:06:10.503 --> 00:06:15.386]  And I'm not demonizing the TSA workers, I actually feel pretty sorry for them.
[00:06:15.406 --> 00:06:17.408]  Well, it's not off topic, I always say that.
[00:06:17.848 --> 00:06:19.969]  But actually, I applied for the TSA.
