[00:00:01.834 --> 00:00:01.974]  I think.
[00:00:34.638 --> 00:00:35.498]  Good evening, everyone.
[00:00:35.518 --> 00:00:38.480]  It is Thursday, June 21st, 2012.
[00:00:39.060 --> 00:00:53.429]  I'm Darren McBreen, and the InfoWars Nightly News is in the middle of a pit stop right now, as we are busy revamping the radio show, as well as judging the finalists for our InfoWars Reporter Contest.
[00:00:53.809 --> 00:00:57.732]  Our regular scheduled programming will resume next week, Monday through Friday,
[00:00:58.232 --> 00:00:58.953]  We're good to go.
[00:01:24.193 --> 00:01:42.425]  Meanwhile, the Stop Dictator Obama contest is also underway as America is finally waking up to the fact that, well, the globalist puppet Barack Obama is a tyrannical dictator who has betrayed the trust of the American people, and he's trampled all over our Constitution in the process.
[00:01:42.926 --> 00:01:49.130]  The National Defense Authorization Act, unconstitutional wars, Obamacare, you name it.
[00:01:49.530 --> 00:01:53.733]  The list is long, but it won't be long until the contest is over.
[00:01:54.453 --> 00:01:59.796]  Phase 1 ends Monday when Alex will announce the $5,000 winner.
[00:01:59.816 --> 00:02:05.780]  And then Phase 2 ends on July 6th at midnight when someone will win $10,000.
[00:02:09.485 --> 00:02:14.770]  Now go to the top right navigation of the webpage StopDictatorObama is the link.
[00:02:15.171 --> 00:02:17.293]  Contest rules are posted there.
[00:02:17.453 --> 00:02:21.917]  On that page, your chance to win up to $15,000 in total.
[00:02:22.257 --> 00:02:28.604]  And more importantly, spread the word and wake people up to the, well, to the Obama reign of terror.
[00:02:29.164 --> 00:02:37.948]  Basically, what you want to do is create a poster that illustrates the tyrannical imperialism of our dictator-in-chief, Barry Sitaro.
[00:02:37.988 --> 00:02:39.368]  I mean, Barack Obama.
[00:02:39.408 --> 00:02:40.649]  I mean, whoever.
[00:02:40.669 --> 00:02:40.949]  I don't know.
[00:02:41.009 --> 00:02:42.189]  We don't even know who this guy is.
[00:02:42.369 --> 00:02:48.132]  You know, the key here is to make a whole bunch of posters, post them in strategic locations where the most people can see them.
[00:02:48.692 --> 00:02:55.735]  And I tell you what, if your local news happens to talk about this, that is a big bonus, indeed.
[00:02:56.075 --> 00:03:02.738]  If you don't have a poster, our talented graphics artist here at InfoWars, well, we've made some for you.
[00:03:02.858 --> 00:03:04.279]  You can print these out right here.
[00:03:04.379 --> 00:03:04.719]  See that?
[00:03:04.739 --> 00:03:06.260]  I mean, how fun is that?
[00:03:07.340 --> 00:03:10.702]  To be able to go to work and create Obama posters.
[00:03:11.889 --> 00:03:13.130]  With Hitler Mustaches.
[00:03:13.311 --> 00:03:13.911]  That's awesome.
[00:03:14.191 --> 00:03:21.699]  So you can print these out, post them all over your neighborhood, and like I said, the contest ends July 6th at midnight.
[00:03:22.580 --> 00:03:32.611]  And alright, alright, we got the videos are already coming in, so I haven't, I've yet to see these, but they're already starting to post the videos of the people making the posters and posting them in their town.
[00:03:32.671 --> 00:03:33.352]  How many do we got?
[00:03:33.372 --> 00:03:34.473]  Can you scroll down a little bit?
[00:03:35.691 --> 00:03:36.352]  There's ours.
[00:03:37.412 --> 00:03:40.795]  So yeah, these are already starting to pour in, so that's very exciting.
