[00:00:02.244 --> 00:00:02.464]  I'm good.
[00:00:35.034 --> 00:00:37.755]  Welcome to another edition of InfoWars Nightly News.
[00:00:38.376 --> 00:00:39.336]  I'm Alex Jones.
[00:00:39.817 --> 00:00:42.098]  Today's date is Monday, May 14, 2012.
[00:00:43.098 --> 00:00:50.162]  Tonight, sources inside Bilderberg reveal the Cabal's secret plans.
[00:00:50.782 --> 00:00:53.724]  Further revelations about the Bilderberg's 2012 agenda soon to follow.
[00:00:56.141 --> 00:01:08.810]  Then, Dianne Feinstein wants more sexual molestation at America's airports, and she's criticizing Americans for complaining about the TSA grope downs and the hands down our pants.
[00:01:09.630 --> 00:01:20.298]  Meanwhile, a popular UK comedy show plays a clip from the InfoWars Nightly News, where Alex Jones talks about the TSA grope down PSYOP, and David Hasselhoff
[00:01:20.498 --> 00:01:32.268]  Proclaims his love for airport security that video clip plus more of our top stories and an update from Dan fight all coming up next on the Info Wars nightly news
[00:01:41.937 --> 00:01:51.246]  First up tonight, we've got some really good news here with InfoWars Nightly News, teleprompter free, globalist influence free as well.
[00:01:51.787 --> 00:01:55.350]  We're influenced by our desire for liberty and still more of it.
[00:01:55.891 --> 00:02:00.395]  Sources inside Bilderberg spill Cabal's secret plans.
[00:02:00.475 --> 00:02:00.855]  In fact,
[00:02:01.596 --> 00:02:05.618]  I've learned some of their agenda items, and I'm going to be releasing those soon.
[00:02:06.038 --> 00:02:14.262]  I have two different sources, one of them inside the Bilderberg Group, another separate, not a Bilderberg member, but someone within Bilderberg.
[00:02:14.282 --> 00:02:15.102]  I'll just leave it at that.
[00:02:15.662 --> 00:02:20.785]  And they confirmed to me what the other source had told me, that it is the Palm Tree Conference.
[00:02:21.305 --> 00:02:23.286]  Never before have we learned the code name.
[00:02:24.226 --> 00:02:42.035]  Weeks out of the conference, normally we don't even learn the code name during the conference, that's to be held in 2012, May 31st through June 4th in Chantilly, Virginia at the Marriott Center there, the same place they were four years ago.
[00:02:42.695 --> 00:02:45.557]  If you want to read the article, it's at InfoWars.com.
[00:02:45.977 --> 00:02:50.800]  Very exciting information and good to know that there are people everywhere who love liberty.
[00:02:50.820 --> 00:02:51.080]  You see,
[00:02:51.920 --> 00:02:53.401]  We see something, we say something.
[00:02:53.821 --> 00:03:05.668]  And people within the system realize these are eugenicist criminals who openly want to establish world government, bankrupt the nation-states, so the nation-states have to accept a program of eugenics.
[00:03:06.783 --> 00:03:09.646]  And for those that don't know what eugenics is, it's hell on earth.
[00:03:09.806 --> 00:03:10.266]  Look it up.
[00:03:10.827 --> 00:03:14.931]  So this is the enemy of humanity and people are finding that out.
[00:03:15.051 --> 00:03:20.856]  So many times Jim Tucker talks about he'll check in a few days before they shut the hotel down if he learns where they're having it beforehand.
[00:03:21.997 --> 00:03:24.460]  And sometimes he doesn't learn until it's already started.
[00:03:24.580 --> 00:03:26.461]  This is rare to learn weeks and weeks before.
[00:03:27.659 --> 00:03:33.781]  And he goes in and talks to bartenders, talks to waitresses, talks to hotel staff, and they say, no, I'll be fired if I talk about Bilderberg.
[00:03:34.061 --> 00:03:35.001]  How dare you ask me?
[00:03:35.021 --> 00:03:35.782]  And they try to throw him out.
[00:03:36.362 --> 00:03:44.644]  But once they're treated like absolute filth, he tells them, well, next week when they get here, I'll be across the street at that hotel.
[00:03:45.324 --> 00:03:46.565]  You'll want to come talk to me.
[00:03:47.265 --> 00:03:56.388]  And when they show up and say, do not look at Hillary Clinton in the eyes, when they tell them, you're filth, you're trash, when they hear them as they're serving them coffee, talk about bankrupting their nations,
[00:03:57.148 --> 00:04:01.670]  It doesn't matter if they're meeting in France or Canada or the U.S., the U.K.
[00:04:02.470 --> 00:04:03.130]  or Germany.
[00:04:03.470 --> 00:04:04.411]  People are people.
[00:04:04.751 --> 00:04:06.892]  And they get angry and spill their guts.
[00:04:06.932 --> 00:04:08.932]  And that's happening more and more.
[00:04:09.332 --> 00:04:13.494]  Just like we had witnesses to the underwear bomber being a staged operation.
[00:04:14.254 --> 00:04:16.075]  And it turned out they were giving us accurate info.
[00:04:16.095 --> 00:04:17.055]  Kurt Haskell and his wife.
[00:04:17.495 --> 00:04:19.336]  This is happening over and over again.
[00:04:19.836 --> 00:04:21.497]  We have our people everywhere.
[00:04:22.461 --> 00:04:32.267]  And coming up tonight, I'm going to talk about some of the bad experiences I had at the Padre Island National Seashore on the Texas coast that's now a federal zone.
[00:04:33.428 --> 00:04:40.932]  But the good news is in the middle of this police state, the park rangers, when we drove in, said they were listeners.
[00:04:44.094 --> 00:04:49.057]  People driving down the beach were stopping and were listeners, and the people parked on both sides of us were listeners.
[00:04:51.525 --> 00:04:55.714]  Again, that's just a gauge of liberty and how many people are awake.
[00:04:57.338 --> 00:04:58.701]  I'm a public figure.
