[00:00:00.981 --> 00:00:01.021]  So,
[00:00:33.993 --> 00:00:37.454]  Welcome to the InfoWars Nightly News, the most hard-hitting show on television.
[00:00:37.795 --> 00:00:44.177]  I'm your host, Rob Dew, and today's date is Monday, July 2nd, 2012, and here's a look at what we have coming up tonight.
[00:00:48.119 --> 00:01:02.565]  Tonight, the debt-fueled social welfare state marches in, and the Obama administration spends $3 million to convince us we will all live healthier lives if we just sign up for food stamps.
[00:01:03.703 --> 00:01:09.609]  Then, the Olympics whistleblower reveals his identity as he fears for his safety.
[00:01:10.070 --> 00:01:19.520]  And Rob Dew talks with Matthew Stein, the author of When Technology Fails, because there's never been a better time to be prepared.
[00:01:20.000 --> 00:01:23.964]  All that and more coming up next on the InfoWars Nightly News.
[00:01:32.950 --> 00:01:37.575]  That's right, there's no way of knowing when technology will fail or when disasters are going to strike.
[00:01:37.595 --> 00:01:43.402]  So your best bet is to be prepared because it's better to have it and not need it than to need it and not have it.
[00:01:44.022 --> 00:01:45.104]  Let's get to our top story.
[00:01:45.604 --> 00:01:49.669]  Olympics whistleblower fears for safety and he reveals his identity.
[00:01:50.129 --> 00:01:52.892]  I am now afraid that I might be in physical danger.
[00:01:53.593 --> 00:02:05.521]  Says Lee Hazleton, the whistleblower who exposed how he infiltrated the G4S as an employee and uncovered how security preparations for the Olympics were so poor they were inviting a terrorist attack.
[00:02:05.541 --> 00:02:14.668]  If you remember last week we had him on and one of the things he covered is that some of the workers were trying to sell drugs to him, to other people.
[00:02:15.188 --> 00:02:16.769]  The supervisor didn't seem to care.
[00:02:17.169 --> 00:02:20.552]  They were talking about how they had an evacuation plan for London.
[00:02:21.212 --> 00:02:26.515]  Because of an extreme event that was going to happen, one that would change the face of London.
[00:02:27.236 --> 00:02:31.678]  So that interview is on the Alex Jones Channel right now and you can check that out.
[00:02:32.719 --> 00:02:39.063]  Or you can go back to the PrisonPlanet.TV archives if you're a member of PrisonPlanet.TV, which you should be if you're watching this right now.
[00:02:39.823 --> 00:02:40.684]  So check that out.
[00:02:41.304 --> 00:02:42.445]  It's pretty interesting.
[00:02:42.885 --> 00:02:47.608]  It's funny how when you get insiders in there and they come out and tell us the things that go behind closed doors.
[00:02:49.582 --> 00:02:51.443]  Now I've got some pictures I want to show you real quick.
