[00:00:02.602 --> 00:00:02.842]  I think.
[00:00:35.419 --> 00:00:38.722]  It's Wednesday, the 19th day of September 2012.
[00:00:38.762 --> 00:00:41.485]  I'm Alex Jones.
[00:00:41.965 --> 00:00:49.171]  Strap yourselves in for an extremely important, groundbreaking edition of InfoWars Nightly News.
[00:00:49.552 --> 00:00:50.172]  Straight ahead.
[00:00:52.748 --> 00:01:08.836]  Tonight, on the InfoWars Nightly News, Alex Jones speaks with InfoWars reporters Aaron Dykes and Melissa Melton about the UN takeover of our inalienable rights in the name of sustainable development.
[00:01:09.356 --> 00:01:16.600]  Plus, the dollar is headed for a rapid collapse as fake gold bars turn up in Manhattan.
[00:01:16.960 --> 00:01:20.982]  Then, Walmart sued after tearing up a woman's $100 bills.
[00:01:22.743 --> 00:01:25.984]  All that and more on the InfoWars Nightly News.
[00:01:35.645 --> 00:01:44.187]  First off, we covered this last night, but in the last 24 hours it's been picked up by a lot of publications, thanks to DrudgeReport.com, boosting our story.
[00:01:45.207 --> 00:01:48.147]  And I'm covering this again because it's so incredibly important.
[00:01:48.187 --> 00:01:50.648]  DHS has purchased an additional 200
[00:01:52.384 --> 00:01:54.765]  Million more rounds of ammunition.
[00:01:54.825 --> 00:01:58.347]  Additional purchases include bullets designed for snipers.
[00:01:58.867 --> 00:02:13.915]  The FedBizOpps website shows the DHS is looking to purchase an additional 200 million rounds of .223 rifle ammunition over the next four years, as well as 176,000 rounds of .308 caliber, 160 grain hollow point boat tail rounds, and an additional 25,000 rounds of blank .308.
[00:02:21.739 --> 00:02:23.320]  Caliber bullets for sniper training.
[00:02:23.761 --> 00:02:29.465]  Now again, this is out over the next four years, but they've already purchased 1.4 billion in the last year they've taken delivery of.
[00:02:29.905 --> 00:02:38.812]  So it's just so many of these purchases are coming in, we can't even track them all, and we've had police calling in, you name it, saying, hey, we've been told get ready for martial law.
[00:02:39.212 --> 00:02:40.453]  Get ready for total collapse.
[00:02:40.653 --> 00:02:44.876]  I hope that's not the case, but all the preparations are being made.
[00:02:45.957 --> 00:02:49.339]  James Smith over at Prepper Podcast website highlights
[00:02:50.180 --> 00:02:53.742]  It is the type of ammunition and not necessarily the quantity that is troubling.
[00:02:54.122 --> 00:03:00.384]  Smith points out that DHS acquisition of .308 rounds is a concern because they are said to be used by well-trained snipers.
[00:03:00.404 --> 00:03:00.765]  That's right.
[00:03:01.185 --> 00:03:10.909]  Police up close use handguns, .40 cal, they use 12-gauge cartridges, .223 up close with rifles.
[00:03:10.969 --> 00:03:12.790]  When they start getting into .308, that's sniper.
[00:03:13.533 --> 00:03:15.415]  And that's what they admit they're for, is snipers.
[00:03:15.435 --> 00:03:18.059]  So, just ongoing training on that front.
[00:03:18.099 --> 00:03:25.488]  Total arms buildup against the American people by the banks that have occupied and taken over this nation, and who are working with collaborators.
[00:03:25.909 --> 00:03:26.529]  And I want to note...
[00:03:27.415 --> 00:03:33.339]  Many of the collaborators in this country don't even realize that they're working for offshore banks.
[00:03:33.760 --> 00:03:34.860]  But they are collaborators.
[00:03:34.900 --> 00:03:38.023]  Like, most Germans actually thought they were trying to save Germany.
[00:03:38.603 --> 00:03:41.745]  Most Russians thought communists were, you know, their bosses.
[00:03:41.865 --> 00:03:45.308]  I mean, people just get into this mindset of not questioning.
[00:03:46.306 --> 00:03:47.607]  And you need to start questioning.
[00:03:47.847 --> 00:03:51.769]  We're going to get deeper down the rattle, and I say that to new viewers, new listeners out there.
[00:03:52.750 --> 00:04:00.895]  This is a report out of SHTF plan, Mark Slavo, but it also links through to a story I reported on yesterday.
[00:04:00.935 --> 00:04:01.656]  There's more on this.
[00:04:02.236 --> 00:04:08.000]  MSNBC, CNBC and others are reporting, the lower the US dollar, the greater the intensity of currency wars.
[00:04:08.760 --> 00:04:18.308]  And it goes on to break down the chart showing just since QE3 was announced how much the dollar has dropped, but other currencies are dropping as well.
[00:04:18.388 --> 00:04:23.332]  This chart actually comes from CNBC that that site is linking to.
[00:04:23.352 --> 00:04:26.134]  In fact, here's CNBC, the third significant feature.
[00:04:26.534 --> 00:04:29.715]  It's historical support for the 74.5 in the dollar.
[00:04:30.035 --> 00:04:34.237]  This is the upper edge of the consolidation band between 73.5 and 74.5.
[00:04:34.477 --> 00:04:41.019]  This is a downgrade target for the dollar index following a fall to 79, below 79.
[00:04:41.259 --> 00:04:45.160]  This target can be reached very rapidly over the next three to four weeks.
[00:04:45.240 --> 00:04:47.161]  A rapid collapse of the U.S.
[00:04:47.241 --> 00:04:50.542]  dollar puts immediate pressure on other dollar-linked currencies.
[00:04:51.542 --> 00:04:53.568]  So there's a race to lower currencies worldwide.
[00:04:53.608 --> 00:04:55.273]  There is a very low probability the U.S.
