[00:00:22.682 --> 00:00:24.888]  Good evening and welcome to the InfoWars Nightly News.
[00:00:24.948 --> 00:00:26.030]  I'm your host, Rob Due.
[00:00:26.511 --> 00:00:29.479]  And today's date is Wednesday, September 5th, 2012.
[00:00:30.200 --> 00:00:31.884]  And here's a little look at what we have coming up.
[00:00:34.980 --> 00:00:44.666]  Tonight, the establishment media is attempting to discredit what it characterizes as conspiracy theories surrounding massive government ammunition purchases.
[00:00:45.126 --> 00:00:52.970]  Then, a new study looks at specially adapted aircraft to disperse particles into the upper atmosphere.
[00:00:53.191 --> 00:00:58.954]  Plus, television stations could start using drones to cover news stories.
[00:00:59.314 --> 00:01:04.177]  And Linda West talks to disaster preparedness expert Dave Acton.
[00:01:04.497 --> 00:01:08.081]  All that and more coming up on the InfoWars Nightly News.
[00:01:13.708 --> 00:01:15.490]  So we have a great show lined up for you tonight.
[00:01:15.510 --> 00:01:16.811]  A lot of hard-hitting information.
[00:01:16.831 --> 00:01:19.254]  We're gonna start off with a story out of CNET News.
[00:01:19.655 --> 00:01:23.059]  Homeland Security's Domain Seizures Worry Congress.
[00:01:23.852 --> 00:01:25.913]  It's about time, Congress, that you're getting into the act.
[00:01:26.293 --> 00:01:27.273]  In a letter to the U.S.
[00:01:27.313 --> 00:01:35.195]  Attorney General, Congress members cite concerns about seizing the domain names of websites whose actions and content are presumed to be lawful and protected speech.
[00:01:35.855 --> 00:01:36.575]  And here's the quote.
[00:01:36.876 --> 00:01:37.276]  The U.S.
[00:01:37.296 --> 00:01:42.537]  Department of Homeland Security is seizing domains and taking down URLs in the name of copyright infringement.
[00:01:42.897 --> 00:01:45.698]  But its tactics are worrying certain members of Congress.
[00:01:47.344 --> 00:01:48.624]  And these are the members.
[00:01:48.985 --> 00:01:56.087]  We are concerned about your department's seizure of domain names under operation in our sites launched in November 2010, the letter said.
[00:01:56.787 --> 00:02:04.649]  Our concern centers on your department's methods and the processes given when seizing the domain names of websites whose action and content are presumed to be lawful protected speech.
[00:02:05.429 --> 00:02:13.352]  And the three members of Congress who are concerned about this, Representative Zoe Lofgren, Representative Jared Polis, and Representative Jason Chaffetz.
[00:02:14.178 --> 00:02:20.581]  So they're obviously concerned about this, and this has been going on since 2010 under the name Operation In Our Sights.
[00:02:21.722 --> 00:02:23.603]  And here it is, according to the U.S.
