[00:00:02.034 --> 00:00:03.955]  Waging war on corruption.
[00:00:04.435 --> 00:00:07.337]  Alex Jones on the GCN Radio Network.
[00:00:13.800 --> 00:00:14.441]  Big Brother.
[00:00:15.121 --> 00:00:16.161]  Mainstream media.
[00:00:16.882 --> 00:00:18.002]  Government cover-ups.
[00:00:18.623 --> 00:00:19.463]  You want answers?
[00:00:20.224 --> 00:00:21.124]  Well, so does he.
[00:00:21.144 --> 00:00:25.406]  He's Alex Jones on the GCN Radio Network.
[00:00:25.967 --> 00:00:30.029]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.597 --> 00:00:44.484]  You know, it clicked that Wayne Madsen, three, four months ago, maybe longer, on the nightly news, said he had confidential federal informants that there were wiretaps of Attorney General.
[00:00:44.504 --> 00:00:48.207]  See, it's not just a high-level Justice Department source.
[00:00:48.227 --> 00:00:53.150]  It's supposedly of him that they killed Judge Roll and tried to kill Giffords because they were investigating it.
[00:00:53.710 --> 00:00:59.153]  Then I talked to some state legislators and people in New Mexico who said that was the word they had heard.
[00:01:00.675 --> 00:01:05.038]  This is going on all over the West Texas, New Mexico, into Arizona.
[00:01:06.819 --> 00:01:08.100]  Madsen is so wild.
[00:01:09.461 --> 00:01:12.883]  I mean, the stuff he talks about sometimes sounds so wild that it turns out to be true.
[00:01:12.903 --> 00:01:15.946]  He did work for the NSA, all that.
[00:01:16.026 --> 00:01:17.407]  I mean, it is just crazy.
[00:01:18.508 --> 00:01:22.631]  It is just crazy because now they're revealing secret wiretaps.
[00:01:23.838 --> 00:01:26.340]  It's been read in the congressional record that they got Holder.
[00:01:27.441 --> 00:01:32.386]  The White House can stage terror attacks, anything, a new war to distract from this.
[00:01:32.426 --> 00:01:33.467]  This is just wild.
[00:01:34.427 --> 00:01:35.989]  This is absolutely wild.
[00:01:36.049 --> 00:01:46.298]  But again, he's the sacrificial political lamb now that they want to divert us off of the socialist healthcare thing that is being spun as a victory because it'll get Romney in who authored it.
[00:01:47.108 --> 00:01:48.809]  I mean, talk about delusion.
[00:01:49.090 --> 00:01:52.052]  And I understand politically, yes, that's true.
[00:01:52.212 --> 00:01:53.754]  It would probably get Romney in.
[00:01:54.274 --> 00:01:55.675]  But Obama's just a puppet.
[00:01:55.715 --> 00:01:57.657]  The system, the banks, wanted this.
[00:01:57.757 --> 00:01:58.618]  Okay, that's enough.
[00:01:58.658 --> 00:01:59.138]  I'm ranting.
[00:01:59.759 --> 00:02:02.521]  Courtney in Virginia, up there by the scene of the crime.
[00:02:02.981 --> 00:02:03.622]  You're on the air.
[00:02:03.662 --> 00:02:04.002]  Welcome.
[00:02:05.183 --> 00:02:05.544]  Hi.
[00:02:05.584 --> 00:02:06.124]  Thank you, Alex.
[00:02:06.184 --> 00:02:07.325]  It's good to be on.
[00:02:07.365 --> 00:02:10.588]  I've been listening for a while, but it's my first time calling in.
[00:02:10.608 --> 00:02:11.709]  Thank you for putting up with me.
[00:02:11.769 --> 00:02:12.610]  I know I'm obnoxious.
[00:02:12.650 --> 00:02:12.910]  Go ahead.
[00:02:16.224 --> 00:02:19.586]  I appreciate the emotion, at least.
[00:02:19.726 --> 00:02:22.609]  It's different than what you see on the zombie mainstream, that's for sure.
[00:02:22.789 --> 00:02:24.871]  We're here to get you out of the zombification, yes.
[00:02:25.772 --> 00:02:29.415]  Yeah, and your broadcast has definitely played a large part.
[00:02:29.535 --> 00:02:33.338]  I wanted to kind of throw something out there and see if it was something you had considered.
[00:02:33.438 --> 00:02:40.244]  I have a sales and marketing background, so I tend to think of how I can generate more leads or more people.
[00:02:42.043 --> 00:02:43.024]  I don't know.
[00:02:52.116 --> 00:03:01.746]  Maybe devote a segment of your regular broadcast to Obamacare 101, what's in the bill, the implications.
[00:03:01.927 --> 00:03:03.689]  We could maybe reach out.
[00:03:03.709 --> 00:03:06.572]  Sure, basically they can change it whenever they want, however they want.
[00:03:06.652 --> 00:03:12.658]  It's a federal reserve, take over 35 million people, but it also takes over the general healthcare system.
[00:03:13.559 --> 00:03:17.000]  It lets the IRS, you have to file with them the type of health care you have.
[00:03:17.040 --> 00:03:18.641]  They can now take money out of your account.
[00:03:18.661 --> 00:03:25.344]  I mean, it's just the IRS and the nanny state sticking their hand down your pants like the TSA, basically.
[00:03:26.644 --> 00:03:27.745]  Absolutely.
[00:03:28.165 --> 00:03:41.910]  But I think, you know, because there's a large segment of people who are still caught in the left-right paradigm, so they, you know, may identify themselves as, you know, with the GOP or Republican who are semi-awake, but
[00:03:42.574 --> 00:03:47.517]  You know, have the potential to go back to sleep or, you know, along those lines.
[00:03:47.957 --> 00:03:52.980]  But Obamacare is definitely one of those issues that a lot of people are up in arms about, and for good reason.
