[00:00:04.224 --> 00:00:04.404]  I think.
[00:00:33.744 --> 00:00:38.494]  It's Wednesday, July 25th.
[00:00:38.734 --> 00:00:39.776]  I'm Paul Joseph Watson.
[00:00:39.796 --> 00:00:42.722]  This is M4Wars Nightly News coming up on the show tonight.
[00:00:45.796 --> 00:00:56.907]  Tonight, Paul Joseph Watson speaks with investigative journalist George Heminger about the growing numbers of TSA officers appearing at train stations and bus stations nationwide.
[00:00:57.208 --> 00:01:05.236]  Then, Mayor Bloomberg illegally asked police to strike as elitists wage an all-out assault on our Second Amendment rights.
[00:01:05.716 --> 00:01:08.739]  All that and more on the InfoWars Nightly News.
[00:01:19.209 --> 00:01:21.690]  Breaking news tonight on InfoWars Nightly News.
[00:01:21.750 --> 00:01:24.310]  House passes Ron Paul's Audit the Fed Bill.
[00:01:24.610 --> 00:01:37.414]  In a move that serves as a capstone to Ron Paul's colourful career, the House on Wednesday approved a bill that would let Congress' Chief Investigators conduct a full audit of the Federal Reserve's shrouded decision-making process.
[00:01:38.134 --> 00:01:39.414]  And basically it passed 327 to 98.
[00:01:39.494 --> 00:01:40.174]  They're saying that
[00:01:43.726 --> 00:01:50.654]  Senate Majority Leader Harry Reid is unclear whether he has the time to carve out for the legislation this year.
[00:01:51.034 --> 00:01:55.999]  Other reports are saying that Reid's just going to kill it by refusing to even put it up in the Senate for a vote.
[00:01:56.960 --> 00:01:59.763]  So basically this is stage one of the fight.
[00:02:01.505 --> 00:02:09.613]  Huge political pressure now needs to be thrown on Senator Reid to try and get this up for a vote in a Senate because he's already passed the House.
[00:02:09.653 --> 00:02:14.477]  Remember, ten years Ron Paul has been trying to get this bill through the House.
[00:02:14.737 --> 00:02:20.442]  A decade and now finally today we have that victory and Audit the Fed moves forward.
[00:02:20.903 --> 00:02:23.625]  Of course, what it's going to do, it's going to lift the lid on
[00:02:24.406 --> 00:02:36.934]  The payments to foreign banks, the deliberate ploy on behalf of the Fed, telling banks, ordering banks not to lend, and then the whole intentionally engineered economic collapse is going to open a huge can of worms.
[00:02:37.334 --> 00:02:42.578]  It's through the House, and now we've just got to put huge pressure on to get it through the Senate.
[00:02:42.618 --> 00:02:49.222]  But massive victory for Audit the Fed, and a crowning achievement for Congressman Ron Paul.
[00:02:50.407 --> 00:02:54.711]  TSA expands invasion to California train stations and bus terminals.
[00:02:55.111 --> 00:03:05.600]  Footage shot at the Oceanside Transit Center in Southern California documents how the rollout of TSA workers is expanding out of the airports and into train stations and bus terminals.
[00:03:06.140 --> 00:03:10.784]  We've actually got the interview coming up shortly with the guy who shot this footage.
[00:03:11.365 --> 00:03:18.411]  Basically shows TSA agents with police and drug-sniffing dogs outside this transit station in Southern California.
[00:03:19.071 --> 00:03:26.497]  And the TSA were actually asked by the videographer, George Heminger, what are you doing, why are you here?
[00:03:26.537 --> 00:03:33.462]  They basically told him, no filming, you're allowed to film, we'll let you film, but if you do, we're going to harass you and ask you questions.
[00:03:33.502 --> 00:03:40.848]  So again, the TSA agents are God, they're expanding out of the airports, no more, you know, oh, just don't fly.
[00:03:41.288 --> 00:03:42.709]  No, that's not going to wash anymore.
[00:03:43.029 --> 00:03:47.932]  They're on the highways, bus terminals, ferry ports, they're even at prom nights, for God's sake.
[00:03:48.492 --> 00:03:53.455]  And now more footage of the expanding TSA occupying army.
[00:03:53.475 --> 00:03:56.877]  Of course, back in April they tried to pull this stunt on Houston buses.
[00:03:57.337 --> 00:03:58.638]  Massive public revolt.
[00:03:59.559 --> 00:04:02.340]  People infuriated up in arms about it.
[00:04:02.360 --> 00:04:03.721]  They had to suspend the program.
[00:04:03.741 --> 00:04:04.802]  So we'll see if
[00:04:05.462 --> 00:04:18.708]  It unfolds similarly in Southern California, but what's exciting about this is it's one of the top stories on the Drudge Report this evening, so we've got hundreds of thousands of people watching this video, and we've got the interview coming up shortly.
