[00:00:07.253 --> 00:00:11.797]  We have been told the end of our world will occur on December 21st, 2012.
[00:00:12.137 --> 00:00:21.384]  As 2012 draws to a close, will it be the end of our species, the end of our world, or just the beginning?
[00:00:26.138 --> 00:00:30.201]  In case you haven't heard, the world is going to end in 2012.
[00:00:30.502 --> 00:00:31.162]  December 21st, 2012.
[00:00:31.643 --> 00:00:37.127]  The Mayan calendar basically predicts that the world will end in 2012.
[00:00:37.948 --> 00:00:43.953]  The world is not going to end December 21st, 2012, coming up in just a few days.
[00:00:44.554 --> 00:00:45.394]  It is a hoax.
[00:00:45.935 --> 00:00:48.277]  It is a premeditated fraud.
[00:00:48.917 --> 00:00:59.239]  No Mayan scholars, no archaeologists have ever come out and looked at the Mayan prophecies in the Mayan calendar and said that it states there's going to be an end to the world.
[00:00:59.759 --> 00:01:04.840]  The whole thing is a 30 plus year manufactured hoax.
[00:01:05.480 --> 00:01:07.321]  A total and complete scam.
[00:01:07.761 --> 00:01:14.902]  And we're going to break down exactly who is behind it and why the mainstream media has been peddling this for decades.
[00:01:15.262 --> 00:01:16.883]  Did the Maya think the world would end in 2012?
[00:01:16.943 --> 00:01:17.003]  No.
[00:01:20.031 --> 00:01:27.054]  The Mayan people are fighting back, saying that the idea of the world coming to an end in 2012 did not come from their calendar.
[00:01:27.608 --> 00:01:32.752]  But where do we find the modern, end-of-the-world 2012 cult beginning?
[00:01:33.132 --> 00:01:42.338]  New Age thinkers like Terence McKenna and Robert Anton Wilson launched what has become the 2012 doomsday hubbub in the 1970s.
[00:01:42.718 --> 00:01:51.865]  They simply used the Mayan date to launch a kick-off of the New Age scenario to garner attention to their other Illuminati New Age writings.
[00:01:52.385 --> 00:02:06.762]  Robert Anton Wilson in his book The Cosmic Trigger said that there would be a scientific quickening similar to what Ray Kurzweil says that the singularity would begin to happen on December 21st 2012 and he used the Mayan date as a
[00:02:10.726 --> 00:02:36.301]  symbolic trigger for all of this but there were countless other new age gurus and establishment connected types who came out over the next few decades and continued to push this idea that the world would either physically end on December 21st 2012 or that a new age would start at that point and that is exactly what we are seeing being promoted and being pushed right now.
[00:02:36.701 --> 00:02:40.922]  This end of the world business is a reoccurring theme throughout history.
[00:02:41.603 --> 00:02:45.704]  And it gets people to cop out and to not be involved in their daily lives.
[00:02:46.164 --> 00:02:48.445]  It makes you have a feeling of powerlessness.
[00:02:48.965 --> 00:02:52.946]  And governments at different institutions have always been happy to promote this.
[00:02:53.266 --> 00:03:02.854]  The establishment for hundreds of years has gotten Christians to not be politically involved because going back to the time of the Gnostics, they always believed the world was ending next week.
[00:03:03.334 --> 00:03:06.517]  It is a total system to cop out.
[00:03:06.657 --> 00:03:09.299]  It is a manufactured superstition.
[00:03:09.740 --> 00:03:15.845]  Just as Christians are given the rapture as a reason to stand down and not fight back against corruption and evil,
[00:03:16.545 --> 00:03:24.407]  The New Age crowd, or the hippies, the trendies, people that didn't believe in God, they needed a reason to not be involved.
[00:03:24.767 --> 00:03:31.169]  It is a self-fulfilling prophecy, and that's what the whole 2012 hoax is about.
[00:03:31.529 --> 00:03:37.911]  A artificial superstition to make people turn control of their lives over to the globalist technocrats.
[00:03:38.111 --> 00:03:45.453]  Strangely enough, we find the answer to our current superstition in ancient cultures like the Mayan.
[00:03:46.053 --> 00:03:47.394]  And I don't just want to pick on them.
[00:03:47.414 --> 00:04:05.447]  This was system-wide throughout all human cultures that you would see the rise of a priest class who would say, if you don't give us the best huts, the best temples, the best food, and finally human sacrifices, the greatest thing they could demand from the general population, the giant
[00:04:06.227 --> 00:04:15.850]  The Titan God will swallow the sun, or the Snake God will swallow the sun or moon, and it will be the end of the world if you don't give the priest class total control.
[00:04:16.390 --> 00:04:20.251]  And that's basically what politicians in Hollywood are doing again today.
[00:04:20.711 --> 00:04:22.512]  It's the end of the world with terrorism.
[00:04:22.572 --> 00:04:25.473]  It's the end of the world with the economy.
[00:04:25.613 --> 00:04:29.414]  If you don't give us more control, we're going to go over the fiscal cliff.
[00:04:30.054 --> 00:04:43.823]  You remember Karl Rove when he told the New York Times that it doesn't matter if we lie to people, it doesn't matter if we change the political narrative tomorrow, up is down, down is up in a 1984 fashion, because we in the governing class are history's actors now.
[00:04:44.464 --> 00:04:49.187]  And you the public are in such a coma, you will just accept whatever the new reality is.
[00:04:49.887 --> 00:04:51.548]  So sit down and shut up.
[00:04:52.109 --> 00:04:54.971]  And that's what these prophets of doom are doing.
[00:04:55.231 --> 00:04:56.852]  They are stealing the future.
[00:04:56.972 --> 00:05:03.337]  They are prescripting what it's going to be and then we just fall into line and believe it like they're God.
[00:05:03.998 --> 00:05:06.500]  Don't let these people dominate and control the future.
