[00:00:01.711 --> 00:00:02.272]  We've got it!
[00:00:08.840 --> 00:00:12.142]  Waging war on corruption.
[00:00:12.743 --> 00:00:18.767]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:34.597 --> 00:00:43.905]  Well, my friends, we're live and I'm glad we are here on this Sunday, the 29th day of April 2012.
[00:00:46.247 --> 00:00:51.852]  I'm very glad that we're here because wow is the news off the charts.
[00:00:51.932 --> 00:00:57.638]  Here is just some of what's coming up today and your phone calls, I should add, from 4 to 6 p.m.
[00:00:57.698 --> 00:01:00.260]  Central Standard Time, 5 to 7 Eastern.
[00:01:00.440 --> 00:01:00.800]  That's 2 to 4.
[00:01:02.247 --> 00:01:03.688]  Pacific, three to five mountain.
[00:01:04.429 --> 00:01:09.433]  Republicans prepare contempt citation against Eric Holder over Fast and Furious.
[00:01:10.774 --> 00:01:12.115]  And I was pinching myself.
[00:01:13.135 --> 00:01:19.260]  You mean actually going after real justice, just not putting on some show hearings and then doing nothing?
[00:01:21.362 --> 00:01:21.762]  Wow!
[00:01:23.583 --> 00:01:26.586]  And as if that wasn't good enough,
[00:01:28.527 --> 00:01:33.649]  This is part of the twilight zoning of America, but not just on the bad side, on the good side.
[00:01:34.090 --> 00:01:35.030]  Stuff's getting crazy.
[00:01:35.470 --> 00:01:38.412]  See, when things start getting really bad, you see the best in people and the worst.
[00:01:39.672 --> 00:01:40.973]  Separation of the wheat from the chaff.
[00:01:41.253 --> 00:01:44.334]  This is the New York Times yesterday.
[00:01:45.175 --> 00:01:45.875]  Big story.
[00:01:46.455 --> 00:01:49.497]  Terrorist plots hatched by the FBI.
[00:01:50.700 --> 00:01:59.363]  And it goes on to say the FBI has manufactured almost every terror threat and has led them, and it's fake, and is doing it to get power and take people's liberties.
[00:02:00.083 --> 00:02:00.903]  The New York Times.
[00:02:01.823 --> 00:02:02.884]  Sounds like Alex Jones.
[00:02:03.604 --> 00:02:13.827]  So let me see, CBS News is reporting on contempt charges on the Attorney General caught shipping guns into Mexico, guns back in the United States.
[00:02:17.918 --> 00:02:19.318]  Or did I say guns into Mexico?
[00:02:19.338 --> 00:02:21.299]  Drugs into the United States.
[00:02:22.059 --> 00:02:28.040]  And then we've got the New York Times terrorist plots hatched by the FBI.
[00:02:29.660 --> 00:02:31.681]  But it only gets crazier from there.
[00:02:31.841 --> 00:02:33.001]  Here's WorldNetDaily.
[00:02:33.061 --> 00:02:34.021]  I just shot a video.
[00:02:34.061 --> 00:02:35.821]  It just went up at InfoWars.com.
[00:02:36.221 --> 00:02:39.782]  Breitbart's coroner poisoned to death.
[00:02:41.922 --> 00:02:43.363]  The police are investigating.
[00:02:43.623 --> 00:02:44.763]  They say he was poisoned.
[00:02:48.800 --> 00:02:49.140]  Wow!
[00:02:51.141 --> 00:02:54.964]  But wait, it only gets crazier from there on out.
[00:02:56.525 --> 00:03:12.494]  We're coming up on the International Luciferian slash Commie Day, May Day, when Obama announced, they're saying as he announced it on a Sunday evening, that this is the one year anniversary, but technically it was on May 1st, so that's coming up in a few days.
[00:03:14.976 --> 00:03:16.457]  And they are now
[00:03:18.504 --> 00:03:30.587]  Announcing that the police are investigating, again, not just the suspicious death of Breitbart's coroner, but now
[00:03:31.636 --> 00:03:39.140]  The system is rolling out a fresh, a new, the whole hoax on the Bin Laden killing front.
[00:03:39.500 --> 00:03:42.601]  And I shot another video on that this morning with SepadInfoWars.com.
[00:03:42.621 --> 00:03:53.747]  We're going to be breaking down the 10 facts that prove the Bin Laden fable is a contrived hoax as the president moves to use this as his re-election bid.
[00:03:53.807 --> 00:03:55.668]  That he's a tough guy on Al Qaeda.
[00:03:56.845 --> 00:04:13.862]  If the Republicans wanted to destroy Obama, but they can't because they destroy themselves, they'd go, you're using Al-Qaeda in Syria, you're using Al-Qaeda in Iran, you're using Al-Qaeda in Libya, you turn the country over to them, you're putting Al-Qaeda like the Muslim Brotherhood so they can have sex with their wives after they're dead.
