[00:00:33.705 --> 00:00:34.426]  I'm good.
[00:00:43.715 --> 00:00:52.443]  Tonight, Alex Jones talks with Black Panther veteran Larry Pinckney about the Trojan horse that is Barack Obama.
[00:00:52.923 --> 00:01:02.472]  Then, Treasury Department investigators say the IRS is helping illegal immigrants defraud the government out of billions of dollars.
[00:01:02.892 --> 00:01:10.739]  Plus, a woman who was a victim of a brutal rape undergoes a horrific experience at the hands of the TSA.
[00:01:11.219 --> 00:01:14.382]  And how to survive a theater-style shooting.
[00:01:14.942 --> 00:01:15.723]  Lock and load.
[00:01:16.143 --> 00:01:19.946]  That's coming up next on the Info Wars Nightly News.
[00:01:29.432 --> 00:01:35.237]  First story tonight is, well, something that we dropped the ball on, or I dropped the ball on.
[00:01:35.557 --> 00:01:38.199]  The last three years, I've talked to two different whistleblowers.
[00:01:38.911 --> 00:01:41.693]  Here at the main IRS command center nationwide.
[00:01:41.733 --> 00:01:43.575]  It's based in Austin, Texas for whatever reason.
[00:01:44.135 --> 00:01:46.557]  And that's where this national story is now broken in the Associated Press.
[00:01:47.017 --> 00:01:51.881]  Last week I mentioned on there we had several IRS whistleblowers and a big article about to come out.
[00:01:52.742 --> 00:01:56.845]  It's just they gave me so much information that I don't know where to start.
[00:01:56.905 --> 00:01:58.526]  But now it's in the Associated Press.
[00:01:58.546 --> 00:02:01.689]  It's everywhere because the Drudge Report put it out a few days ago.
[00:02:01.729 --> 00:02:02.810]  So they're forced to report on it.
[00:02:03.330 --> 00:02:05.272]  And we now have this inspector
[00:02:07.392 --> 00:02:13.456]  of the Treasury coming out and saying, oh, yes, some of the people of the IRS, the Treasury commands.
[00:02:14.897 --> 00:02:17.780]  So it's kind of like Obama acting like he didn't know about Fashion Furious.
[00:02:17.800 --> 00:02:24.845]  It's like the Don going after some of his capos and telling him not to follow his orders anymore once they get caught.
[00:02:26.226 --> 00:02:35.013]  They are saying that the IRS was giving fake tax ID numbers, which they could then use in Social Security numbers they'd stolen, even if they didn't match.
[00:02:35.782 --> 00:02:41.206]  To, in some cases, get hundreds of millions of dollars per home.
[00:02:42.387 --> 00:02:50.973]  In fact, they were saying 10 addresses had $59,000 plus tax returns, tax refunds, sent to it.
[00:02:51.394 --> 00:02:56.398]  Now, here's the rest of the story you're not getting out of this, and that we're going to be breaking very, very soon.
[00:02:56.678 --> 00:02:58.059]  And believe me, this is dangerous info.
[00:03:00.051 --> 00:03:05.035]  Foreign governments, the Russians, the Chinese, at least that's what the top IRS people here in town are telling me.
[00:03:05.555 --> 00:03:06.416]  Well, let's just say high level.
[00:03:06.436 --> 00:03:09.018]  I don't want to give away too much.
[00:03:09.919 --> 00:03:25.991]  They are being told that foreign governments have gotten all these social security numbers that Bank of America has released, the Texas Comptroller, so much of this is happening in Texas, and that the illegals somehow get these and the foreign governments get them with the tax ID numbers the IRS will give anybody.
[00:03:27.535 --> 00:03:37.285]  And then they merge those and are able to get even more money in refunds and tax credits for children and things like that that don't exist.
[00:03:37.745 --> 00:03:41.829]  And that once it's discovered that the identity's been stolen of U.S.
[00:03:41.849 --> 00:03:48.096]  citizens, the IRS freezes their accounts and things, in many cases takes their money.
[00:03:49.232 --> 00:03:49.873]  You heard me right.
[00:03:50.313 --> 00:03:54.937]  Takes the money of US citizens out of their bank accounts, acting like they did it.
