[00:00:02.190 --> 00:00:02.451]  I'm good.
[00:00:39.693 --> 00:00:41.674]  Welcome to InfoWars Nightly News.
[00:00:41.734 --> 00:00:43.215]  My name is David Ortiz.
[00:00:43.576 --> 00:00:49.060]  Today is September the 14th of 2012 and here's what we have in store for you tonight.
[00:00:49.943 --> 00:00:57.466]  Tonight, on the InfoWars Nightly News, QE3 is unleashed and helicopter bins throwing more money to the banks.
[00:00:58.026 --> 00:01:02.828]  Plus, Alex sits down with Gerald Cilente in a mind-blowing interview.
[00:01:02.968 --> 00:01:04.449]  You're not going to want to miss this one.
[00:01:05.009 --> 00:01:08.651]  What was the major war that Eisenhower got us into?
[00:01:10.071 --> 00:01:10.892]  How about none?
[00:01:11.692 --> 00:01:18.795]  How about it was Eisenhower who ended the... All that and more on tonight's InfoWars Nightly News.
[00:01:19.639 --> 00:01:20.159]  Good evening.
[00:01:20.599 --> 00:01:26.362]  Has the United States and Israel unofficially begun a war with several Middle Eastern countries?
[00:01:26.822 --> 00:01:42.749]  According to several federal agencies, particularly the FBI and the Department of Homeland Security, they are warning of terror attacks that could continue to occur in response to an anti-Muslim trailer that has been uploaded and has appeared on YouTube.
[00:01:43.229 --> 00:01:52.521]  The intelligence agency's bulletin also warns, quote, the risk of violence could increase both at home and abroad as the film continues to gain attention.
[00:01:53.553 --> 00:01:56.774]  Now, in my estimation, this is occurring for one of two reasons.
[00:01:57.275 --> 00:02:01.076]  Either our blowback policies, this is occurring because of blowback.
[00:02:01.156 --> 00:02:07.679]  Obviously, Middle Eastern people would not be nearly as upset with us if we weren't bombing their countries.
[00:02:08.159 --> 00:02:09.199]  Or, the U.S.
[00:02:09.279 --> 00:02:13.821]  could very well, with the help of Israel's Mossad, be behind this video.
[00:02:14.241 --> 00:02:15.582]  And why would they want to do that?
[00:02:16.162 --> 00:02:22.066]  Well, to divert our attention from the economy, the dismal numbers that we continue to hear.
[00:02:22.546 --> 00:02:24.648]  Obviously, the economy is in free fall.
[00:02:24.888 --> 00:02:30.792]  So, according to an article posted by Paul Joseph Watson today on InfoWars.com, here are his thoughts on the matter.
[00:02:45.862 --> 00:02:46.049]  Yeah.
[00:02:46.570 --> 00:02:52.413]  So Mr. Watson obviously feels what many info warriors already know, and that's that one of two things are happening.
[00:02:52.673 --> 00:03:08.620]  This is a result of our, this is blowback as a result of our military policies, or the United States is somewhat involved with this film in a way to divert the public, so that they can divert the public and get us to war with Iran.
[00:03:09.121 --> 00:03:15.404]  And it's also a great way to distract the public from what's going on economically here in the United States.
[00:03:16.224 --> 00:03:22.273]  And as this news occurs, two bomb threats were called in today at two major universities.
[00:03:23.274 --> 00:03:30.104]  One bomb threat occurred today at the University of Texas, right up the road here in Austin, according to university officials.
[00:03:31.099 --> 00:03:39.102]  Quote, the university received a call from a male with a Middle Eastern accent claiming to have placed bombs all over campus.
[00:03:39.542 --> 00:03:43.784]  He said he was with Al-Qaeda and these bombs would go off in 90 minutes.
[00:03:44.284 --> 00:03:51.167]  President Powers, who's the president of University of Texas, was notified and it was decided to evacuate.
[00:03:51.827 --> 00:03:56.950]  All of the buildings out of an abundance of caution reports WeAreAustin.com.
[00:03:57.471 --> 00:04:04.555]  Now, the University of Texas wasn't the only university that had a bomb threat called in from a supposed member of Al-Qaeda.
[00:04:04.835 --> 00:04:07.877]  This also occurred at North Dakota State as well.
[00:04:08.497 --> 00:04:18.945]  According to officials, a supposed member of Al-Qaeda called in there also, and at the Valparaiso University in Indiana, they had unspecified threats that occurred.
[00:04:19.285 --> 00:04:26.890]  They don't say it was a member of Al-Qaeda, but obviously police authorities had to come on to the university as well.
[00:04:26.950 --> 00:04:33.035]  So, we haven't had any threats at major universities, and all within a matter of hours, minutes,
[00:04:33.675 --> 00:04:39.938]  There are two, possibly three, universities that receive bomb threats from members of Al-Qaeda.
[00:04:41.039 --> 00:04:47.922]  Coincidentally, members of our news team were at the University of Texas producing another story around that time.
[00:04:48.362 --> 00:04:53.405]  And later on in this segment, Alex will talk to them and see what their thoughts are on the matter.
[00:04:53.445 --> 00:05:00.428]  They spoke to students who were on campus and asked them questions about how they feel about the supposed bomb threat.
[00:05:01.696 --> 00:05:08.918]  And also, the University of Texas does have a nuclear reactor facility, and that had to be evacuated as well.
[00:05:09.218 --> 00:05:13.719]  For those who don't believe that, we actually have footage of their nuclear reactor facility.
[00:05:13.779 --> 00:05:17.280]  So, this is a great way to kill two birds with one stone.
[00:05:17.700 --> 00:05:25.042]  You don't only call a bomb threat to a major university, but you scare people and call a bomb threat into a nuclear facility.
[00:05:25.362 --> 00:05:27.243]  It gets the American public thinking that
[00:05:27.743 --> 00:05:35.908]  These men with steely knives and beards can not only attack our universities but they could attack our nuclear facilities as well.
[00:05:37.268 --> 00:05:44.532]  So obviously this is a great way to roll out the TSA and roll out a new war with Iran and possibly Syria.
