[00:00:00.149 --> 00:00:03.390]  Governor Johnson, you're on the ballot in 47 states.
[00:00:03.410 --> 00:00:09.273]  47 states right now, three to go, and we're litigated in the three, and we believe we're going to prevail in the three, but we'll see.
[00:00:09.533 --> 00:00:10.053]  Great, great.
[00:00:10.593 --> 00:00:21.598]  And I think it's important to point that out because there are other third parties, but I believe the Green Party at a maximum is going to be at 30 states, so that kind of puts it into perspective.
[00:00:21.678 --> 00:00:22.218]  Wow, wow.
[00:00:22.238 --> 00:00:23.279]  What about the Constitutional Party?
[00:00:23.319 --> 00:00:24.079]  How far do they play?
[00:00:24.299 --> 00:00:25.920]  My understanding is about eight.
[00:00:26.260 --> 00:00:27.200]  Wow, wow.
[00:00:27.361 --> 00:00:28.361]  So a significant difference.
[00:00:28.701 --> 00:00:32.582]  Roseanne Barr's party, whatever that is, I understand that's a two.
[00:00:34.223 --> 00:00:36.103]  Now, you're a two-term governor of New Mexico.
[00:00:36.123 --> 00:00:37.444]  Two-term, former governor of New Mexico.
[00:00:37.464 --> 00:00:42.025]  So you actually have more executive experience than both Obama and Romney combined, right?
[00:00:42.045 --> 00:00:42.285]  Right.
[00:00:42.906 --> 00:00:47.967]  And what's important there is I think my executive experience is that I vetoed stuff.
[00:00:48.507 --> 00:00:49.668]  I mean, I said no to government.
[00:00:50.028 --> 00:00:52.869]  Now, New Mexico's a state that's two-to-one Democrat.
[00:00:53.749 --> 00:00:55.791]  I made a name for myself being a penny pincher.
[00:00:55.811 --> 00:00:58.994]  I made a name for myself saying no to bigger government.
[00:00:59.014 --> 00:01:00.956]  The government doesn't have the solutions.
[00:01:01.617 --> 00:01:08.143]  I should have gotten ridden out on a rail, but I got re-elected by a bigger margin the second time than the first time.
[00:01:08.544 --> 00:01:15.291]  I just think it speaks volumes to the fact that people really appreciate good stewardship of tax dollars.
[00:01:24.545 --> 00:01:38.636]  So that said, over the course of this last presidential campaign election, they did a poll on favorabilities of all the presidential candidates in their home states.
[00:01:39.677 --> 00:01:45.862]  There was only one presidential candidate that was viewed favorably in his or her own state.
[00:01:53.427 --> 00:01:55.454]  And how does that equate in New Mexico?
[00:01:55.835 --> 00:02:00.049]  In New Mexico, I'm waved at with all five fingers, not just one.
[00:02:01.565 --> 00:02:07.987]  I guess one of the policy issues that I think is being ignored unjustly is the TSA and what's happening there.
[00:02:09.268 --> 00:02:16.770]  And I've seen that the Republican platform, they call for the privatization of the TSA, but Romney has been silent on it.
[00:02:16.830 --> 00:02:23.492]  As a matter of fact, he's got TSA at his events, you know, scanning and searching people and that sort of thing at multiple events.
[00:02:24.032 --> 00:02:28.554]  But I see that you called on your website, you called for the TSA to be
[00:02:29.574 --> 00:02:31.575]  To not have a monopoly on airport security.
[00:02:31.615 --> 00:02:33.996]  How would that differ from, say, privatizing it?
[00:02:34.436 --> 00:02:36.818]  In essence, that would be privatizing.
[00:02:37.258 --> 00:02:45.502]  I would like to point out that if I would have been President of the United States after 9-11, I would have never established the Department of Homeland Security.
[00:02:46.222 --> 00:02:48.643]  I would have never established the TSA, ever.
[00:02:48.683 --> 00:02:54.106]  I would have left airport security to the airports, to the municipalities, to the airlines.
[00:02:55.006 --> 00:03:01.309]  I think that today, airport security would be less intrusive and as safe.
