[00:00:03.496 --> 00:00:03.816]  We're good.
[00:00:35.501 --> 00:00:38.122]  Welcome to the InfoWars Nightly News for October 31st, 2012.
[00:00:38.622 --> 00:00:41.223]  I'm David Knight, and here are our top stories.
[00:00:44.284 --> 00:00:52.366]  Tonight on the InfoWars Nightly News... On the heels of Hurricane Sandy, storm looters strike all over the Northeast.
[00:00:53.187 --> 00:00:57.488]  Plus, cops taze 10-year-old boy for refusing to clean the patrol car.
[00:00:59.509 --> 00:01:01.549]  And we have three powerful interviews.
[00:01:01.909 --> 00:01:03.490]  The first with Wade Hicks.
[00:01:04.375 --> 00:01:08.298]  Then David Ortiz interviews Gary Johnson, libertarian candidate for president.
[00:01:08.599 --> 00:01:16.806]  And finally, David Knight interviews the New Jersey weed man who was recently acquitted of all charges due to jury nullification.
[00:01:17.526 --> 00:01:21.130]  All this and more on tonight's InfoWars Nightly News.
[00:01:31.084 --> 00:01:41.289]  Although we were criticized by the Daily Beast and the Atlantic for reporting that people were tweeting about looting in the wake of Hurricane Sandy, now they're tweeting about what they actually looted.
[00:01:41.969 --> 00:01:52.795]  In the article, Shameless Looters Display Stolen Goods on Twitter, they're using the hashtag, Sandy Loot Crew, and people are bragging about what they've taken and organizing for more looting, as they said they were going to do.
[00:01:53.522 --> 00:02:02.150]  And we are accused of fear-mongering by the Atlantic and the Daily Beast, and they went even further to try to debunk the idea that looting was ever a serious problem.
[00:02:02.850 --> 00:02:15.702]  Now, although some of these are possibly hoaxes, and some of the others are possibly hoaxes, I think there's some real stuff going on here, because another article that we have today on InfoWars says, looters plague hurricane victims post-Sandy.
[00:02:16.565 --> 00:02:22.168]  Actually, there's widespread looting that is undergoing in both Atlantic City and quite a bit in New York City.
[00:02:23.168 --> 00:02:26.569]  But of course, now you can believe it because the mainstream media is reporting it.
[00:02:27.870 --> 00:02:32.072]  Also in hurricane news, Obama ordered the DHS to control hurricanes.
[00:02:32.685 --> 00:02:48.302]  This is another story that we have reported and taken criticism for, and yet, as Melissa Moulton pointed out, we actually have the documents archived by the Washington Post showing that NOAA, the National Oceanic and Atmospheric Administration, acknowledged three things.
[00:02:48.462 --> 00:02:50.204]  One, that they, Project Stormfury,
[00:02:50.988 --> 00:02:51.429]  Existed.
[00:02:52.229 --> 00:03:01.619]  InfoWars has interviewed many times in the past Ben Livingston, a former Navy physicist who briefed President Johnson on the effectiveness of weather control back in the 1960s.
[00:03:02.139 --> 00:03:10.528]  Livingston asserts that hurricane control was a national priority of the government more than 40 years ago and that the technology is fully operational to control weather at the time.
[00:03:11.630 --> 00:03:17.554]  Also interesting in this document is the fact that NOAA has refused to participate in DHS's HAMP program.
[00:03:17.594 --> 00:03:20.896]  That's a Hurricane, Aerosol, and Microphysics program.
[00:03:21.416 --> 00:03:27.300]  In doing that, they turned down a $64 million project, and they've had their funding cut every year since.
[00:03:28.140 --> 00:03:34.444]  Now the question I have, possibly you have too, is why is the Department of Homeland doing hurricane research?
[00:03:35.433 --> 00:03:39.234]  Are they just megalomaniacs trying to get their tentacles in every aspect of the government?
[00:03:39.754 --> 00:03:47.157]  That's something we should worry about, because wherever the DHS goes, we lose due process, we lose our freedoms, and they get more bureaucratic power.
[00:03:47.437 --> 00:03:56.119]  Or, are they getting involved because they want to make disasters that they can then use as pretenses for gaining more power for the central government?
[00:03:57.620 --> 00:04:00.801]  Well, we could do a whole program on cops with tasers.
[00:04:01.972 --> 00:04:04.713]  And we have two articles today that were in the news.
[00:04:04.753 --> 00:04:07.153]  The first one is an accidental tasering.
[00:04:07.193 --> 00:04:10.754]  A toddler was accidentally tasered by a San Diego police officer.
[00:04:10.774 --> 00:04:18.955]  Now this officer shot his taser to bring down a fleeing suspect, and one of the barbs actually hit a three-year-old girl.
[00:04:20.356 --> 00:04:25.197]  He did not pull the trigger and shock her, but she was stuck with it nevertheless.
[00:04:27.173 --> 00:04:32.377]  But, you know, tasering has become such a common thing, it's really disturbing.
[00:04:32.437 --> 00:04:34.799]  And this next story is extremely disturbing.
[00:04:35.219 --> 00:04:43.145]  In this case, an officer, a cop, the title is, Cops Taser 10-Year-Old Boy for Refusing to Clean a Patrol Car.
[00:04:43.725 --> 00:04:48.489]  This officer was demonstrating what police do on school career day.
[00:04:48.509 --> 00:04:54.934]  And what he did was he told this 10-year-old boy to clean out his patrol vehicle.
[00:04:55.882 --> 00:05:07.170]  And Officer Chris Webb, according to the lawsuit, is claimed to have stated, let me show you what happens to people who do not listen to the police when the 10-year-old boy refused to clean out the police vehicle.
[00:05:07.570 --> 00:05:16.817]  He then pointed the taser at the boy, according to the report, fired two barbs directly into the 10-year-old's chest, electrifying him and causing him to black out.
