[00:00:39.519 --> 00:00:40.040]  Good evening.
[00:00:40.580 --> 00:00:42.161]  It's September the 24th of 2012.
[00:00:42.842 --> 00:00:44.823]  I'm David Ortiz.
[00:00:45.103 --> 00:00:49.547]  You're watching InfoWars Nightly News, and here's what we have in store for you tonight.
[00:00:52.611 --> 00:00:56.694]  Tonight, police arrest 9-11 truth sidewalk chalker.
[00:00:56.994 --> 00:00:59.876]  But shouldn't they be taking more time to catch the real criminals?
[00:01:00.276 --> 00:01:09.422]  And police brutality hits a new low as Houston PD kills wheelchair-ridden, schizophrenic, double amputee armed with... a pin.
[00:01:10.362 --> 00:01:22.008]  And David Ortiz sits down with libertarian presidential candidate Gary Johnson to discuss the NDAA, torture, the war on drugs, and his lawsuit to be heard in the presidential debates.
[00:01:22.528 --> 00:01:26.510]  All this and more on tonight's InfoWars Nightly News.
[00:01:35.743 --> 00:01:42.328]  Well, third-party presidential candidate Gary Johnson wants to participate in the presidential debates.
[00:01:42.749 --> 00:01:49.854]  So much so that he has recently filed an antitrust lawsuit against the Commission on Presidential Debates.
[00:01:50.294 --> 00:01:58.060]  According to Mr. Johnson, this organization is illegally prohibiting him from participating in the debates.
[00:01:58.441 --> 00:02:01.063]  Now, this organization is extremely secretive.
[00:02:01.523 --> 00:02:06.065]  They're very similar to the Federal Reserve in that they have great power over the American public.
[00:02:06.085 --> 00:02:09.786]  They get to decide who participates in the presidential debates.
[00:02:10.107 --> 00:02:15.769]  Like the Federal Reserve, they consist of only a small group of people who are unelected.
[00:02:16.756 --> 00:02:20.018]  And like the Federal Reserve, they rarely give interviews to the public.
[00:02:20.398 --> 00:02:29.782]  Mr. Johnson once again is saying they are illegally prohibiting him from participating in the debates, and so he has filed an antitrust lawsuit.
[00:02:30.082 --> 00:02:31.403]  He expects a decision
[00:02:32.395 --> 00:02:46.385]  Will take place within the next few weeks prior to the debates and just so you know this organization demands that somebody has at least 15% that somebody be polling at about 15% in several polls to participate in the debates.
[00:02:47.005 --> 00:02:52.509]  Obviously most pundits agree you're not going to hit that threshold unless you can participate in the debates.
[00:02:52.849 --> 00:02:59.074]  Most of the public sees you at a debate and if you don't get to participate at that event you're not going to hit that threshold.
[00:02:59.354 --> 00:03:01.976]  Now stay tuned because later on in this new segment
[00:03:02.396 --> 00:03:06.200]  I conducted a one-on-one interview with Gary Johnson.
[00:03:06.240 --> 00:03:08.402]  There will be a one-on-one interview with Gary Johnson.
[00:03:08.462 --> 00:03:10.724]  I conducted it with him earlier on today.
[00:03:10.804 --> 00:03:14.748]  He visited our studios here at InfoWars and it's a hard-hitting interview.
[00:03:15.028 --> 00:03:19.572]  He talks about this lawsuit that he has filed as well as many other issues.
[00:03:19.612 --> 00:03:22.234]  So stay tuned for that interview.
[00:03:22.775 --> 00:03:23.476]  It's a great one.
[00:03:24.528 --> 00:03:28.209]  In other news, Iran threatens attacks on U.S.
[00:03:28.309 --> 00:03:30.450]  bases in the event of a war.
[00:03:30.910 --> 00:03:38.812]  According to a senior commander in Iran's powerful Revolutionary Guard, his name is General Amir Ali Hajizadeh.
[00:03:39.432 --> 00:03:41.392]  He heads the Guard's Aerospace Division.
[00:03:41.832 --> 00:03:49.634]  He says, an Israeli attack cannot happen without the support of its most important ally, the United States, making all U.S.
[00:03:49.694 --> 00:03:51.715]  military bases a legitimate target.
