[00:00:00.029 --> 00:00:00.872]  Broadcasting Network.
[00:00:29.102 --> 00:00:31.584]  Ladies and gentlemen, we are live here.
[00:00:31.624 --> 00:00:32.624]  Gerald Cilente with us.
[00:00:32.644 --> 00:00:33.765]  Five minutes to the next hour.
[00:00:34.986 --> 00:00:38.608]  He is the editor and publisher of the Trends Research Journal.
[00:00:39.629 --> 00:00:42.611]  And you can visit his site at what?
[00:00:42.771 --> 00:00:46.353]  TrendsJournal.com or TrendsResearch.com.
[00:00:46.413 --> 00:00:47.094]  It's excellent.
[00:00:47.614 --> 00:00:49.775]  You've got the Rothschilds and Rockefellers merging.
[00:00:49.915 --> 00:00:52.756]  That happened a month ago, a sign that the whole world's coming together under this.
[00:00:53.056 --> 00:00:55.537]  They're announcing a banking dictatorship worldwide.
[00:00:56.477 --> 00:00:57.577]  They're butchering our liberties.
[00:00:57.617 --> 00:00:59.578]  How does Iran tie into that?
[00:00:59.958 --> 00:01:01.218]  And the storm clouds there?
[00:01:01.458 --> 00:01:03.099]  And what do you see happening in the election?
[00:01:03.578 --> 00:01:08.481]  Well, on Iran, I have to tell you, I'm quite upset about what I just saw.
[00:01:09.041 --> 00:01:25.370]  In Florida, they're running ads, campaign ads, featuring Israeli Prime Minister Benjamin Netanyahu, warning about that red line, and no one's to tell Israel that they have a red light, and how Iran's this great threat.
[00:01:25.971 --> 00:01:29.553]  I want to read to you a quote from our
[00:01:31.118 --> 00:01:33.380]  Autumn Trends Journal, it just went out last week.
[00:01:34.280 --> 00:01:43.827]  Mr. Prime Minister, you want a crude, rude, unprecedented, reckless, and risky intervention into the U.S.
[00:01:43.907 --> 00:01:44.627]  elections.
[00:01:45.568 --> 00:01:47.790]  Who are you trying to replace?
[00:01:48.770 --> 00:01:50.852]  The administration in Washington?
[00:01:50.872 --> 00:01:54.794]  Or that of Tehran?
[00:01:55.755 --> 00:01:56.375]  That, Alex,
[00:01:57.577 --> 00:02:05.143]  ...was from Shaul Mofaz, the head of Israel's Kadima party.
[00:02:05.163 --> 00:02:06.744]  That's the second major party.
[00:02:07.405 --> 00:02:17.773]  Could you imagine that a foreign power is injecting themselves into our American election?
[00:02:18.573 --> 00:02:20.515]  Where are the prostitutes?
[00:02:21.175 --> 00:02:31.520]  Saying what an outrage this is, that somebody should be running ads and telling us that we have to support Israel unconditionally.
[00:02:32.081 --> 00:02:36.043]  This is running on, and I'm going to make this clear, I'm not an anti-Semite.
[00:02:36.423 --> 00:02:40.285]  I'm not in favor of supporting anybody outside of America.
[00:02:40.705 --> 00:02:41.466]  I'm Italian.
[00:02:42.446 --> 00:02:46.027]  That's where my money would go first, but I don't want it going there either.
[00:02:46.507 --> 00:02:50.869]  So to have this going on... So where is the election going?
[00:02:51.349 --> 00:02:53.030]  It's right at the wire.
[00:02:53.830 --> 00:02:56.191]  We had changed our forecast.
[00:02:56.611 --> 00:02:59.772]  We had believed that Obama was going to win.
[00:03:00.392 --> 00:03:02.433]  Now we don't know, and I'll tell you why.
[00:03:03.213 --> 00:03:05.554]  Because it's all about performance.
[00:03:06.434 --> 00:03:07.775]  Look at what happened.
[00:03:07.935 --> 00:03:09.235]  Obama bombed.
[00:03:09.636 --> 00:03:12.277]  He was lackluster in the first debate.
[00:03:13.538 --> 00:03:15.579]  His poll numbers shot down.
[00:03:15.919 --> 00:03:16.339]  Why?
[00:03:16.879 --> 00:03:20.441]  Because it's the presidential reality show.
[00:03:20.881 --> 00:03:22.682]  There is no substance.
[00:03:23.142 --> 00:03:25.283]  So the second debate he does better.
[00:03:25.323 --> 00:03:26.764]  His poll numbers move up.
[00:03:27.625 --> 00:03:29.866]  What did he say of substance?
[00:03:30.646 --> 00:03:35.269]  What did Romney say of substance in the last debate?
[00:03:35.730 --> 00:03:37.111]  How about nothing?
[00:03:37.511 --> 00:03:51.321]  There was one guy, Obama, trying to defend a track record that's undefensible, and then we have Romney with a plan that has no plan.
[00:03:51.881 --> 00:03:54.743]  So here's what the campaign debates have come down to.
[00:03:55.463 --> 00:03:56.904]  They get asked a question,
[00:03:57.845 --> 00:04:10.756]  And then what they do is they repeat the question and after they repeat the question they go and and kick into the same damn campaign speech we've been hearing over and over for over a year.
[00:04:11.337 --> 00:04:12.858]  So all it is about is
[00:04:12.998 --> 00:04:13.998]  His performance.
[00:04:14.418 --> 00:04:32.744]  Look at the language that they used after that so-called debate that was hosted by Candy Crowley from the Cartoon News Network CNN, featuring Mouse Blitzer, ACDC 180, and the rest of the Crap Hound crew.
[00:04:33.264 --> 00:04:33.644]  Stay there.
[00:04:33.664 --> 00:04:34.584]  Long segment coming up.
[00:04:34.604 --> 00:04:36.985]  Gerald Cilente and I've been up.
[00:04:37.825 --> 00:04:39.588]  For more than 24 hours, so I'm a little dingy.
[00:04:39.648 --> 00:04:41.991]  It's TrendsResearch.com and TrendsJournal.com.
[00:04:42.551 --> 00:04:45.555]  TrendsResearch.com and TrendsJournal.com.
[00:04:45.615 --> 00:04:46.196]  Invaluable.
[00:04:46.877 --> 00:04:48.900]  And you get the magazine there as well.
[00:04:48.920 --> 00:04:53.345]  We'll be right back with Gerald Cilente to get into where he sees things going now.
[00:05:05.367 --> 00:05:07.349]  Cold and flu season is upon us.
[00:05:07.850 --> 00:05:13.696]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial.
[00:05:14.076 --> 00:05:25.207]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, as well as help improve wound healing.
[00:05:25.768 --> 00:05:38.370]  Silver Sol technology is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases, like strep throat, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:05:38.811 --> 00:05:51.053]  This new technology is much more effective than colloidal or ionic silvers, and has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of older solutions.
[00:05:51.773 --> 00:05:54.935]  Supernatural Silver is what you need for any emergency.
[00:05:55.435 --> 00:06:02.760]  Go to SupernaturalSilver.com today and use the promo code AlexSays for 20% off and like us on Facebook.
[00:06:06.882 --> 00:06:10.464]  We now take you live to the Central Texas Command Center.
[00:06:10.725 --> 00:06:15.427]  In the heart of the resistance, you are listening to the Alex Jones Show.
[00:06:27.028 --> 00:06:28.549]  Now listen, we covered this yesterday.
[00:06:28.569 --> 00:06:29.789]  It's all over the news.
[00:06:30.130 --> 00:06:38.874]  Nobel Prize winning for economics, Joseph Stiglitz, former head of the World Bank, chief economist there, says, hey, you know, it's the depression in Europe, it's going global.
[00:06:39.354 --> 00:06:45.797]  Wow, but Gerald Salinde's been saying that for four and a half years, so have I. I mean, but they said we left the recession four years ago, and everything's great and wild.
[00:06:45.817 --> 00:06:48.019]  You see those new unemployment numbers.
[00:06:48.179 --> 00:06:48.439]  Oh, yeah.
[00:06:49.019 --> 00:06:51.300]  I mean, it is literally ridiculous.
[00:06:51.320 --> 00:06:55.442]  I mean, they could tell us the moon is made out of, you know, licorice next, or Swiss cheese.
[00:06:56.682 --> 00:07:03.365]  And here is Gerald Cilente of the Trends Journal, TrendsResearch.com, joining us.
[00:07:04.106 --> 00:07:07.967]  And again, hands down, he is everybody's favorite guest.
[00:07:08.748 --> 00:07:11.549]  And so you want him, you got him.
[00:07:12.509 --> 00:07:17.472]  Right here, and we don't do pre-interviews, it's whatever he basically wants to cover and, you know, points I want to ask.
[00:07:17.492 --> 00:07:17.932]  But Gerald,
[00:07:18.772 --> 00:07:21.036]  I just gotta ask you, I mean, it's coming to a head with the TSA.
[00:07:21.056 --> 00:07:25.523]  They're now at highway checkpoints taking people into trailers and grabbing their genitals.
[00:07:26.003 --> 00:07:29.188]  I mean, I don't fly now, basically, unless I have to because of it.
[00:07:29.308 --> 00:07:32.513]  I won't fly with my wife and kids because I can't put up with it.
[00:07:34.115 --> 00:07:37.676]  And now they've got army checkpoints popping up, not just drills everywhere.
[00:07:38.136 --> 00:07:41.597]  I mean, we're going into martial law, they're just not going to call it that.
[00:07:42.437 --> 00:07:46.439]  Jumbotrons going up at Mall of America, Walmart saying, don't trust anyone but big sis.
[00:07:47.359 --> 00:07:49.399]  Obama announcements to people's phones.
[00:07:49.879 --> 00:07:52.420]  I mean, we are going into a science fiction system.
[00:07:52.740 --> 00:07:56.021]  Why is the ruling class turning the heat up a thousand times?
[00:07:56.061 --> 00:07:58.682]  I mean, this is just, I feel like I'm in fantasy land right now.
[00:08:00.185 --> 00:08:11.193]  Well, we said when the crash began and the panic of 08, that we said that after all of the recovery failed, they would take us to war.
[00:08:11.913 --> 00:08:15.616]  And taking us to war takes its shape in different ways.
[00:08:16.296 --> 00:08:18.978]  And the war now is to control the people.
[00:08:19.438 --> 00:08:22.580]  Look at the numbers that just came out two days ago.
[00:08:23.101 --> 00:08:25.662]  Oh, violent crime is up 18 percent!
[00:08:26.123 --> 00:08:26.943]  What a shock!
[00:08:27.323 --> 00:08:28.084]  Blow me away!
[00:08:28.144 --> 00:08:29.225]  How could that have happened?
[00:08:29.645 --> 00:08:35.870]  You know my saying, when people lose everything and have nothing left to lose, they lose it.
[00:08:36.951 --> 00:08:48.319]  And by the way, before we go on, I want to thank you so much for all you are doing, for how hard you and your team are working, and how dedicated you all are.
[00:08:48.739 --> 00:08:52.902]  And I'm listening to that lineup of guests that you have.
[00:08:53.903 --> 00:09:02.548]  And there's nothing in any of the media, mainstream or otherwise, that could match a ticket like that.
[00:09:03.368 --> 00:09:06.289]  And so thank you very much for what you're doing.
[00:09:06.309 --> 00:09:08.851]  And it also came into my mind
[00:09:09.551 --> 00:09:21.160]  Many, about four years ago, about that you did that expose on Obama when everyone was still drinking the Kool-Aid called the Obama Deception.
[00:09:21.760 --> 00:09:33.128]  And I encourage everyone to take a look at that because it fit right in with our motto, the signature of the Trends Journal.
[00:09:34.369 --> 00:09:37.010]  History before it happens.
[00:09:37.530 --> 00:09:41.352]  And that's what you did with the Obama deception.
[00:09:42.232 --> 00:09:53.917]  With myself and others that were on there, we showed the history of how this would play out when he just started playing the role as Commander-in-Chief.
[00:09:54.617 --> 00:09:56.918]  And then, before I answer your question,
[00:09:57.498 --> 00:10:13.784]  Please, after I get off the air, we'd like to also contribute to keeping this money bomb growing so you could have the best equipment, the best satellite hookups, and get this message around the world.
[00:10:14.284 --> 00:10:19.166]  Because as Joseph Stiglitz said, the Nobel Peace Prize winner,
[00:10:20.197 --> 00:10:22.519]  Yeah, it's crashing over there in Europe.
[00:10:22.799 --> 00:10:23.560]  No kidding.
[00:10:24.881 --> 00:10:25.962]  I would have never guessed.
[00:10:26.443 --> 00:10:29.706]  Couldn't be because they have 25% unemployment in Greeks.
[00:10:30.286 --> 00:10:30.686]  No.
[00:10:31.167 --> 00:10:41.876]  Couldn't be because 80,000 people took to the streets yesterday in Greece, protesting again, the fourth one this month.
[00:10:42.657 --> 00:10:44.238]  No, no, that had nothing to do with it.
[00:10:44.558 --> 00:11:04.484]  Couldn't be because of those millions of Spanish that are taking to the streets virtually weekly, circling the Parliament because of the poverty that's being imposed upon them, the money grabbed being taken from them and given to the banks.
[00:11:04.584 --> 00:11:06.885]  No, no, that would have nothing to do with the Depression.
[00:11:07.205 --> 00:11:09.907]  They only have 25% unemployment.
[00:11:10.348 --> 00:11:16.693]  Officially, over 50% unemployment for the young people in the country.
[00:11:17.293 --> 00:11:20.236]  So the whole system is collapsing around the world.
[00:11:20.556 --> 00:11:21.377]  Oh, I forgot.
[00:11:21.837 --> 00:11:23.158]  The wars in Libya.
[00:11:23.198 --> 00:11:25.360]  You remember that humanitarian mission?
[00:11:25.720 --> 00:11:33.446]  Hey, I saw the commander-in-chief yucking it up with Jon Stewart.
[00:11:33.506 --> 00:11:34.327]  I didn't watch it.
[00:11:34.347 --> 00:11:35.308]  I only watched a clip.
[00:11:37.065 --> 00:11:45.851]  The Commander-in-Chief sitting on a cheap two-bit clown show talking about foreign policy.
[00:11:46.671 --> 00:11:50.274]  Would you imagine Eisenhower sitting there?
[00:11:50.614 --> 00:11:53.896]  That's how low the bar has fallen in America.
[00:11:54.596 --> 00:12:01.101]  And check it out, Obama says about Libya and the problems that they had.
[00:12:02.372 --> 00:12:03.593]  We're gonna fix it.
[00:12:04.254 --> 00:12:05.855]  Oh yeah, you're gonna fix it.
[00:12:06.136 --> 00:12:12.982]  Hey, just like you fixed it in Afghanistan with the 30,000 troops that you sent over there.
[00:12:13.543 --> 00:12:14.584]  And what did they do?
[00:12:14.684 --> 00:12:16.486]  Oh, they got killed, a lot of them.
[00:12:17.026 --> 00:12:18.648]  Wiped out a lot of people.
[00:12:19.128 --> 00:12:23.750]  Oh, oh, oh, it didn't make the front page of the toilet paper of record yesterday.
[00:12:24.110 --> 00:12:25.671]  It was buried on page 12.
[00:12:25.831 --> 00:12:30.434]  They killed another three little Afghan children.
[00:12:30.874 --> 00:12:32.234]  But who cares?
[00:12:32.795 --> 00:12:36.496]  Because it's the presidential reality show.
[00:12:37.057 --> 00:12:40.558]  So the whole thing is collapsing, and what are they doing?
[00:12:40.939 --> 00:12:43.300]  They're distracting us at every moment.
[00:12:43.900 --> 00:12:51.946]  Last week it was Big Bird, this week it's about Romney's binder, and no one is speaking about the issues.
[00:12:52.307 --> 00:12:59.492]  Both of these little boys are just going on all the talk shows, all the yucking it up.
[00:13:00.413 --> 00:13:01.354]  I love the way they laugh.
[00:13:01.894 --> 00:13:09.520]  They were criticizing Biden for his behavior when he was debating Ryan, you know?
[00:13:09.921 --> 00:13:12.823]  The Cheshire Cat against the mouse.
[00:13:13.384 --> 00:13:14.905]  That's what it looked like to me.
[00:13:15.405 --> 00:13:18.067]  And here's Biden.
[00:13:20.730 --> 00:13:21.350]  Check it out.
[00:13:21.630 --> 00:13:28.656]  Go to the, look at the dinner that Obama, the Al Smith dinner, and Romney were out yesterday.
[00:13:29.096 --> 00:13:30.357]  And you see the picture there.
[00:13:31.917 --> 00:13:33.618]  I used to work in politics.
[00:13:33.938 --> 00:13:35.159]  That's what they do.
[00:13:35.499 --> 00:13:37.281]  They're a bunch of phonies.
[00:13:37.641 --> 00:13:43.405]  It's always, ha ha ha, and all the stooges around them laugh on cue.
[00:13:43.525 --> 00:13:52.951]  So it takes it to the bigger level about you talking about all these leaders in all these different positions that are leading us to destruction.
[00:13:53.211 --> 00:13:56.754]  It's the same in Germany with that Merkel.
[00:13:57.054 --> 00:14:00.517]  It's the same over there in Spain with Rajoy.
[00:14:00.797 --> 00:14:04.281]  It's the same over there in Italy with Three Card Monty.
[00:14:04.641 --> 00:14:06.763]  It's the same everywhere.
[00:14:07.163 --> 00:14:10.206]  It's the club and they're destroying us.
[00:14:10.646 --> 00:14:16.472]  And the big news today that, hey, we got to talk about Romney's binder.
[00:14:16.912 --> 00:14:19.855]  Oh, oh, and I love the other one, his boy Tag.
[00:14:19.915 --> 00:14:20.655]  I love the names.
[00:14:20.775 --> 00:14:21.496]  Nick Tag.
[00:14:21.676 --> 00:14:22.477]  Yeah, you're it.
[00:14:22.937 --> 00:14:25.459]  He was gonna come down there swinging.
[00:14:25.900 --> 00:14:28.122]  Oh, yeah, swinging at Obama.
[00:14:28.302 --> 00:14:28.962]  What was he gonna do?
[00:14:29.283 --> 00:14:30.824]  Toss a swing at him?
[00:14:31.585 --> 00:14:34.627]  These guys never fought a day in their lives!
[00:14:34.988 --> 00:14:38.190]  Oh, they are a big mouth, so it's not making the news.
[00:14:39.351 --> 00:14:40.973]  Just a minor little story.
[00:14:41.413 --> 00:14:43.095]  Eh, doesn't make much difference.
[00:14:44.465 --> 00:14:50.649]  They just did a deal yesterday, today, in Europe, in Brussels.
[00:14:51.710 --> 00:14:52.470]  It's happened.
[00:14:53.231 --> 00:14:55.593]  The banking systems have merged.
[00:14:56.133 --> 00:15:05.980]  They have now taken control, sovereign control, over all of the banks throughout Europe and have now put it under the one bank in Brussels.
[00:15:06.620 --> 00:15:08.842]  Now it's a new central bank.
[00:15:09.562 --> 00:15:11.683]  There is a new world order.
[00:15:11.703 --> 00:15:13.964]  No, it's not the Illuminati.
[00:15:14.224 --> 00:15:17.185]  You don't have to go find it someplace hiding.
[00:15:17.526 --> 00:15:20.287]  It's in front of everybody's eyes, Alex.
[00:15:20.987 --> 00:15:23.428]  The new world order is the banking order.
[00:15:23.888 --> 00:15:25.389]  It's an old world order.
[00:15:25.689 --> 00:15:29.171]  They kind of try to cover it up, and they're covering it up again.
[00:15:29.471 --> 00:15:31.792]  This is not news that's making the news.
[00:15:32.612 --> 00:15:44.600]  As you said, it's in the paper, but in the back of it, it's like, oh yeah, and now the country's all sovereignty will be given to the private bank, and that's the way it is, and you're going to take your taxes and pay it to foreign bankers, and tell you how lazy you are.
[00:15:44.960 --> 00:15:45.781]  How's that sound?
[00:15:46.201 --> 00:15:54.827]  And they call it a world government, and brag they've conquered us, and the Rothschilds and Rockefellers, as you know, Financial Times has reported, they just merged their holdings.
[00:15:55.247 --> 00:16:00.050]  So, it's a global government, global merger, happening right now.
[00:16:00.111 --> 00:16:01.551]  We'll be back with Gerald Celente.
[00:16:01.572 --> 00:16:02.032]  Stay with us.
[00:16:05.236 --> 00:16:11.740]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:16:11.760 --> 00:16:14.162]  78% of the Midwest corn belt is in drought conditions.
[00:16:14.362 --> 00:16:19.466]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:16:19.746 --> 00:16:24.469]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:16:24.709 --> 00:16:33.695]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods or meat foods direct now, as the price of raw ingredients
[00:16:33.815 --> 00:16:37.797]  Now is the time to get your supply.
