[00:00:21.972 --> 00:00:23.478]  Welcome to M4 Wars Nightly News.
[00:00:23.899 --> 00:00:26.488]  I'm David Knight, and it's Tuesday, October 16th.
[00:00:26.869 --> 00:00:27.873]  Here's what we have in store.
[00:00:31.661 --> 00:00:41.706]  Tonight, the CIA is arming Al-Qaeda in Syria as thousands of what the New York Times calls hardline Islamic jihadists invade.
[00:00:42.486 --> 00:00:47.429]  Then, holy shh, there is a staggering amount of feces in our food.
[00:00:47.749 --> 00:00:56.593]  Plus, the nanny state goes into overdrive as an elementary school interrogates and suspends a student for drinking tea.
[00:00:57.033 --> 00:01:00.055]  That's up next on the InfoWars Nightly News.
[00:01:08.584 --> 00:01:12.585]  Well, starting right after tonight's newscast is a second of three presidential debates.
[00:01:13.325 --> 00:01:19.347]  And if you've ever wondered why there's never any real discussion of issues, it's because it's a managed and staged performance.
[00:01:19.987 --> 00:01:27.109]  Mark Halpern of Time Magazine obtained a 21-page memorandum of understanding between Romney and Obama.
[00:01:27.889 --> 00:01:30.009]  And listen to some of the stuff that they're agreed to.
[00:01:30.189 --> 00:01:31.970]  They aren't permitted to ask each other questions.
[00:01:32.290 --> 00:01:36.191]  They're not permitted to propose pledges to each other or walk outside a pre-designated area.
[00:01:37.051 --> 00:01:43.455]  There's no follow-up questions allowed from the audience, which, by the way, is supposed to be undecided people.
[00:01:43.996 --> 00:01:44.456]  We'll see.
[00:01:44.476 --> 00:01:48.059]  I don't really understand how people could be undecided at this stage.
[00:01:49.339 --> 00:01:51.681]  No TV cutaways to get a candidate's reaction.
[00:01:52.281 --> 00:02:06.011]  So basically what you're seeing is a very carefully controlled reality TV program, which explains why a North Carolina polling organization booted out Gary Johnson and actually put in, you guessed it, Honey Boo Boo.
[00:02:06.832 --> 00:02:07.112]  Yes.
[00:02:08.933 --> 00:02:25.857]  A presidential poll in North Carolina, conducted by an organization named Public Policy Polling, excluded Gary Johnson, but asked out of 12 questions, one of the questions was, how do they feel about Honey Boo Boo?
[00:02:27.117 --> 00:02:31.358]  Well, Gary Johnson is being excluded from the poll questions.
[00:02:32.378 --> 00:02:40.386]  Because he has to poll, according to rules again that Obama and Romney have agreed to, he has to poll 15% in order to be included in the debates.
[00:02:40.686 --> 00:02:44.049]  That's about three times what Ross Perot needed to get in.
[00:02:44.410 --> 00:02:48.994]  And if you've seen our reports on the nightly news, we've also talked to Gary Johnson.
[00:02:49.835 --> 00:02:53.759]  Alex has talked to Gary Johnson about a lawsuit that he has going, saying that
[00:02:54.672 --> 00:03:02.375]  The Presidential Commission, which is a private organization, should not be allowed to determine the terms of debate in our presidential elections.
