[00:00:03.945 --> 00:00:04.645]  We're good to go.
[00:00:36.263 --> 00:00:37.924]  Welcome to the InfoWars Nightly News.
[00:00:38.304 --> 00:00:38.884]  I'm David Knight.
[00:00:39.124 --> 00:00:40.845]  It's Tuesday, December 4th, 2012.
[00:00:41.666 --> 00:00:42.506]  And here's what's coming up.
[00:00:45.748 --> 00:00:51.831]  Tonight on the InfoWars Nightly News... Police tell Congress to hand over your text messages.
[00:00:52.351 --> 00:00:56.673]  Then, the TSA seeks approval to conduct security assessments on highways.
[00:00:57.073 --> 00:01:01.936]  And Alex Jones says it's time to ban sportscasters who put the Second Amendment on injured reserve.
[00:01:04.145 --> 00:01:07.466]  All that and more, coming up on the InfoWars Nightly News.
[00:01:17.968 --> 00:01:23.329]  Well, by now I'm sure you've heard about Bob Costas' rant against the Second Amendment, his anti-Constitution rant.
[00:01:23.949 --> 00:01:26.250]  Well, the guy that he was quoting, Jason Whitlock,
[00:01:27.049 --> 00:01:29.271]  Actually doubled down on his comments.
[00:01:29.871 --> 00:01:31.012]  And who is Jason Whitlock?
[00:01:31.032 --> 00:01:34.314]  Well, he's the guy that says the NRA is the KKK.
[00:01:35.054 --> 00:01:36.375]  Check out this video from Alex.
[00:01:39.392 --> 00:01:40.313]  I knew they would do it.
[00:01:40.373 --> 00:01:46.957]  They said if we didn't want government-run health care with death panels, which they now admit we were racist, if you want freedom, you're a racist.
[00:01:47.057 --> 00:01:57.043]  It turns out the sports columnist that Bob Costas is quoting says that owning guns is racist and that the NRA is the new KKK.
[00:01:58.204 --> 00:02:03.088]  And here he is on sports radio today, saying it.
[00:02:03.128 --> 00:02:04.369]  See, we don't want to give up our rights.
[00:02:04.829 --> 00:02:05.710]  We don't want to be slaves.
[00:02:05.730 --> 00:02:11.034]  We don't want to live in places like Chicago or New York, where they have taken all the guns from the people, so they have really high crime.
[00:02:11.454 --> 00:02:12.235]  And we're racist!
[00:02:12.855 --> 00:02:13.556]  Now that's why.
[00:02:13.656 --> 00:02:14.676]  Yes, yes, you heard it.
[00:02:14.977 --> 00:02:16.077]  It's used as a weapon.
