[00:00:01.465 --> 00:00:08.509]  This transmission is coming to you.
[00:00:08.589 --> 00:00:12.691]  Waging war on corruption.
[00:00:12.971 --> 00:00:18.554]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:23.667 --> 00:00:26.268]  It is Sunday, April 22nd, 2012.
[00:00:26.628 --> 00:00:28.449]  Welcome to the Alex Jones Show.
[00:00:28.489 --> 00:00:36.991]  This is Mike Adams, the Health Ranger, filling in for Alex today and bringing you just a whirlwind of breaking news on many different fronts.
[00:00:37.011 --> 00:00:40.032]  This is going to be a very exciting show, an information-packed show.
[00:00:40.532 --> 00:00:49.275]  Also going to be featuring in the last half hour of this show, about an hour and a half from now, an interview conducted with Senator Rand Paul by Alex Jones himself.
[00:00:49.895 --> 00:00:51.537]  That looks to be a fascinating interview.
[00:00:51.577 --> 00:00:52.498]  You don't want to miss that.
[00:00:52.558 --> 00:00:53.740]  Make sure you stay tuned for that.
[00:00:54.361 --> 00:01:05.554]  In the meantime, today we've got breaking news about vaccines causing seizures in babies, eating the brains of babies, even while doctors tell parents to ignore the symptoms.
[00:01:06.355 --> 00:01:17.617]  And they now have a way, they call it the five S's of the things you're supposed to do to your baby while the vaccine is causing them to lose brain matter and undergo a seizure.
[00:01:17.938 --> 00:01:25.699]  You're supposed to do these five things to them and ignore the symptoms of the vaccine actually causing brain damage and perhaps causing autism.
[00:01:26.139 --> 00:01:28.600]  We've also got news coming up here about
[00:01:29.760 --> 00:01:38.146]  Let's see, Department of Homeland Security, yes, their purchase of up to 450 million rounds of .40 caliber hollow-point ammo.
[00:01:38.646 --> 00:01:43.590]  That story has been covered here on InfoWars and the Alex Jones Show, but we've got a new angle on that.
[00:01:44.090 --> 00:01:57.700]  We've done the math on it, we've talked to some experts who've actually been on active duty in the theater of war in the Middle East, and we've come to find that that is enough pistol ammo for DHS to wage a seven-year war.
[00:01:58.440 --> 00:02:02.023]  On the American people, because that's domestic ammo for domestic use.
[00:02:02.063 --> 00:02:07.587]  It's actually illegal to use in an international theater because it violates the Geneva Convention.
[00:02:08.387 --> 00:02:11.510]  So that article, details about that are going to be coming up.
[00:02:11.530 --> 00:02:12.550]  We're going to be breaking that down.
[00:02:12.951 --> 00:02:17.114]  We've also got details about Pepsi's next generation product.
[00:02:17.494 --> 00:02:19.976]  It has less sugar, more chemical sweeteners in it.
[00:02:20.774 --> 00:02:33.770]  We'll talk to you about that, why it may not be a very good choice, but they're desperately trying to reduce high fructose corn syrup in their drinks in order to make them more palatable to consumers, but in the process they're putting in more chemicals that have a questionable safety record.
[00:02:34.451 --> 00:02:36.974]  I've also got some more comments for you on the Hunger Games.
[00:02:37.575 --> 00:02:55.917]  I actually read the two books that follow the popular movie, The Hunger Games, two books that follow that, written by Suzanne Collins, and it turns out she is someone who is very much aware of the tyranny of government, and in her book she talks about the rebels overthrowing their corrupt capital.
[00:02:56.437 --> 00:03:08.788]  And I'm going to go into that and bring you some details from her book commentary that will leave no doubt in your mind about the fact that The Hunger Games is a book of patriotism, of restoring liberty and freedom.
[00:03:09.208 --> 00:03:12.351]  That's an interesting angle that hasn't yet been covered here on InfoWars.
[00:03:13.312 --> 00:03:27.086]  We've also got news about an NSA whistleblower that says the agency, the NSA, has copies of every email of every American, every email that's been sent over the last several years, perhaps even a decade, over 20 trillion.
[00:03:29.208 --> 00:03:32.170]  Transactions have been recorded by the NSA.
[00:03:32.490 --> 00:03:33.110]  20 trillion!
[00:03:34.511 --> 00:03:36.812]  That's phone calls, that's emails, that's text messages.
[00:03:37.172 --> 00:03:47.818]  The government is building a massive database of everything that you say, all of your interests, all of the words that you use, and this is on top of the search terms that you use when you might search at Google.
[00:03:48.098 --> 00:03:56.203]  This is on top of being recorded when you go through an electronic toll booth as they have in Texas where we are right now and other states all across the country.
[00:03:56.263 --> 00:04:05.829]  Every time you go through a toll booth that is an automated electronic surveillance system that tracks your vehicle and your location in real time and they can use that
[00:04:06.249 --> 00:04:21.263]  Combine with your emails, combine with your cell phone texts, combine with your phone calls, combine with your financial transactions to build a very powerful psychological profile of who you are, what you're doing, what your interests are, and what your next action might be.
[00:04:21.303 --> 00:04:25.967]  In fact, I'm working on predictive algorithms right now to predict what you are going to do next.
[00:04:26.748 --> 00:04:29.490]  I bet they can't predict what I'm going to do next though because I have
