[00:00:00.277 --> 00:00:02.339]  I'm David Knight for the Infowars Nightly News.
[00:00:03.260 --> 00:00:07.504]  Every year at New Year's, it's customary to think back at public figures who have passed from the scene.
[00:00:08.064 --> 00:00:14.610]  And while there have been some great leaders in the cause of individual freedom and dignity who passed this year, Russell Means immediately comes to mind.
[00:00:14.630 --> 00:00:19.294]  I thought it would be interesting for us to think back at liberties that have died this year.
[00:00:19.794 --> 00:00:21.516]  And maybe some places where we've gained.
[00:00:21.796 --> 00:00:25.880]  Well, the year began with the government declaring war on our right to trial by jury with the NDAA.
[00:00:26.835 --> 00:00:32.308]  Rolling back hundreds of years of safeguards, Obama signed it into law last New Year's Eve, claiming he didn't want it.
[00:00:32.729 --> 00:00:35.596]  Then fought relentlessly in the courts to keep it, and won there.
[00:00:36.391 --> 00:00:49.744]  Meanwhile, the Senate, after claiming the NDAA did nothing to trial by jury, rejected Paul's amendment, basically restating the Sixth Amendment of the Constitution, settled on a head fake amendment by Feinstein, and then leadership threw the amendment out.
[00:00:50.084 --> 00:00:58.913]  And while we're talking about replacing due process with star chamber procedures, let's remember that the TSA is accusing and punishing people in secret.
[00:00:59.565 --> 00:01:07.366]  Doug Hagman helped us break the story about Wade Hicks, who was pulled off of a plane and stranded in Hawaii after being secretly put on a no-fly list.
[00:01:08.107 --> 00:01:19.129]  And, like some nightmare from a Kafka novel, he could get no response from the bureaucracy as to why he was put on the list, no opportunity to defend himself against the charges, and no information about his current status.
[00:01:19.829 --> 00:01:21.609]  And that's not an isolated case.
[00:01:21.949 --> 00:01:23.669]  Well, how about the right to life itself?
[00:01:24.309 --> 00:01:26.950]  How about the right to make decisions about your own health care?
[00:01:27.745 --> 00:01:40.076]  In June 2012, Chief Supreme Court Justice Roberts suddenly and inexplicably reversed his position on Obamacare and signed on to the idea that government can coerce, mandate, and deny healthcare.
[00:01:40.697 --> 00:01:44.200]  That the government can micromanage every individual's healthcare choices.
[00:01:44.600 --> 00:01:50.085]  But what about the right to not violate your conscience by being forced to contribute to eugenics abortion funding?
[00:01:50.706 --> 00:02:01.810]  Beginning January the 1st, Hobby Lobby is facing fines of 1.3 million dollars per day for not providing birth control to its employees as mandated by the federal government.
[00:02:02.130 --> 00:02:08.873]  And Sonia Sotomayor, Obama's Supreme Court appointee, denied an emergency stay on the fine while the case is being appealed.
[00:02:09.594 --> 00:02:14.038]  Well, how about the right to peacefully assemble and redress the government for grievances?
[00:02:14.118 --> 00:02:14.999]  H.R.
[00:02:15.019 --> 00:02:21.265]  347, signed by Obama last March, criminalizes as a federal offense many aspects of protests when the Secret Service is present.
[00:02:21.766 --> 00:02:24.769]  And it puts the no free speech zones on steroids.
[00:02:25.575 --> 00:02:39.678]  As Representative Justin Amash of Michigan explained, the bill expands current law to make it a crime to enter or remain in an area where an official is visiting even if the person does not know it's illegal to be in that area and has no reason to suspect it's illegal.
[00:02:39.698 --> 00:02:41.779]  How about fair and honest elections?
[00:02:42.299 --> 00:02:46.820]  Remember all the corruption in the GOP primaries in Iowa, Maine, Nevada and other states?
[00:02:46.840 --> 00:02:50.921]  How about that phony scripted voice vote that Boehner announced at the GOP convention?
[00:02:51.778 --> 00:02:59.401]  Looking at the TSA, 2012 saw them expanding their Fourth Amendment violations beyond the airports while training state employees to do the same.
[00:03:00.541 --> 00:03:05.343]  Well, since the government thinks that it's God, it has to be omnipresent, omnipotent, and omniscient.
[00:03:06.033 --> 00:03:10.374]  They want to know if you're sleeping, they want to know if you're awake, and they want to know if you've been bad or good.
[00:03:10.734 --> 00:03:16.495]  So it's no surprise that this year the government reauthorized FISA, their warrantless wiretapping program.
[00:03:16.856 --> 00:03:26.478]  With the NSA's $2 billion Utah data center fortress coming online in September 2013, did anyone really think there was going to be a review of the legality of FISA?
[00:03:27.198 --> 00:03:31.919]  As Wired Magazine quoted one senior intelligence official, everybody's a target.
[00:03:32.649 --> 00:03:36.311]  And they have so much storage that they have Yoda-bytes worth of data.
[00:03:36.651 --> 00:03:37.092]  That's right.
