[00:00:04.889 --> 00:00:05.069]  Oh, yeah.
[00:00:40.923 --> 00:00:42.624]  Welcome to the InfoVoyage Nightly News.
[00:00:42.704 --> 00:00:43.965]  I'm your host, Jakari Jackson.
[00:00:44.265 --> 00:00:47.327]  This is what we have in store for you for this Thursday, November 15, 2012 edition.
[00:00:50.808 --> 00:00:53.269]  Tonight, on the InfoWars Nightly News.
[00:00:54.450 --> 00:00:58.331]  You are subject to a criminal government controlled by foreign banks.
[00:00:59.092 --> 00:01:04.974]  Alex Jones breaks down the meaning of America's secession movement from the corporatist nightmare.
[00:01:05.735 --> 00:01:10.717]  Plus, Obama's secret executive order to overhaul the internet.
[00:01:11.197 --> 00:01:14.539]  All that and more on the InfoWars Nightly News.
[00:01:25.680 --> 00:01:26.300]  And welcome back.
[00:01:26.700 --> 00:01:32.182]  On Alex Jones' radio show today, he talked a whole lot about secession, so I don't need to, so let's go to those clips.
[00:01:34.782 --> 00:01:44.124]  I can unequivocally tell you that this is going to be the most important radio broadcast, hands down, that I have ever done.
[00:01:46.085 --> 00:01:54.067]  Now, we have not been blindsided by the secession movement, but it's almost like a bus that ran me over ten years ago
[00:01:55.262 --> 00:02:11.573]  It's old news to us, but the new news is that it is now breaking nationwide and worldwide, and is a symbol and an indicator of the sleeping giant that is America awakening.
[00:02:13.895 --> 00:02:22.601]  And the entire globalist program has been built and designed to block what you are about to see unfold.
[00:02:24.304 --> 00:02:39.213]  I am going to make some announcements here today, and I'm going to lay out plans for my deep study of the Constitution that can save this Republic if you execute them.
[00:02:41.655 --> 00:02:44.376]  Victory is in our grasp.
[00:02:44.877 --> 00:02:49.300]  But secession itself is a red herring.
[00:02:50.380 --> 00:02:51.301]  I hope you're listening to me.
[00:02:53.086 --> 00:03:01.369]  What we really want is a new issuance of the Declaration of Independence signed July 4th, 1776.
[00:03:01.650 --> 00:03:15.035]  The purest American values, the purest essence of the United States was secession from a corrupt, distant corporate empire, backed up by military force.
[00:03:15.855 --> 00:03:19.657]  We are recaptured by the progeny
[00:03:21.260 --> 00:03:28.143]  By the literal and figurative offspring of those robber barons two hundred and thirty-five years ago.
[00:03:29.964 --> 00:03:47.893]  We are at the crossroads and the entire enemy battle plan that we reverse engineered is designed to suppress states' rights movements because the states created the federal government and it is not their right, it is not their duty, we the people that make the states,
[00:03:49.190 --> 00:03:52.393]  It is an absolute imperative beyond duty.
[00:03:52.713 --> 00:03:53.814]  It is survival.
[00:03:57.597 --> 00:04:04.163]  That we secede from the New World Order that has conquered us through fraud.
[00:04:04.443 --> 00:04:14.992]  That we declare the fraud, and declare the fraud null and void, and then reconstitute the Republic with a new Congress of the Several States.
[00:04:16.141 --> 00:04:18.543]  The plans were laid by our forebears.
[00:04:19.003 --> 00:04:31.993]  The First Amendment, the Second Amendment, the Fourth Amendment, the Tenth Amendment, the Ninth Amendment, all chief, all key, all armaments for our protection, foreseeing the crisis we've now entered.
[00:04:33.674 --> 00:04:40.920]  The enemy's tools is a dumbed-down population, a drugged population, a selfish, evil, greedy, weak population.
[00:04:42.096 --> 00:04:43.396]  And they don't even outnumber us.
[00:04:43.576 --> 00:04:45.937]  It's a fraudulent election system, we know that.
[00:04:46.998 --> 00:04:50.939]  Now, this is not complex, but this is not dumbed-down radio.
[00:04:51.679 --> 00:04:53.559]  This is a blueprint.
[00:04:53.780 --> 00:05:08.164]  And if constitutional lawyers pick this up, if Ron Paul can be drafted, if you put the energy in today, tomorrow, next week, next month, next year, this is the beginning.
[00:05:10.189 --> 00:05:12.491]  Everything else has just been a build-up.
[00:05:13.311 --> 00:05:15.213]  This is time for dedication.
[00:05:15.653 --> 00:05:21.799]  This is time for commitment and the spiritual decision to sign your John Hancock.
[00:05:24.016 --> 00:05:33.404]  In your words and your deeds towards the restoration of our Republic and putting us back on the course of liberty and justice for all.
[00:05:34.104 --> 00:05:35.806]  And what am I going to call for here?
[00:05:35.926 --> 00:05:39.229]  I'm going to call for what is in the Declaration of Independence.
[00:05:39.869 --> 00:05:46.294]  The founding document of July 4th, 1776.
[00:05:46.374 --> 00:05:48.116]  That is what I'm calling for.
[00:05:53.439 --> 00:05:54.519]  It is America.
[00:05:54.679 --> 00:05:56.620]  It is the birth of America.
