[00:00:28.564 --> 00:00:31.947]  Good evening, ladies and gentlemen, and welcome to the InfoWars Nightly News.
[00:00:32.027 --> 00:00:33.228]  I'm your host, John Bowne.
[00:00:33.728 --> 00:00:35.849]  On this Friday, the 13th of April, 2012.
[00:00:36.110 --> 00:00:45.417]  Tonight on the InfoWars Nightly News... The Ring of Fire is beginning to bare its teeth.
[00:00:45.917 --> 00:00:48.779]  Are we prepared to face another Fukushima?
[00:00:49.600 --> 00:00:52.482]  Then, our Agenda 21 coverage continues.
[00:00:53.102 --> 00:00:57.406]  Darren McBreen reports from a city-wide cover-up in Roswell, Georgia.
[00:00:58.223 --> 00:01:02.988]  Plus, we speak with Lloyd Chapman about the latest GSA scandal.
[00:01:04.010 --> 00:01:10.717]  And Joseph Plummer, author of Dishonest Money, joins us to discuss the private Federal Reserve.
[00:01:11.098 --> 00:01:13.320]  Tonight, on the InfoWars Nightly News.
[00:01:18.169 --> 00:01:19.950]  And let's get into the news.
[00:01:20.330 --> 00:01:25.332]  A story coming from a fellow we're going to interview here in a few moments, Mr. Lloyd Chapman.
[00:01:26.113 --> 00:01:28.474]  A story he submitted to the Huffington Post.
[00:01:29.214 --> 00:01:33.596]  GSA scandal is a window to the way Washington really works.
[00:01:34.257 --> 00:01:36.838]  And this, of course, has been going on forever.
[00:01:37.558 --> 00:01:48.846]  He says, as early as 2003, the GAO released an investigation finding that millions of dollars earmarked for small businesses were diverted to the largest companies in the world.
[00:01:49.546 --> 00:02:02.435]  Today, as you're reading this, millions of dollars that should by law be awarded to small businesses are being diverted to the largest companies in the world, and of course this is carried by the
[00:02:04.338 --> 00:02:11.521]  Most recent scandal, from the New York Times, lost in the GSA scandal, confusion about a small business contract.
[00:02:11.901 --> 00:02:24.806]  And according to a report issued last week by the GSA's Inspector General, the GSA awarded a $58,808 contract to a company called Royal Productions for audiovisual services.
[00:02:25.566 --> 00:02:38.890]  Government rules say that contracts in this dollar amount are reserved exclusively for small business concerns, the report said, but Royal Productions is not a small business for purposes of this type of contract.
[00:02:39.550 --> 00:02:47.233]  Moreover, it forwarded a price quote from a competitor to Royal, enabling it to present a winning bid.
