[00:00:00.470 --> 00:00:01.271]  You want answers?
[00:00:02.072 --> 00:00:02.933]  Well, so does he.
[00:00:03.614 --> 00:00:07.279]  He's Alex Jones on the GCN Radio Network.
[00:00:07.799 --> 00:00:11.844]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.817 --> 00:00:34.530]  Thank you for joining us for another worldwide transmission against tyranny as we attempt to awaken our fellow humans to the out-of-control corruption running rampant across the globe.
[00:00:34.550 --> 00:00:36.833]  We're going to be here for the next three hours.
[00:00:36.873 --> 00:00:41.418]  We have Representative Marsha Blackburn joining us coming up in about an hour and a half.
[00:00:42.429 --> 00:00:54.764]  To break down the fact that the TSA is absolutely out of control and she's introduced legislation to point out they have to stop calling themselves officers when they're not even sworn or trained or deputized.
[00:00:55.345 --> 00:00:57.548]  They are a fraud out of their jurisdiction.
[00:00:58.008 --> 00:00:59.130]  Of course, it's already illegal.
[00:00:59.150 --> 00:01:00.491]  I don't know why we need more bills, but...
[00:01:01.388 --> 00:01:06.853]  I guess people in government see it as if executive power just does something that violates laws.
[00:01:06.913 --> 00:01:13.219]  You pass a new law, even though it's already violating a bunch of laws, and somehow that's going to stop it.
[00:01:13.239 --> 00:01:17.142]  It's kind of like the TSA in Texas last year, groping members of the legislature.
[00:01:17.162 --> 00:01:22.166]  So they unanimously in the House voted to start arresting them when they violated the law, groping people.
[00:01:23.134 --> 00:01:34.897]  They didn't need to pass a new law, but they were trying to, and the Feds threatened an armed blockade with F-16s of the state, and the state said, oh my gosh, well we'll just roll over in fear.
[00:01:36.397 --> 00:01:41.779]  Just like the blackmailed, compromised Congress basically does the same thing.
[00:01:44.127 --> 00:01:51.032]  Coming up we've got a clip of DNC chair says non-compliance with Obamacare will not be tolerated.
[00:01:51.692 --> 00:01:59.958]  Some amazing quotes where they say we're not going to tolerate it anymore in America.
[00:01:59.998 --> 00:02:01.238]  You have to be responsible.
[00:02:01.619 --> 00:02:04.080]  You have to pay a penalty if you choose not to be.
[00:02:04.921 --> 00:02:07.923]  All the big banks and mega-rich are exempt from the taxes.
[00:02:07.943 --> 00:02:09.364]  They've written the regulations that way.
[00:02:10.561 --> 00:02:13.782]  Most taxes are paid by people making less than $100,000 a year.
[00:02:13.802 --> 00:02:19.104]  I've got different government commission reports on that that we've covered here on air.
[00:02:21.065 --> 00:02:35.511]  But they create this illusion that the ultra-rich will be punished in some type of class warfare envy situation if they are, you know, brought to heel by government when they control that government.
[00:02:35.531 --> 00:02:36.951]  Some amazing statements.
[00:02:37.531 --> 00:02:38.432]  The IRS knows
[00:02:39.591 --> 00:02:40.971]  Of course, exactly what you're doing.
[00:02:42.052 --> 00:02:59.596]  With this system, the IRS now gets to know about a small business owner's entire payroll, the level of their insurance coverage, and it gets to know the income of not just the primary breadwinner in your house, but your entire family's income in order to assess, collect, and mandate taxes, reports Fox News.
[00:03:00.971 --> 00:03:02.591]  And it's all in there.
[00:03:03.312 --> 00:03:05.412]  All the new agents to enforce it.
[00:03:06.333 --> 00:03:06.813]  Everything.
[00:03:07.693 --> 00:03:16.015]  Meanwhile, Barclays CEO Diamond quits over rate-rigging in countries all over the world, including here in the United States.
[00:03:16.455 --> 00:03:26.018]  Of course, they get banker bailouts from your pocketbook, and then they get it at 0% interest, and then they loan it back
[00:03:27.062 --> 00:03:31.463]  To governments, the population, between 7 and 30-something percent.
[00:03:31.503 --> 00:03:34.104]  Well, some credit cards are above 60 now.
[00:03:35.904 --> 00:03:44.067]  It's good business, while having Neocon Talk Radio lecture everyone about how evil welfare is all day, when they set up the system.
[00:03:48.428 --> 00:03:53.249]  So, that is just some of the reports we're going to be going over today, and we're going to open the phones up.
[00:03:53.269 --> 00:03:54.750]  Andy Griffith dies at 86.
[00:03:56.192 --> 00:04:03.615]  That's funny, I had my children up, all three of them up here at the office yesterday, and they did some homeschool work, even though it's summer, and then they did some artwork.
[00:04:03.895 --> 00:04:08.657]  But I let them occasionally, every few weeks, watch some Andy Griffith Show.
[00:04:09.757 --> 00:04:11.378]  I let them watch a couple episodes of that.
[00:04:13.434 --> 00:04:14.274]  And he's dead.
[00:04:15.254 --> 00:04:16.435]  That is certainly sad.
[00:04:16.575 --> 00:04:17.375]  Really great guy.
[00:04:17.895 --> 00:04:18.735]  He's a great actor.
[00:04:19.015 --> 00:04:19.815]  Was a great actor.
[00:04:19.875 --> 00:04:22.876]  And facing the crowd... Wow, that's a powerful movie.
[00:04:23.696 --> 00:04:25.096]  So, sayonara.
[00:04:25.177 --> 00:04:26.257]  Good trip, my friend.
[00:04:26.297 --> 00:04:27.337]  I bet you're in a better place.
[00:04:28.897 --> 00:04:30.218]  Andy Griffith, dead at 86.
[00:04:30.798 --> 00:04:33.478]  We're all going to be dead one day, so enjoy life while it's here.
[00:04:33.958 --> 00:04:34.659]  Enjoy the magic.
[00:04:34.999 --> 00:04:41.120]  By the way, speaking of that, a couple weeks ago I had the skull in here, the human skull, the crocodile skull, and I said I'd have it.
[00:04:42.122 --> 00:04:44.986]  Last week for you, it's a big special report.
[00:04:46.148 --> 00:04:49.832]  You'll find out what the skull's all about sometime, but it's not ready yet.
[00:04:50.916 --> 00:04:56.180]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:04:56.420 --> 00:04:58.622]  Start purifying your water with ProPure.
[00:04:58.822 --> 00:05:07.768]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:05:07.928 --> 00:05:11.110]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:11.391 --> 00:05:12.812]  There's no priming required.
[00:05:13.072 --> 00:05:15.113]  It's NSF-42 certified.
[00:05:15.333 --> 00:05:17.815]  Optional fluoride filters can reduce fluoride up to 95%.
[00:05:18.916 --> 00:05:20.216]  Easy to set up and use.
[00:05:20.416 --> 00:05:21.716]  Doesn't require electricity.
[00:05:21.837 --> 00:05:24.697]  Purify water from lakes, streams, ponds, and wells.
[00:05:25.017 --> 00:05:28.178]  This filter system leaves in beneficial minerals, which is key.
[00:05:28.398 --> 00:05:32.358]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:05:32.518 --> 00:05:35.119]  ProPure is the best gravity-fed filter out there.
[00:05:35.259 --> 00:05:36.559]  It's what my family uses.
[00:05:36.839 --> 00:05:40.040]  Infowars.com already has the lowest price on ProPure.
[00:05:40.160 --> 00:05:45.461]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:05:45.501 --> 00:05:47.121]  You can also call to order.
[00:05:48.222 --> 00:05:49.002]  888-253-3139.
[00:05:52.826 --> 00:06:00.512]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:00.953 --> 00:06:04.576]  Alex and his staff have used these pure soap products for years.
[00:06:05.016 --> 00:06:11.842]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:12.322 --> 00:06:15.145]  See them on the web at 5starsoap.com.
[00:06:15.345 --> 00:06:19.846]  Or call 800-340-7091 for a free catalog.
[00:06:20.166 --> 00:06:25.827]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:26.107 --> 00:06:31.209]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:31.509 --> 00:06:33.129]  This is an amazing deal.
[00:06:33.509 --> 00:06:38.110]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:06:38.730 --> 00:06:41.191]  See them on the web at 5starsoap.com.
[00:06:41.471 --> 00:06:42.353]  Or call 800-340-7091 for a free catalog.
[00:06:50.418 --> 00:06:54.641]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:06:54.961 --> 00:06:55.582]  Number one.
[00:06:55.882 --> 00:06:59.044]  New climate legislation could easily double or triple your electric bill.
[00:06:59.305 --> 00:06:59.885]  Number two.
[00:07:00.165 --> 00:07:04.729]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:07:05.069 --> 00:07:05.509]  It's true.
[00:07:05.809 --> 00:07:10.373]  Total government control of electricity in the name of smart grid technology is coming.
[00:07:10.673 --> 00:07:11.213]  Number three.
[00:07:11.514 --> 00:07:14.796]  In some areas of the country, the power grid is dangerously overloaded.
[00:07:15.096 --> 00:07:18.779]  And now, new socialist legislation is only compounding the problem.
[00:07:18.979 --> 00:07:19.540]  Number 4.
[00:07:19.780 --> 00:07:22.143]  Dangerous weather is always a threat to local grids.
[00:07:22.543 --> 00:07:25.927]  Every year, thousands of families lose their power from weather-related outages.
[00:07:26.227 --> 00:07:26.768]  Number 5.
[00:07:27.028 --> 00:07:30.952]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:07:31.173 --> 00:07:35.938]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:36.218 --> 00:07:40.241]  You can get more information at www.mysolarbackup.com.
[00:07:40.381 --> 00:07:41.942]  That's mysolarbackup.com.
[00:07:42.162 --> 00:07:44.243]  Remember, the government doesn't own the sun.
[00:07:44.423 --> 00:07:46.885]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:07:46.925 --> 00:07:48.106]  He's the T-Rex of political talk.
[00:07:48.126 --> 00:07:49.286]  Alex Jones on the GCN Radio Network.
[00:08:11.633 --> 00:08:14.136]  It is Tuesday, July 3rd, 2012.
[00:08:14.577 --> 00:08:26.971]  Later in the broadcast, I'm going to read at least part of the Declaration of Independence that is considered basically terrorism by the banker occupational government that has hijacked this nation.
[00:08:27.652 --> 00:08:32.297]  But July 4th is tomorrow, so we will talk some about what that actually stands for.
[00:08:33.755 --> 00:08:46.819]  Coming up later in the next hour, Representative Marsha Blackburn, who is valiantly trying to restrict the criminal activities of the Banker Occupation Force, the TSA.
[00:08:46.879 --> 00:08:47.720]  She's going to be joining us.
[00:08:48.060 --> 00:08:57.383]  And also Rosa Corey, author of a short little book that details the criminal takeover by the Globalist via Agenda 21.
[00:08:57.823 --> 00:09:00.364]  She's going to be joining us with some new big developments coming up.
[00:09:01.394 --> 00:09:06.918]  In the third hour today, we'll have open phones so people can call in with their horror stories.
[00:09:07.258 --> 00:09:21.727]  Or if you love having international treaties and bureaucracy written by big banks coming in to destroy private property and don't want to be able to have a garden in your backyard and want home inspectors forcing their way in, you can call in and tell us about that as well.
[00:09:21.767 --> 00:09:22.908]  I don't think we'll get too many calls.
[00:09:23.248 --> 00:09:24.669]  That's why the system's authoritarian.
[00:09:24.709 --> 00:09:26.270]  It's extremely unpopular.
[00:09:27.954 --> 00:09:33.217]  Sheriff Arpaio is set to unleash shocking Obama birth certificate revelations.
[00:09:33.257 --> 00:09:34.037]  That's the headline.
[00:09:34.397 --> 00:09:35.678]  Breathtaking information.
[00:09:35.698 --> 00:09:36.258]  That's a quote.
[00:09:36.638 --> 00:09:40.660]  Information will top previous press conference, says lead investigator.
[00:09:40.980 --> 00:09:42.981]  That's an InfoWars.com article.
[00:09:43.461 --> 00:09:50.264]  We got Joseph Farah of WorldNetDaily joining us Thursday, where they're going to be breaking this to give us some tidbits or any ideas.
[00:09:51.605 --> 00:09:59.247]  I already had him scheduled to cover other issues and we're going to get his take on health care, all of it, but Joe Farrah for his maiden visit with us will be on the broadcast.
[00:09:59.267 --> 00:10:06.369]  When I was up at Bilderberg in D.C., their offices are over there in Virginia, about two miles from where Bilderberg was held, and they invited me over.
[00:10:06.429 --> 00:10:11.290]  Very nice folks, very professional, nice operation, great people over there, nice newsroom.
[00:10:11.850 --> 00:10:17.592]  So I look forward to having Joe Farrah here on the broadcast Thursday with some other breaking news.
[00:10:19.176 --> 00:10:23.558]  Chief Justice John Roberts bowed to political pressure and changed his vote on Obamacare.
[00:10:23.598 --> 00:10:25.019]  That's now being confirmed.
[00:10:25.579 --> 00:10:32.223]  Even CBS News is saying that as if we needed to be told that a week before they were going to announce and suddenly, oh, we're not going to now.
[00:10:32.863 --> 00:10:44.589]  And then the pressure came because the power structure, the big banks, they want to force 35 million people to buy insurance and then the insurance companies can control the care.
[00:10:47.351 --> 00:10:47.811]  They can.
[00:10:50.225 --> 00:10:53.166]  Make you buy it and have the IRS enforce it.
[00:10:53.186 --> 00:10:55.026]  And that's up at thenewamerican.com.
[00:10:56.867 --> 00:11:00.648]  Okay, continuing with some of the other news that's coming up as well.
[00:11:01.188 --> 00:11:13.351]  Sarkozy's home and offices, former French President, have been raided dealing with illegal financing of his 2007 campaign, which is on record was funded by Muammar Gaddafi.
[00:11:14.246 --> 00:11:22.629]  And then of course they could blackmail Sarkozy to get behind the war to go take out Gaddafi or that information will be released, but still he's being burned.
[00:11:24.069 --> 00:11:25.910]  And this is how these criminal systems work.
[00:11:27.810 --> 00:11:31.131]  Nicolas Sarkozy's home raided by French police.
[00:11:35.073 --> 00:11:41.935]  Okay, let me before I go any further getting into the news and then your phone calls here.
[00:11:43.168 --> 00:11:44.969]  Well, I'm going to cover this as well later.
[00:11:45.169 --> 00:11:50.832]  Syria running torture center network rights group says, rights group funded by the banks.
[00:11:50.852 --> 00:11:51.972]  I don't want to say the U.S.
[00:11:52.052 --> 00:11:53.073]  and NATO and all that.
[00:11:53.113 --> 00:11:55.213]  I mean, that's all banker-occupied government.
[00:11:56.514 --> 00:12:01.276]  Because it's always saying, you know, we're saying, like America's saying, or U.S.
[00:12:01.336 --> 00:12:02.257]  funded rights groups.
[00:12:02.337 --> 00:12:03.497]  No, no, no, no.
[00:12:03.657 --> 00:12:11.341]  The banker-occupied media, the banker-captured media is saying, we've got to go into Syria because he might have tortured some people.
[00:12:12.802 --> 00:12:14.563]  So the United States needs to be invaded?
[00:12:15.945 --> 00:12:26.953]  Because our criminal government has tortured little children, the Army's own report admits, and killed people, and flown people by the tens of thousands to secret sites, black sites, ghost sites, all over the world?
[00:12:26.973 --> 00:12:37.382]  I mean, I could mention what's been admitted out of the CIA torture center within Camp X-Ray in Guantanamo, but I can't say it on a family show.
[00:12:39.867 --> 00:12:42.408]  Drugging people to freak them out.
[00:12:43.148 --> 00:12:44.589]  They say to freak them out when it leaked.
[00:12:44.649 --> 00:12:46.829]  It's because they're Satanist folks.
[00:12:47.770 --> 00:12:49.530]  Women, prostitutes, blood.
[00:12:50.191 --> 00:12:51.031]  I'm going to leave it at that.
[00:12:51.531 --> 00:12:52.391]  You can go look it up.
[00:12:52.771 --> 00:12:55.032]  I can't even tell you what the Army's own report.
[00:12:55.072 --> 00:12:57.993]  Just type in Army's report on Abu Ghraib torture.
[00:12:58.754 --> 00:12:59.874]  You'll get the full report.
[00:13:00.574 --> 00:13:01.695]  NBC, you name it.
[00:13:02.295 --> 00:13:04.596]  It includes raping children with battery acid.
[00:13:04.636 --> 00:13:05.516]  I'm just going to leave it at that.
[00:13:06.499 --> 00:13:09.822]  People always hear that and don't believe it and go look at them and go, oh my gosh, this is true.
[00:13:10.182 --> 00:13:11.343]  Yes, this is true.
[00:13:12.084 --> 00:13:13.325]  It's because they like to do it.
[00:13:14.385 --> 00:13:19.930]  That's why they want to get torture going, because they want to try to legalize it, so that they can do it to you.
[00:13:20.410 --> 00:13:20.671]  Okay?
[00:13:21.011 --> 00:13:21.952]  That's what this is all about.
[00:13:23.012 --> 00:13:24.414]  About hell being manifest.
[00:13:25.114 --> 00:13:28.257]  So, you gotta love the doublespeak though.
[00:13:28.277 --> 00:13:33.261]  Oh my gosh, they torture people in China and Syria, but then give no proof of Syria.
[00:13:35.106 --> 00:13:37.827]  Though, that is what they do over there, so it probably is going on.
[00:13:38.967 --> 00:13:46.310]  But the point is, is that now we've got to invade because they might have tortured.
[00:13:47.030 --> 00:13:48.651]  Maybe they threw babies out of incubators.
[00:13:48.671 --> 00:13:50.412]  Of course, that later turned out was PR fraud.
[00:13:50.692 --> 00:13:51.252]  Doesn't matter though.
[00:13:51.272 --> 00:14:00.015]  It feels good to get upset and get behind a big war and have the troops blow up giant chemical weapons dumps and then have it rain back down and everybody gets brain cancer.
[00:14:00.315 --> 00:14:01.816]  And then the military doesn't give them treatment.
