[00:00:01.857 --> 00:00:02.420]  We've got it!
[00:00:08.969 --> 00:00:11.391]  Waging war on corruption.
[00:00:12.892 --> 00:00:22.961]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:25.503 --> 00:00:28.366]  Welcome my friends, welcome and thank you for joining us.
[00:00:29.266 --> 00:00:32.950]  It's a big day for the world, not just America, the hog wallops.
[00:00:33.999 --> 00:00:43.124]  Are playing the Keebler Elves in the greatest game on Earth, what they call Acorn Skipping right now.
[00:00:43.344 --> 00:00:48.887]  And the entire planet's future basically depends on this football game.
[00:00:48.907 --> 00:00:52.990]  Of course, I'm being sarcastic.
[00:00:54.318 --> 00:00:57.620]  I don't write this stuff, it just comes up off the top of my head.
[00:00:57.640 --> 00:01:02.382]  It is Super Bowl Sunday, the big game.
[00:01:02.962 --> 00:01:04.063]  Endless hype.
[00:01:05.583 --> 00:01:07.985]  Children are taught this is Americana.
[00:01:08.425 --> 00:01:09.805]  This is what you value.
[00:01:10.546 --> 00:01:15.008]  Not your health, not your family, not your culture, because you don't have a culture.
[00:01:16.048 --> 00:01:17.129]  It's a plastic
[00:01:18.649 --> 00:01:32.617]  Global corporate culture that's force-fed to you that promotes torture, secret war, record cancer rates, families broken up, giant prisons, biggest in the world, and a government that's publicly shipping the narcotics into the nation.
[00:01:33.937 --> 00:01:37.239]  All of it wrapped in a American flag.
[00:01:37.339 --> 00:01:37.699]  But!
[00:01:40.941 --> 00:01:43.823]  I'm gonna have to do a special newscast on this in the future.
[00:01:44.611 --> 00:01:45.392]  Little review.
[00:01:45.972 --> 00:02:00.103]  Every action-adventure movie I watch, that's supposedly set in our contemporary world, has pro-checkpoint, police state, New World Order images throughout it.
[00:02:01.161 --> 00:02:07.546]  And you see the shows like Breaking Bad on TV where Ron Paul, you know, the meth head is a fan of Ron Paul.
[00:02:08.246 --> 00:02:09.948]  All of that is propaganda.
[00:02:09.968 --> 00:02:20.816]  But the fact that it's so complete and so across the board is really just more evidence of just how criminal this system is.
[00:02:21.716 --> 00:02:23.778]  I watched Law Abiding Citizen earlier in the week.
[00:02:24.813 --> 00:02:27.156]  Reviewed it while on the treadmill.
[00:02:27.917 --> 00:02:32.042]  And the whole thing is get rid of the Bill of Rights, Constitution, have checkpoints, torture people.
[00:02:32.102 --> 00:02:33.603]  It's what the good guys do.
[00:02:34.004 --> 00:02:37.889]  And the prosecutor at the end agrees it's good to torture and have no liberties or freedom.
[00:02:39.030 --> 00:02:44.436]  This movie, Source Code, the guy that's going to detonate a homemade atomic bomb in Chicago
[00:02:45.523 --> 00:02:48.044]  Which upsets me, the next globalist target, it's one of the big ones.
[00:02:48.845 --> 00:02:51.306]  Because I've seen their preconditioning propaganda for it.
[00:02:52.167 --> 00:02:56.009]  The bad guy builds the bomb with an American flag on it.
[00:02:56.389 --> 00:03:04.054]  So see, it's the image of people that are in the American flag, separately from when it's government approved, you're terrorists.
[00:03:04.114 --> 00:03:07.736]  And he's a right-wing scum anti-government.
[00:03:08.556 --> 00:03:10.758]  And he wants to nuke everything.
[00:03:12.128 --> 00:03:28.321]  But don't worry, the helicopter pilot, who's really dead in a vegetative state, but they've revived his brain to send him into the hyperdimensional vortex to go back and save everyone, and oh, it's just so magical.
[00:03:29.242 --> 00:03:30.203]  Oh, it's so wonderful.
[00:03:30.223 --> 00:03:33.646]  So they just make fake military heroes.
[00:03:33.946 --> 00:03:39.691]  They've learned not to use a Pat Tillman because he could get out of hand or a private lynch, and then they have to kill people.
[00:03:40.589 --> 00:03:51.356]  No, they just always have the hero, the torturer, who's military, the good guy that knows the Bill of Rights is bad, and the cops all agree and, you know, learn that.
[00:03:52.257 --> 00:03:55.539]  And of course this guy, he stops the ever-present bombers.
[00:03:57.000 --> 00:04:01.323]  You know, we've gone over the statistics, but I thought I'd go back into some of those later in the transmission.
[00:04:01.923 --> 00:04:07.587]  You got a better chance of dying in the water, drowned,
[00:04:09.468 --> 00:04:25.072]  You've got a better chance dying from honeybee stings, or a deer jumping out in front of your car, or from champagne corks, and I have the CDC's own numbers here, than you do of dying from terrorists.
[00:04:25.132 --> 00:04:33.194]  But every TV show, movie, everything is about terrorists are under every table.
[00:04:34.114 --> 00:04:38.335]  And you're just supposed to shake in fear and trust no one but the government.
[00:04:39.844 --> 00:04:46.127]  And that brings me to the big top story that ended up being all over national news that Paul Watson put out Friday.
[00:04:46.147 --> 00:04:50.088]  TSA trains Super Bowl hot dog sellers to spot terrorists.
[00:04:50.569 --> 00:04:51.609]  Fox News picked it up.
