[00:00:06.755 --> 00:00:07.076]  Oh, yeah.
[00:00:42.822 --> 00:00:43.782]  Good evening, everyone.
[00:00:43.842 --> 00:00:46.423]  This is the InfoWars Nightly News.
[00:00:46.584 --> 00:00:47.524]  I'm Darren McBreen.
[00:00:47.644 --> 00:00:50.625]  It is Friday, September 7th, 2012.
[00:00:51.506 --> 00:00:54.547]  Here's a quick look at what we have lined up for you this evening.
[00:00:58.189 --> 00:01:00.510]  Tonight on the InfoWars Nightly News.
[00:01:01.670 --> 00:01:11.824]  Dan Bodondi speaks with the President of the Massachusetts Republican Assembly, Dave Kopacz, about the growing takeover of the UN's Agenda 21.
[00:01:12.685 --> 00:01:18.412]  Plus, TSA kicks a woman off a flight for simply drinking her water.
[00:01:19.093 --> 00:01:28.120]  Then, Melissa Melton reports on the globalist position to forcefully downsize Americans into their little cage.
[00:01:29.101 --> 00:01:32.384]  All that and more on the InfoWars Nightly News.
[00:01:42.168 --> 00:01:58.895]  And we begin this evening with breaking news in the escalating world conflict with Iran as Canada has announced that they will suspend all diplomatic relations with Iran and is expelling Iranian diplomats from Canada.
[00:01:59.435 --> 00:02:01.636]  They're also closing their embassy.
[00:02:02.036 --> 00:02:08.079]  So again, Canada closes embassy in Iran and expels Iranian diplomats.
[00:02:09.428 --> 00:02:23.844]  Canadian Foreign Affairs Minister John Baird announced in a statement today that the Canadian government is formally listing Iran as a state sponsor of terrorism under the Justice for Victims of Terrorism Act.
[00:02:24.444 --> 00:02:30.651]  Baird says Iran is viewed as the world's most significant threat to global peace and security.
[00:02:31.903 --> 00:02:34.144]  So this is very serious indeed.
[00:02:34.164 --> 00:02:45.949]  You know, usually when you start seeing countries pull out diplomats, expel foreign diplomats, and close down embassies, it's usually a sign of very bad things to come.
[00:02:46.349 --> 00:02:49.070]  Usually means bombs are going to start dropping somewhere.
[00:02:49.610 --> 00:02:54.052]  So again, this might be the beginning of a major conflict with Iran.
[00:02:54.452 --> 00:02:56.233]  Details are sketchy at this point.
[00:02:56.693 --> 00:03:00.336]  But stay tuned to Infowars.com.
[00:03:00.376 --> 00:03:05.040]  Check out the website over the entire weekend for updates as they occur.
[00:03:05.600 --> 00:03:09.603]  Meanwhile, I want to talk to you right now about the Federal Reserve.
[00:03:10.043 --> 00:03:12.845]  The privately owned Federal Reserve, that is.
