[00:00:05.356 --> 00:00:05.596]  I think.
[00:00:33.491 --> 00:00:33.873]  Yeah.
[00:00:38.686 --> 00:00:40.267]  Welcome to InfoWars Nightly News.
[00:00:40.307 --> 00:00:41.048]  Thank you for tuning in.
[00:00:41.068 --> 00:00:44.371]  Thank you for supporting Liberty and a true alternative press for a free country.
[00:00:45.372 --> 00:01:01.406]  On this 23rd night of November 2012, on this Friday night, I thought that we would retransmit for all the viewers out there a very important special report we did for PrisonPlanet.tv that I don't think got the attention it deserved.
[00:01:01.846 --> 00:01:03.488]  The head of Skywatch California
[00:01:04.288 --> 00:01:13.100]  Rosalind Peterson, who has done just an amazing job exposing the aerosol spraying campaigns and other things that are going on in our atmosphere.
[00:01:13.401 --> 00:01:21.432]  And here she is with the Chemtrail cover-up, Rosalind Peterson, here on InfoWars Nightly News in this in-depth interview and analysis.
[00:01:23.174 --> 00:01:28.220]  Rosalind Peterson is an environmental impact analyst and founder of California Skywatch.
[00:01:28.600 --> 00:01:34.006]  Today, Rosalind is a leader in the fight to expose the true nature of the chemicals being sprayed in our skies.
[00:01:34.347 --> 00:01:42.917]  She has compiled extensive data documenting the ongoing geoengineering and weather modification programs contaminating our skies, water, and food supply.
[00:01:44.591 --> 00:01:49.458]  My name is Rosalind Peterson and I was born and raised in Mendocino County in California.
[00:01:50.259 --> 00:01:56.769]  I was on a working farm in Mendocino County and grew up on a working farm.
[00:01:56.889 --> 00:01:59.072]  So I have a background in agriculture.
[00:01:59.873 --> 00:02:01.435]  I could drive a cat tractor.
[00:02:01.555 --> 00:02:03.378]  I could do the irrigation systems.
[00:02:03.959 --> 00:02:09.906]  I decided to take environmental studies and planning course at Sonoma State University where I got my degrees.
[00:02:10.507 --> 00:02:14.652]  After some training, I became an agriculture crop loss adjuster.
[00:02:15.273 --> 00:02:29.018]  Which meant that if there were any crops that failed in California for any reason, crop loss adjusters were sent by the state of California to go investigate where these crop losses were and why there were crop losses throughout the state.
[00:02:29.518 --> 00:02:39.181]  So I was traveling about 50,000 miles a year in this process from county to county assessing what kind of crops, what kind of damage they had,
[00:02:39.841 --> 00:02:56.116]  And looking into the reasons for the failure itself and how much value the crop was that was lost at that particular time and then if there was a crop loss that was legitimate then ranchers or farmers could be paid crop insurance for the loss of their crops.
[00:02:56.816 --> 00:03:01.877]  In 98, I began to notice just a little bit of tree decline on the property here.
[00:03:02.558 --> 00:03:07.099]  I began to notice that some trees didn't look as healthy and I started to worry about that.
[00:03:07.579 --> 00:03:13.941]  Just in the background is something that was nagging because I was concerned about losing the beautiful trees we have around here.
[00:03:14.861 --> 00:03:16.841]  Then in early 2000, I began to notice that
[00:03:19.420 --> 00:03:45.820]  I would see jets and they would leave these little tiny trails and then the sky would white out after that and I was always irritated because our skies used to be so crystal clear and blue and gorgeous and all of a sudden you would see these jets and I kind of thought of them almost as joyriding and when they were or skywriting and when they did this then the sky would haze over and so I found myself when I was teaching tennis and being outdoors all the time
[00:03:46.480 --> 00:03:55.063]  Or traveling for work that I was irritated a little bit about the idea that the skies were hazed over a lot.
[00:03:55.623 --> 00:03:57.223]  So that was the first inkling.
[00:03:57.623 --> 00:04:04.465]  And then in 2002, I was working for the Mendocino County Probation Department.
[00:04:05.065 --> 00:04:12.788]  I was on a lunch break and a friend of mine stopped me and dragged me into his office and said, what do you know about this?
[00:04:14.960 --> 00:04:15.300]  Thank you.
[00:04:30.274 --> 00:04:58.845]  and has called me a couple of times to say he was concerned that there was something here that was going on that was not quite right he couldn't go any further but he did take me outside that lunch hour and say today is a really bad day and that's when he really brought my attention to watching the jets and how the jets would leave a small trail and then it would expand into these huge plumes and at that particular juncture of time that day I was in and bought a pair of binoculars
[00:04:59.605 --> 00:05:05.390]  After work, and a camera, and I started taking pictures and watching what was going on.
[00:05:05.890 --> 00:05:17.319]  And that day I had never seen so many jets flying in so many directions, leaving so many huge plumes that turned into the, you know, small trails that turned into these huge plumes in my life.
[00:05:17.379 --> 00:05:18.900]  And I knew that something was wrong.
[00:05:19.520 --> 00:05:23.524]  And that started me investigating what was going on.
[00:05:24.304 --> 00:05:30.188]  In the beginning, when I first began to see, you know, notice the jets, I would see one and then I would see some white haze.
[00:05:30.328 --> 00:05:36.772]  But I never did take notice of really any notice other than some irritation when we hazed out.
[00:05:37.392 --> 00:05:49.860]  However, I can say that when I saw this particular day and I began to pay attention, I could hardly drive straight and I had to pull over all the time just to be able to look at these jets and say, look, this is not normal.
[00:05:50.860 --> 00:05:57.145]  I think that there were a lot of jets flying that day because there were many going in the same direction leaving parallel lines.
[00:05:57.826 --> 00:06:07.814]  And in subsequent days I would see many jets flying where the lines were parallel and there would be five or six or seven or eight all leaving trails at one time.
[00:06:08.415 --> 00:06:11.678]  And I thought that that was really peculiar that there would be so many.
[00:06:12.518 --> 00:06:30.873]  Later, I think that there were fewer jets, but that they would circle the county, and they'd go up one side of the county on the east side, and they'd go down the west side, and then they'd go up the east side, and so they would move around the county in kind of a clock-like, moving around a clock.
[00:06:31.866 --> 00:06:40.833]  Later we discovered from talking to people in different counties that they were looping out over the Pacific Ocean and then coming back in and they were doing these huge loops.
[00:06:41.494 --> 00:06:52.082]  Discovered that from the size of one plume and watching one plume expand that they could cover our skies in solid cloud cover in about three hours here in Mendocino County.
[00:06:52.703 --> 00:06:57.507]  So that became my initiation and then I started to watch before work
[00:06:58.087 --> 00:07:07.431]  During lunch hour, after work, I started taking pictures and I started documenting what I was seeing because I thought that there was something wrong with this picture.
[00:07:07.451 --> 00:07:10.593]  I had never seen anything like this in my entire lifetime.
[00:07:11.233 --> 00:07:18.357]  My mother, who was in her 80s at the time, I showed her and she said, I've never seen anything like that in all the years I've lived here.
[00:07:18.737 --> 00:07:19.037]  Nothing.
[00:07:20.217 --> 00:07:45.960]  I went to look at NASA studies and NASA in their school program and also in their terminology and their research began to realize that there was a brand new phenomenon that was occurring in which jet contrails, instead of dissipating relatively quickly if you saw them in a few seconds, began to persist and grow and NASA studies proved that they turned into man-made clouds
[00:07:46.801 --> 00:07:52.444]  That would change the climate, exacerbate global warming, impact natural resources.
[00:07:53.244 --> 00:08:01.048]  And they began to show pictures on their website of clouds that look like these in the pictures next to me.
[00:08:01.548 --> 00:08:02.889]  They would show these pictures.
[00:08:03.729 --> 00:08:08.472]  And in showing these pictures, they were like what I was photographing in the skies above us.
[00:08:09.332 --> 00:08:29.450]  So I realized that there was a great deal of interest by many agencies and universities into looking at these and what effect they were having on the climate, what effect they were having on raising humidity, what effect they were having on, in other words, what was going on with these that had changed.
[00:08:30.518 --> 00:08:56.497]  why they were persisting but what happened was that they never did in any of their investigations most of the time they only looked at commercial airlines they didn't look at military uh... emissions and plumes the second thing that they never did is they never took into account that that there might be something environmentally unsound about having our skies covered over with these clouds in the beginning they just noted them
[00:08:56.957 --> 00:09:05.244]  But they never addressed if anything was being sprayed or what changes in the jet or jet fuel or anything else was causing them.
[00:09:05.745 --> 00:09:10.849]  They scrubbed all that documentation so all they did was identify them as persistent jet contrails.
[00:09:11.750 --> 00:09:21.778]  In order to gain some sort of credibility and be able to speak at the United Nations and speak at other areas, if I had used the word, for example, chemtrail
[00:09:22.719 --> 00:09:34.969]  The United Nations would not have invited me as a keynote speaker because then I would have been talking about something that was listed on all these websites and by the Air Force by NOAA and NASA as a hoax.
[00:09:35.609 --> 00:09:42.355]  So you don't gain the credibility of anyone or any group or agency when you just use the term.
[00:09:42.795 --> 00:09:46.017]  So it didn't behoove me to use it and so I refused to do so.
[00:09:46.878 --> 00:09:53.779]  NASA, first of all, in the late 1980s initiated a schools program for children K through 12.
[00:09:54.099 --> 00:09:59.580]  And they started in some foreign countries and then they brought the program to the United States.
[00:10:00.320 --> 00:10:09.762]  And NASA began to have children starting to count contrails because they said that they're satellites and also that they couldn't count them from the ground.
[00:10:10.382 --> 00:10:15.283]  So therefore they needed school children to do this as part of a kind of like a game.
[00:10:16.309 --> 00:10:20.731]  I think that they really began to want children to think that this was a normal phenomenon.
[00:10:20.951 --> 00:10:24.653]  And so, in the late 1980s, this program started to go through.
