[00:00:00.049 --> 00:00:00.589]  I don't know.
[00:00:17.757 --> 00:00:24.760]  In your front yard, or in many cases, even in your backyard, you've seen the news articles where people aren't allowed to grow gardens in many areas.
[00:00:25.261 --> 00:00:27.322]  That is nothing compared to what's coming.
[00:00:27.462 --> 00:00:42.149]  If you follow the cap-and-trade laws that they tried to pass through Congress that were narrowly defeated only because there was a huge outcry, those thousands of pages were going to implement all kinds of new regulations on people's homes, on the kind of cars they can drive,
[00:00:42.689 --> 00:00:46.052]  On top of the already existing burdensome regulations.
[00:00:46.412 --> 00:00:51.576]  They were going to have housing inspectors, new rules on what kind of light bulbs you can have, and on and on.
[00:00:51.616 --> 00:00:53.397]  It was this endless laundry list.
[00:00:53.798 --> 00:00:58.201]  That's the kind of thing we're seeing happening under sustainable development.
[00:00:58.241 --> 00:01:00.022]  It's not sustainable at all.
[00:01:00.503 --> 00:01:07.548]  I can give you dozens and dozens if not hundreds of quotes from leading globalists who say they want to destroy society.
[00:01:07.848 --> 00:01:16.132]  Mari Strong, one of the leading advocates for Agenda 21 and a speaker at the United Nations Rio Summit in 1992, said, Isn't it our responsibility to bring that about?
[00:01:23.695 --> 00:01:23.915]  No, no.
[00:01:41.015 --> 00:01:44.158]  They don't want other countries to be brought up to our living standards.
[00:01:44.538 --> 00:01:57.550]  They want to lower the United States living standards to a third world area, greatly reduce the population across the globe and here at home, and have more and more say in your life, what you're allowed to do on your own land.
[00:01:57.910 --> 00:02:02.252]  Because it's now going to be re-zoned under the Sustainable Development Plans.
[00:02:02.552 --> 00:02:05.233]  And it's just like the things we've already seen in China.
[00:02:05.313 --> 00:02:15.337]  In fact, the workshop I was at in Elgin for these sustainable communities specifically talked about shop houses, where they would have workers live in the same buildings they were working at.
[00:02:15.377 --> 00:02:17.698]  That's already going on in China and it's nightmarish.
[00:02:17.718 --> 00:02:19.539]  You've heard about the Foxconn factory.
[00:02:34.696 --> 00:02:35.658]  The answer to 1984 is 1776.
[00:02:35.778 --> 00:02:36.920]  You're listening to the Alex Jones Show.
[00:02:46.593 --> 00:02:55.795]  Yeah, we're into, I don't know, hour number nine now in the 48-hour broadcast, and the crew is a bit bleary-eyed, but they are kicking butt.
[00:02:55.835 --> 00:02:57.176]  We've got the crew split into two.
[00:02:57.196 --> 00:03:00.557]  Hey, each crew only has to do 24 hours.
[00:03:00.597 --> 00:03:03.957]  That is a very easy, very, very easy workload there.
[00:03:04.337 --> 00:03:09.719]  We are joined by the one, the only, for the next hour and 52 minutes, George Norrie.
[00:03:10.539 --> 00:03:12.781]  Uh, who is nipping at Rush Limbaugh's heels.
[00:03:12.821 --> 00:03:15.463]  Not that we're against Rush Limbaugh, uh, overall.
[00:03:15.543 --> 00:03:19.787]  It's just that it's interesting that he's been the reigning king of talk radio here in the U.S.
[00:03:19.847 --> 00:03:22.449]  and worldwide for more than 20 years.
[00:03:22.709 --> 00:03:34.639]  And, uh, now here comes George Norrie, uh, overnights with Coast to Coast AM, which is a time where you've got generally about 10% of the regular audience, but he's almost got as many listeners as Rush Limbaugh now.
[00:03:35.339 --> 00:03:38.500]  I was fighting an uphill battle at night when there's about 10% of the listeners.
[00:03:39.301 --> 00:03:44.263]  He is still absolutely kicking butt because, well, he's got the courage to bring crazy people.
[00:03:44.743 --> 00:03:46.964]  Some would say like me on nine years ago.
[00:03:47.044 --> 00:03:53.026]  Hard to believe it's now been nine years since George Norrie first brought Alex Jones on the show.
[00:03:53.086 --> 00:03:54.607]  And you know, of all the people,
[00:03:55.356 --> 00:04:05.140]  that have helped InfoWars.com, which was already reaching millions of people with the films and my little syndicated radio show, probably on 30-something stations when George first had me on, or a little more than that.
[00:04:06.001 --> 00:04:11.063]  To where we are today, if people ask who really gave you a break, it's George Noory.
[00:04:11.523 --> 00:04:12.304]  It is George Norey.
[00:04:12.344 --> 00:04:21.970]  Now in the last five years or so, Matt Drudge, the number one, you know, sensation when it comes to internet news worldwide, he has really helped get us out as well.
[00:04:21.990 --> 00:04:29.094]  But George Norey and Matt Drudge, and of course right in between that overall, you the listener, spread the word.
[00:04:29.535 --> 00:04:32.797]  You're the reason we're able to do this and have now 10 reporters,
[00:04:33.317 --> 00:04:33.837]  We're good to go.
[00:04:55.330 --> 00:04:55.570]  I don't
[00:05:11.766 --> 00:05:11.826]  I'm
[00:05:31.956 --> 00:05:32.557]  P.M.
[00:05:32.897 --> 00:05:41.344]  Pacific tonight at Coast2CoastAM.com or just just turn your AM or FM radio on and dial through you can't miss it on close to 600 radio stations.
[00:05:41.724 --> 00:05:45.828]  George Norrie, it is still I pinch myself to have you here with us tonight.
[00:05:45.888 --> 00:05:46.528]  It's so amazing.
[00:05:46.548 --> 00:05:47.149]  Thank you for coming on.
[00:05:47.449 --> 00:05:48.470]  Oh, my pleasure, Alex.
[00:05:48.490 --> 00:05:51.011]  I wanted to tell you a real funny Matt Drudge story.
[00:05:51.071 --> 00:05:52.412]  Matt and I are very close.
[00:05:53.172 --> 00:05:59.355]  And some time ago, he contacted me, sent me a little email and said, George, I've got to get a hold of Alex.
[00:05:59.556 --> 00:06:01.096]  Can you get me his number?
[00:06:01.196 --> 00:06:02.317]  And I said, yeah, sure.
[00:06:02.357 --> 00:06:08.420]  So I went to Tommy, my producer, and I said, look, I need you to get Alex's number over to Matt Drudge.
[00:06:08.480 --> 00:06:11.362]  I don't know what he wants, but he wants to talk to him.
[00:06:11.522 --> 00:06:16.965]  So I have noticed that a lot of your stories appear on the Drudge Report.
[00:06:17.862 --> 00:06:19.364]  And he's interested.
