[00:00:05.953 --> 00:00:07.014]  Mainstream media.
[00:00:07.715 --> 00:00:09.037]  Government cover-ups.
[00:00:09.497 --> 00:00:10.859]  You want answers?
[00:00:11.079 --> 00:00:12.120]  Well, so does he.
[00:00:12.301 --> 00:00:16.325]  He's Alex Jones on the GCN Radio Network.
[00:00:16.826 --> 00:00:20.871]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.756 --> 00:00:40.299]  It is Monday, the 13th day of August 2012.
[00:00:40.999 --> 00:00:44.001]  I am your host, Alex Jones.
[00:00:45.462 --> 00:00:50.166]  And get ready, because it is all over the news that the banks are preparing for total collapse.
[00:00:50.866 --> 00:00:54.069]  Troops are rolling around the streets everywhere, acclimating the public.
[00:00:54.969 --> 00:01:01.234]  Homeland Security is involved in every city and county and state activity.
[00:01:01.694 --> 00:01:02.515]  Power grabbing.
[00:01:04.889 --> 00:01:10.835]  Things are really getting crazy and the Washington Times is reporting on what we reported on last week.
[00:01:11.675 --> 00:01:15.439]  The Civil War of 2016, the Pentagon trying to take on the Tea Party.
[00:01:16.220 --> 00:01:27.951]  Al Qaeda is not the threat, the American people are the enemy because foreign bankers have hijacked the country and they're trying to turn the military and police into globalist collaborators similar to the Vichy French.
[00:01:30.331 --> 00:01:32.573]  And tyranny is the norm worldwide.
[00:01:32.614 --> 00:01:34.075]  It's happening now.
[00:01:34.936 --> 00:01:40.661]  In fact, coming up, Asia Times, Al Qaeda flags fly over rebel-held Syria.
[00:01:41.442 --> 00:01:41.842]  Boom!
[00:01:42.763 --> 00:01:43.584]  Just like Libya.
[00:01:44.385 --> 00:01:45.406]  More visible U.S.
[00:01:45.486 --> 00:01:47.988]  role expected in Syria in the coming weeks, Turkey says.
[00:01:48.068 --> 00:01:50.231]  Here come the peace bombs from the peace president.
[00:01:51.932 --> 00:01:54.535]  Also, Israeli news reporting that the president
[00:01:55.473 --> 00:01:58.695]  Is close to saying they will join an Israeli attack.
[00:01:59.056 --> 00:01:59.936]  That's in the US.
[00:02:00.517 --> 00:02:03.258]  Israel test SMS missiles.
[00:02:03.799 --> 00:02:05.600]  Alerts as Iran shatter grows.
[00:02:05.720 --> 00:02:06.401]  AFP.
[00:02:07.041 --> 00:02:10.203]  Syrian video said to show rebels throwing bodies off roof.
[00:02:11.884 --> 00:02:13.886]  Mumbai on alert after weekend riot.
[00:02:15.302 --> 00:02:17.203]  Two Syrian journalists killed in Damascus.
[00:02:18.003 --> 00:02:18.803]  It just goes on and on.
[00:02:18.823 --> 00:02:20.764]  We're going to be breaking all of that down.
[00:02:21.264 --> 00:02:25.605]  Daryl Issa to Sue Eric Holder today.
[00:02:26.925 --> 00:02:27.966]  That's on a roll call.
[00:02:28.286 --> 00:02:32.267]  Here's the big news, because it's exactly what I was already going to be covering today, and now here it is.
[00:02:32.727 --> 00:02:35.968]  First they bought 250 million hollow point bullets, then 750 million.
[00:02:35.988 --> 00:02:36.348]  So now we're up to
[00:02:41.667 --> 00:02:47.890]  Well, the new announcement, first it was $250 million, then $450 million, and now $750 million.
[00:02:49.511 --> 00:02:55.754]  So if you do the math on that, what's $750 million plus $250 million plus $450 million?
[00:02:57.455 --> 00:03:01.937]  How about $1,400 million?
[00:03:01.957 --> 00:03:07.220]  I mean, what is that, three or four bullets for every person in the United States?
[00:03:07.260 --> 00:03:08.340]  We're $312 million or something?
[00:03:17.024 --> 00:03:20.725]  I tell you, I mean, these numbers of bullets are getting so big I can't even do the math now.
[00:03:22.306 --> 00:03:41.152]  Armored pillboxes, checkpoints everywhere, brainwashed police and military being told to get ready for war with the American people, drones being launched everywhere, total gear up, and the military admitting in all these manuals, training for gun confiscation, training for re-education camps.
[00:03:41.892 --> 00:03:45.333]  Man, I'm telling you, the globalists are the types that'll nuke four or five cities.
[00:03:46.554 --> 00:03:48.135]  And say that the Patriots did it.
[00:03:49.115 --> 00:03:55.479]  Or they're the types that will release a bioweapon and just wait for everybody to dig out after, you know, tens of millions die.
[00:03:56.880 --> 00:04:02.783]  Yeah, so DHS won't explain its purchase of 450 million rounds of .40 cal, that's their standard sidearm.
[00:04:03.063 --> 00:04:05.604]  They're arming every agency you can imagine.
[00:04:06.404 --> 00:04:10.967]  So let's be clear, 250 million rounds last year, 450 million they bought a few months ago, and now 750 million.
[00:04:18.387 --> 00:04:19.168]  How many is that?
[00:04:22.311 --> 00:04:24.192]  That's 1,400 million.
[00:04:25.374 --> 00:04:30.639]  So that's, what is that, 1.4 billion?
[00:04:30.659 --> 00:04:36.564]  1.4 billion rounds of ammo for the American people.
[00:04:37.325 --> 00:04:39.106]  I mean, these are just lawless crooks.
[00:04:39.795 --> 00:04:47.359]  You got Janet Napolitano and a bunch of jack-booted weirdo women dominating the men, screaming at them, putting their stuff in the bathroom over and over again.
[00:04:47.579 --> 00:04:49.020]  I mean, we're in the hands of lunatics.
[00:04:49.320 --> 00:04:50.221]  You know what tyranny is?
[00:04:50.281 --> 00:04:52.502]  It's when lunatics take over.
[00:04:53.563 --> 00:04:55.224]  We're going to be breaking it all down on the other side.
[00:04:55.244 --> 00:04:55.644]  Stay with us.
[00:04:59.912 --> 00:05:05.893]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
